Company,Symbol,Previous Close,1y Target Est,Undervalue Rate
Adobe Inc.,ADBE,361.03,446.39589228610555,0.2364509660862133
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213063
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.32868864007014764
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.32265848777050055
Amazon,AMZN,228.01,31.129185926178774,-0.8634744707417272
American Electric Power,AEP,112.66,,
Amgen,AMGN,295.55,840.7792615186637,1.8447953358777318
Analog Devices,ADI,230.44,243.91365133245253,0.05846923855429842
Apple Inc.,AAPL,230.56,173.77669714118954,-0.24628427679914322
Applied Materials,AMAT,162.215,144.156286775192,-0.11132579123267272
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241
Arm Holdings,ARM,134.01,10.070925434295201,-0.9248494482927005
ASML Holding,ASML,743.61,750.7543171041926,0.00960761300169799
AstraZeneca,AZN,79.54,84.86429371860321,0.06693856824997746
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424
Autodesk,ADSK,289.24,201.18214803768097,-0.3044456228817557
Automatic Data Processing,ADP,305.72,334.0319225471775,0.09260736146531934
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255
Baker Hughes,BKR,42.95,53.80246904372341,0.25267681126247754
Biogen,BIIB,138.86,354.6175476323975,1.5537775286792268
Booking Holdings,BKNG,5584.08,10970.897631554026,0.9646741507202665
Broadcom,AVGO,294.91,200.74116630105115,-0.31931380319063063
Cadence Design Systems,CDNS,346.88,196.3123546569245,-0.434062630716892
CDW Corporation,CDW,167.58,139.00403361189353,-0.170521341377888
Charter Communications,CHTR,267.01,441.9743979244552,0.6552728284500777
Cintas,CTAS,216.43,118.67502017012286,-0.45167019281004084
Cisco,CSCO,66.76,64.25900505508812,-0.03746247670628944
Coca-Cola Europacific Partners,CCEP,90.4,,
Cognizant,CTSH,70.86,110.90126492320077,0.5650757115890597
Comcast,CMCSA,33.89,,
Constellation Energy,CEG,317.24,,
Copart,CPRT,47.81,36.64627137367082,-0.23350195830012932
CoStar Group,CSGP,88.95,52.00757242667869,-0.4153167799136741
Costco,COST,980.85,432.2170274030824,-0.559344418205554
CrowdStrike,CRWD,418.6,385.16484623988316,-0.07987375480199921
CSX Corporation,CSX,36.52,33.33300851550504,-0.08726701764772615
Datadog,DDOG,128.99,151.21511244971268,0.17230105007917418
DexCom,DXCM,80.9,32.24505846650807,-0.6014207853336456
Diamondback Energy,FANG,138.96,,
DoorDash,DASH,248.37,103.16472454724429,-0.5846329083736188
Electronic Arts,EA,170.68,294.2426581781611,0.7239433921851481
Exelon,EXC,44.74,,
Fastenal,FAST,49.9,25.201828953557353,-0.494953327584021
Fortinet,FTNT,78.09,127.47324711889897,0.6323888733371619
GE HealthCare,GEHC,73.97,61.92023051567149,-0.16290076361130879
Gilead Sciences,GILD,117.98,247.99301004220942,1.1019919481455283
GlobalFoundries,GFS,33.22,16.636159359876064,-0.4992125418459944
Honeywell,HON,216.74,168.37180267232472,-0.22316230196399045
Idexx Laboratories,IDXX,636.71,162.04703964091502,-0.7454931764211101
Intel,INTC,25.31,-22.607032150941833,-1.893205537374233
Intuit,INTU,700.939,630.9297520851682,-0.09987923045348002
Intuitive Surgical,ISRG,479.2,117.42389482094961,-0.7549584832617913
Keurig Dr Pepper,KDP,35.18,74.97849400070989,1.1312818078655456
KLA Corporation,KLAC,876.08,531.4374923575325,-0.3933915939668381
Kraft Heinz,KHC,27.67,,
Lam Research,LRCX,100.33,57.14608410240748,-0.4304187770117863
Linde plc,LIN,479.92,304.34133922689364,-0.36584985158590255
Lululemon,LULU,197.66,557.7692049994067,1.8218618081524172
Marriott International,MAR,266.78,295.7827849408448,0.10871423997617824
Marvell Technology,MRVL,72.07,29.09757540107156,-0.596259533771728
Mercado Libre,MELI,2342.94,1483.1615571899176,-0.3669656255858377
Meta Platforms,META,751.48,594.4050706174064,-0.20902077152099008
Microchip Technology,MCHP,64.71,25.55414625359997,-0.6050974153361154
Micron Technology,MU,122.05,-24.76642488848746,-1.2029203186275088
Microsoft,MSFT,509.77,375.25309344127123,-0.2638776439545849
MicroStrategy,MSTR,336.57,-48.43449012032653,-1.1439061417248315
Mondelez International,MDLZ,62.66,136.1427601696129,1.1727219944081217
Monster Beverage,MNST,63.99,97.49201057961054,0.5235507201064311
"Netflix, Inc.",NFLX,1214.15,160.408823422418,-0.8678838500824297
Nvidia,NVDA,175.64,146.43501530013742,-0.16627752618915148
NXP Semiconductors,NXPI,229.27,221.51235322284808,-0.03383629248114417
O'Reilly Automotive,ORLY,103.06,161.52902978571362,0.5673299998613779
Old Dominion Freight Line,ODFL,154.8,96.68683468675998,-0.3754080446591733
Onsemi,ON,49.77,49.38051384651029,-0.00782572138817994
Paccar,PCAR,99.46,139.96476180536155,0.40724675050634995
Palantir Technologies,PLTR,157.75,3.9013816291195464,-0.9752685792131883
Palo Alto Networks,PANW,181.56,212.00395776882362,0.1676798731484006
Paychex,PAYX,139.01,154.67492377277375,0.11268918619361035
PayPal,PYPL,69.05,110.8555015409491,0.6054381106582059
PDD Holdings,PDD,119.07,,
PepsiCo,PEP,152.16,248.04432915857024,0.6301546343228854
Qualcomm,QCOM,156.25,222.7594322626282,0.4256603664808205
Regeneron Pharmaceuticals,REGN,571.78,,
Roper Technologies,ROP,532.59,590.4776864462622,0.10869090002865645
Ross Stores,ROST,147.88,171.95947867101336,0.1628312055113157
Shopify,SHOP,139.25,15.324528947455713,-0.8899495228189895
Starbucks,SBUX,90.93,83.67200849307703,-0.07981954808009428
Synopsys,SNPS,612.79,342.0119179137242,-0.4418774491853258
T-Mobile US,TMUS,258.22,-38.43371677191287,-1.148840975803241
Take-Two Interactive,TTWO,228.36,17.943451647213568,-0.9214247169065792
