Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count
Adobe Inc.,ADBE,353.43,500.0,0.4147072970602381,134
Advanced Micro Devices,AMD,163.71,193.46,0.18172377985462096,164
Airbnb,ABNB,126.43,124.0,-0.01922012180653332,115
Alphabet Inc.,GOOGL,199.75,187.0,-0.06382978723404253,162
Alphabet Inc.,GOOG,200.62,199.0,-0.008074967600438687,70
Amazon,AMZN,221.95,255.63,0.15174588871367423,252
American Electric Power,AEP,113.14,115.0,0.016439809086087998,33
Amgen,AMGN,295.76,304.67,0.030125777657560304,56
Analog Devices,ADI,246.95,236.33,-0.043004656813119935,57
Apple Inc.,AAPL,224.9,225.0,0.0004446420631392112,188
Applied Materials,AMAT,159.84,187.83,0.17511261261261257,92
AppLovin,APP,418.76,458.63,0.09520966663482655,48
Arm Holdings,ARM,133.28,200.0,0.5006002400960383,29
ASML Holding,ASML,735.4,800.0,0.0878433505575198,9
AstraZeneca,AZN,80.46,97.0,0.20556798409147414,9
Atlassian,TEAM,164.59,253.29,0.5389148793972902,57
Autodesk,ADSK,286.06,348.83,0.21942949031671666,79
Automatic Data Processing,ADP,304.94,315.0,0.03299009641240902,14
Axon Enterprise,AXON,763.51,839.43,0.09943550182708805,16
Baker Hughes,BKR,43.46,51.75,0.19075011504832018,37
Biogen,BIIB,139.12,180.75,0.299238067855089,89
Booking Holdings,BKNG,5710.74,5407.4,-0.053117459383547505,75
Broadcom,AVGO,289.6,287.17,-0.008390883977900554,88
Cadence Design Systems,CDNS,347.57,351.67,0.011796184941162968,28
CDW Corporation,CDW,164.18,232.8,0.417955902058716,5
Charter Communications,CHTR,267.98,404.17,0.5082095678781999,48
Cintas,CTAS,216.11,228.5,0.05733191430290119,48
Cisco,CSCO,67.02,72.33,0.07923008057296332,75
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.07467924114486246,14
Cognizant,CTSH,71.08,79.0,0.11142374788970177,37
Comcast,CMCSA,33.6,43.0,0.27976190476190466,48
Constellation Energy,CEG,312.52,356.67,0.14127095865864603,32
Copart,CPRT,47.68,35.5,-0.2554530201342282,4
CoStar Group,CSGP,88.36,97.0,0.09778180172023543,19
Costco,COST,969.68,1062.5,0.09572230014025251,101
CrowdStrike,CRWD,414.06,433.94,0.04801236535767761,203
CSX Corporation,CSX,35.87,36.75,0.024533035963200556,65
Datadog,DDOG,129.15,149.0,0.15369725125822686,84
DexCom,DXCM,80.62,81.36,0.009178863805507254,41
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61
DoorDash,DASH,245.18,257.55,0.050452728607553565,83
Electronic Arts,EA,171.55,177.14,0.032585252113086494,55
Exelon,EXC,44.64,47.0,0.05286738351254483,15
Fastenal,FAST,49.14,69.33,0.41086691086691074,23
Fortinet,FTNT,77.75,103.5,0.3311897106109325,69
GE HealthCare,GEHC,73.15,84.0,0.14832535885167464,15
Gilead Sciences,GILD,116.14,126.14,0.08610297916307896,58
GlobalFoundries,GFS,32.6,67.38,1.0668711656441716,12
Honeywell,HON,217.42,247.0,0.13605004139453603,37
Idexx Laboratories,IDXX,633.05,715.67,0.13051101808703902,14
Intel,INTC,23.5,21.0,-0.1063829787234043,103
Intuit,INTU,697.76,820.0,0.17518917679431323,82
Intuitive Surgical,ISRG,469.88,590.33,0.2563420447773901,68
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23
KLA Corporation,KLAC,872.39,823.33,-0.05623631632641357,51
Kraft Heinz,KHC,27.5,29.0,0.05454545454545445,32
Lam Research,LRCX,98.41,83.67,-0.14978152626765573,54
Linde plc,LIN,480.71,576.0,0.19822762164298657,33
Lululemon,LULU,198.18,430.0,1.1697446765566655,122
Marriott International,MAR,262.27,289.0,0.10191787089640458,32
Marvell Technology,MRVL,71.21,99.29,0.39432663951692204,88
Mercado Libre,MELI,2337.44,2700.0,0.15510986378259983,29
Meta Platforms,META,739.1,850.0,0.15004735489108367,235
Microchip Technology,MCHP,66.1,69.33,0.04886535552193649,39
Micron Technology,MU,115.79,146.43,0.2646169790137318,153
Microsoft,MSFT,504.24,601.38,0.19264635887672532,190
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9
Mondelez International,MDLZ,62.94,73.25,0.16380680012710513,38
