Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y
Adobe Inc.,ADBE,361.03,446.3958922861056,0.2364509660862133,0.00557620263089943,0.359550377684783
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458,0.2659501650351844,0.5069222124243764
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213065,0.08491084431181858,0.4832515432320766
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.3286886400701476,0.2336226716169388,0.31023570799044853
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.3226584877705005,0.2337640499279979,0.3090532578657348
Amazon,AMZN,228.01,31.12918592617877,-0.8634744707417272,0.12362983430234542,0.3544598588636372
American Electric Power,AEP,112.66,,,0.0885718217784226,0.2003622602767011
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.07380239559662138,0.2350210842799073
Analog Devices,ADI,230.44,243.91365133245253,0.0584692385542984,0.20101073404026853,0.3261890715199783
Apple Inc.,AAPL,230.56,173.77669714118954,-0.2462842767991432,0.16059160966535624,0.29326536628135
Applied Materials,AMAT,162.215,144.156286775192,-0.1113257912326727,0.2807000815177258,0.43404001990028135
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241,0.7190559066600252,0.7818932262816339
Arm Holdings,ARM,134.01,10.0709254342952,-0.9248494482927004,0.6863711419201286,0.7762236506352849
ASML Holding,ASML,743.61,750.7543171041926,0.0096076130016979,0.22358838960432978,0.41427453436700284
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.0993529699310532,0.2404239459110871
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424,0.1597043559607926,0.5683675223962232
Autodesk,ADSK,289.24,201.18214803768095,-0.3044456228817557,0.08906506089710535,0.3501946947288629
Automatic Data Processing,ADP,305.72,334.0319225471775,0.0926073614653193,0.18190621509106175,0.21675139599335486
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255,0.5520401614634903,0.46638384460145427
Baker Hughes,BKR,42.95,53.80246904372341,0.2526768112624775,0.26692133315001937,0.3682332510229421
Biogen,BIIB,138.86,354.6175476323975,1.5537775286792268,-0.04861193402355927,0.44333478658748987
