Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y
Adobe Inc.,ADBE,353.43,500.0,0.4147072970602381,134,,
Advanced Micro Devices,AMD,163.71,193.46,0.1817237798546209,164,,
Airbnb,ABNB,126.43,124.0,-0.0192201218065333,115,,
Alphabet Inc.,GOOGL,199.75,187.0,-0.0638297872340425,162,,
Alphabet Inc.,GOOG,200.62,199.0,-0.0080749676004386,70,,
Amazon,AMZN,221.95,255.63,0.1517458887136742,252,,
American Electric Power,AEP,113.14,115.0,0.0164398090860879,33,,
Amgen,AMGN,295.76,304.67,0.0301257776575603,56,,
Analog Devices,ADI,246.95,236.33,-0.0430046568131199,57,,
Apple Inc.,AAPL,224.9,225.0,0.0004446420631392,188,,
Applied Materials,AMAT,159.84,187.83,0.1751126126126125,92,,
AppLovin,APP,418.76,458.63,0.0952096666348265,48,,
Arm Holdings,ARM,133.28,200.0,0.5006002400960383,29,,
ASML Holding,ASML,735.4,800.0,0.0878433505575198,9,,
AstraZeneca,AZN,80.46,97.0,0.2055679840914741,9,,
Atlassian,TEAM,164.59,253.29,0.5389148793972902,57,,
Autodesk,ADSK,286.06,348.83,0.2194294903167166,79,,
Automatic Data Processing,ADP,304.94,315.0,0.032990096412409,14,,
Axon Enterprise,AXON,763.51,839.43,0.099435501827088,16,,
Baker Hughes,BKR,43.46,51.75,0.1907501150483201,37,,
Biogen,BIIB,139.12,180.75,0.299238067855089,89,,
Booking Holdings,BKNG,5710.74,5407.4,-0.0531174593835475,75,,
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,,
Cadence Design Systems,CDNS,347.57,351.67,0.0117961849411629,28,,
CDW Corporation,CDW,164.18,232.8,0.417955902058716,5,,
Charter Communications,CHTR,267.98,404.17,0.5082095678781999,48,,
Cintas,CTAS,216.11,228.5,0.0573319143029011,48,,
Cisco,CSCO,67.02,72.33,0.0792300805729633,75,,
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,,
Cognizant,CTSH,71.08,79.0,0.1114237478897017,37,,
Comcast,CMCSA,33.6,43.0,0.2797619047619046,48,,
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,,
Copart,CPRT,47.68,35.5,-0.2554530201342282,4,,
CoStar Group,CSGP,88.36,97.0,0.0977818017202354,19,,
Costco,COST,969.68,1062.5,0.0957223001402525,101,,
CrowdStrike,CRWD,414.06,433.94,0.0480123653576776,203,,
CSX Corporation,CSX,35.87,36.75,0.0245330359632005,65,,
Datadog,DDOG,129.15,149.0,0.1536972512582268,84,,
DexCom,DXCM,80.62,81.36,0.0091788638055072,41,,
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,,
DoorDash,DASH,245.18,257.55,0.0504527286075535,83,,
Electronic Arts,EA,171.55,177.14,0.0325852521130864,55,,
Exelon,EXC,44.64,47.0,0.0528673835125448,15,,
Fastenal,FAST,49.14,69.33,0.4108669108669107,23,,
Fortinet,FTNT,77.75,103.5,0.3311897106109325,69,,
GE HealthCare,GEHC,73.15,84.0,0.1483253588516746,15,,
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,,
GlobalFoundries,GFS,32.6,67.38,1.0668711656441716,12,,
Honeywell,HON,217.42,247.0,0.136050041394536,37,,
Idexx Laboratories,IDXX,633.05,715.67,0.130511018087039,14,,
Intel,INTC,23.5,21.0,-0.1063829787234043,103,,
Intuit,INTU,697.76,820.0,0.1751891767943132,82,,
Intuitive Surgical,ISRG,469.88,590.33,0.2563420447773901,68,,
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23,,
KLA Corporation,KLAC,872.39,823.33,-0.0562363163264135,51,,
Kraft Heinz,KHC,27.5,29.0,0.0545454545454544,32,,
Lam Research,LRCX,98.41,83.67,-0.1497815262676557,54,,
Linde plc,LIN,480.71,576.0,0.1982276216429865,33,,
Lululemon,LULU,198.18,430.0,1.1697446765566657,122,,
Marriott International,MAR,262.27,289.0,0.1019178708964045,32,,
Marvell Technology,MRVL,71.21,99.29,0.394326639516922,88,,
Mercado Libre,MELI,2337.44,2700.0,0.1551098637825998,29,,
Meta Platforms,META,739.1,850.0,0.1500473548910836,235,,
Microchip Technology,MCHP,66.1,69.33,0.0488653555219364,39,,
Micron Technology,MU,115.79,146.43,0.2646169790137318,153,,
Microsoft,MSFT,504.24,601.38,0.1926463588767253,190,,
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9,,
Mondelez International,MDLZ,62.94,73.25,0.1638068001271051,38,,
Monster Beverage,MNST,64.36,68.17,0.0591982597886886,38,,
"Netflix, Inc.",NFLX,1206.21,1250.45,0.0366768638960048,236,,
Nvidia,NVDA,174.98,190.78,0.0902960338324381,235,0.667832044879233,0.5270666584623265
NXP Semiconductors,NXPI,223.93,252.5,0.1275845130174608,76,0.207691740068252,0.39873804539692054
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.22316870175650388
Old Dominion Freight Line,ODFL,149.75,178.0,0.1886477462437394,47,0.15486597223418502,0.3472190718138788
Onsemi,ON,48.81,60.0,0.229256299938537,87,0.3126944431480066,0.5193852440629801
