Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight,BL_Expected_Return
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.2231687017565038,0.23768078474508536,0.0802281577843536
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,0.6803966659715761,0.4949951103942768,0.09888862913564221,0.21780112414379624
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,0.138171416598632,0.234586753540917,0.06538457369214914,0.04216176434888068
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.1815482150904319,0.2048261163716895,0.06141342673006638,0.05966898168796378
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23,0.0558483115639386,0.1915602307511777,0.041448386617799086,0.03150567682810036
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426,0.03643275493718991,0.28311554922224197
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,0.51926169129774,0.4081675533803968,0.03587975005945377,0.17926716626008504
Electronic Arts,EA,171.55,177.14,0.0325852521130864,55,0.06893234932669,0.2497263487070728,0.03586300657548318,0.05040260762168867
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,0.3600116018102547,0.4598890754917062,0.03520237487237341,0.11670740783638758
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.026179431811344776,0.062206416924612006
PepsiCo,PEP,148.98,153.67,0.0314807356692172,51,0.032674929288442,0.178244542899649,0.0247770965819681,0.029617420563159594
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9,1.0919883968413335,0.9554061623529176,0.02391769182578333,0.37087144416714146
Mondelez International,MDLZ,62.94,73.25,0.1638068001271051,38,0.0355556336411832,0.1872720647984994,0.021334682892694794,0.03097101787312848
Kraft Heinz,KHC,27.5,29.0,0.0545454545454544,32,-0.0197563272640714,0.2236230737148316,0.020532977748473173,0.02168817300923432
Costco,COST,969.68,1062.5,0.0957223001402525,101,0.2315307982922127,0.226302549799403,0.02036243396807305,0.08509661698169971
Xcel Energy,XEL,73.16,76.33,0.0433296883542919,21,0.032879760122477,0.2103782132696467,0.019242028108870258,0.03125339441598678
Nvidia,NVDA,174.98,190.78,0.0902960338324381,235,0.667832044879233,0.5270666584623265,0.01673261596686725,0.23617654607619973
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,1,0.1096824937331541,0.324855915450949,0.01659705909788184,0.08433401233585343
Microsoft,MSFT,504.24,601.38,0.1926463588767253,190,0.2088202237573098,0.2655689551130605,0.016290318724086116,0.11216755858525071
Exelon,EXC,44.64,47.0,0.0528673835125448,15,0.1260891629105199,0.213199216928025,0.015423335744467383,0.04178469782862181
Paccar,PCAR,97.54,111.33,0.1413778962476932,34,0.1460837422867097,0.2589647709598887,0.014214308844796516,0.0819312064867009
Cisco,CSCO,67.02,72.33,0.0792300805729633,75,0.1199069946818454,0.2273173853209673,0.014203499658821866,0.08288321590057421
CrowdStrike,CRWD,414.06,433.94,0.0480123653576776,203,0.4035253186743454,0.5224204215169974,0.011211234806007098,0.18753903023785667
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.2403741023030101,0.01089809518476317,0.06011450349116075
GE HealthCare,GEHC,73.15,84.0,0.1483253588516746,15,0.1381478653412923,0.3250212123436827,0.010388375494889994,0.084562226883454
