Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Biogen,BIIB,139.12,180.75,0.299238067855089,89,-0.0480724219993385,0.4429819474439231,1.3898355417035997e-17
Booking Holdings,BKNG,5710.74,5407.4,-0.0531174593835475,75,0.2835699318212641,0.332777827834742,0.0
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,0.51926169129774,0.4081675533803968,0.0
Cadence Design Systems,CDNS,347.57,351.67,0.0117961849411629,28,0.2931805965081924,0.3561141049713602,0.0
CDW Corporation,CDW,164.18,232.8,0.417955902058716,5,0.119570747811104,0.2812068155596218,0.0
Charter Communications,CHTR,267.98,404.17,0.5082095678781999,48,-0.0940720864519277,0.3576018323366687,2.1011767805080052e-17
Cintas,CTAS,216.11,228.5,0.0573319143029011,48,0.2238290926868087,0.2367703044977792,0.0
Cisco,CSCO,67.02,72.33,0.0792300805729633,75,0.1199069946818454,0.2273173853209673,0.02161045516434946
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.006380505673846764
Cognizant,CTSH,71.08,79.0,0.1114237478897017,37,0.0470525950156687,0.2573880008702495,1.8672639695974988e-17
Comcast,CMCSA,33.6,43.0,0.2797619047619046,48,-0.0155406054158864,0.261556242317171,1.3337380787466213e-17
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,0.6803966659715761,0.4949951103942768,0.012051051852314025
Copart,CPRT,47.68,35.5,-0.2554530201342282,4,0.1672777382764555,0.2606291658445022,4.1311336046176387e-17
CoStar Group,CSGP,88.36,97.0,0.0977818017202354,19,0.0669914135440245,0.3273968819307495,8.064938890559256e-17
Costco,COST,969.68,1062.5,0.0957223001402525,101,0.2315307982922127,0.226302549799403,0.008336774836367692
CrowdStrike,CRWD,414.06,433.94,0.0480123653576776,203,0.4035253186743454,0.5224204215169974,0.0020086036430287443
CSX Corporation,CSX,35.87,36.75,0.0245330359632005,65,0.0925522262301891,0.235658260882449,0.009639667074012212
Datadog,DDOG,129.15,149.0,0.1536972512582268,84,0.2427057632201638,0.5583887339240536,0.0
DexCom,DXCM,80.62,81.36,0.0091788638055072,41,0.0662604889578585,0.4706133626186048,0.0
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,0.3600116018102547,0.4598890754917062,0.0270228141108148
DoorDash,DASH,245.18,257.55,0.0504527286075535,83,0.2278971875640098,0.5861314529071546,0.0
Electronic Arts,EA,171.55,177.14,0.0325852521130864,55,0.06893234932669,0.2497263487070728,0.08850491382848033
Exelon,EXC,44.64,47.0,0.0528673835125448,15,0.1260891629105199,0.213199216928025,0.03471961599580485
Fastenal,FAST,49.14,69.33,0.4108669108669107,23,0.1786808111236893,0.2420361698851967,1.161252052910207e-17
Fortinet,FTNT,77.75,103.5,0.3311897106109325,69,0.3166189918850979,0.4324327440094794,1.7890638286863413e-17
GE HealthCare,GEHC,73.15,84.0,0.1483253588516746,15,0.1381478653412923,0.3250212123436827,0.01245476550723048
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,0.138171416598632,0.234586753540917,0.07068807469095481
GlobalFoundries,GFS,32.6,67.38,1.0668711656441716,12,0.04504166407721,0.4991858107821562,0.0
Honeywell,HON,217.42,247.0,0.136050041394536,37,0.0913265764216247,0.2190868984926939,2.1089024643616713e-17
Idexx Laboratories,IDXX,633.05,715.67,0.130511018087039,14,0.1674491281846015,0.3538844889660564,3.2103034230518494e-17
Intel,INTC,23.5,21.0,-0.1063829787234043,103,-0.0396432948968116,0.4396042232904947,6.977349559836326e-17
Intuit,INTU,697.76,820.0,0.1751891767943132,82,0.197570032723153,0.3450308537168295,0.0
Intuitive Surgical,ISRG,469.88,590.33,0.2563420447773901,68,0.1987303931234689,0.3297933866324,7.347618436978608e-18
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23,0.0558483115639386,0.1915602307511777,0.12283256246946896
KLA Corporation,KLAC,872.39,823.33,-0.0562363163264135,51,0.3765866752219468,0.4226522714457393,8.166161077143128e-18
Kraft Heinz,KHC,27.5,29.0,0.0545454545454544,32,-0.0197563272640714,0.2236230737148316,0.05982827757302453
Lam Research,LRCX,98.41,83.67,-0.1497815262676557,54,0.3101157767492344,0.4466628102544042,3.4725620954419845e-17
Linde plc,LIN,480.71,576.0,0.1982276216429865,33,0.1561185773285191,0.2171356930023678,0.0
Lululemon,LULU,198.18,430.0,1.1697446765566657,122,-0.0372325455122172,0.4036520115788591,9.981953108748954e-18
Marriott International,MAR,262.27,289.0,0.1019178708964045,32,0.2540533531745665,0.3086621243493818,0.0
Marvell Technology,MRVL,71.21,99.29,0.394326639516922,88,0.3094984947520245,0.5695586475852089,0.0
Mercado Libre,MELI,2337.44,2700.0,0.1551098637825998,29,0.2689666701140987,0.5080120080321028,8.73861271709871e-18
Meta Platforms,META,739.1,850.0,0.1500473548910836,235,0.3030337900801417,0.4396817373491122,1.4867453842988142e-17
Microchip Technology,MCHP,66.1,69.33,0.0488653555219364,39,0.1439560788809732,0.4334058560248996,3.908690330436732e-18
