Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Regeneron Pharmaceuticals,REGN,603.58,800.13,0.3256403459359156,0.0420779373707654,0.2918518789296913,0.22047005230139916
Marvell Technology,MRVL,58.37,103.36,0.7707726571869111,0.3301609104316066,0.5640358261736984,0.21991973728505637
Micron Technology,MU,80.42,123.77,0.5390450136781895,0.2241667063481924,0.468576136031223,0.1643455906652948
Biogen,BIIB,121.08,181.71,0.5007433102081269,-0.1079439640804925,0.4451951418501064,0.1596685574132609
Warner Bros. Discovery,WBD,8.37,13.19,0.5758661887694148,-0.0272227339117706,0.5467413557689457,0.10590235828133983
MongoDB Inc.,MDB,162.66,268.21,0.6488995450633221,0.2224746420325775,0.673492922882777,0.05991714509351412
ASML Holding,ASML,668.08,898.83,0.3453927673332535,0.2599268276129198,0.4153647751512699,0.02101459759983082
Nvidia,NVDA,113.82,163.12,0.4331400456861713,0.6830858616565554,0.5306953523606337,0.014616227750416481
Diamondback Energy,FANG,135.54,189.38,0.3972259111701344,0.3991688286014521,0.4877453033420245,0.013558390957165427
Trade Desk (The),TTD,55.5,85.64,0.5430630630630631,0.3331460793277173,0.6719655424401282,0.011473613111325363
GE HealthCare,GEHC,70.33,89.25,0.2690174889805203,0.1036007858569584,0.3297672931087503,0.008418636130462502
