Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Adobe Inc.,ADBE,353.43,500.0,0.4147072970602381,134,0.0104873864171776,0.3594309798852366,3.123421251400699e-17
Advanced Micro Devices,AMD,163.71,193.46,0.1817237798546209,164,0.2686827649765564,0.5066491633445783,0.0
Airbnb,ABNB,126.43,124.0,-0.0192201218065333,115,0.0931813339832151,0.483034447253591,6.574126435377347e-17
Alphabet Inc.,GOOGL,199.75,187.0,-0.0638297872340425,162,0.2400567760462923,0.3102960253712412,0.0
Alphabet Inc.,GOOG,200.62,199.0,-0.0080749676004386,70,0.2399281971095504,0.3090895550876713,0.0
Amazon,AMZN,221.95,255.63,0.1517458887136742,252,0.1279974095365226,0.3544636512363129,1.800215968087953e-17
American Electric Power,AEP,113.14,115.0,0.0164398090860879,33,0.0892674379719843,0.2002379695922515,0.12018890990509311
Amgen,AMGN,295.76,304.67,0.0301257776575603,56,0.0718324261912075,0.2348586176251611,0.02140170639415999
Analog Devices,ADI,246.95,236.33,-0.0430046568131199,57,0.206664839779273,0.3260759555674385,0.0
Apple Inc.,AAPL,224.9,225.0,0.0004446420631392,188,0.1619030014630503,0.2930919805666431,0.0
Applied Materials,AMAT,159.84,187.83,0.1751126126126125,92,0.2821845824258087,0.4337642492857813,4.180372709542256e-17
AppLovin,APP,418.76,458.63,0.0952096666348265,48,0.7339127108023863,0.781597541159132,0.0
Arm Holdings,ARM,133.28,200.0,0.5006002400960383,29,0.7100279666758353,0.7750234699176827,0.001858439786489996
ASML Holding,ASML,735.4,800.0,0.0878433505575198,9,0.2247788380674648,0.4141973004895733,0.0
AstraZeneca,AZN,80.46,97.0,0.2055679840914741,9,0.1003177747618886,0.2402474575133458,0.07591620151220256
Atlassian,TEAM,164.59,253.29,0.5389148793972902,57,0.1646507098639837,0.5681838385136229,4.2447802810075576e-18
Autodesk,ADSK,286.06,348.83,0.2194294903167166,79,0.0900622906601829,0.3499980117057826,2.450567503892491e-17
Automatic Data Processing,ADP,304.94,315.0,0.032990096412409,14,0.1809408107470055,0.2167076360579761,2.6973855193278058e-17
Axon Enterprise,AXON,763.51,839.43,0.099435501827088,16,0.5525697945110977,0.4660125299761131,0.0136467817946557
Baker Hughes,BKR,43.46,51.75,0.1907501150483201,37,0.2753607922568298,0.3682137601434655,0.026356180919824855
Biogen,BIIB,139.12,180.75,0.299238067855089,89,-0.0480724219993385,0.4429819474439231,1.4988656261558374e-17
Booking Holdings,BKNG,5710.74,5407.4,-0.0531174593835475,75,0.2835699318212641,0.332777827834742,1.60830211387874e-18
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,0.51926169129774,0.4081675533803968,4.435168273563813e-19
Cadence Design Systems,CDNS,347.57,351.67,0.0117961849411629,28,0.2931805965081924,0.3561141049713602,7.083343204882758e-17
CDW Corporation,CDW,164.18,232.8,0.417955902058716,5,0.119570747811104,0.2812068155596218,0.0
Charter Communications,CHTR,267.98,404.17,0.5082095678781999,48,-0.0940720864519277,0.3576018323366687,6.45193126774146e-18
Cintas,CTAS,216.11,228.5,0.0573319143029011,48,0.2238290926868087,0.2367703044977792,0.0
Cisco,CSCO,67.02,72.33,0.0792300805729633,75,0.1199069946818454,0.2273173853209673,0.018968463332315322
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.0009980229605213026
Cognizant,CTSH,71.08,79.0,0.1114237478897017,37,0.0470525950156687,0.2573880008702495,0.0
Comcast,CMCSA,33.6,43.0,0.2797619047619046,48,-0.0155406054158864,0.261556242317171,1.4420128271599264e-17
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,0.6803966659715761,0.4949951103942768,0.0011944176677913287
Copart,CPRT,47.68,35.5,-0.2554530201342282,4,0.1672777382764555,0.2606291658445022,0.0
CoStar Group,CSGP,88.36,97.0,0.0977818017202354,19,0.0669914135440245,0.3273968819307495,0.0
Costco,COST,969.68,1062.5,0.0957223001402525,101,0.2315307982922127,0.226302549799403,0.007080691496317997
CrowdStrike,CRWD,414.06,433.94,0.0480123653576776,203,0.4035253186743454,0.5224204215169974,2.7143979947207833e-05
CSX Corporation,CSX,35.87,36.75,0.0245330359632005,65,0.0925522262301891,0.235658260882449,0.0035939576867976956
Datadog,DDOG,129.15,149.0,0.1536972512582268,84,0.2427057632201638,0.5583887339240536,0.0
DexCom,DXCM,80.62,81.36,0.0091788638055072,41,0.0662604889578585,0.4706133626186048,0.0
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,0.3600116018102547,0.4598890754917062,0.01383250585966599
DoorDash,DASH,245.18,257.55,0.0504527286075535,83,0.2278971875640098,0.5861314529071546,2.2848923937244167e-17
Electronic Arts,EA,171.55,177.14,0.0325852521130864,55,0.06893234932669,0.2497263487070728,0.07817097920443332
Exelon,EXC,44.64,47.0,0.0528673835125448,15,0.1260891629105199,0.213199216928025,0.0
Fastenal,FAST,49.14,69.33,0.4108669108669107,23,0.1786808111236893,0.2420361698851967,2.692525911823493e-17
Fortinet,FTNT,77.75,103.5,0.3311897106109325,69,0.3166189918850979,0.4324327440094794,0.0
GE HealthCare,GEHC,73.15,84.0,0.1483253588516746,15,0.1381478653412923,0.3250212123436827,0.007032123840422229
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,0.138171416598632,0.234586753540917,0.049393278422284664
GlobalFoundries,GFS,32.6,67.38,1.0668711656441716,12,0.04504166407721,0.4991858107821562,0.0
Honeywell,HON,217.42,247.0,0.136050041394536,37,0.0913265764216247,0.2190868984926939,0.0
Idexx Laboratories,IDXX,633.05,715.67,0.130511018087039,14,0.1674491281846015,0.3538844889660564,0.0
Intel,INTC,23.5,21.0,-0.1063829787234043,103,-0.0396432948968116,0.4396042232904947,3.10308796083933e-17
Intuit,INTU,697.76,820.0,0.1751891767943132,82,0.197570032723153,0.3450308537168295,1.230344266956345e-17
Intuitive Surgical,ISRG,469.88,590.33,0.2563420447773901,68,0.1987303931234689,0.3297933866324,3.5432633059296765e-17
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23,0.0558483115639386,0.1915602307511777,0.11333242603657671
KLA Corporation,KLAC,872.39,823.33,-0.0562363163264135,51,0.3765866752219468,0.4226522714457393,4.9219520879968505e-17
Kraft Heinz,KHC,27.5,29.0,0.0545454545454544,32,-0.0197563272640714,0.2236230737148316,0.0483097069922452
