Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
PepsiCo,PEP,131.99,151.55,0.148193044927646,0.0431613268639729,0.1736720808527494,0.17627920899405405
Mondelez International,MDLZ,67.8,72.63,0.0712389380530973,0.1007967702267622,0.1862450996927006,0.13014090407502785
Keurig Dr Pepper,KDP,34.45,38.62,0.1210449927431058,0.0935764841406996,0.1918978559707443,0.11212672708508761
American Electric Power,AEP,107.44,106.91,-0.0049329858525688,0.1190300084418037,0.2058318122194127,0.07429064035526194
Xcel Energy,XEL,70.89,74.94,0.0571307659754549,0.087526050236891,0.2115057490382365,0.06132186287126887
Roper Technologies,ROP,557.59,624.66,0.1202855144460983,0.1227681626573311,0.2131486381172857,0.05780725784114177
Exelon,EXC,46.0,47.53,0.0332608695652174,0.1850421395325632,0.2236324953760575,0.037713732681914115
O'Reilly Automotive,ORLY,1370.16,1460.44,0.065890115023063,0.2821126628246291,0.2249044398205564,0.0355318862304231
Costco,COST,1014.89,1052.04,0.036604952260836,0.282768108642816,0.2254031644190397,0.034690509461971275
Linde plc,LIN,452.49,491.57,0.0863665495370062,0.21716612929593,0.2256342078274421,0.03430339154416555
Kraft Heinz,KHC,29.1,31.72,0.0900343642611682,0.0674982858129185,0.2260816349569067,0.03355848338462455
Automatic Data Processing,ADP,303.96,309.08,0.0168443216212659,0.1915376303037632,0.2275371951773256,0.03117810219522348
Verisk Analytics,VRSK,294.75,294.02,-0.0024766751484309,0.1582355872000734,0.2278427042668283,0.030686714089554295
Gilead Sciences,GILD,102.81,115.02,0.1187627662678727,0.1140138447358708,0.2324730717096051,0.023575627869512974
Honeywell,HON,214.25,233.86,0.0915285880980163,0.1398415688722088,0.2328092266617148,0.023083173641855467
Amgen,AMGN,290.92,313.54,0.0777533342499656,0.0879225431971203,0.234629378151423,0.020470293358189253
Paychex,PAYX,146.41,144.96,-0.0099036951027934,0.2138398593725016,0.2355050440754254,0.019244851103362774
Cisco,CSCO,59.32,67.29,0.1343560350640593,0.1310184489954682,0.2368771485863209,0.017364869525806532
Monster Beverage,MNST,59.09,58.06,-0.0174310374005753,0.1618061016397807,0.2423884259257689,0.010283048312297444
Fastenal,FAST,82.42,75.28,-0.0866294588692064,0.2004241392999742,0.2433698810047624,0.009096584156135944
CSX Corporation,CSX,28.47,32.81,0.1524411661397964,0.0981756575470762,0.2433797551504182,0.009084756119866602
AstraZeneca,AZN,72.09,84.16,0.1674296018865306,0.110547017607668,0.2439451876215862,0.008411082483008583
T-Mobile US,TMUS,248.3,269.25,0.0843737414418042,0.231232311648994,0.2446621364660067,0.007566964795642955
Electronic Arts,EA,154.74,149.98,-0.030761276980742,0.0927459600388313,0.2493903940371371,0.0021893278246034385
