Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Adobe Inc.,ADBE,381.06,489.29,0.2840235133574766,0.0750054384258262,0.3616676867817474,0.009399147843469832,0.0017251723188462574
Advanced Micro Devices,AMD,100.59,133.98,0.3319415448851772,0.2609525592612363,0.5165407372119373,0.006806868184439075,0.001786158254296941
Airbnb,ABNB,124.89,139.2,0.1145808311313956,0.0811988524603542,0.4925192317001072,0.007112384460485802,0.001779336053608207
Alphabet Inc.,GOOGL,164.21,201.75,0.2286097070823944,0.2230548638940211,0.3085770234255294,0.010795484278041459,0.00168961012275235
Alphabet Inc.,GOOG,166.05,200.79,0.2092140921409213,0.2247274368804348,0.307743483070084,0.010820673693658854,0.001688959804111592
Amazon,AMZN,186.35,239.33,0.2843037295411861,0.1528144211058007,0.3556553168454711,0.00953937110939527,0.0017217046065973755
American Electric Power,AEP,107.44,106.91,-0.0049329858525688,0.1190300084418037,0.2058318122194127,0.015062770656197004,0.0015694161271973819
Amgen,AMGN,290.92,313.54,0.0777533342499656,0.0879225431971203,0.234629378151423,0.013577466631019138,0.0016137631316492668
Analog Devices,ADI,197.72,240.94,0.2185919482095892,0.1943493308476666,0.3292121259442075,0.010207108461591731,0.001704776730730152
Ansys,ANSS,308.6,352.86,0.1434219053791314,0.0947777487336349,0.3237724166691617,0.010355939123469266,0.0017009478218198498
Apple Inc.,AAPL,198.89,232.17,0.1673286741414852,0.2435620227266065,0.2992411876558241,0.011084454079879463,0.0016821440724127076
Applied Materials,AMAT,154.61,201.77,0.3050255481534183,0.3223405221144979,0.4322186168336354,0.008011878118608411,0.001758362017975358
AppLovin,APP,301.84,432.9,0.4342035515504903,0.6829212711020861,0.793385017060357,0.004550818560935461,0.001835661756453257
Arm Holdings,ARM,121.95,147.07,0.2059860598605984,0.7155098836457938,0.8169801735956645,0.004426956729205553,0.0018389033436000287
ASML Holding,ASML,668.08,898.83,0.3453927673332535,0.2599268276129198,0.4153647751512699,0.008304705221277688,0.0017513564722120359
AstraZeneca,AZN,72.09,84.16,0.1674296018865306,0.110547017607668,0.2439451876215862,0.013155538706473954,0.0016260254168173215
Atlassian,TEAM,228.31,296.29,0.2977530550567211,0.1914321619894577,0.568033679360052,0.006233985323814689,0.0017992897300222485
Autodesk,ADSK,280.07,320.15,0.1431070803727638,0.1467011010876507,0.3551763243020358,0.009550714835083794,0.001721422472570402
Automatic Data Processing,ADP,303.96,309.08,0.0168443216212659,0.1915376303037632,0.2275371951773256,0.013916336705722862,0.0016037788061430223
Axon Enterprise,AXON,621.4,665.1,0.0703250724171227,0.5458836419292487,0.4836028834886946,0.007232837640980672,0.0017766339743512808
Baker Hughes,BKR,36.45,47.31,0.2979423868312756,0.2961392502568214,0.3883752927562178,0.008821438309253773,0.001739099571297716
Biogen,BIIB,121.08,181.71,0.5007433102081269,-0.1079439640804925,0.4451951418501064,0.007800134687768072,0.0017634334210524948
Booking Holdings,BKNG,5099.28,5457.3,0.0702099119875747,0.3177716794916381,0.3464973788150847,0.009760831051536445,0.0017161561903060462
Broadcom,AVGO,200.72,238.54,0.1884216819449979,0.5114816816453253,0.4068514716841394,0.008461004076881015,0.0017476401940341919
Cadence Design Systems,CDNS,308.83,319.32,0.0339669073600363,0.3277728950910908,0.3522262526962669,0.009621153852196149,0.0017196653717040844
CDW Corporation,CDW,165.75,204.7,0.2349924585218701,0.1403314500480028,0.2898815434438364,0.011389933185354889,0.0016742206374483846
Charter Communications,CHTR,386.33,411.92,0.0662387078404473,0.0099372641346137,0.3435165953778731,0.009835062066608696,0.0017142790332525567
Cintas,CTAS,211.68,209.54,-0.0101095993953137,0.3146017985348175,0.2557654849038607,0.012654346998211663,0.0016402493490576895
Cisco,CSCO,59.32,67.29,0.1343560350640593,0.1310184489954682,0.2368771485863209,0.013473337082425443,0.0016168093400283758
Coca-Cola Europacific Partners,CCEP,,,,0.2398619364308256,0.2691939075554861,0.012126454943148474,0.0016547443588801937
Cognizant,CTSH,72.58,85.64,0.1799393772389088,0.1071828697945114,0.2678521679164764,0.012177345855266145,0.001653369045825148
Comcast,CMCSA,34.45,40.5,0.1756168359941943,0.0549605198384397,0.2634817602245387,0.012345910503705856,0.0016487806386339236
Constellation Energy,CEG,248.27,280.74,0.1307850324243766,0.7081575925297123,0.5069307894784064,0.00692586337571226,0.0017834941368663137
Copart,CPRT,61.03,61.89,0.0140914304440438,0.2533989361416194,0.2608314838961234,0.012450260773767992,0.0016459140971429218
CoStar Group,CSGP,77.1,87.7,0.1374837872892349,0.0879227979053139,0.3379824584329364,0.009975817564471828,0.0017106999290490198
