Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
PepsiCo,PEP,131.99,151.55,0.148193044927646,0.0431613268639729,0.1736720808527494,0.017295845223207727,0.0015189365473763038
Mondelez International,MDLZ,67.8,72.63,0.0712389380530973,0.1007967702267622,0.1862450996927006,0.01644706907349086,0.0015497520325117064
Keurig Dr Pepper,KDP,34.45,38.62,0.1210449927431058,0.0935764841406996,0.1918978559707443,0.016083342893494886,0.0015617859246855423
American Electric Power,AEP,107.44,106.91,-0.0049329858525688,0.1190300084418037,0.2058318122194127,0.015241708820676863,0.0015882191360136614
Xcel Energy,XEL,70.89,74.94,0.0571307659754549,0.087526050236891,0.2115057490382365,0.014921648793270409,0.0015979865098213594
Roper Technologies,ROP,557.59,624.66,0.1202855144460983,0.1227681626573311,0.2131486381172857,0.014831354040783857,0.001600726261255394
Exelon,EXC,46.0,47.53,0.0332608695652174,0.1850421395325632,0.2236324953760575,0.014279124532335836,0.0016173690447059367
O'Reilly Automotive,ORLY,1370.16,1460.44,0.065890115023063,0.2821126628246291,0.2249044398205564,0.014214825302690377,0.0016192948971067709
Costco,COST,1014.89,1052.04,0.036604952260836,0.282768108642816,0.2254031644190397,0.014189766459719703,0.001620044722695913
Linde plc,LIN,452.49,491.57,0.0863665495370062,0.21716612929593,0.2256342078274421,0.014178186412191101,0.001620391087118372
Kraft Heinz,KHC,29.1,31.72,0.0900343642611682,0.0674982858129185,0.2260816349569067,0.01415581290303182,0.001621060030521066
Automatic Data Processing,ADP,303.96,309.08,0.0168443216212659,0.1915376303037632,0.2275371951773256,0.014083497240924975,0.0016232198168474896
Verisk Analytics,VRSK,294.75,294.02,-0.0024766751484309,0.1582355872000734,0.2278427042668283,0.0140684092402772,0.0016236699649762089
Gilead Sciences,GILD,102.81,115.02,0.1187627662678727,0.1140138447358708,0.2324730717096051,0.013843479629055567,0.0016303592722853291
Honeywell,HON,214.25,233.86,0.0915285880980163,0.1398415688722088,0.2328092266617148,0.013827418469364859,0.0016308352505612256
Amgen,AMGN,290.92,313.54,0.0777533342499656,0.0879225431971203,0.234629378151423,0.013741067709569703,0.0016333900319861966
Paychex,PAYX,146.41,144.96,-0.0099036951027934,0.2138398593725016,0.2355050440754254,0.013699889954879193,0.001634605666868316
Cisco,CSCO,59.32,67.29,0.1343560350640593,0.1310184489954682,0.2368771485863209,0.013635837101532804,0.0016364929875946298
Monster Beverage,MNST,59.09,58.06,-0.0174310374005753,0.1618061016397807,0.2423884259257689,0.013384168320189455,0.00164386071400607
Fastenal,FAST,82.42,75.28,-0.0866294588692064,0.2004241392999742,0.2433698810047624,0.013340265765800543,0.0016451373686563375
CSX Corporation,CSX,28.47,32.81,0.1524411661397964,0.0981756575470762,0.2433797551504182,0.01333982545445232,0.0016451501598672125
AstraZeneca,AZN,72.09,84.16,0.1674296018865306,0.110547017607668,0.2439451876215862,0.013314656374080516,0.0016458807911408952
T-Mobile US,TMUS,248.3,269.25,0.0843737414418042,0.231232311648994,0.2446621364660067,0.013282870414837843,0.0016468021711442092
Electronic Arts,EA,154.74,149.98,-0.030761276980742,0.0927459600388313,0.2493903940371371,0.013076740522382594,0.0016527390972122954
Cintas,CTAS,211.68,209.54,-0.0101095993953137,0.3146017985348175,0.2557654849038607,0.012808060060209629,0.0016603695797845382
Paccar,PCAR,90.29,102.16,0.1314652785469043,0.2039097728469981,0.2588981704706049,0.012679750355183247,0.0016639673638370435
Copart,CPRT,61.03,61.89,0.0140914304440438,0.2533989361416194,0.2608314838961234,0.01260174724089465,0.00166613956217247
Comcast,CMCSA,34.45,40.5,0.1756168359941943,0.0549605198384397,0.2634817602245387,0.012496252578007128,0.0016690592583536868
Cognizant,CTSH,72.58,85.64,0.1799393772389088,0.1071828697945114,0.2678521679164764,0.012325830787238248,0.0016737325702466973
Microsoft,MSFT,436.17,505.93,0.1599376389939701,0.2181088578648148,0.271704570205175,0.012179169680915739,0.0016777130315183387
CDW Corporation,CDW,165.75,204.7,0.2349924585218701,0.1403314500480028,0.2898815434438364,0.011529606249041474,0.0016949657323893045
Regeneron Pharmaceuticals,REGN,603.58,800.13,0.3256403459359156,0.0420779373707654,0.2918518789296913,0.011463188939365949,0.0016967044491880917
Vertex Pharmaceuticals,VRTX,500.19,501.36,0.0023391111377677,0.1461550047489125,0.2924219302039248,0.01144411250902912,0.0016972032791373285
Texas Instruments,TXN,162.42,177.41,0.0922915897057012,0.1422428819642087,0.2973830835008592,0.011280684278379772,0.0017014682664523112
Apple Inc.,AAPL,198.89,232.17,0.1673286741414852,0.2435620227266065,0.2992411876558241,0.011220652857220901,0.0017030318423490122
Alphabet Inc.,GOOG,166.05,200.79,0.2092140921409213,0.2247274368804348,0.307743483070084,0.01095385156802024,0.0017099693709371892
Alphabet Inc.,GOOGL,164.21,201.75,0.2286097070823944,0.2230548638940211,0.3085770234255294,0.010928372788025928,0.0017106312772793108
Starbucks,SBUX,81.66,92.08,0.1276022532451628,0.0855300868244311,0.3114735734942102,0.010840745273121946,0.0017129072628266442
Ansys,ANSS,308.6,352.86,0.1434219053791314,0.0947777487336349,0.3237724166691617,0.010483757645295126,0.0017221706167466326
Ross Stores,ROST,141.47,154.83,0.094436983105959,0.153997695528539,0.3243125367462809,0.010468615033280292,0.0017225629858369847
Analog Devices,ADI,197.72,240.94,0.2185919482095892,0.1943493308476666,0.3292121259442075,0.010333202974930528,0.001726067731602681
GE HealthCare,GEHC,70.33,89.25,0.2690174889805203,0.1036007858569584,0.3297672931087503,0.010318077330293593,0.001726458668009283
Take-Two Interactive,TTWO,233.32,222.15,-0.0478741642379564,0.1732974112049509,0.3320693803041791,0.010255818585417648,0.0017280663470744884
Intuitive Surgical,ISRG,531.82,576.03,0.08312963032605,0.2745435737401205,0.3349048448715904,0.010180141070244871,0.0017300168588284207
Idexx Laboratories,IDXX,475.07,496.54,0.0451933399288526,0.1515511712487264,0.334925712852101,0.010179588163589194,0.0017300310922909877
CoStar Group,CSGP,77.1,87.7,0.1374837872892349,0.0879227979053139,0.3379824584329364,0.010099227252333892,0.0017320969265463113
Old Dominion Freight Line,ODFL,156.23,167.01,0.0690008321065096,0.2055034470014833,0.3380729663429589,0.010096866686437615,0.0017321575152623799
Marriott International,MAR,247.27,271.87,0.0994863913940227,0.2787931604395336,0.3390584083099285,0.010071234407783288,0.0017328150451938994
Charter Communications,CHTR,386.33,411.92,0.0662387078404473,0.0099372641346137,0.3435165953778731,0.009956834923219977,0.0017357404955108166
Intuit,INTU,632.18,697.18,0.1028188174254167,0.2268645222896137,0.3445410999863637,0.009930900504789026,0.0017364013980258875
Booking Holdings,BKNG,5099.28,5457.3,0.0702099119875747,0.3177716794916381,0.3464973788150847,0.009881739846423024,0.0017376516173019164
Synopsys,SNPS,477.41,595.21,0.2467480781718021,0.280948195850089,0.3515556222579183,0.009756775378157086,0.0017408130913102399
Cadence Design Systems,CDNS,308.83,319.32,0.0339669073600363,0.3277728950910908,0.3522262526962669,0.009740435182285272,0.0017412246012863085
Autodesk,ADSK,280.07,320.15,0.1431070803727638,0.1467011010876507,0.3551763243020358,0.009669174616974528,0.0017430138058401538
Amazon,AMZN,186.35,239.33,0.2843037295411861,0.1528144211058007,0.3556553168454711,0.009657698530806644,0.0017433011041198144
Adobe Inc.,ADBE,381.06,489.29,0.2840235133574766,0.0750054384258262,0.3616676867817474,0.009515837821762248,0.0017468325087358811
"Workday, Inc.",WDAY,248.34,298.61,0.2024240959974228,0.1596946975336513,0.3829539873318137,0.009044277167113519,0.0017583141280862321
Baker Hughes,BKR,36.45,47.31,0.2979423868312756,0.2961392502568214,0.3883752927562178,0.0089313484536464,0.001761018087338848
Lululemon Athletica,LULU,278.55,332.59,0.1940046670256685,0.1142412613764293,0.3943803094747752,0.00880946397125053,0.0017639266759193971
Qualcomm,QCOM,139.44,176.86,0.2683591508892715,0.2151542503249413,0.3963337212947453,0.00877052425113801,0.0017648548088175008
NXP Semiconductors,NXPI,184.31,235.03,0.2751885410449786,0.2140551286757161,0.4060709234327005,0.008581448386052772,0.0017693626696226874
Palo Alto Networks,PANW,188.13,211.2,0.1226279700207302,0.4190501644539923,0.4064794799026919,0.008573694041953815,0.0017695477755158154
Broadcom,AVGO,200.72,238.54,0.1884216819449979,0.5114816816453253,0.4068514716841394,0.008566645967032629,0.0017697160459726137
ASML Holding,ASML,668.08,898.83,0.3453927673332535,0.2599268276129198,0.4153647751512699,0.008408485402417936,0.0017734997999894204
Fortinet,FTNT,108.69,113.01,0.0397460667954734,0.3676618419264902,0.4237998368544752,0.008257496582986005,0.001777127595516873
KLA Corporation,KLAC,693.29,786.44,0.1343593589983991,0.3879058804638029,0.424053599856029,0.008253039019134378,0.001777234913629991
PayPal,PYPL,68.54,82.32,0.2010504814706739,-0.0620713942289894,0.4245280207521987,0.008244718419857276,0.0017774352650420382
Applied Materials,AMAT,154.61,201.77,0.3050255481534183,0.3223405221144979,0.4322186168336354,0.008112154102312521,0.0017806309382393467
Intel,INTC,20.27,21.58,0.0646275283670447,-0.1003752426630389,0.4324915488739663,0.008107528058433984,0.0017807425262883695
Microchip Technology,MCHP,47.78,58.82,0.2310590205106739,0.1306357558049673,0.4326732362801336,0.008104451488439626,0.0017808167398253461
Meta Platforms,META,599.27,703.89,0.1745790712032973,0.304582647854924,0.441005365974191,0.007965817905822282,0.001784158782087007
Biogen,BIIB,121.08,181.71,0.5007433102081269,-0.1079439640804925,0.4451951418501064,0.007897866527850817,0.0017857926756867032
"Netflix, Inc.",NFLX,1134.06,1096.58,-0.0330493977390967,0.2956296742389674,0.4462410244472884,0.007881081504872321,0.0017861955297762493
Lam Research,LRCX,73.91,89.77,0.2145853064537952,0.3243210840310823,0.4518529949544193,0.007792195858609394,0.0017883222419340632
Micron Technology,MU,80.42,123.77,0.5390450136781895,0.2241667063481924,0.468576136031223,0.007538490443217288,0.0017943025297372916
DexCom,DXCM,80.27,97.68,0.2168929861716708,0.0757100174026072,0.4753918178238085,0.007439598683649715,0.0017965880721465
Axon Enterprise,AXON,621.4,665.1,0.0703250724171227,0.5458836419292487,0.4836028834886946,0.007323733716836694,0.0017992332091942116
Diamondback Energy,FANG,135.54,189.38,0.3972259111701344,0.3991688286014521,0.4877453033420245,0.0072665993165239515,0.0018005264176265748
Airbnb,ABNB,124.89,139.2,0.1145808311313956,0.0811988524603542,0.4925192317001072,0.007201826319350715,0.0018019857710430602
Constellation Energy,CEG,248.27,280.74,0.1307850324243766,0.7081575925297123,0.5069307894784064,0.00701304908642232,0.0018062217000444746
GlobalFoundries,GFS,35.88,45.11,0.257246376811594,0.0457636900686284,0.507235827415194,0.007009160510588238,0.0018063090261553137
MercadoLibre,MELI,2246.54,2474.37,0.1014137295574528,0.3443275299468022,0.5121938463819656,0.006946563464066201,0.0018077170565809783
Advanced Micro Devices,AMD,100.59,133.98,0.3319415448851772,0.2609525592612363,0.5165407372119373,0.006892610486677282,0.001808935277011366
Onsemi,ON,39.96,54.75,0.3701201201201201,0.3114312776231288,0.5196712292956842,0.006854282728670222,0.0018098040268299483
Nvidia,NVDA,113.82,163.12,0.4331400456861713,0.6830858616565554,0.5306953523606337,0.006722721219378871,0.00181281100109768
CrowdStrike,CRWD,443.47,411.06,-0.0730827338940628,0.4969277057799037,0.5318697928341571,0.006709010098520922,0.0018131266717248671
Warner Bros. Discovery,WBD,8.37,13.19,0.5758661887694148,-0.0272227339117706,0.5467413557689457,0.00654019253088723,0.00181704014941926
