Date,Open,High,Low,Close,Volume,Daily_Return
2020-12-10,146.0,165.0,141.25,144.71,70447500,
2020-12-11,146.55,151.5,135.1,139.25,26980800,-0.03773063368115548
2020-12-14,135.0,135.3,125.16,130.0,16966100,-0.06642728904847395
2020-12-15,126.69,127.6,121.5,124.8,10914400,-0.040000000000000036
2020-12-16,125.83,142.0,124.91,137.99,20409600,0.10568910256410269
2020-12-17,143.0,152.45,142.67,147.05,15054700,0.0656569316617146
2020-12-18,150.45,159.0,150.3,157.3,15954200,0.069704182250935
2020-12-21,155.31,172.0,145.11,163.02,17788100,0.036363636363636376
2020-12-22,170.0,174.97,161.05,163.19,9872600,0.0010428168322904607
2020-12-23,162.81,168.25,155.5,158.01,5852500,-0.03174214106256512
2020-12-24,159.16,162.79,154.11,154.84,3621400,-0.020062021391051066
2020-12-28,158.6,163.64,147.52,149.0,6229200,-0.03771635236373028
2020-12-29,150.0,151.65,143.12,150.0,5402300,0.006711409395973256
2020-12-30,151.34,152.81,145.6,148.43,3462400,-0.010466666666666624
2020-12-31,146.9,147.89,144.51,146.8,2795800,-0.010981607491746925
2021-01-04,150.99,151.01,137.0,139.15,6409900,-0.05211171662125347
2021-01-05,138.28,149.0,137.25,148.3,5974200,0.06575637800934242
2021-01-06,145.75,148.35,141.11,142.77,4213900,-0.03728927848954822
2021-01-07,146.37,154.42,145.26,151.27,4482800,0.059536317153463525
2021-01-08,153.45,155.54,147.25,149.77,4615600,-0.009916044159450021
2021-01-11,147.99,150.5,144.02,148.13,2801900,-0.010950123522734945
2021-01-12,148.08,163.88,143.61,160.8,8123600,0.08553297778977931
2021-01-13,160.81,178.62,159.35,169.99,12529700,0.05715174129353229
2021-01-14,175.54,187.42,174.98,180.5,9926500,0.06182716630390028
2021-01-15,184.58,185.99,164.86,169.27,8575700,-0.0622160664819944
2021-01-19,173.0,178.6,166.6,173.69,4685400,0.02611212855201739
2021-01-20,176.01,176.31,161.0,161.83,8517400,-0.06828257239910174
2021-01-21,164.99,183.47,155.33,180.4,17618400,0.1147500463449298
2021-01-22,178.09,185.31,175.19,181.87,7136800,0.008148558758314772
2021-01-25,186.05,192.47,170.03,177.53,7472900,-0.02386319898828837
2021-01-26,180.0,193.0,177.3,192.74,6460900,0.08567566045175479
2021-01-27,187.64,216.0,185.5,201.25,11019800,0.04415274463007157
