Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,478.14,480.02,469.52,476.3,1840607,
2020-08-25,476.67,484.65,474.425,484.43,3967365,0.017069074112953997
2020-08-26,496.95,533.6979,492.23,528.49,7430346,0.09095225316351185
2020-08-27,519.01,523.3238,504.46,510.32,3630529,-0.03438097220382608
2020-08-28,512.33,518.797,510.94,516.44,1926261,0.011992475309609674
2020-08-31,513.86,516.73,507.77,513.39,2346705,-0.005905816745411019
2020-09-01,515.0,528.536,514.48,527.95,2422061,0.028360505658466373
2020-09-02,536.25,536.88,521.41,533.8,2508538,0.011080594753290818
2020-09-03,526.035,527.63,493.42,507.8,5837638,-0.04870738104158856
2020-09-04,504.65,511.35,471.71,491.94,3900326,-0.03123276880661685
2020-09-08,471.8946,481.48,461.18,462.13,4501294,-0.06059682075049799
2020-09-09,473.905,483.49,462.48,479.46,3312148,0.037500270486659604
2020-09-10,491.15,501.85,473.5001,476.26,4248135,-0.006674175113669523
2020-09-11,487.08,489.41,464.48,471.35,4414226,-0.010309494813757092
2020-09-14,484.99,490.44,476.87,485.91,4463826,0.030889996817651477
2020-09-15,493.74,499.6899,491.49,497.67,5682447,0.02420201271840461
2020-09-16,505.5,505.5,475.5,476.0,8472420,-0.04354290996041554
2020-09-17,464.4422,475.17,460.5,474.3,4560776,-0.0035714285714285587
2020-09-18,477.395,478.34,452.52,467.55,7182302,-0.014231499051233443
2020-09-21,460.31,475.86,456.725,475.64,3913745,0.0173029622500267
2020-09-22,479.31,487.2,469.56,486.78,2629133,0.023421074762425276
2020-09-23,486.88,488.0,468.2301,470.39,2671337,-0.033670241176712246
2020-09-24,466.93,471.425,460.27,467.67,2838781,-0.005782435851102163
2020-09-25,469.23,481.58,466.01,479.78,2541114,0.02589432719652729
2020-09-28,487.97,489.39,481.18,488.51,2844778,0.01819583975989003
2020-09-29,489.94,493.45,484.17,489.33,2043887,0.0016785736218296599
2020-09-30,488.13,497.24,486.22,490.43,3508159,0.002247971716428543
2020-10-01,497.4252,501.5,495.76,499.51,2264603,0.0185143649450481
2020-10-02,487.99,496.78,478.64,478.99,2780946,-0.04108025865348042
2020-10-05,483.25,486.69,478.99,486.47,1984130,0.015616192404851903
2020-10-06,485.0,491.51,477.5,478.98,2041545,-0.015396632885892214
2020-10-07,484.35,493.98,483.39,493.15,2025769,0.029583698693055993
2020-10-08,499.05,499.489,487.56,490.84,1590732,-0.0046841731724627245
2020-10-09,491.77,502.17,491.176,502.16,1851780,0.023062505093309538
2020-10-12,508.26,516.0,499.54,510.89,3149650,0.01738489724390635
2020-10-13,512.19,519.6,511.9001,514.31,2438132,0.006694200317093557
2020-10-14,514.34,516.95,501.6,506.31,2033159,-0.015554821022340515
2020-10-15,499.26,502.5,491.85,501.15,2043107,-0.010191384724773433
2020-10-16,504.0,510.34,500.7,502.82,2441382,0.0033323356280554606
2020-10-19,507.75,507.75,493.195,495.2,1931403,-0.015154528459488503
2020-10-20,495.25,500.165,491.91,494.58,1454449,-0.0012520193861066398
2020-10-21,492.05,499.81,490.57,495.96,1369735,0.0027902462695621466
2020-10-22,496.72,496.86,479.4,483.6,2615048,-0.024921364626179443
2020-10-23,486.41,488.51,479.51,488.5,1899599,0.010132340777502025
2020-10-26,480.8835,488.78,470.13,475.2,2337431,-0.027226202661207788
2020-10-27,479.78,481.89,473.47,478.56,1896459,0.007070707070707005
2020-10-28,469.165,470.97,455.88,456.97,2677304,-0.04511451019725843
2020-10-29,459.32,464.73,457.28,461.11,2125281,0.009059675689870206
2020-10-30,458.32,459.5,442.51,447.1,3128709,-0.0303832057426644
2020-11-02,451.0,456.185,438.94,444.94,2479005,-0.004831133974502411
2020-11-03,448.99,457.844,445.67,454.02,1758640,0.020407245920798234
2020-11-04,477.93,494.94,474.47,487.23,4499341,0.07314655742037801
2020-11-05,499.27,502.53,489.8,496.47,2400994,0.018964349485869114
2020-11-06,494.95,498.72,483.0,494.63,1956305,-0.0037061655286322326
2020-11-09,494.6963,499.41,470.76,471.14,3625298,-0.04749004306249116
2020-11-10,466.72,468.01,446.0,452.0,4920340,-0.04062486734304027
2020-11-11,458.49,470.12,457.5,467.75,2634159,0.03484513274336276
2020-11-12,473.49,474.933,461.15,462.58,2115319,-0.011052912880812449
2020-11-13,467.45,470.6,459.0,469.34,2966003,0.014613688443080086
2020-11-16,460.43,469.53,458.2501,460.95,2522187,-0.017876166531725413
2020-11-17,461.66,469.9099,460.0,467.95,2407597,0.01518602885345488
2020-11-18,466.71,467.9,459.26,459.47,2063159,-0.018121594187413104
2020-11-19,460.0,471.04,459.26,466.41,3132704,0.015104359370579079
2020-11-20,465.16,470.0,462.36,462.92,1851107,-0.007482686906369995
2020-11-23,464.6334,467.0,456.17,460.61,2371433,-0.004990063077853657
2020-11-24,461.41,464.49,456.6778,462.7,2588241,0.00453746119276599
2020-11-25,466.29,472.525,464.845,470.08,2629324,0.015949859520207443
2020-11-27,476.9,482.405,474.86,477.03,1815490,0.014784717494894517
2020-11-30,480.0,480.86,469.2,478.47,2786955,0.0030186780705616645
2020-12-01,482.01,482.01,471.6328,479.15,2533070,0.0014211967312474094
2020-12-02,475.67,481.32,470.12,481.26,2107080,0.004403631430658583
2020-12-03,482.21,492.81,481.5,484.28,3062675,0.006275194281677221
2020-12-04,485.67,491.3899,484.3601,486.0,2749793,0.003551664326422843
2020-12-07,487.0,499.29,487.0,492.25,3441683,0.012860082304526843
2020-12-08,492.29,496.04,486.2001,495.28,2175673,0.006155408836973075
2020-12-09,496.03,497.0,479.26,483.74,3444321,-0.023299951542561703
2020-12-10,483.74,488.29,470.95,476.87,3922009,-0.014201843965766736
2020-12-11,475.9752,478.89,468.82,475.91,3561554,-0.0020131272673894474
2020-12-14,475.61,488.41,475.5,486.42,3945198,0.022084007480405843
2020-12-15,489.05,489.5,480.53,482.64,2559319,-0.007771062045146215
2020-12-16,485.0,491.5,484.11,489.9,2555596,0.015042267528592612
2020-12-17,493.0,496.99,490.63,495.36,2178354,0.011145131659522356
2020-12-18,497.61,504.07,493.57,502.95,4667387,0.015322189922480467
2020-12-21,498.05,502.0,491.5,498.39,2412884,-0.009066507605129726
2020-12-22,498.36,506.92,495.83,504.17,1701985,0.011597343445895802
2020-12-23,505.13,505.46,496.59,496.91,1428583,-0.01439990479401787
2020-12-24,499.16,503.01,497.28,499.86,573882,0.0059366887363909715
2020-12-28,505.61,506.04,496.815,498.95,1515441,-0.0018205097427279604
2020-12-29,501.165,505.35,499.74,502.11,1434200,0.006333299929852654
2020-12-30,503.05,504.37,496.3275,497.45,1529878,-0.009280834876819855
2020-12-31,497.99,500.66,494.89,500.12,1462236,0.0053673736053874155
2021-01-04,500.3,500.79,476.28,485.34,3612949,-0.029552907302247466
2021-01-05,485.88,486.08,479.195,485.69,2010099,0.0007211439403305153
2021-01-06,474.0984,475.8666,466.0,466.31,4156589,-0.039901995099755005
2021-01-07,471.0,479.64,468.25,477.74,2901232,0.0245115910016942
2021-01-08,480.0,485.54,477.21,485.1,2266132,0.015405869301293729
2021-01-11,481.99,482.59,471.3,474.24,2383254,-0.02238713667285097
2021-01-12,474.41,475.0,464.0,471.65,2964880,-0.0054613697705803155
2021-01-13,472.0,477.85,469.3,472.05,2105915,0.0008480865048234865
2021-01-14,472.41,473.55,462.2,463.27,3508273,-0.018599724605444345
2021-01-15,462.5,467.88,457.49,458.08,3200352,-0.011202970190169914
2021-01-19,461.17,461.5899,453.34,456.5,4419205,-0.0034491791826755103
2021-01-20,462.73,472.385,458.77,469.73,3858988,0.028981380065717488
2021-01-21,470.26,474.69,466.1,472.02,2771772,0.0048751410384688665
2021-01-22,472.5,476.35,470.61,472.44,2532174,0.0008897928053896997
2021-01-25,474.51,477.7,463.98,473.44,2697405,0.002116670900008444
2021-01-26,473.73,477.22,467.76,476.28,2363124,0.005998648191956724
2021-01-27,470.99,473.67,455.07,460.0,3581253,-0.03418157386411347
2021-01-28,459.07,475.02,459.07,465.67,3000726,0.01232608695652182
2021-01-29,462.17,465.0,455.11,458.77,3061106,-0.014817359932999818
2021-02-01,462.28,474.8,459.82,470.0,2554774,0.02447849685027359
2021-02-02,473.65,487.37,472.55,484.93,3022025,0.031765957446808546
2021-02-03,487.09,488.85,479.17,481.92,2146948,-0.006207081434433825
2021-02-04,484.2196,489.88,481.92,489.38,2005114,0.015479747675962718
