Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,138.63,140.72,137.63,140.66,1387605,
2020-08-25,141.08,142.85,140.16,141.06,1917300,0.002843736669984498
2020-08-26,141.02,141.87,139.07,139.61,1804100,-0.010279313767191156
2020-08-27,141.49,142.46,140.03,141.01,1738123,0.010027934961678753
2020-08-28,140.94,141.44,139.38,141.34,1079512,0.002340259556059987
2020-08-31,140.81,140.96,138.36,139.09,2893853,-0.015919060421678233
2020-09-01,138.79,138.87,137.35,138.53,1615717,-0.004026170105686955
2020-09-02,138.18,143.05,137.5,142.48,2220000,0.02851367934743365
2020-09-03,142.93,144.25,137.72,139.14,2033442,-0.02344188658057278
2020-09-04,139.22,141.73,137.5,138.53,2924335,-0.0043840735949401965
2020-09-08,136.48,137.85,134.8,135.89,2618046,-0.019057243918285005
2020-09-09,136.68,138.53,135.12,137.26,1962027,0.010081683714769252
2020-09-10,136.43,136.72,131.28,131.9,2463712,-0.03904997814366884
2020-09-11,132.5,133.8,131.38,133.44,1862216,0.01167551175132675
2020-09-14,134.65,137.28,134.32,136.57,4143013,0.023456235011990456
2020-09-15,137.09,138.1,136.15,136.97,2034315,0.002928900929926037
2020-09-16,137.62,140.14,137.16,137.71,1513376,0.005402642914506872
2020-09-17,134.77,137.97,134.2,137.87,1575316,0.0011618618836686245
2020-09-18,137.77,137.88,133.87,135.09,3148656,-0.02016392253572208
2020-09-21,132.21,132.79,129.11,131.03,2033622,-0.03005403804870832
2020-09-22,131.41,133.3,130.45,132.91,1314000,0.014347859268869723
2020-09-23,132.31,132.92,128.37,128.72,1616603,-0.03152509216763222
2020-09-24,128.25,131.34,127.31,130.8,1940387,0.01615910503418272
2020-09-25,129.23,134.94,129.23,134.54,2310000,0.028593272171253625
2020-09-28,136.72,138.04,136.08,137.31,2593481,0.02058867251375074
2020-09-29,137.55,138.51,136.5,137.54,1965677,0.0016750418760467234
2020-09-30,137.95,140.97,137.77,139.49,2856881,0.01417769376181477
2020-10-01,141.62,141.67,136.69,137.7,2023100,-0.012832461108323368
2020-10-02,135.18,139.32,135.11,138.67,2226500,0.0070442992011618966
2020-10-05,139.29,141.87,138.93,140.96,1957642,0.016514026105141744
2020-10-06,141.22,145.58,140.01,142.26,2206000,0.009222474460839791
2020-10-07,143.37,144.42,142.0,143.73,2422251,0.0103331927456769
2020-10-08,145.21,147.32,144.91,147.01,1975800,0.02282056633966456
2020-10-09,148.0,150.08,146.87,149.85,2693350,0.019318413713352856
2020-10-12,151.5,152.14,150.05,150.58,2955200,0.004871538204871628
2020-10-13,151.55,152.15,148.72,149.69,1972200,-0.005910479479346642
2020-10-14,149.99,150.95,148.04,148.51,2246317,-0.007882958113434424
2020-10-15,146.52,147.79,146.0,147.39,1706719,-0.007541579691603295
2020-10-16,148.21,149.64,147.5,148.42,1146075,0.00698826243300088
2020-10-19,148.1,148.99,144.7,145.05,2198956,-0.022705834793154356
2020-10-20,146.43,147.54,145.77,146.62,1195600,0.010823853843502151
2020-10-21,146.92,148.07,145.85,146.85,1174600,0.0015686809439365845
2020-10-22,147.06,149.5,146.09,148.85,1494581,0.013619339462036084
2020-10-23,150.07,150.4,148.33,149.2,1082910,0.0023513604299629787
2020-10-26,147.4,147.41,144.59,145.77,2823398,-0.022989276139410042
2020-10-27,146.12,147.19,145.57,146.03,2032115,0.0017836317486450426
2020-10-28,155.2,159.35,153.88,155.08,4716765,0.061973567075258584
2020-10-29,154.67,159.46,153.49,158.19,2225147,0.02005416559195239
2020-10-30,156.88,159.42,155.79,157.96,2894674,-0.0014539477843099613
2020-11-02,159.44,162.08,158.5,161.46,2742500,0.022157508229931677
2020-11-03,163.6,167.37,163.07,166.48,2136225,0.031091291960857026
2020-11-04,167.88,168.67,163.85,164.58,2478891,-0.011412782316194026
2020-11-05,165.65,166.87,161.94,162.71,2740424,-0.01136225543808489
2020-11-06,164.8,166.58,163.56,166.23,1902344,0.021633581218118092
2020-11-09,173.47,174.79,169.65,169.89,2298279,0.022017686338206
2020-11-10,169.12,173.39,168.18,171.07,1669947,0.006945670728118136
2020-11-11,172.0,173.33,170.56,171.87,1821400,0.004676448237563635
2020-11-12,170.85,171.85,168.47,169.43,1346300,-0.01419677663350205
2020-11-13,171.0,171.93,169.63,171.63,1095200,0.012984713450982621
2020-11-16,174.0,177.19,172.45,177.05,2322655,0.03157956068286438
2020-11-17,175.0,176.58,174.25,176.15,1249116,-0.005083309799491675
2020-11-18,176.15,176.18,172.88,173.16,1326001,-0.01697416974169752
2020-11-19,171.85,174.35,171.36,173.63,1110600,0.0027142527142527406
2020-11-20,173.5,173.78,171.25,171.27,1477300,-0.013592121177215866
2020-11-23,172.14,173.54,170.25,172.06,1260100,0.004612599988322419
2020-11-24,173.54,175.58,172.25,175.27,1599570,0.018656282692084192
2020-11-25,176.7,176.7,173.42,174.08,910534,-0.006789524733268659
2020-11-27,174.66,175.43,174.21,175.25,588310,0.0067210477941175295
2020-11-30,174.14,175.1,171.33,173.88,2846400,-0.007817403708987203
2020-12-01,175.16,176.41,173.64,174.67,2270500,0.0045433632390152745
2020-12-02,174.68,175.06,171.01,171.58,2365001,-0.017690502089654614
2020-12-03,171.25,173.33,170.88,172.09,1423130,0.002972374402610889
2020-12-04,172.36,175.63,171.71,174.79,1022621,0.015689464814922394
2020-12-07,174.0,174.73,172.85,174.57,1115483,-0.0012586532410321372
2020-12-08,174.43,174.95,173.34,174.53,1022441,-0.00022913444463534827
2020-12-09,175.12,175.17,172.77,173.84,1535410,-0.003953475047269839
2020-12-10,172.72,172.85,171.21,172.0,1811900,-0.010584445467096248
2020-12-11,171.43,173.68,171.08,173.53,1200903,0.008895348837209216
2020-12-14,173.33,175.81,172.29,173.15,3068800,-0.0021898230853454326
2020-12-15,174.26,175.79,172.87,175.75,1227135,0.015015882183078144
2020-12-16,175.91,176.55,174.28,175.59,1119927,-0.0009103840682788134
2020-12-17,176.59,179.03,175.92,177.34,1165198,0.009966398997665049
2020-12-18,178.47,179.46,177.47,179.24,3298965,0.0107138829367317
2020-12-21,176.0,177.84,174.41,177.49,1457215,-0.009763445659450976
2020-12-22,176.7,177.04,175.46,176.34,946619,-0.006479238266944631
2020-12-23,177.5,178.26,174.99,175.19,934905,-0.006521492571169407
2020-12-24,176.12,176.57,174.93,176.56,371600,0.007820081054854766
2020-12-28,177.55,178.16,176.47,176.61,770513,0.0002831898504758179
2020-12-29,177.46,177.81,174.57,174.87,797261,-0.009852216748768572
2020-12-30,175.6,176.25,173.32,173.81,787500,-0.0060616457940184665
2020-12-31,174.14,176.45,173.33,176.2,1142816,0.013750647258500504
2021-01-04,175.97,176.57,167.73,168.96,2266738,-0.04108967082860371
2021-01-05,168.68,170.18,167.37,168.49,1491600,-0.0027817234848485084
2021-01-06,166.13,169.44,166.03,167.9,1646100,-0.0035016914950442013
2021-01-07,168.06,169.95,167.44,168.85,1596737,0.005658129839190007
2021-01-08,168.97,172.38,168.31,171.05,2638700,0.013029315960912058
