Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,250.1,253.47,249.655,251.8,1227466,
2020-08-25,249.02,254.35,246.4,252.24,1555125,0.001747418586179439
2020-08-26,246.66,253.26,237.19,248.21,3075999,-0.015976847446875997
2020-08-27,250.19,250.19,241.74,243.11,1137941,-0.020547117360299683
2020-08-28,244.85,250.5,244.85,247.39,999064,0.01760519929250126
2020-08-31,246.33,247.98,242.55,245.7,1210857,-0.006831318970047295
2020-09-01,247.99,253.7,244.67,253.51,1413483,0.03178673178673175
2020-09-02,255.48,261.94,254.15,261.35,2374057,0.030925801743520998
2020-09-03,256.81,256.81,239.23,242.09,2497741,-0.07369427970154974
2020-09-04,240.53,244.435,228.18,233.88,2704646,-0.03391300755917226
2020-09-08,224.16,230.19,223.915,224.36,1845665,-0.04070463485548137
2020-09-09,227.61,234.975,225.586,232.78,2018469,0.037528971296131086
2020-09-10,234.0,239.01,226.95,228.2,2128563,-0.019675229830741547
2020-09-11,228.18,231.335,223.27,227.48,992236,-0.0031551270815074473
2020-09-14,231.03,232.895,228.23,229.83,1276790,0.010330578512396826
2020-09-15,231.48,240.05,231.09,235.87,1969945,0.026280294130444304
2020-09-16,236.41,237.59,230.33,230.76,1092756,-0.02166447619451395
2020-09-17,225.5,227.5055,220.43,226.97,1884476,-0.016423990292945057
2020-09-18,228.32,229.34,219.89,225.13,2034103,-0.008106798255276049
2020-09-21,220.8,227.76,218.51,227.64,1205468,0.01114911384533368
2020-09-22,229.41,230.075,225.72,229.56,841113,0.008434370057986307
2020-09-23,228.6,230.3299,221.05,221.87,901998,-0.0334988673985015
2020-09-24,219.49,223.9,215.829,220.96,1147889,-0.00410150087889305
2020-09-25,221.18,228.97,219.92,227.8,1054915,0.030955829109341026
2020-09-28,232.5,234.34,229.1,232.15,995935,0.01909569798068489
2020-09-29,232.51,234.38,230.57,232.92,956962,0.0033168210208915916
2020-09-30,232.29,236.71,228.945,231.01,1466075,-0.008200240425897287
2020-10-01,232.76,238.61,232.75,233.96,1438777,0.012770009956279083
2020-10-02,228.77,231.14,223.51,225.56,1253379,-0.0359035732603864
2020-10-05,226.86,230.13,225.04,228.93,915907,0.014940592303599898
2020-10-06,228.32,231.57,226.5,228.01,979948,-0.004018695671165973
2020-10-07,229.31,234.21,229.31,233.01,1039264,0.021928862769176716
2020-10-08,237.23,238.0,232.26,234.31,1382130,0.005579159692717051
2020-10-09,234.38,238.14,233.32,237.5,1794439,0.01361444240536036
2020-10-12,243.46,246.12,239.92,242.12,1987984,0.019452631578947388
2020-10-13,242.75,247.87,242.39,244.09,1374509,0.008136461258879901
2020-10-14,246.88,250.74,244.53,246.7,1414684,0.010692777254291297
2020-10-15,244.0,253.96,242.12,252.03,2638403,0.02160518848804216
2020-10-16,253.21,261.45,253.17,259.97,2289563,0.03150418600960214
2020-10-19,262.67,268.44,258.59,259.94,2330722,-0.00011539793053061409
2020-10-20,261.41,262.58,257.17,257.34,1715609,-0.010002308224975054
2020-10-21,257.39,259.69,253.1,254.01,872881,-0.012940079272557692
2020-10-22,254.52,255.64,247.02,252.76,1033457,-0.004921066099759841
2020-10-23,253.27,254.65,249.9,254.42,640713,0.006567494856781098
2020-10-26,251.59,254.65,246.4,249.13,1256976,-0.020792390535335215
2020-10-27,251.01,253.8715,250.265,250.6,1008937,0.005900533857825296
2020-10-28,246.21,246.375,236.7007,237.62,1357415,-0.051795690343176326
2020-10-29,238.33,245.72,238.11,242.84,1043041,0.021967847824257314
2020-10-30,240.13,241.5,233.32,235.54,1514698,-0.030060945478504464
2020-11-02,237.2025,242.57,236.21,240.74,1728616,0.022076929608559226
2020-11-03,244.38,250.46,241.84,248.31,1045611,0.031444712137575825
2020-11-04,257.41,257.83,241.46,245.89,2779453,-0.009745882163424868
2020-11-05,254.26,260.5,252.35,255.92,1467612,0.040790597421611396
2020-11-06,255.38,261.6,253.25,259.41,819095,0.013637074085651957
2020-11-09,274.24,276.68,262.26,262.61,2361909,0.012335684823252757
2020-11-10,259.38,259.98,245.88,247.22,1615260,-0.05860401355622413
2020-11-11,252.8394,257.41,244.2982,246.79,2067971,-0.0017393414772267635
2020-11-12,247.98,253.03,244.69,245.71,1005153,-0.004376190283236658
2020-11-13,254.4,256.91,248.6328,251.0,1518678,0.021529445281022408
2020-11-16,249.37,251.56,246.86,248.79,1087696,-0.008804780876494056
2020-11-17,249.24,253.67,247.62,252.71,1015462,0.015756260299851332
2020-11-18,252.39,255.13,250.53,252.22,908635,-0.0019389814411776563
2020-11-19,250.24,259.659,250.24,256.88,1077781,0.01847593370866707
2020-11-20,256.73,260.6,254.09,254.89,1458524,-0.007746807848022508
2020-11-23,255.57,257.95,251.6,257.25,1338283,0.00925889599435048
2020-11-24,257.72,260.89,256.6001,258.97,1590924,0.006686103012633726
2020-11-25,260.99,282.4929,260.01,271.24,3128324,0.0473800054060316
2020-11-27,272.19,276.48,270.51,272.81,886936,0.005788231824214618
2020-11-30,275.0,281.35,272.2101,280.23,2612328,0.027198416480334275
2020-12-01,281.87,282.0,275.16,279.11,1753763,-0.003996716982478721
2020-12-02,277.99,279.155,273.76,277.06,1426356,-0.007344774461681802
2020-12-03,276.0,279.79,275.71,277.29,1841708,0.0008301450949252942
2020-12-04,277.29,281.7807,276.975,278.0,1688205,0.0025604962313823254
