Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,79.2,79.69,77.99,79.08,3090628,
2020-08-24,79.25,80.97,78.73,80.78,2519913,0.021497218007081376
2020-08-25,80.85,80.86,79.39,79.77,1685000,-0.012503094825451866
2020-08-26,79.06,79.44,78.17,78.61,2532000,-0.014541807697129205
2020-08-27,78.8,79.36,78.2,78.37,2159844,-0.003053046686172123
2020-08-28,78.38,78.44,77.32,78.35,2894300,-0.00025519969376053275
2020-08-31,78.75,80.24,77.78,78.83,4966700,0.0061263560944480044
2020-09-01,78.59,78.64,77.3,77.82,3172135,-0.0128123810731956
2020-09-02,77.81,80.51,77.71,80.31,3201300,0.03199691595990761
2020-09-03,80.66,81.28,78.73,79.56,2230047,-0.009338812103100502
2020-09-04,79.55,79.89,77.91,79.05,1710200,-0.0064102564102564985
2020-09-08,79.08,79.38,77.67,78.98,1821800,-0.0008855154965210499
2020-09-09,79.5,81.13,79.19,79.91,2124500,0.011775132945049283
2020-09-10,79.4,79.59,78.14,78.52,2424100,-0.01739456889000124
2020-09-11,78.48,79.19,78.12,79.15,1824198,0.008023433520122358
2020-09-14,79.32,81.01,79.21,80.34,1979500,0.015034744156664503
2020-09-15,80.61,81.34,79.39,80.0,1667446,-0.0042320139407519
2020-09-16,79.84,80.98,79.61,80.46,2112063,0.005749999999999922
2020-09-17,80.01,80.07,79.11,80.04,1562757,-0.005219985085756718
2020-09-18,79.89,79.95,78.51,78.78,3160410,-0.015742128935532285
2020-09-21,78.34,79.54,77.79,79.36,3135226,0.007362274689007409
2020-09-22,78.97,80.65,78.84,79.85,1773710,0.006174395161290258
2020-09-23,79.84,80.17,78.94,79.18,3406030,-0.008390732623669184
2020-09-24,79.13,80.57,78.58,80.49,3551500,0.016544581965142635
2020-09-25,80.31,80.89,79.81,80.65,3252586,0.001987824574481545
2020-09-28,81.06,81.53,80.46,80.65,1707900,0.0
2020-09-29,81.01,81.56,80.48,80.97,1688908,0.003967761934283942
2020-09-30,81.54,82.1,81.24,81.73,2594934,0.009386192416944716
2020-10-01,81.69,83.09,81.3,83.06,2365643,0.016273094335005567
2020-10-02,82.73,85.61,82.22,85.3,3919298,0.026968456537442842
2020-10-05,85.25,87.33,84.25,87.05,3397338,0.0205158264947245
2020-10-06,86.62,89.68,86.36,88.43,4369675,0.015852958070074807
2020-10-07,88.8,89.65,88.09,88.61,2257026,0.0020355083116587736
2020-10-08,88.93,89.82,88.37,89.38,1626432,0.008689764134973466
2020-10-09,89.95,89.95,88.56,89.82,2734661,0.00492280152159319
2020-10-12,89.7,91.26,88.91,90.48,2301800,0.007348029392117761
2020-10-13,89.89,89.96,88.44,89.23,3103116,-0.01381520778072498
2020-10-14,89.53,90.05,88.59,89.34,2283300,0.0012327692480107455
2020-10-15,88.56,90.62,88.56,89.54,1675210,0.002238638907544166
2020-10-16,89.76,91.69,89.36,91.52,1966605,0.022113022113021907
2020-10-19,91.43,91.87,90.94,91.28,2229692,-0.002622377622377603
2020-10-20,91.9,91.9,90.02,90.68,3647026,-0.006573181419807117
2020-10-21,90.41,91.37,90.08,90.4,2604500,-0.0030877812086458345
2020-10-22,90.17,92.7,89.79,92.2,3507924,0.019911504424778625
2020-10-23,92.15,92.31,91.52,91.88,3525727,-0.003470715835141025
2020-10-26,91.46,94.21,91.46,93.59,3753500,0.018611232041793713
2020-10-27,93.08,93.8,91.96,92.53,2485842,-0.011325996367133273
2020-10-28,92.07,93.44,90.18,90.32,2916323,-0.023884145682481428
2020-10-29,90.06,91.48,88.84,90.54,2215683,0.002435783879539466
2020-10-30,90.6,91.14,88.75,89.93,2415003,-0.006737353655842715
2020-11-02,90.83,91.24,89.77,91.23,3171586,0.014455687757144453
2020-11-03,92.09,92.09,90.45,90.89,2886700,-0.0037268442398333823
2020-11-04,90.65,92.13,89.99,90.15,2401720,-0.008141709759049376
2020-11-05,91.08,92.83,90.58,90.71,3012422,0.006211869107043633
2020-11-06,91.11,91.91,90.47,90.92,2145700,0.00231507000330744
2020-11-09,92.0,94.21,90.03,90.26,3674500,-0.007259128904531398
2020-11-10,90.04,91.74,89.39,90.79,2587122,0.005871925548415646
2020-11-11,91.28,92.79,90.73,91.15,2094200,0.003965194404670136
2020-11-12,90.39,90.88,88.84,89.64,1687542,-0.01656609983543611
2020-11-13,90.02,90.47,89.2,89.87,1936344,0.0025658188308790297
2020-11-16,89.27,89.81,88.01,89.21,4201080,-0.007343941248470154
2020-11-17,88.9,89.18,86.49,86.73,3052660,-0.027799574038784747
2020-11-18,87.27,87.28,84.05,84.13,2861600,-0.029978092932088196
2020-11-19,83.33,83.69,81.98,82.45,4399203,-0.019969095447521568
2020-11-20,81.79,82.79,80.81,82.49,5841366,0.0004851425106124907
2020-11-23,83.22,83.83,82.4,83.41,4279729,0.01115286701418361
2020-11-24,84.1,84.97,83.33,84.82,2864000,0.01690444790792478
2020-11-25,85.11,85.54,84.28,85.37,2276418,0.006484319735911459
2020-11-27,85.27,85.41,84.13,84.92,1154642,-0.005271172543047986
2020-11-30,84.82,85.25,84.01,84.89,3484524,-0.0003532736693359073
2020-12-01,85.23,86.28,84.61,85.21,3362648,0.0037695841677463093
2020-12-02,84.86,85.95,84.08,85.87,1858727,0.007745569768806693
2020-12-03,85.59,85.69,84.22,84.74,2590324,-0.013159427040875804
2020-12-04,84.59,85.03,82.64,83.39,3094200,-0.015931083313665217
2020-12-07,82.85,84.13,82.8,83.84,2545734,0.005396330495263335
2020-12-08,83.67,84.09,82.69,83.49,2077200,-0.0041746183206108345
2020-12-09,83.49,83.85,82.83,83.6,2491809,0.0013175230566535578
2020-12-10,84.0,84.03,82.21,82.48,2449712,-0.013397129186602741
2020-12-11,82.05,82.88,81.88,82.76,1884405,0.003394762366634385
2020-12-14,83.8,84.47,82.14,82.21,2756400,-0.006645722571290591
2020-12-15,82.7,84.43,82.16,84.29,2397626,0.025301058265418064
2020-12-16,84.22,84.83,82.6,82.83,2290493,-0.017321153161703684
2020-12-17,83.27,84.74,83.22,83.86,2585235,0.012435108052637922
2020-12-18,83.65,84.6,82.62,83.29,14359243,-0.006797042690197874
2020-12-21,82.71,83.03,80.86,82.12,3056857,-0.014047304598391208
2020-12-22,81.94,82.05,80.9,81.4,2896215,-0.008767657087189518
2020-12-23,81.89,82.27,80.7,80.71,2435175,-0.008476658476658572
2020-12-24,80.84,81.58,80.41,81.42,758022,0.008796927270474653
2020-12-28,81.74,81.9,80.67,81.28,1617374,-0.0017194792434291895
2020-12-29,81.45,82.18,81.03,81.18,1721062,-0.0012303149606298636
2020-12-30,81.05,81.7,81.03,81.51,1846304,0.004065040650406582
2020-12-31,81.53,83.36,81.43,83.27,1778627,0.021592442645074206
2021-01-04,83.33,83.44,81.21,81.54,3232971,-0.020775789600095962
2021-01-05,81.8,82.05,80.97,81.43,2212300,-0.001349031150355673
2021-01-06,81.12,82.74,80.62,82.08,2713900,0.007982316099717446
2021-01-07,82.45,82.45,79.87,79.89,2764400,-0.026681286549707584
2021-01-08,79.67,80.02,78.61,79.18,3059851,-0.008887219927400047
2021-01-11,79.11,79.22,77.83,78.78,2372584,-0.005051780752715396
2021-01-12,77.85,78.36,76.82,77.84,3122835,-0.011931962427011888
2021-01-13,78.06,78.49,77.39,78.15,7425052,0.003982528263103857
2021-01-14,78.06,79.04,77.14,78.83,8042711,0.008701215611004454
2021-01-15,76.96,80.69,76.96,80.47,4258237,0.020804262336673762
2021-01-19,80.95,81.17,79.38,80.71,2816400,0.002982477942090167
2021-01-20,80.37,81.05,79.57,80.75,2588700,0.0004956015363648536
2021-01-21,81.0,81.61,80.3,80.97,3227390,0.0027244582043344234
2021-01-22,80.81,82.46,80.77,82.08,3789500,0.013708781030011163
2021-01-25,81.58,83.1,81.35,82.59,2481903,0.006213450292397615
2021-01-26,82.2,82.55,80.77,81.82,3134700,-0.009323162610485602
2021-01-27,81.2,82.67,80.09,80.44,2528400,-0.01686629186018085
2021-01-28,80.95,82.27,80.51,80.56,2118400,0.001491795126802753
2021-01-29,80.19,81.62,79.81,80.91,3261030,0.004344587884806295
2021-02-01,81.1,81.75,80.01,81.18,1901700,0.0033370411568409697
2021-02-02,81.32,83.03,80.82,82.11,2584543,0.01145602365114562
2021-02-03,82.1,82.5,81.2,81.28,2162932,-0.010108391182559906
2021-02-04,81.34,82.26,81.1,82.21,1783226,0.011441929133858109
2021-02-05,82.49,82.82,82.01,82.19,1584900,-0.00024327940639823353
2021-02-08,82.37,82.39,80.4,80.98,2047349,-0.014721985643022184
2021-02-09,80.24,80.47,79.0,79.84,2148224,-0.014077550012348783
2021-02-10,79.99,80.45,79.44,80.01,2767315,0.0021292585170340494
2021-02-11,80.14,80.24,78.77,78.95,2284271,-0.01324834395700536
2021-02-12,78.91,79.33,78.18,78.61,1917842,-0.004306523115896188
2021-02-16,78.57,78.79,77.91,78.19,2233100,-0.005342831700801409
2021-02-17,78.49,79.35,78.22,78.49,2152036,0.0038368077759303176
2021-02-18,78.51,80.69,78.51,80.48,3468100,0.025353548222703637
2021-02-19,80.13,80.48,78.72,79.08,3658477,-0.01739562624254476
2021-02-22,78.87,79.06,75.42,76.77,3651600,-0.029210925644916563
2021-02-23,77.29,78.76,76.94,78.09,3660500,0.01719421649081676
2021-02-24,78.17,78.25,76.85,77.1,3507524,-0.012677679600461067
2021-02-25,78.06,78.06,75.74,76.3,4283819,-0.01037613488975353
2021-02-26,76.5,77.33,74.8,74.85,4432612,-0.019003931847968558
2021-03-01,75.42,77.6,75.4,76.71,3091426,0.024849699398797664
2021-03-02,76.86,77.15,75.89,76.45,3851922,-0.0033893886064396694
2021-03-03,76.23,76.46,74.96,76.32,2936800,-0.0017004578155658256
2021-03-04,76.33,78.12,76.19,77.25,4102503,0.01218553459119498
2021-03-05,77.5,79.29,77.25,78.9,4182950,0.021359223300970953
2021-03-08,78.83,80.96,78.7,80.49,3215800,0.020152091254752813
2021-03-09,80.87,81.18,80.31,80.6,2869049,0.0013666293949559094
