Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,63.36,63.8,62.68,63.74,8366548,
2020-08-25,64.11,64.65,63.43,64.05,5157230,0.0048635080012551235
2020-08-26,64.05,64.26,63.49,63.76,5965129,-0.004527712724433974
2020-08-27,64.29,64.29,61.29,62.03,8917800,-0.027132998745294845
2020-08-28,62.06,63.1,61.97,63.07,5206045,0.016766080928583005
2020-08-31,62.44,62.61,61.42,61.6,6454221,-0.023307436182019914
2020-09-01,61.98,62.1,61.23,61.89,7922675,0.004707792207792272
2020-09-02,62.49,65.3,62.37,65.08,10802500,0.051543060268217866
2020-09-03,64.19,64.37,61.05,61.46,11013000,-0.05562384757221872
2020-09-04,61.21,61.83,58.55,60.96,14688155,-0.008135372600065138
2020-09-08,57.07,57.79,55.32,55.63,20934800,-0.08743438320209973
2020-09-09,56.61,56.98,54.51,55.2,16267604,-0.007729642279345694
2020-09-10,55.6,56.25,54.94,55.12,10670524,-0.0014492753623189802
2020-09-11,55.61,56.31,54.68,55.0,9203300,-0.002177068214804012
2020-09-14,56.23,57.12,56.12,56.46,8495715,0.02654545454545465
2020-09-15,57.23,57.88,56.48,57.2,7209800,0.013106624158696567
2020-09-16,57.49,58.2,56.38,56.47,8340864,-0.012762237762237838
2020-09-17,54.82,56.63,54.69,56.34,7098700,-0.002302107313617796
2020-09-18,56.79,56.8,55.2,56.15,11913000,-0.003372381966631255
2020-09-21,55.21,57.36,54.15,57.32,8494306,0.02083704363312555
2020-09-22,57.96,58.11,56.71,57.89,7629300,0.009944173063503037
2020-09-23,58.1,58.88,57.01,57.25,8831800,-0.011055449991362987
2020-09-24,56.94,58.82,56.76,57.79,6318534,0.009432314410480425
2020-09-25,57.49,58.38,56.65,58.23,6542600,0.007613774009344043
2020-09-28,58.28,59.85,58.25,59.36,8616000,0.019405804568092044
2020-09-29,59.38,60.25,59.15,59.65,5427837,0.004885444743935263
2020-09-30,59.43,60.18,58.99,59.45,9074400,-0.003352891869237151
2020-10-01,60.37,61.02,59.51,60.65,7542800,0.020185029436501134
2020-10-02,59.09,59.66,58.19,58.21,7103905,-0.04023083264633143
2020-10-05,58.93,60.63,58.76,60.6,6694647,0.041058237416251586
2020-10-06,60.33,62.16,60.17,60.4,6947900,-0.0033003300330033403
2020-10-07,61.5,61.79,60.92,61.12,5335400,0.01192052980132452
2020-10-08,61.7,62.7,61.37,62.6,5411867,0.024214659685863893
2020-10-09,63.29,63.81,63.06,63.29,6367103,0.011022364217252445
2020-10-12,64.06,65.12,63.98,64.68,7021900,0.021962395323115835
2020-10-13,65.24,65.42,64.16,64.69,7189900,0.00015460729746430424
2020-10-14,64.9,65.18,63.43,63.98,5824029,-0.010975421239758809
2020-10-15,62.4,63.69,62.02,63.51,6397398,-0.007346045639262222
2020-10-16,63.76,63.93,62.41,63.0,6841070,-0.00803023145961268
2020-10-19,63.17,63.62,61.81,62.05,5757543,-0.015079365079365137
2020-10-20,62.67,63.01,62.02,62.26,4479873,0.0033843674456084383
2020-10-21,62.4,62.86,61.91,62.11,6188900,-0.002409251525859246
2020-10-22,61.73,62.15,60.86,61.7,6014586,-0.006601191434551512
2020-10-23,61.7,62.17,60.66,60.95,6520098,-0.012155591572123203
2020-10-26,60.33,60.5,58.65,59.51,6715421,-0.023625922887612893
2020-10-27,59.78,59.99,58.77,58.83,4626324,-0.011426650983028086
2020-10-28,57.78,58.22,56.87,57.32,8976958,-0.02566717661057283
2020-10-29,57.23,60.23,56.95,59.5,6314400,0.0380321004884856
2020-10-30,58.74,59.28,58.26,59.23,7338657,-0.0045378151260504485
2020-11-02,59.95,60.48,59.53,60.33,7475407,0.01857166976194491
2020-11-03,60.99,62.44,60.99,61.83,9967600,0.024863252113376477
2020-11-04,63.44,65.19,62.13,64.86,9808323,0.049005337214944156
2020-11-05,66.0,70.06,65.91,69.95,13118100,0.07847671908726483
2020-11-06,68.9,70.86,68.35,70.53,8639700,0.008291636883488218
2020-11-09,73.2,75.93,71.26,71.3,10154600,0.010917340138947962
2020-11-10,70.95,71.49,69.1,69.39,8206498,-0.026788218793828866
2020-11-11,70.2,71.7,69.88,71.16,8071944,0.025507998270644094
2020-11-12,70.86,71.15,69.43,69.8,8555129,-0.019111860595840358
2020-11-13,72.27,73.94,71.51,72.81,10182304,0.043123209169054544
2020-11-16,72.97,74.53,72.58,74.48,8104400,0.022936409833814064
2020-11-17,73.76,74.57,73.06,74.37,5460128,-0.0014769065520945368
2020-11-18,74.69,76.67,74.59,75.71,10667700,0.018018018018017834
2020-11-19,75.26,77.51,74.51,77.25,8990100,0.020340774006075923
2020-11-20,77.2,78.57,76.68,76.72,7609745,-0.006860841423948272
2020-11-23,76.97,80.58,76.97,80.5,8809829,0.0492700729927007
2020-11-24,81.0,83.14,79.82,82.95,9542024,0.0304347826086957
2020-11-25,82.9,83.02,81.07,81.14,5518508,-0.021820373719107944
2020-11-27,81.81,83.53,81.68,82.66,3098229,0.01873305398077396
2020-11-30,82.0,82.59,80.71,82.48,7543100,-0.0021775949673359385
2020-12-01,83.05,84.62,82.88,84.27,7044074,0.02170223084384082
2020-12-02,83.69,85.59,83.61,85.29,5272800,0.012103951584193862
2020-12-03,85.74,87.03,85.69,86.1,4825000,0.009497010200492317
2020-12-04,86.92,88.92,86.65,88.84,6876900,0.031823461091753824
2020-12-07,89.27,89.46,87.82,89.14,5524100,0.0033768572714993894
2020-12-08,89.23,90.26,89.04,89.75,4703000,0.006843168050258086
2020-12-09,89.57,90.1,87.18,87.82,7017800,-0.021504178272980567
2020-12-10,87.0,88.61,86.46,87.89,5731200,0.0007970849464815633
