Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,238.88,238.88,235.51,237.64,1959900,
2020-08-24,237.73,238.44,233.56,235.57,1565313,-0.008710654771923898
2020-08-25,242.9,249.96,240.8,248.22,6392100,0.053699537292524635
2020-08-26,248.33,251.38,245.76,250.18,3125005,0.007896221094190636
2020-08-27,252.24,256.91,250.41,252.81,3928416,0.010512431049644277
2020-08-28,253.4,254.14,247.79,253.12,12838410,0.0012262173173529511
2020-08-31,252.93,256.05,250.1,253.32,4053900,0.000790139064475337
2020-09-01,250.05,252.04,248.68,250.86,2869293,-0.00971103742302215
2020-09-02,251.22,258.8,251.22,258.12,2871600,0.02894044486964842
2020-09-03,259.29,260.06,246.35,247.91,3137700,-0.03955524562219126
2020-09-04,251.33,252.27,244.58,248.4,2910390,0.001976523738453473
2020-09-08,246.23,246.99,239.53,241.18,3358845,-0.029066022544283365
2020-09-09,242.64,247.49,241.82,245.57,2244646,0.018202172651131887
2020-09-10,244.56,246.14,238.9,240.64,2126722,-0.020075742150914233
2020-09-11,241.7,245.49,241.07,243.21,1899425,0.010679853723404298
2020-09-14,244.84,247.84,244.25,246.75,2086781,0.014555322560749984
2020-09-15,248.7,251.92,248.1,248.35,2243900,0.006484295845997856
2020-09-16,251.35,251.35,247.0,247.76,2325559,-0.002375679484598381
2020-09-17,243.53,249.72,243.02,248.08,2801126,0.0012915724895059544
2020-09-18,248.69,249.84,242.35,247.72,6042471,-0.00145114479200259
2020-09-21,247.04,247.04,238.2,243.19,2745529,-0.018286775391571086
2020-09-22,241.55,248.29,240.9,247.5,2172600,0.01772276820592955
2020-09-23,247.3,249.23,241.48,242.59,2104482,-0.019838383838383877
2020-09-24,242.15,242.68,237.78,240.32,1827246,-0.00935735191063114
2020-09-25,239.51,244.18,237.81,243.82,2635721,0.014563914780292952
2020-09-28,247.68,249.04,244.77,247.03,2214332,0.013165449922073691
2020-09-29,247.55,249.05,245.48,248.3,2008474,0.005141075982674215
