Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,380.25,380.8,374.53,377.99,590814,
2020-08-25,379.3,380.83,376.27,380.83,378636,0.007513426281118507
2020-08-26,380.09,386.67,380.08,385.92,417767,0.013365543680907477
2020-08-27,386.72,386.8,373.24,376.22,636264,-0.025134742951907096
2020-08-28,376.12,379.89,374.8,379.47,490244,0.00863856254319284
2020-08-31,375.92,378.44,373.31,374.18,533313,-0.013940495954884446
2020-09-01,384.11,386.9,382.33,386.9,635052,0.03399433427762033
2020-09-02,395.66,401.15,390.49,398.49,904307,0.029956060997673895
2020-09-03,389.1,389.31,370.08,376.16,1259673,-0.0560365379306883
2020-09-04,365.5,371.0,352.86,367.42,1206478,-0.023234793704806522
2020-09-08,345.37,353.39,343.25,347.35,1541235,-0.054624135866310985
2020-09-09,357.97,361.54,353.51,359.37,847300,0.03460486540952923
2020-09-10,364.27,366.81,355.03,357.0,678610,-0.006594874363469394
2020-09-11,364.0,367.15,357.59,359.23,678700,0.006246498599439931
2020-09-14,369.77,369.98,365.36,367.94,576035,0.024246304595941348
2020-09-15,374.55,374.76,369.1,370.25,717251,0.0062781975322063754
2020-09-16,372.0,372.98,362.36,362.38,973900,-0.021255908170155324
2020-09-17,355.51,367.63,355.14,366.74,901010,0.01203156907114078
2020-09-18,370.29,370.91,359.93,366.34,912200,-0.0010906909527186315
2020-09-21,355.31,363.0,352.57,362.62,658229,-0.010154501282961137
2020-09-22,363.99,365.1,358.73,364.64,971263,0.005570569742429976
2020-09-23,365.21,366.58,356.93,357.56,709928,-0.01941641070645017
2020-09-24,354.65,363.59,353.68,360.16,768490,0.007271506879964251
2020-09-25,352.82,361.11,351.09,360.48,724209,0.0008884940026654409
2020-09-28,365.9,371.49,364.35,371.06,822036,0.02934975588104738
2020-09-29,370.07,375.88,369.57,374.0,608800,0.007923246914245619
2020-09-30,368.78,373.25,367.5,369.27,867970,-0.012647058823529456
2020-10-01,375.53,382.65,374.42,382.01,891622,0.03450050098843671
2020-10-02,372.4,375.72,370.0,370.0,711600,-0.03143896756629405
2020-10-05,375.15,382.4,374.91,382.11,650064,0.03272972972972976
2020-10-06,374.2,377.38,368.56,370.11,686794,-0.031404569364842594
2020-10-07,374.43,376.53,371.63,375.8,550990,0.015373807786874139
2020-10-08,376.77,380.95,376.44,380.89,686942,0.013544438531133407
2020-10-09,385.8,389.98,385.77,388.99,539442,0.021265982304602415
2020-10-12,395.43,401.0,395.43,399.04,840385,0.02583613974652299
2020-10-13,401.51,409.11,398.28,405.15,1027900,0.015311748195669495
2020-10-14,402.64,406.0,395.5,398.03,954948,-0.01757373812168339
2020-10-15,383.8,387.92,380.72,386.57,786450,-0.028791799613094415
2020-10-16,390.76,392.38,385.87,386.9,594658,0.0008536616912848682
2020-10-19,392.19,392.27,383.79,385.31,392789,-0.004109589041095818
2020-10-20,386.82,389.27,384.26,384.96,357130,-0.0009083595027381541
2020-10-21,385.65,389.29,382.98,383.0,359349,-0.00509143807148793
2020-10-22,381.1,382.09,375.4,375.5,613815,-0.019582245430809442
2020-10-23,378.84,379.56,374.14,378.56,467600,0.008149134487350107
2020-10-26,371.55,374.88,364.0,367.49,900431,-0.029242392223161384
2020-10-27,368.41,370.54,364.46,366.37,968738,-0.003047701978285189
2020-10-28,359.47,365.07,357.38,362.86,953139,-0.00958047875098944
2020-10-29,363.34,373.8,362.22,370.86,808829,0.022047070495507803
2020-10-30,363.81,365.83,359.01,361.21,821101,-0.026020600765787716
2020-11-02,364.48,368.32,361.72,365.21,893331,0.011073890534591957
2020-11-03,368.46,376.39,367.86,372.06,813619,0.01875633197338522
2020-11-04,373.66,384.96,372.32,383.0,2451592,0.029403859592538772
2020-11-05,397.2,399.68,393.46,398.19,1115653,0.03966057441253268
2020-11-06,402.1,407.5,398.19,406.24,711030,0.02021647957005457
2020-11-09,417.04,420.65,406.32,406.33,1273787,0.00022154391492712477
2020-11-10,409.12,410.11,397.98,399.3,1323152,-0.017301208377427102
2020-11-11,407.4,418.64,407.28,418.05,933300,0.046957175056348666
2020-11-12,419.0,421.18,412.01,412.72,800800,-0.012749671091974557
