Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,33.2,33.62,33.11,33.4,11997510,
2020-08-25,33.5,33.71,33.3,33.61,11143340,0.006287425149700709
2020-08-26,33.47,34.15,33.35,33.97,14844030,0.01071109788753355
2020-08-27,34.05,34.13,33.61,33.91,12552110,-0.0017662643508978837
2020-08-28,33.9,34.48,33.77,34.48,14589000,0.016809200825715243
2020-08-31,34.35,35.06,34.35,34.72,22229000,0.006960556844547661
2020-09-01,35.0,36.21,34.74,35.95,29258970,0.035426267281106094
2020-09-02,36.59,37.9,36.36,37.5,37053380,0.04311543810848395
2020-09-03,36.6,36.89,35.02,35.21,41795000,-0.0610666666666666
2020-09-04,36.1,37.25,35.35,36.3,58514000,0.03095711445612026
2020-09-08,35.27,36.28,35.0,35.05,26685080,-0.03443526170798894
2020-09-09,35.62,36.19,35.11,36.0,26273240,0.02710413694721825
2020-09-10,36.21,36.78,35.44,35.71,22851320,-0.008055555555555483
2020-09-11,36.05,36.43,35.47,35.97,17362000,0.007280873704844426
2020-09-14,36.44,36.59,35.93,36.22,16448540,0.006950236308034485
2020-09-15,36.63,37.11,36.53,36.69,16618000,0.012976256212037462
2020-09-16,36.82,37.2,36.64,36.7,18512090,0.0002725538293815166
2020-09-17,35.5,37.01,35.5,36.59,22864230,-0.0029972752043596618
2020-09-18,36.71,36.78,35.51,35.97,35295000,-0.016944520360754445
2020-09-21,35.0,35.2,34.35,35.18,24198340,-0.021962746733388938
2020-09-22,35.64,36.18,35.3,36.16,19500250,0.027856736782262637
2020-09-23,36.02,36.12,35.0,35.16,15545370,-0.027654867256637128
2020-09-24,35.02,35.76,34.91,35.25,13613760,0.0025597269624575425
2020-09-25,35.21,35.77,34.83,35.68,18183420,0.012198581560283639
2020-09-28,36.17,36.84,35.9,36.73,22192000,0.029428251121076165
2020-09-29,36.75,37.08,36.4,36.43,13829970,-0.008167710318540577
2020-09-30,36.3,37.1,36.17,36.43,22403280,0.0
2020-10-01,36.9,37.07,36.48,36.86,16018680,0.011803458687894564
2020-10-02,36.0,36.49,35.62,35.68,17100210,-0.03201302224633751
2020-10-05,36.08,36.69,35.99,36.61,18923280,0.026065022421524642
2020-10-06,36.61,37.2,36.2,36.4,16672000,-0.005736137667304075
2020-10-07,36.84,36.99,36.61,36.67,12750080,0.007417582417582613
2020-10-08,36.99,37.43,36.83,37.33,17045350,0.01799836378511044
2020-10-09,37.59,38.0,37.4,37.67,17255470,0.009107956067506029
2020-10-12,38.18,38.51,37.98,38.24,18839480,0.015131404300504414
2020-10-13,38.44,38.78,37.86,38.15,16731450,-0.0023535564853557345
2020-10-14,38.35,38.37,37.78,38.03,17301530,-0.0031454783748361415
