Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,83.66,84.14,81.68,83.25,743595,
2020-08-25,83.26,87.51,82.86,85.23,1041293,0.023783783783783763
2020-08-26,85.01,86.42,84.28,85.19,496430,-0.0004693183151472935
2020-08-27,86.19,86.73,85.27,85.39,502532,0.0023476933912431885
2020-08-28,85.39,85.97,83.29,83.84,464023,-0.01815200843190068
2020-08-31,83.74,85.95,83.5,85.68,403341,0.021946564885496178
2020-09-01,85.2,88.65,84.78,87.43,490650,0.020424836601307117
2020-09-02,88.14,88.74,86.15,88.13,403065,0.008006405124099114
2020-09-03,87.52,87.6,83.4,84.54,532922,-0.04073527743106764
2020-09-04,84.98,85.52,81.15,82.67,514955,-0.022119706647740767
2020-09-08,80.5,83.14,79.72,81.35,578234,-0.015967098100883148
2020-09-09,82.25,85.58,82.2,85.24,2646359,0.047818070067609186
2020-09-10,85.47,87.29,83.91,84.29,579051,-0.011145002346316102
2020-09-11,84.95,85.26,83.12,83.91,553526,-0.004508245343457173
2020-09-14,84.26,85.44,82.82,83.84,376318,-0.0008342271481348584
2020-09-15,84.58,84.58,83.05,84.4,360763,0.006679389312977069
2020-09-16,85.0,85.04,83.4,83.73,327269,-0.007938388625592485
2020-09-17,83.0,83.24,81.65,82.83,293088,-0.010748835542816249
2020-09-18,83.15,83.35,80.75,82.55,813720,-0.003380417723047202
2020-09-21,81.33,83.76,80.54,83.18,534518,0.007631738340399874
2020-09-22,84.01,87.12,83.07,86.88,895598,0.04448184659773968
2020-09-23,87.0,88.69,86.0,86.71,637936,-0.0019567219152855087
2020-09-24,86.0,86.73,84.1,85.39,464494,-0.015223157651943153
2020-09-25,85.25,87.38,84.58,87.2,439603,0.02119686145918731
2020-09-28,88.09,89.52,87.55,87.91,509272,0.00814220183486225
2020-09-29,87.92,89.15,87.1,88.62,391443,0.008076441815493274
2020-09-30,89.36,91.83,89.17,90.7,892596,0.023470999774317214
2020-10-01,91.84,96.09,91.31,95.61,886975,0.05413450937155462
