Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,57.5,57.93,56.43,56.76,7379000,
2020-08-25,57.17,57.38,56.67,57.01,3399700,0.004404510218463775
2020-08-26,56.93,57.11,56.51,57.0,2802443,-0.00017540782318892223
2020-08-27,57.0,57.0,55.65,56.11,4195100,-0.015614035087719302
2020-08-28,56.19,56.21,55.52,55.69,3251900,-0.007485296738549363
2020-08-31,55.8,56.34,55.61,56.0,3262601,0.005566528999820575
2020-09-01,55.85,55.9,55.12,55.38,3965920,-0.01107142857142851
2020-09-02,55.47,55.99,55.27,55.9,3614227,0.009389671361502261
2020-09-03,55.35,55.5,53.61,54.16,5122001,-0.031127012522361386
2020-09-04,53.79,54.14,52.57,53.58,4610026,-0.010709010339734037
2020-09-08,54.14,54.94,53.76,54.71,6735611,0.021089958939902953
2020-09-09,53.83,54.82,53.34,53.64,11416300,-0.01955766770243106
2020-09-10,54.16,54.19,53.04,53.07,4407100,-0.010626398210290877
2020-09-11,53.99,54.15,53.41,53.73,4627702,0.012436404748445318
2020-09-14,54.23,54.34,53.37,54.02,4960014,0.005397357156151195
2020-09-15,55.53,55.78,55.12,55.28,4300908,0.023324694557571135
2020-09-16,55.72,55.98,55.11,55.13,3951449,-0.002713458755426945
2020-09-17,55.74,56.15,55.49,55.94,3991914,0.01469254489388705
2020-09-18,56.76,56.8,55.96,56.45,2931736,0.009116910976045833
2020-09-21,55.09,55.91,54.62,55.91,6792716,-0.009565987599645775
2020-09-22,55.29,55.62,54.72,55.44,3878600,-0.0084063673761402
2020-09-23,56.22,56.59,55.58,55.66,2922900,0.003968253968253954
2020-09-24,54.94,55.16,53.92,54.17,4123700,-0.02676967301473221
2020-09-25,54.2,55.84,54.02,55.51,4955818,0.02473693926527587
2020-09-28,55.07,55.34,54.6,54.75,2741400,-0.013691226805980894
2020-09-29,54.71,55.2,54.71,55.11,4178369,0.006575342465753309
2020-09-30,55.02,55.45,54.61,54.8,3001400,-0.005625113409544635
2020-10-01,55.2,55.31,54.22,54.3,4728218,-0.009124087591240837
2020-10-02,54.42,54.76,54.13,54.22,5699100,-0.0014732965009207621
2020-10-05,54.46,54.85,54.18,54.49,6704494,0.004979712283290416
2020-10-06,54.15,54.53,53.68,53.71,3695000,-0.014314553129014529
2020-10-07,53.81,53.93,53.33,53.53,3518746,-0.0033513312232359427
2020-10-08,53.68,54.29,53.58,54.09,2351300,0.010461423500840672
2020-10-09,54.39,54.85,54.32,54.72,2092001,0.011647254575707144
2020-10-12,55.19,55.45,54.97,55.27,2783500,0.010051169590643338
2020-10-13,54.77,55.15,54.45,54.48,2949809,-0.014293468427718614
2020-10-14,54.0,54.06,52.94,53.19,4657364,-0.02367841409691629
2020-10-15,52.45,52.77,52.24,52.55,3039396,-0.012032336905433372
2020-10-16,53.0,53.5,52.83,53.03,2666174,0.009134157944814536
2020-10-19,53.23,53.33,52.3,52.44,3143700,-0.01112577786158786
2020-10-20,52.68,52.82,52.15,52.19,4919100,-0.004767353165522459
2020-10-21,52.14,52.48,50.47,51.57,8219837,-0.011879670434949197
2020-10-22,52.01,52.23,51.63,51.96,3754976,0.0075625363583478045
2020-10-23,52.17,52.69,51.78,52.0,5576904,0.0007698229407235857
2020-10-26,52.87,53.36,52.54,53.07,6022000,0.020576923076923048
2020-10-27,53.31,53.49,52.38,52.48,3702333,-0.011117392123610403
2020-10-28,51.89,51.95,50.91,50.98,5263200,-0.028582317073170715
2020-10-29,51.04,51.45,50.41,51.07,3534018,0.0017653981953706932
2020-10-30,50.92,51.2,49.79,50.16,4764666,-0.017818680242804086
2020-11-02,50.47,50.72,50.15,50.62,5368800,0.009170653907496051
2020-11-03,51.46,52.07,51.29,51.7,4157201,0.021335440537337158
2020-11-04,53.95,55.37,53.91,55.04,7385800,0.06460348162475804
2020-11-05,56.06,56.38,55.11,55.16,6660900,0.0021802325581394832
2020-11-06,55.69,55.96,55.44,55.52,3686324,0.006526468455402501
2020-11-09,54.77,55.12,53.89,54.05,4381300,-0.026476945244956918
2020-11-10,56.64,56.85,55.98,56.57,5835800,0.04662349676225719
2020-11-11,57.54,58.08,57.32,58.02,4069700,0.02563196040304061
2020-11-12,56.81,57.37,56.48,56.84,2906589,-0.020337814546708022
2020-11-13,56.87,57.42,56.76,57.38,2911496,0.00950035186488396
2020-11-16,56.49,56.77,56.07,56.29,5190500,-0.018996165911467466
2020-11-17,55.11,55.42,54.75,54.96,6451532,-0.023627642565286933
2020-11-18,55.33,55.34,53.96,53.99,4732307,-0.017649199417758332
2020-11-19,54.25,54.25,53.67,54.03,6768216,0.0007408779403592636
2020-11-20,54.88,55.42,54.68,55.3,4314695,0.02350545992966868
2020-11-23,54.52,54.71,53.33,54.7,13670634,-0.010849909584086714
2020-11-24,54.0,54.3,53.52,53.57,8341400,-0.0206581352833638
2020-11-25,52.34,53.09,52.3,52.6,11660900,-0.018107149523987287
