Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,1803.56,1837.72,1796.94,1834.44,362423,
2020-08-25,1836.02,1858.29,1816.41,1853.8,313200,0.010553629445498203
2020-08-26,1838.8,1883.97,1835.01,1866.97,394400,0.007104326248786208
2020-08-27,1892.58,1924.86,1874.27,1893.5,398912,0.01421019084398778
2020-08-28,1896.15,1955.61,1895.23,1945.25,320800,0.027330340639028172
2020-08-31,1922.47,1936.5,1908.13,1910.45,321247,-0.01788973139699268
2020-09-01,1905.13,1937.0,1899.73,1928.86,316036,0.009636473082258012
2020-09-02,1940.0,1955.4,1895.65,1948.73,335300,0.010301421565069635
2020-09-03,1952.15,1966.22,1909.89,1945.45,428324,-0.001683147485798453
2020-09-04,1947.97,1962.6,1906.08,1917.74,379300,-0.014243491223110305
2020-09-08,1886.86,1930.08,1882.94,1891.6,346975,-0.013630627718043131
2020-09-09,1887.55,1910.08,1823.4,1871.07,460900,-0.01085324592937198
2020-09-10,1871.0,1901.9,1811.74,1816.59,342025,-0.02911702929339899
2020-09-11,1813.52,1835.02,1769.98,1783.74,383115,-0.018083331957128412
2020-09-14,1803.0,1805.45,1774.6,1784.59,377208,0.0004765268480830809
2020-09-15,1797.41,1817.74,1785.0,1787.0,268000,0.0013504502434733556
2020-09-16,1800.0,1837.83,1787.9,1806.66,382341,0.011001678791270342
2020-09-17,1783.19,1805.84,1756.49,1787.21,480610,-0.010765722382739429
2020-09-18,1791.16,1794.52,1720.0,1732.28,629354,-0.030735056316829046
2020-09-21,1676.2,1688.09,1632.17,1652.39,656113,-0.046118410418638955
2020-09-22,1659.22,1679.34,1625.0,1674.0,434029,0.013078026373918972
2020-09-23,1692.1,1693.09,1633.74,1638.47,289084,-0.021224611708482666
2020-09-24,1617.28,1680.35,1601.01,1650.57,394142,0.007384938387642093
2020-09-25,1635.0,1660.74,1612.0,1657.77,302629,0.0043621294461912985
2020-09-28,1694.99,1729.25,1671.25,1700.4,296300,0.0257152681011239
2020-09-29,1700.15,1712.27,1670.41,1672.98,228590,-0.016125617501764333
2020-09-30,1682.64,1729.79,1679.0,1710.68,326110,0.02253463878827011
2020-10-01,1735.54,1750.0,1730.0,1742.98,339523,0.018881380503659395
2020-10-02,1698.99,1720.0,1684.03,1710.71,269900,-0.01851426866630712
2020-10-05,1705.28,1720.47,1662.47,1706.79,317000,-0.002291446241619033
2020-10-06,1714.09,1759.03,1700.1,1709.71,330434,0.0017108138669665873
2020-10-07,1724.0,1761.18,1720.0,1758.85,215771,0.02874171643144141
2020-10-08,1770.06,1794.53,1753.0,1788.81,262961,0.01703385734997309
2020-10-09,1807.0,1828.81,1786.71,1817.89,264985,0.01625661752785379
2020-10-12,1830.83,1866.0,1826.66,1845.0,357021,0.014912893519409831
2020-10-13,1840.0,1846.98,1771.87,1780.97,426256,-0.03470460704607048
2020-10-14,1783.38,1791.17,1730.88,1732.6,316886,-0.027159356979623572
2020-10-15,1700.0,1711.16,1686.42,1702.11,321613,-0.017597829851090818
