Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,15.49,16.15,15.49,15.91,3528516,
2020-08-25,16.12,16.24,15.64,15.65,3371194,-0.01634192331866746
2020-08-26,15.53,15.59,14.96,15.05,5064800,-0.0383386581469648
2020-08-27,15.06,15.15,14.68,14.73,6289902,-0.02126245847176078
2020-08-28,14.78,14.92,14.65,14.8,4372600,0.004752206381534396
2020-08-31,14.89,14.94,14.12,14.28,8577905,-0.03513513513513522
2020-09-01,14.06,14.19,13.76,13.88,6092104,-0.028011204481792618
2020-09-02,13.85,14.19,13.59,14.11,7738416,0.016570605187319787
2020-09-03,14.55,14.85,14.3,14.55,11846165,0.031183557760453562
2020-09-04,14.72,14.92,14.37,14.53,9650886,-0.0013745704467355013
2020-09-08,14.25,14.33,13.61,13.99,11613118,-0.037164487267721924
2020-09-09,14.17,14.22,13.88,14.12,6644089,0.00929235167977116
2020-09-10,14.1,14.17,13.78,13.87,8190201,-0.01770538243626063
2020-09-11,13.89,13.97,13.55,13.95,6885876,0.005767844268204758
2020-09-14,13.91,14.81,13.64,14.63,8095600,0.0487455197132618
2020-09-15,14.64,14.93,14.55,14.71,7440205,0.005468215994531844
2020-09-16,14.75,15.24,14.55,15.01,9027403,0.020394289598912207
2020-09-17,14.8,15.25,14.48,15.19,7666945,0.011992005329780175
2020-09-18,15.02,15.61,15.01,15.17,8862243,-0.0013166556945358732
2020-09-21,14.77,14.81,14.13,14.33,6700371,-0.05537244561634802
2020-09-22,14.43,14.58,14.22,14.4,4559500,0.00488485694347518
2020-09-23,14.39,14.49,13.5,13.53,6465300,-0.060416666666666785
2020-09-24,13.35,13.61,13.1,13.32,6886881,-0.01552106430155209
2020-09-25,13.12,13.25,13.01,13.13,6254000,-0.014264264264264193
2020-09-28,13.43,13.68,13.35,13.47,5526239,0.025894897182025867
2020-09-29,13.43,13.58,12.96,13.13,4779847,-0.025241276911655564
2020-09-30,13.17,13.54,13.15,13.29,5729800,0.012185833968012094
2020-10-01,13.0,13.17,12.57,12.76,5442600,-0.039879608728367155
2020-10-02,12.29,12.86,12.13,12.65,5973405,-0.008620689655172376
2020-10-05,12.86,13.07,12.76,12.96,6843885,0.02450592885375502
2020-10-06,13.23,13.31,12.74,12.76,6223348,-0.015432098765432167
2020-10-07,12.81,13.03,12.6,12.97,5242099,0.016457680250783868
2020-10-08,13.15,13.42,13.0,13.38,5671140,0.0316114109483423
2020-10-09,13.42,13.61,13.11,13.2,4379925,-0.013452914798206428
2020-10-12,13.13,13.22,12.9,13.13,4825114,-0.005303030303030143
2020-10-13,13.05,13.09,12.74,12.86,6947900,-0.02056359482102066
2020-10-14,12.87,13.64,12.81,13.15,8812832,0.02255054432348369
2020-10-15,12.89,13.55,12.83,13.45,7062800,0.02281368821292773
2020-10-16,13.33,13.46,13.12,13.14,7910100,-0.023048327137546343
2020-10-19,13.38,13.63,13.08,13.11,7472115,-0.0022831050228311334
2020-10-20,13.34,13.71,13.28,13.63,9801401,0.03966437833714731
2020-10-21,13.4,14.34,13.28,14.04,10954423,0.03008070432868659
2020-10-22,14.17,14.52,13.97,14.46,7498577,0.02991452991453003
2020-10-23,14.59,14.68,14.06,14.29,6998400,-0.011756569847856224
2020-10-26,14.06,14.06,13.7,13.9,4193435,-0.027291812456262998
2020-10-27,13.83,14.21,13.62,14.17,5904800,0.01942446043165469
2020-10-28,13.78,14.03,13.62,13.7,9975301,-0.03316866619618919
2020-10-29,13.5,14.36,13.36,14.35,9574800,0.04744525547445266
