Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,110.735,111.2,109.31,110.57,1438342,
2020-08-24,112.0,113.04,110.59,111.28,1094690,0.006421271592656375
2020-08-25,111.37,111.9837,110.723,111.26,1300373,-0.00017972681524081047
2020-08-26,111.82,113.97,111.56,112.67,1221894,0.012673018155671345
2020-08-27,113.26,113.47,109.08,109.36,1999832,-0.029377829058311877
2020-08-28,110.5,111.36,109.87,110.86,1038172,0.013716166788588113
2020-08-31,110.51,112.0,110.215,110.91,1603110,0.0004510193036262322
2020-09-01,111.1788,114.03,110.89,113.98,1544169,0.027680100982778955
2020-09-02,114.47,117.59,113.59,117.09,1792856,0.027285488682224912
2020-09-03,114.82,115.3,107.105,108.06,2558370,-0.0771201639764284
2020-09-04,108.16,108.53,102.0,105.88,2248580,-0.02017397741995197
2020-09-08,100.0,103.71,98.1572,100.44,2166563,-0.051378919531545164
2020-09-09,102.39,105.11,101.2,104.34,1494976,0.038829151732377554
2020-09-10,104.52,105.81,101.54,102.22,1279196,-0.020318190530956515
2020-09-11,102.91,103.81,100.27,101.51,1167793,-0.006945803169634113
2020-09-14,102.88,104.035,102.035,103.23,1451480,0.01694414343414441
2020-09-15,104.45,105.88,104.44,105.23,1069556,0.019374212922599998
2020-09-16,105.77,106.21,102.44,102.55,1066307,-0.025468022427064585
2020-09-17,99.62,101.49,99.04,101.15,2491361,-0.013651877133105672
2020-09-18,101.86,101.96,98.64,99.76,3428164,-0.013741967375185404
2020-09-21,98.75,102.13,97.45,102.1,2093796,0.02345629510825975
2020-09-22,103.39,103.39,100.52,102.83,1422768,0.007149853085210545
2020-09-23,102.31,102.83,99.23,99.72,1063109,-0.030244092190994887
2020-09-24,98.74,103.1,98.47,102.12,1689892,0.024067388688327362
2020-09-25,102.0,104.13,100.88,103.72,2412480,0.015667841754798184
2020-09-28,105.05,105.325,103.83,105.25,1427430,0.014751253374469808
2020-09-29,105.82,106.94,105.65,105.78,1187916,0.005035629453681745
2020-09-30,105.35,107.9501,105.3,106.63,1813892,0.008035545471733796
2020-10-01,107.85,109.31,107.59,108.63,1837452,0.018756447528837983
2020-10-02,106.38,107.47,104.48,105.32,1332139,-0.030470404124090966
2020-10-05,106.11,107.65,106.04,107.46,962731,0.02031902772502847
2020-10-06,107.0,108.0,105.19,105.52,1137215,-0.018053229108505486
2020-10-07,106.53,108.99,105.79,108.44,1139276,0.027672479150871787
2020-10-08,109.41,109.55,107.9359,109.32,661989,0.00811508668388039
2020-10-09,110.29,112.3,109.85,111.93,1018867,0.0238748627881451
2020-10-12,114.26,116.38,113.0568,115.56,1445633,0.032430983650495904
2020-10-13,116.46,117.87,115.29,116.77,1246562,0.010470751124956656
2020-10-14,117.0,118.22,115.8,116.97,1639885,0.001712768690588451
2020-10-15,115.0,116.55,114.0,115.96,1458241,-0.008634692656236731
2020-10-16,116.87,117.5,114.56,115.69,1169020,-0.002328389099689465
2020-10-19,115.51,117.095,112.91,113.56,1611778,-0.018411271501426185
2020-10-20,115.35,116.0,112.0,112.61,2304646,-0.008365621697780878
2020-10-21,112.61,113.96,111.21,111.23,1445095,-0.012254684308675934
2020-10-22,111.67,112.0599,108.75,109.32,1589765,-0.017171626359795078
2020-10-23,109.88,112.1,109.06,112.05,1066203,0.02497255762897921
2020-10-26,110.31,112.22,108.11,109.88,1008073,-0.01936635430611333
2020-10-27,110.96,112.2,109.68,109.84,908374,-0.00036403349108116156
2020-10-28,108.05,109.39,105.93,107.64,2006342,-0.020029133284777845
2020-10-29,107.64,111.51,107.58,110.21,1357004,0.023875882571534612
2020-10-30,108.65,110.74,108.1333,109.37,2316611,-0.007621812902640301
2020-11-02,109.95,112.32,109.535,110.51,1645586,0.010423333638109211
2020-11-03,111.55,114.16,111.09,113.59,1477636,0.027870780924803107
2020-11-04,117.67,121.4,115.8,120.99,2250676,0.06514657980456029
2020-11-05,123.79,124.68,122.3559,124.07,2016252,0.025456649309860246
2020-11-06,125.0371,126.27,122.25,125.5,1457637,0.011525751591843436
2020-11-09,126.46,127.5,118.44,118.57,2405691,-0.05521912350597613
2020-11-10,115.94,116.38,111.4,112.39,2097308,-0.052121109892890205
2020-11-11,114.63,117.8213,114.63,116.68,1431767,0.03817065575229117
2020-11-12,117.14,118.14,114.04,114.56,1554381,-0.018169352074048684
2020-11-13,115.62,116.53,114.74,115.82,859584,0.010998603351955127
2020-11-16,115.0,116.37,113.95,114.86,1159945,-0.008288723881885618
2020-11-17,115.0,115.16,113.27,113.48,1207735,-0.012014626501828274
2020-11-18,113.25,113.44,110.84,111.03,1467580,-0.021589707437433936
2020-11-19,111.67,113.12,110.44,112.6,2076482,0.014140322435377772
2020-11-20,113.05,114.88,112.585,112.79,1418835,0.001687388987566818
2020-11-23,113.5,113.98,109.65,111.25,1081672,-0.013653692703253895
2020-11-24,111.3,111.535,109.2,110.74,1626180,-0.004584269662921359
2020-11-25,112.07,113.27,111.41,113.04,1238748,0.020769369694780604
2020-11-27,113.67,116.89,113.67,116.58,927416,0.031316348195328914
2020-11-30,117.22,117.34,114.66,116.3,2304137,-0.00240178418253556
2020-12-01,116.88,117.07,114.59,115.65,2127610,-0.005588993981083368
2020-12-02,114.95,116.79,113.84,116.43,1174166,0.0067444876783397945
2020-12-03,115.72,118.575,115.3,116.68,1422084,0.002147212917632979
2020-12-04,116.7,119.21,116.61,118.34,1160315,0.014226945491943699
2020-12-07,118.89,120.16,118.515,119.02,1025362,0.005746155146188814
2020-12-08,119.33,119.41,117.3,118.41,1400714,-0.005125189043858169
2020-12-09,121.78,121.78,114.825,115.49,1483791,-0.024660079385187106
2020-12-10,114.69,117.95,113.8001,117.45,1078677,0.0169711663347476
2020-12-11,117.23,118.83,116.6624,118.52,1004122,0.009110259684972366
2020-12-14,118.41,122.02,118.41,121.31,1357239,0.0235403307458657
2020-12-15,122.1,124.22,122.08,122.82,1835632,0.012447448685186657
2020-12-16,123.86,125.97,123.7932,125.4,1633953,0.021006350757205805
2020-12-17,126.31,127.37,125.14,127.3,1589621,0.015151515151515138
2020-12-18,127.38,132.26,126.58,132.02,3647880,0.03707776904948945
2020-12-21,130.9,131.9,128.1,131.73,1564336,-0.002196636873201152
2020-12-22,132.21,134.91,131.43,134.37,1491967,0.020040992940104863
2020-12-23,134.86,135.99,132.7201,133.06,1171620,-0.009749199970231492
2020-12-24,133.49,134.6199,132.63,134.0,377249,0.007064482188486432
2020-12-28,135.85,136.0,133.53,134.76,863242,0.005671641791044735
2020-12-29,135.13,135.75,133.29,133.98,996915,-0.005788067675868258
2020-12-30,134.71,136.06,134.07,135.25,944508,0.009479026720406125
2020-12-31,135.42,136.835,135.3,136.43,773703,0.008724584103511956
2021-01-04,136.89,138.31,133.51,135.76,2501961,-0.004910943340907581
2021-01-05,136.74,137.33,135.0,136.14,1634282,0.002799057159693641
2021-01-06,132.34,133.41,129.9107,130.64,2299316,-0.04039958865873361
2021-01-07,132.14,137.49,131.74,137.05,1639860,0.049066135946111755
2021-01-08,136.945,138.545,134.1,136.19,2049699,-0.0062750820868296975
2021-01-11,133.89,136.31,132.831,134.69,2332802,-0.011014024524561239
2021-01-12,135.05,135.05,132.63,133.72,1338573,-0.0072017224738287755
2021-01-13,134.06,135.17,132.155,134.12,1155337,0.0029913251570445887
2021-01-14,134.38,136.02,133.82,135.4,1490773,0.009543692215925992
2021-01-15,134.41,136.15,132.93,134.64,1126778,-0.005612998522895318
2021-01-19,135.83,137.98,134.85,137.62,947628,0.02213309566250765
2021-01-20,138.29,142.11,138.29,140.1,1433062,0.018020636535387213
2021-01-21,140.95,141.25,138.2,138.62,1196485,-0.010563882940756497
2021-01-22,139.08,140.4,137.04,137.42,1402463,-0.008656759486365684
2021-01-25,138.81,139.4,134.31,135.9,1229596,-0.011060980934361697
2021-01-26,135.77,135.97,133.53,133.83,960775,-0.015231788079470121
2021-01-27,132.0,133.96,127.5566,128.43,2085374,-0.04034969737726968
2021-01-28,129.79,135.07,129.55,132.95,1549422,0.03519426925173241
2021-01-29,132.51,133.15,130.04,130.39,1859465,-0.019255359157578034
2021-02-01,131.98,134.98,130.975,134.4,1430079,0.03075389216964508
2021-02-02,135.33,136.46,134.815,135.72,1442158,0.009821428571428426
2021-02-03,136.0,136.32,134.07,134.82,1538969,-0.006631299734748075
2021-02-04,135.22,137.25,134.87,137.1,1332288,0.016911437472185042
2021-02-05,137.57,138.945,135.52,135.8,1802562,-0.009482129832239172
2021-02-08,137.17,138.43,136.66,137.58,1248423,0.013107511045655329
2021-02-09,137.56,139.87,137.02,139.49,888164,0.013882831806948603
2021-02-10,140.2,140.9685,137.52,137.86,1116281,-0.01168542547852891
2021-02-11,139.53,144.06,138.81,143.97,1131849,0.04432032496735805
2021-02-12,143.52,145.92,142.6302,145.68,1152754,0.011877474473848793
2021-02-16,148.37,149.08,145.66,145.99,1309525,0.002127951674903983
2021-02-17,145.12,145.33,140.08,141.78,1123175,-0.02883759161586419
2021-02-18,140.2,140.91,137.6671,139.53,1723312,-0.01586965721540412
2021-02-19,141.22,142.33,139.6,139.66,1579454,0.000931699276141229
2021-02-22,138.92,138.93,132.92,133.16,2091623,-0.04654160103107552
2021-02-23,135.54,135.89,128.49,132.6,3075992,-0.004205467107239458
2021-02-24,131.6,140.2,129.81,139.42,3097634,0.05143288084464559
2021-02-25,138.43,142.64,137.275,138.02,3037908,-0.010041600918089033
2021-02-26,139.06,143.32,137.735,141.09,2526035,0.02224315316620773
2021-03-01,143.23,147.6,142.13,147.44,2043782,0.04500673329080729
2021-03-02,147.66,147.98,141.08,142.15,2813806,-0.03587900162778079
2021-03-03,141.17,141.7,133.69,133.74,2497300,-0.059162856137882525
2021-03-04,133.96,134.81,127.27,128.81,2715235,-0.03686256916404973
2021-03-05,130.81,130.81,122.62,126.69,3755421,-0.01645834950702585
2021-03-08,125.0651,125.86,119.65,119.68,3490418,-0.05533191254242631
2021-03-09,123.7,128.68,123.27,127.3,2365088,0.06366978609625651
2021-03-10,128.97,130.545,126.69,126.88,2048322,-0.0032992930086410688
2021-03-11,129.135,132.18,129.135,130.13,2582512,0.02561475409836067
