Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,111.69,113.39,111.35,112.29,541000,
2020-08-25,112.52,113.49,111.16,112.15,491916,-0.0012467717517142818
2020-08-26,111.98,112.24,110.09,111.17,1026415,-0.008738296923762823
2020-08-27,112.52,115.56,111.83,114.84,1177836,0.033012503373212265
2020-08-28,115.09,115.84,113.76,115.34,578548,0.004353883664228508
2020-08-31,115.01,115.01,112.71,113.65,631394,-0.01465233223513085
2020-09-01,112.74,113.48,110.13,112.59,1097007,-0.0093268807743071
2020-09-02,113.93,117.86,112.95,117.53,1080820,0.043876010302868806
2020-09-03,117.01,117.53,111.3,112.17,919022,-0.04560537735046366
2020-09-04,113.74,115.42,111.54,114.25,1383600,0.018543282517607285
2020-09-08,112.14,114.16,111.59,111.72,1157200,-0.02214442013129103
2020-09-09,112.47,112.79,109.52,110.55,637934,-0.01047261009667022
2020-09-10,111.0,112.05,109.36,110.08,1083303,-0.00425146992311165
2020-09-11,109.25,111.55,109.05,111.32,1073800,0.011264534883720811
2020-09-14,112.36,114.82,111.86,113.15,765170,0.016439094502335827
2020-09-15,113.32,115.51,113.2,114.18,468900,0.00910296067167482
2020-09-16,115.11,116.65,113.64,113.91,894225,-0.0023646873357856535
2020-09-17,112.07,114.48,111.76,114.23,908900,0.0028092353612501064
2020-09-18,115.0,115.26,112.17,112.82,1240261,-0.012343517464764142
2020-09-21,110.89,111.47,108.49,108.81,1031921,-0.03554334337883347
2020-09-22,108.33,110.31,105.87,110.17,847700,0.012498851208528672
2020-09-23,111.01,112.13,108.01,109.21,946435,-0.00871380593628035
2020-09-24,108.63,111.98,108.14,110.43,911100,0.011171138174159934
2020-09-25,110.25,112.86,109.67,112.74,688627,0.020918228742189404
2020-09-28,114.44,116.72,113.11,116.5,1214966,0.03335107326592168
2020-09-29,116.99,118.97,116.51,118.11,790063,0.013819742489270315
2020-09-30,118.53,121.89,118.1,119.53,1013463,0.0120226907120482
2020-10-01,120.45,124.53,120.45,123.5,1000938,0.03321341922529908
2020-10-02,120.64,124.62,120.42,123.49,1128318,-8.097165991904909e-05
2020-10-05,124.35,126.43,124.06,125.88,653728,0.019353793829459898
2020-10-06,126.13,127.24,122.52,123.07,985929,-0.02232284715602162
2020-10-07,124.68,126.24,124.3,125.93,497900,0.023238807182904164
2020-10-08,126.73,127.16,125.57,126.2,404348,0.0021440482807908445
2020-10-09,127.25,127.83,125.62,125.99,506700,-0.001664025356576948
2020-10-12,127.86,130.81,126.48,130.01,596325,0.03190729422970073
2020-10-13,130.53,131.22,129.69,129.93,688900,-0.0006153372817474523
2020-10-14,130.38,131.13,129.39,129.52,673200,-0.0031555452936196104
2020-10-15,127.58,130.16,127.0,129.8,473929,0.0021618282890674134
2020-10-16,130.75,131.76,129.3,130.62,393909,0.006317411402157136
2020-10-19,130.21,132.25,128.12,128.86,482590,-0.01347419996937671
2020-10-20,130.72,131.39,128.91,129.32,422356,0.0035697656371254105
2020-10-21,129.75,130.3,128.09,128.84,468900,-0.003711722858026567
2020-10-22,128.52,129.83,127.32,129.44,337800,0.004656938838869973
2020-10-23,130.3,130.54,128.67,130.0,310924,0.004326328800988932
2020-10-26,128.27,129.61,124.22,125.67,426500,-0.03330769230769226
2020-10-27,125.35,126.2,123.12,123.28,620100,-0.01901806318134802
2020-10-28,120.33,120.75,118.31,118.73,706900,-0.036907852044127165
2020-10-29,117.28,122.09,117.02,120.95,733100,0.018697885959740645
2020-10-30,119.94,123.2,118.61,122.6,1147024,0.013642000826787903
2020-11-02,125.17,129.46,123.22,126.45,1247647,0.031402936378466695
2020-11-03,130.05,131.81,127.66,130.72,676921,0.03376828786081454
2020-11-04,132.15,135.95,130.09,133.85,993800,0.023944308445532414
2020-11-05,135.22,139.75,135.11,138.18,1322200,0.03234964512514016
2020-11-06,138.3,139.49,137.11,138.05,676298,-0.0009408018526558815
2020-11-09,141.09,146.95,141.09,143.95,1568912,0.042738138355667976
2020-11-10,141.33,144.22,136.87,137.53,1310312,-0.044598819034386894
2020-11-11,138.32,139.34,136.87,138.7,582342,0.008507234785137596
2020-11-12,138.46,139.23,135.26,135.56,456458,-0.02263878875270353
2020-11-13,136.99,138.43,136.82,137.59,1199500,0.01497491885511959
2020-11-16,139.31,140.82,138.57,139.08,677911,0.010829275383385406
2020-11-17,137.61,138.96,136.33,136.78,711413,-0.016537244751222424
2020-11-18,137.1,138.11,135.67,135.73,1481000,-0.007676560900716556
