Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,340.07,345.84,339.33,344.61,2372600,
2020-08-24,345.11,346.11,342.11,344.13,1461915,-0.0013928789065901226
2020-08-25,344.14,344.91,341.46,344.71,1176200,0.0016854095835876493
2020-08-26,343.01,344.83,341.69,344.27,1757268,-0.0012764352644251131
2020-08-27,345.61,347.74,342.55,346.36,2221007,0.006070816510297172
2020-08-28,347.47,349.06,345.5,348.37,1487324,0.005803210532393965
2020-08-31,346.85,348.75,344.29,347.66,1586941,-0.0020380629790165417
2020-09-01,345.71,351.49,345.41,351.38,1774856,0.010700109302191674
2020-09-02,353.61,359.92,351.31,358.86,2434933,0.021287495019636893
2020-09-03,363.07,363.67,345.52,348.3,3630441,-0.029426517304798505
2020-09-04,353.98,353.98,340.4,346.57,2557093,-0.0049669824863624035
2020-09-08,343.84,344.92,338.18,338.86,2144332,-0.022246587990881972
2020-09-09,340.9,349.7,340.39,346.43,2100900,0.022339609278168027
2020-09-10,346.27,348.0,338.76,339.53,1959600,-0.019917443639407728
2020-09-11,340.28,343.26,336.1,339.13,1599904,-0.0011780991370423655
2020-09-14,340.99,344.84,340.47,342.92,1522316,0.011175655353404368
2020-09-15,345.02,347.76,342.75,343.91,1362500,0.0028869707220342544
2020-09-16,347.27,348.76,343.25,343.73,1657876,-0.0005233927481027578
2020-09-17,339.58,342.89,336.37,338.88,2681500,-0.01410991184941679
2020-09-18,340.2,341.22,331.2,335.96,3409322,-0.008616619452313512
2020-09-21,333.97,339.62,333.71,339.57,2427400,0.010745326824622037
2020-09-22,340.7,344.9,339.59,344.45,2128100,0.014371116411932672
2020-09-23,348.0,348.25,344.06,344.63,3577124,0.000522572216577144
2020-09-24,345.0,347.33,338.31,347.0,5779300,0.006876940486898908
2020-09-25,340.74,343.77,335.36,342.58,7338500,-0.012737752161383287
2020-09-28,343.76,349.77,343.1,349.62,3459200,0.020549944538502007
2020-09-29,348.95,354.29,347.1,352.14,2526612,0.007207825639265364
2020-09-30,352.56,357.7,351.17,355.0,2525800,0.008121769750667474
2020-10-01,356.26,359.69,354.82,358.46,2053000,0.009746478873239317
2020-10-02,354.73,357.84,352.85,355.01,2125000,-0.00962450482620092
2020-10-05,355.33,358.98,355.33,358.58,2093540,0.010056054759020938
2020-10-06,361.9,363.0,357.04,358.35,2760443,-0.0006414189302246243
2020-10-07,360.47,364.74,359.66,363.02,1959147,0.013031952002232394
2020-10-08,364.8,365.97,361.75,365.09,1793133,0.005702165169963136
2020-10-09,366.0,369.75,365.7,369.46,1730700,0.01196965131885297
2020-10-12,371.0,380.66,370.77,376.48,2806900,0.01900070372976792
2020-10-13,378.42,382.29,376.48,380.68,1823300,0.011155971100722528
2020-10-14,382.89,383.87,376.7,378.34,1905710,-0.006146895029946475
2020-10-15,376.46,378.36,373.06,376.58,1699338,-0.004651900407041221
2020-10-16,380.5,384.87,379.12,381.54,2460490,0.013171172128100261
2020-10-19,382.03,383.09,374.71,375.56,1938100,-0.01567332389788756
2020-10-20,377.69,382.08,376.12,378.31,1282650,0.007322398551496523
2020-10-21,378.56,381.28,377.02,377.82,1466500,-0.0012952340672993667
2020-10-22,377.35,378.38,372.03,375.75,1813550,-0.005478799428299208
2020-10-23,375.61,376.52,373.56,374.6,1108000,-0.0030605455755156052
2020-10-26,366.68,372.63,366.12,370.71,2145000,-0.010384410037373337
2020-10-27,368.77,374.91,368.77,372.72,1525684,0.005422028000323875
2020-10-28,367.33,372.41,364.67,364.96,1908300,-0.020819918437433027
2020-10-29,363.23,369.09,362.51,364.86,1838500,-0.00027400263042520745
2020-10-30,361.13,363.85,355.79,357.62,2724917,-0.01984322753933021
2020-11-02,362.22,365.66,360.71,364.39,1646349,0.01893070857334589
2020-11-03,368.94,374.8,367.89,371.96,2013103,0.020774444962814442
2020-11-04,374.02,381.64,374.0,376.17,2450234,0.01131842133562766
2020-11-05,382.48,386.58,379.5,385.23,2255800,0.024084855251614856
2020-11-06,381.88,386.8,380.89,385.66,1950329,0.0011162162863744829
2020-11-09,388.25,389.5,364.76,365.0,4371322,-0.053570502515168816
2020-11-10,363.88,371.54,360.59,366.62,2662644,0.0044383561643834835
2020-11-11,369.68,374.7,368.16,372.92,1688800,0.01718400523703023
2020-11-12,376.95,378.24,373.5,375.71,1537419,0.007481497372090473
2020-11-13,376.52,379.83,374.99,378.84,1275252,0.00833089350829086
2020-11-16,376.91,381.28,376.91,379.79,1691500,0.002507654946679372
2020-11-17,387.32,388.48,381.79,381.92,3299130,0.0056083625161273964
2020-11-18,382.89,388.05,381.73,382.23,2134609,0.0008116883116882079
2020-11-19,383.61,384.71,380.31,383.54,1768904,0.0034272558407242304
2020-11-20,383.95,385.5,381.01,381.12,1809463,-0.006309641758356355
2020-11-23,383.0,383.06,380.34,381.71,1685136,0.0015480688497060413
2020-11-24,383.69,386.05,380.71,384.22,2065672,0.006575672631055074
2020-11-25,385.79,388.34,385.56,387.75,2034236,0.009187444693144586
2020-11-27,390.46,390.67,387.75,388.39,1329425,0.0016505480335267109
2020-11-30,391.75,393.15,385.23,391.77,3733800,0.008702592754705307
2020-12-01,384.5,388.07,381.18,387.56,2998441,-0.01074610102866469
2020-12-02,385.47,386.88,381.57,383.5,2212845,-0.010475797295902534
2020-12-03,378.0,378.73,373.28,374.05,3976442,-0.0246414602346805
2020-12-04,375.21,375.31,371.89,373.43,2839727,-0.0016575324154525228
2020-12-07,374.27,376.5,372.65,373.33,2652928,-0.00026778780494340904
2020-12-08,373.95,379.52,370.75,377.6,2685523,0.01143760212144751
2020-12-09,379.88,381.0,372.8,374.29,2461600,-0.008765889830508522
2020-12-10,374.29,375.0,371.56,372.79,2566344,-0.0040075876993774795
2020-12-11,379.77,379.77,372.54,375.1,3483947,0.006196518146946106
2020-12-14,376.56,378.18,373.21,374.38,2778433,-0.0019194881364970051
2020-12-15,374.5,375.69,369.3,371.88,2137136,-0.0066777071424755086
2020-12-16,371.16,372.84,368.85,369.44,2385100,-0.006561256319242759
2020-12-17,370.26,370.97,368.0,370.29,2314200,0.0023007795582503654
2020-12-18,371.1,371.36,365.93,367.0,4140033,-0.008884928029382455
2020-12-21,365.09,366.12,361.81,364.97,2329700,-0.005531335149863703
2020-12-22,364.1,364.76,360.61,362.03,2106626,-0.008055456612872436
2020-12-23,362.45,363.1,359.5,361.89,1782110,-0.0003867082838437952
2020-12-24,361.41,365.34,361.41,364.58,972522,0.00743319793307351
2020-12-28,365.5,371.69,365.08,371.06,3207700,0.017773876789730636
2020-12-29,372.25,373.26,370.26,372.72,2072603,0.00447367002641097
2020-12-30,374.2,375.86,373.28,374.45,1778000,0.00464155398154098
2020-12-31,374.99,377.04,372.46,376.78,1628904,0.006222459607424069
2021-01-04,377.43,381.55,374.81,380.15,3322200,0.008944211476193065
2021-01-05,378.86,380.21,375.25,375.74,2748442,-0.011600683940549694
2021-01-06,373.82,375.8,369.65,370.02,2661436,-0.015223292702400637
2021-01-07,371.01,371.65,366.79,367.92,2849525,-0.00567536889897835
2021-01-08,368.12,370.26,364.29,369.94,2599700,0.00549032398347471
2021-01-11,368.58,371.0,363.86,364.01,2564790,-0.016029626425906884
2021-01-12,364.0,365.07,360.25,364.2,2387600,0.0005219636823163842
2021-01-13,364.37,368.74,363.0,366.95,1968804,0.007550796265787918
2021-01-14,366.0,366.5,361.56,362.35,2363900,-0.012535767815778587
2021-01-15,361.06,364.91,360.8,362.16,2340400,-0.000524354905478086
2021-01-19,362.36,362.95,352.44,354.47,4533829,-0.021233708857963274
2021-01-20,354.39,361.9,353.41,361.3,2767231,0.019268203232995607
2021-01-21,361.3,363.99,359.94,362.8,2122581,0.00415167450871845
2021-01-22,363.2,364.63,359.85,362.3,1960300,-0.001378169790518191
2021-01-25,360.86,361.96,356.82,361.88,2735901,-0.0011592602815346797
2021-01-26,360.2,365.9,358.88,364.98,1807000,0.008566375594119657
2021-01-27,362.99,365.8,354.85,356.39,3120813,-0.02353553619376414
2021-01-28,356.85,361.61,356.07,357.06,2251115,0.0018799629619237201
2021-01-29,354.75,356.29,351.88,352.43,2598738,-0.012967008345936226
2021-02-01,351.21,352.79,349.21,350.52,2371200,-0.005419515932241881
2021-02-02,351.76,357.7,350.72,355.58,1905007,0.014435695538057791
2021-02-03,356.23,357.53,353.21,355.21,1759821,-0.0010405534619495338
2021-02-04,356.71,358.38,353.85,355.85,3411624,0.0018017510768280065
2021-02-05,356.55,356.85,354.1,355.17,2165628,-0.0019109175214275798
2021-02-08,356.57,360.04,355.57,359.83,2520700,0.013120477517808204
2021-02-09,360.04,361.67,358.3,359.56,2154000,-0.0007503543339909546
2021-02-10,361.0,361.0,355.12,356.12,2162400,-0.009567248859717381
2021-02-11,355.73,356.5,351.39,352.2,2088400,-0.011007525553184405
2021-02-12,351.99,352.98,350.1,352.75,2096607,0.0015616127200455132
2021-02-16,353.08,355.36,352.04,354.0,1829035,0.003543586109142405
2021-02-17,353.11,358.17,351.91,358.04,2145058,0.011412429378531153
2021-02-18,352.28,358.2,352.28,356.92,1915706,-0.0031281421070271653
2021-02-19,356.69,357.93,354.58,354.77,1839533,-0.006023758825507208
2021-02-22,352.75,353.29,348.82,350.21,2215600,-0.012853397976153591
2021-02-23,349.8,351.0,342.03,342.15,3692638,-0.023014762571028857
2021-02-24,341.79,342.5,337.89,340.7,3305848,-0.004237907350577164
2021-02-25,340.85,343.0,333.35,333.9,3618100,-0.019958908130319974
2021-02-26,335.51,335.89,330.94,331.0,3362224,-0.00868523510032937
2021-03-01,335.21,336.0,331.36,331.77,4656825,0.002326283987915456
2021-03-02,333.69,334.69,328.42,328.46,4660100,-0.009976791150495878
2021-03-03,328.17,328.42,323.76,323.92,4064203,-0.013822078791937975
2021-03-04,323.37,325.6,315.04,319.04,5501245,-0.015065448258829273
2021-03-05,315.33,318.43,307.0,317.32,8102800,-0.005391173520561732
2021-03-08,318.91,322.33,310.92,311.42,4873500,-0.018593218202445416
2021-03-09,313.76,320.28,312.71,318.78,5426800,0.023633677991137247
2021-03-10,321.14,327.39,317.32,323.83,4523512,0.01584164627642881
2021-03-11,330.41,331.25,326.72,328.65,4338900,0.014884352901213482
2021-03-12,328.1,331.63,325.6,331.14,3182100,0.007576449109995442
2021-03-15,333.6,333.68,327.32,330.51,3244291,-0.0019025185722051363
2021-03-16,329.67,330.03,326.64,327.25,3066700,-0.0098635442195395
2021-03-17,326.0,330.5,324.12,329.19,2672400,0.005928189457601318
2021-03-18,326.48,328.14,322.38,322.98,2738244,-0.01886448555545428
2021-03-19,323.61,329.25,322.39,328.91,4859300,0.018360269985757682
2021-03-22,328.45,336.17,328.19,334.49,4064900,0.016965127238454336
2021-03-23,333.89,342.51,333.8,340.34,3641218,0.01748931208705784
2021-03-24,342.22,342.51,336.83,338.04,3006400,-0.006757947934418418
2021-03-25,337.81,347.78,337.27,346.34,4307145,0.024553307300910987
2021-03-26,346.21,352.46,344.1,352.02,3061215,0.01640006929606752
2021-03-29,351.45,357.77,351.01,356.15,3012000,0.01173228793818537
2021-03-30,353.58,354.77,348.84,349.75,2602426,-0.017969956479011562
2021-03-31,350.66,357.45,349.23,352.48,2832221,0.0078055754110080144
2021-04-01,352.54,357.32,351.63,354.94,2938607,0.006979119382660048
2021-04-05,357.5,362.67,356.84,360.82,2705700,0.016566180199470315
2021-04-06,359.8,362.8,359.0,360.12,2142011,-0.0019400254974779596
2021-04-07,360.87,361.46,357.61,358.81,1808400,-0.0036376763301121384
2021-04-08,362.8,366.02,359.6,361.22,2839200,0.006716646693236017
2021-04-09,360.91,363.71,359.6,363.21,1610800,0.005509108022811349
2021-04-12,362.84,365.25,361.34,364.81,1836606,0.004405165056028171
2021-04-13,365.34,367.3,364.27,365.21,1796400,0.0010964611715686967
2021-04-14,364.85,364.85,362.55,363.17,1509408,-0.005585827332219684
2021-04-15,364.88,369.55,364.27,368.8,1850332,0.015502381804664456
2021-04-16,369.7,372.8,368.58,370.72,2249200,0.0052060737527115375
2021-04-19,371.0,371.53,368.2,369.55,1560002,-0.0031560207164437193
2021-04-20,369.0,375.36,368.73,371.73,2330700,0.005899066432147215
2021-04-21,371.61,374.58,371.47,374.09,1532098,0.0063486939445294155
2021-04-22,374.34,375.44,370.03,371.26,2138003,-0.007565024459354697
2021-04-23,371.26,374.85,370.41,373.28,1404929,0.005440930884016648
2021-04-26,373.9,373.9,368.21,368.52,2059737,-0.012751821688812615
2021-04-27,368.17,370.96,365.29,370.21,1875900,0.0045859112124171375
2021-04-28,369.55,370.5,368.18,369.59,1305602,-0.0016747251559925402
2021-04-29,368.54,374.71,368.53,373.54,1848301,0.010687518601693924
2021-04-30,372.91,374.16,371.33,372.09,2118990,-0.0038817797290786604
2021-05-03,373.84,379.62,372.89,379.32,2685849,0.01943078287511102
2021-05-04,379.03,379.23,373.75,375.29,2133800,-0.010624275018453977
2021-05-05,376.35,377.52,372.05,372.5,1905324,-0.007434250846012458
2021-05-06,373.19,382.94,373.19,382.76,2641400,0.02754362416107381
2021-05-07,382.83,386.45,382.2,384.32,1817365,0.004075660988609009
2021-05-10,385.49,387.89,381.28,381.48,1998700,-0.007389675270607743
2021-05-11,379.31,380.92,376.0,378.18,1859700,-0.00865051903114189
2021-05-12,376.0,376.94,371.11,372.2,2344600,-0.015812576022000147
2021-05-13,373.09,381.44,371.57,379.53,2023855,0.0196937130574959
2021-05-14,382.14,385.82,380.1,384.42,1876138,0.012884356967828747
2021-05-17,385.04,387.05,382.9,383.96,1830800,-0.0011966078768015365
2021-05-18,386.45,389.45,382.51,382.81,1698200,-0.0029951036566308042
2021-05-19,377.15,381.73,376.13,379.66,1725320,-0.008228625166531667
2021-05-20,379.18,384.52,378.28,383.58,1427343,0.010325027656324037
2021-05-21,385.05,385.35,380.43,380.72,1706600,-0.007456071745137849
2021-05-24,384.34,385.76,381.89,383.45,1657024,0.007170624080689025
2021-05-25,383.62,385.74,382.03,385.38,1379749,0.0050332507497719
2021-05-26,385.86,387.75,385.02,385.62,1648000,0.0006227619492449321
2021-05-27,385.13,387.77,383.5,387.5,4452001,0.004875265805715401
2021-05-28,384.15,385.31,377.03,378.27,4682400,-0.023819354838709672
2021-06-01,379.93,380.2,375.5,378.23,2117800,-0.00010574457398149217
2021-06-02,378.38,381.92,377.71,380.59,1881042,0.00623958966766236
2021-06-03,379.64,384.19,378.86,383.87,1780524,0.008618198060905469
2021-06-04,384.19,387.76,383.71,387.52,1765934,0.009508427332169722
2021-06-07,385.47,386.45,378.57,380.4,2515804,-0.018373245251858017
2021-06-08,380.41,381.21,377.69,379.7,1554048,-0.0018401682439537215
2021-06-09,380.21,381.78,379.13,379.96,1399154,0.0006847511193046607
2021-06-10,380.27,383.36,379.49,383.01,1404154,0.00802716075376364
2021-06-11,383.86,383.86,380.53,381.83,1404299,-0.0030808595075846323
2021-06-14,380.79,383.98,379.08,383.76,1652625,0.005054605452688321
2021-06-15,383.76,384.5,381.56,383.91,1252017,0.00039086929330833797
2021-06-16,384.4,386.44,377.12,379.41,1801720,-0.011721497225912314
2021-06-17,380.38,386.47,379.21,384.75,1686533,0.014074484067367665
2021-06-18,384.75,384.91,380.3,380.88,3415714,-0.010058479532163767
2021-06-21,382.25,387.65,380.56,386.8,1631600,0.015542953161100659
2021-06-22,387.02,392.5,386.56,392.18,1934800,0.013908996897621595
2021-06-23,393.0,393.44,390.59,391.97,1538035,-0.0005354684073639593
2021-06-24,393.42,395.5,391.8,392.07,1487380,0.0002551215654258421
2021-06-25,392.97,394.55,391.25,394.51,2056384,0.006223378478332986
2021-06-28,395.0,397.42,393.13,396.54,1645500,0.00514562368507776
2021-06-29,396.3,399.44,395.47,398.79,1523600,0.00567408079891063
2021-06-30,397.97,400.47,395.0,395.67,2031700,-0.007823666591439071
2021-07-01,396.3,397.69,393.88,394.53,1523400,-0.0028811888695126076
2021-07-02,396.21,400.77,396.11,398.94,1677408,0.011177857197171459
2021-07-06,399.84,401.4,397.11,398.86,2113374,-0.00020053140823173
2021-07-07,399.2,406.12,399.2,404.68,2308605,0.014591586020157532
2021-07-08,403.5,408.64,403.16,407.15,2235549,0.006103588020164086
2021-07-09,408.55,414.0,407.59,412.37,2304223,0.012820827704777216
2021-07-12,414.04,414.35,404.53,407.88,2491334,-0.010888279942769863
2021-07-13,404.7,409.29,404.7,407.06,1540373,-0.002010395214278704
2021-07-14,408.58,410.47,407.26,409.95,1265817,0.007099690463322261
2021-07-15,410.46,412.2,407.88,411.82,1894100,0.0045615318941334415
2021-07-16,412.12,413.42,409.77,410.37,1414087,-0.0035209557573696593
2021-07-19,410.06,415.32,410.05,414.15,2293142,0.009211199649097113
2021-07-20,414.0,418.07,412.85,416.24,2045400,0.005046480743692072
2021-07-21,417.11,417.11,412.22,415.01,1480316,-0.0029550259465693784
2021-07-22,416.0,418.6,413.55,417.54,1339236,0.006096238644851981
2021-07-23,418.29,423.99,417.05,423.43,1344500,0.014106432916606737
2021-07-26,423.4,424.5,420.35,423.23,1220157,-0.0004723330892945077
2021-07-27,424.0,424.56,421.6,424.34,1666513,0.002622687427639825
2021-07-28,423.27,424.86,420.54,422.22,1362771,-0.004995993778573626
2021-07-29,421.68,425.85,420.36,425.28,1434216,0.007247406565297654
2021-07-30,425.98,431.5,425.94,429.72,2284040,0.010440180586907655
2021-08-02,430.62,430.71,425.48,428.92,1367176,-0.0018616773713115986
2021-08-03,429.92,436.8,429.12,435.07,1448146,0.014338338151636654
2021-08-04,436.0,437.99,432.89,435.04,1280500,-6.89544211275317e-05
2021-08-05,437.75,443.5,436.73,443.19,1742634,0.018733909525560755
2021-08-06,442.73,443.46,438.9,439.63,1789843,-0.008032672217333392
2021-08-09,440.65,442.78,439.31,440.47,1472778,0.0019106976320997227
2021-08-10,440.66,443.8,440.66,443.03,1893700,0.005811973573682572
2021-08-11,445.5,448.0,441.8,444.3,2267691,0.002866623027786064
2021-08-12,443.0,446.63,442.25,445.36,1230906,0.0023857753769975787
2021-08-13,445.78,448.36,444.54,447.82,1309300,0.005523621340039364
2021-08-16,447.91,453.19,447.05,452.86,1515994,0.011254521906123083
2021-08-17,452.86,453.78,449.7,452.34,1936700,-0.0011482577396988436
2021-08-18,450.96,455.24,445.9,446.21,2030106,-0.013551753106070596
2021-08-19,442.95,455.5,441.31,454.26,1953733,0.018040832791734962
2021-08-20,455.49,460.62,453.66,458.99,1911200,0.010412539074538874
2021-08-23,457.27,459.06,454.59,454.93,1835928,-0.00884550861674549
2021-08-24,455.25,455.39,450.3,451.79,1541700,-0.006902160771986909
2021-08-25,450.83,452.82,447.32,451.23,1520600,-0.0012395139334646643
2021-08-26,451.23,452.48,446.7,449.31,1418645,-0.004255036234293019
2021-08-27,449.31,451.62,446.8,450.34,1310420,0.002292403908214835
2021-08-30,451.04,456.59,450.44,455.93,1220030,0.012412843629257875
2021-08-31,456.14,456.88,452.44,455.49,1699018,-0.0009650604259425766
2021-09-01,455.48,456.68,451.85,456.52,1325400,0.0022613010164875824
2021-09-02,459.42,461.44,458.39,460.97,1455945,0.009747656181547493
2021-09-03,459.0,463.6,459.0,462.55,1303809,0.003427554938499222
2021-09-07,462.5,463.2,457.63,459.6,1463507,-0.006377688898497436
2021-09-08,459.11,465.83,458.08,465.7,1372045,0.013272410791993039
2021-09-09,467.34,469.77,465.24,465.94,1398718,0.00051535323169416
2021-09-10,467.17,468.4,463.2,465.16,1324815,-0.0016740352835128425
2021-09-13,467.06,468.24,458.2,459.66,1679500,-0.011823888554475914
2021-09-14,460.95,462.2,457.42,458.41,1383900,-0.002719401296610524
2021-09-15,458.24,462.25,456.14,460.73,1770339,0.005060971619292864
2021-09-16,460.79,463.77,456.57,463.31,1577709,0.005599808998762779
2021-09-17,461.62,462.82,457.02,459.51,3411408,-0.008201851891821876
2021-09-20,456.63,460.95,446.62,451.14,2602049,-0.018215055167461025
2021-09-21,451.14,456.84,450.16,452.11,1531300,0.002150108613734103
2021-09-22,454.7,455.35,449.84,452.33,1380811,0.0004866072416003231
2021-09-23,452.3,455.55,451.1,452.78,2061230,0.0009948488935069832
2021-09-24,455.98,468.72,455.0,467.75,3353800,0.03306241441759794
2021-09-27,465.55,470.49,457.24,460.56,2526024,-0.015371459112773933
2021-09-28,457.14,457.5,445.67,447.35,2632700,-0.0286824735105089
2021-09-29,449.87,456.0,448.9,451.79,1922000,0.009925114563540838
2021-09-30,453.62,455.36,449.3,449.35,1837244,-0.005400739281524625
2021-10-01,449.73,451.08,440.76,448.33,1860700,-0.0022699454767999283
2021-10-04,448.34,449.35,436.17,440.14,2264000,-0.018267793812593358
2021-10-05,439.58,449.11,439.25,446.24,1808749,0.013859226609715058
2021-10-06,443.93,449.78,442.38,449.34,1334600,0.0069469343850840914
2021-10-07,456.47,459.59,452.07,452.87,1966239,0.007855966528686587
2021-10-08,455.44,455.75,450.0,451.85,1545827,-0.0022523019851170556
2021-10-11,450.04,453.69,449.54,449.7,1011739,-0.004758216222197742
2021-10-12,450.15,452.85,445.75,446.87,1380900,-0.006293084278407801
2021-10-13,448.54,450.51,444.07,445.3,1622100,-0.0035133260232281804
2021-10-14,447.11,451.7,446.5,450.66,1481358,0.012036829103974966
2021-10-15,453.89,453.94,449.18,452.39,1494800,0.0038388141836416256
2021-10-18,449.61,462.35,448.5,461.95,2141552,0.021132208934768748
2021-10-19,463.0,467.16,460.31,467.08,1365302,0.011105097954324128
2021-10-20,468.52,472.5,467.84,469.77,1353062,0.005759184722103239
2021-10-21,469.77,477.65,469.08,477.23,1423300,0.015880111543947084
2021-10-22,478.99,485.03,478.57,481.99,1710335,0.009974226264065633
2021-10-25,481.99,492.21,479.5,490.1,1903424,0.016826075229776638
2021-10-26,482.13,488.25,481.23,485.53,2378600,-0.009324627627015025
2021-10-27,483.85,491.5,483.56,489.11,1741800,0.0073733857846065565
2021-10-28,486.96,491.83,486.48,490.53,1362400,0.0029032324017090883
