Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,24.97,25.23,24.75,25.17,5471600,
2020-08-24,25.25,25.33,25.14,25.21,3974400,0.001589193484306639
2020-08-25,25.39,25.5,25.21,25.47,3181200,0.010313367711225707
2020-08-26,25.37,25.67,25.28,25.61,4090400,0.005496662740479108
2020-08-27,25.74,25.92,25.55,25.77,4396800,0.006247559547051917
2020-08-28,25.76,26.07,25.65,26.02,3376400,0.009701202949165655
2020-08-31,25.98,26.06,25.81,25.83,4467200,-0.00730207532667182
2020-09-01,25.83,26.07,25.73,26.0,4985600,0.006581494386372455
2020-09-02,26.11,26.26,25.92,26.2,7016000,0.007692307692307665
2020-09-03,27.17,27.5,25.32,25.74,10635200,-0.017557251908396965
2020-09-04,26.18,26.43,25.58,25.87,10899600,0.005050505050505194
2020-09-08,25.5,25.82,25.29,25.39,6852400,-0.018554310011596464
2020-09-09,25.5,25.89,25.33,25.76,7081200,0.014572666404096157
2020-09-10,25.78,26.14,25.39,25.49,6657600,-0.010481366459627495
2020-09-11,25.54,25.75,25.13,25.5,5482800,0.0003923107100824996
2020-09-14,25.75,26.0,25.65,25.97,6249600,0.018431372549019498
2020-09-15,26.02,26.48,26.01,26.27,6655600,0.011551790527531747
2020-09-16,26.46,26.53,26.2,26.31,5036400,0.0015226494099733756
2020-09-17,25.86,25.9,25.1,25.56,7026800,-0.02850627137970352
2020-09-18,25.48,25.96,25.43,25.92,10131600,0.014084507042253724
2020-09-21,25.52,25.68,25.02,25.66,5166800,-0.010030864197530964
2020-09-22,25.75,26.32,25.73,26.26,5074400,0.02338269680436489
2020-09-23,26.34,26.42,25.51,25.58,3288000,-0.025894897182025978
2020-09-24,25.49,25.82,25.31,25.5,3731600,-0.0031274433150898506
2020-09-25,25.55,26.18,25.46,26.07,4059600,0.022352941176470686
2020-09-28,26.4,26.63,26.35,26.54,4253600,0.018028385116992673
2020-09-29,26.56,26.71,26.32,26.43,2304800,-0.0041446872645063415
2020-09-30,26.47,26.75,26.16,26.29,7308800,-0.00529701097237989
2020-10-01,26.55,26.87,26.47,26.81,4514400,0.01977938379612021
2020-10-02,26.42,26.92,26.42,26.83,3766000,0.0007459903021260761
2020-10-05,27.24,27.49,27.05,27.42,4866400,0.021990309355199633
2020-10-06,27.41,28.0,27.27,27.42,4297600,0.0
2020-10-07,27.7,27.95,27.64,27.83,4504000,0.014952589350838652
2020-10-08,27.97,28.5,27.86,28.5,4890800,0.024074739489759356
2020-10-09,28.65,29.11,28.57,28.8,3756800,0.010526315789473717
2020-10-12,29.11,29.59,28.69,29.27,4434000,0.01631944444444433
2020-10-13,29.26,29.46,29.06,29.09,4498800,-0.006149641270925876
