Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,83.89,85.55,83.44,85.3,2132000,
2020-08-25,84.79,85.5,84.27,85.42,1691000,0.0014067995310669268
2020-08-26,85.89,86.01,84.15,84.17,1103000,-0.014633575275111221
2020-08-27,84.98,86.17,84.56,84.63,1990000,0.005465130093857518
2020-08-28,85.17,87.06,84.84,85.25,1325000,0.0073260073260073
2020-08-31,85.43,87.94,84.45,84.86,3288000,-0.0045747800586510845
2020-09-01,85.4,87.78,85.33,87.34,1981000,0.029224605232147205
2020-09-02,87.0,88.29,85.88,87.78,2135000,0.005037783375314797
2020-09-03,87.16,87.16,83.93,84.56,2696000,-0.03668261562998398
2020-09-04,84.9,84.9,80.18,82.69,1648000,-0.022114474929044503
2020-09-08,81.13,81.45,79.15,79.21,2116000,-0.042084895392429655
2020-09-09,79.76,81.2,79.03,80.35,1799000,0.01439212220679198
2020-09-10,80.9,81.75,78.09,79.28,1991000,-0.013316739265712418
2020-09-11,79.57,79.94,77.73,78.57,1524000,-0.008955600403632746
2020-09-14,79.42,82.04,79.42,81.47,2749000,0.03690976199567264
2020-09-15,82.0,84.32,82.0,84.3,3724000,0.0347367129004541
2020-09-16,84.49,84.99,83.5,83.97,2472000,-0.003914590747330915
2020-09-17,83.05,83.36,81.91,83.08,2310000,-0.010599023460759804
2020-09-18,83.46,83.62,81.46,82.75,3261000,-0.003972075108329309
2020-09-21,81.63,82.64,80.95,82.4,1912000,-0.004229607250755163
2020-09-22,83.34,83.97,82.24,83.75,1401000,0.016383495145630977
2020-09-23,84.47,84.97,81.89,82.13,1663000,-0.019343283582089588
2020-09-24,81.33,82.72,81.19,81.92,1880000,-0.0025569219530012788
2020-09-25,81.03,84.35,80.95,84.0,1654000,0.025390625
2020-09-28,85.11,85.91,84.66,85.71,1213000,0.02035714285714274
2020-09-29,85.76,86.64,85.09,85.68,1112000,-0.0003500175008749329
2020-09-30,85.98,86.96,84.32,84.85,1802000,-0.009687208216620169
2020-10-01,85.98,87.18,85.08,86.54,2194000,0.01991750147318805
2020-10-02,85.5,86.63,84.82,85.51,2498000,-0.01190201063092211
2020-10-05,86.07,87.01,85.86,86.6,1536000,0.012747047128990552
2020-10-06,86.78,87.15,85.77,86.39,1458000,-0.0024249422632793838
2020-10-07,87.18,87.92,86.74,87.57,1243000,0.013658988308832054
