Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,24.86,25.06,24.79,25.04,7807855,
2020-08-25,25.2,25.31,24.94,25.28,7600600,0.009584664536741228
2020-08-26,25.16,25.26,24.99,25.14,8460434,-0.005537974683544333
2020-08-27,25.33,25.58,25.09,25.4,7626067,0.0103420843277644
2020-08-28,25.32,25.73,25.26,25.69,7963651,0.011417322834645693
2020-08-31,25.73,25.85,25.38,25.49,9646554,-0.007785130400934315
2020-09-01,25.4,26.02,25.25,26.01,9957603,0.020400156924284207
2020-09-02,25.98,26.22,25.72,25.89,24348312,-0.0046136101499423265
2020-09-03,26.11,26.14,25.03,25.22,14156150,-0.02587871765160299
2020-09-04,25.41,25.66,24.8,25.17,12536802,-0.0019825535289451635
2020-09-08,25.12,25.52,24.71,25.09,12302484,-0.0031783869686135002
2020-09-09,25.24,25.96,25.23,25.55,10990051,0.018333997608608987
2020-09-10,25.45,25.67,25.09,25.27,11175299,-0.010958904109589107
2020-09-11,25.42,25.81,25.35,25.72,8678231,0.017807677087455343
2020-09-14,25.95,26.46,25.75,26.32,10494574,0.023328149300155587
2020-09-15,26.58,27.03,26.42,26.76,14988719,0.016717325227963542
2020-09-16,27.07,27.13,26.38,26.45,14956500,-0.01158445440956657
2020-09-17,26.0,26.67,25.79,26.5,13855918,0.001890359168241984
2020-09-18,26.58,26.86,26.42,26.61,20217419,0.0041509433962263476
2020-09-21,26.1,26.25,25.44,25.86,13075582,-0.028184892897407
2020-09-22,25.88,26.09,25.71,25.98,10902900,0.0046403712296985145
2020-09-23,26.22,26.33,25.36,25.5,13460917,-0.018475750577367167
2020-09-24,25.36,25.85,25.13,25.53,12737631,0.0011764705882353343
2020-09-25,25.75,26.11,25.55,26.03,10377667,0.019584802193497897
2020-09-28,26.39,26.57,26.17,26.44,8690700,0.015751056473300107
2020-09-29,26.32,26.49,25.86,25.87,11483951,-0.02155824508320725
2020-09-30,26.13,26.41,25.79,25.89,14632886,0.0007730962504832739
2020-10-01,26.12,26.12,25.42,25.62,12747663,-0.010428736964078755
2020-10-02,25.59,25.96,25.44,25.72,10648288,0.0039032006245121043
2020-10-05,25.83,26.1,25.77,25.91,8595900,0.0073872472783826915
2020-10-06,25.99,26.13,25.49,25.57,9891600,-0.013122346584330313
2020-10-07,25.7,26.38,25.68,26.23,10489405,0.025811497849041798
2020-10-08,26.31,26.4,25.73,25.9,10333858,-0.012581014105985555
2020-10-09,25.99,26.31,25.99,26.16,6372000,0.010038610038610063
2020-10-12,26.31,26.74,26.14,26.52,14096621,0.013761467889908285
2020-10-13,26.84,27.0,26.32,26.4,12970443,-0.004524886877828038
2020-10-14,26.49,27.08,26.49,26.82,12395565,0.015909090909090873
2020-10-15,26.52,27.05,26.42,27.01,8218826,0.0070842654735272514
2020-10-16,26.98,27.11,26.69,26.7,15870993,-0.01147723065531292
2020-10-19,26.6,26.95,26.27,26.35,9325884,-0.013108614232209659
2020-10-20,26.43,27.07,26.39,26.71,8415074,0.01366223908918407
2020-10-21,26.4,26.69,26.21,26.24,14052900,-0.017596405840509255
2020-10-22,27.39,28.27,27.0,27.24,21459051,0.038109756097560954
2020-10-23,27.23,27.53,26.79,27.1,9535500,-0.0051395007342143195
2020-10-26,26.78,26.8,26.11,26.29,9995400,-0.02988929889298897
2020-10-27,26.33,26.49,25.87,26.03,16386300,-0.009889691898059993
2020-10-28,25.49,25.85,25.25,25.31,18601905,-0.02766039185555136
2020-10-29,25.22,26.31,25.13,25.96,16518600,0.025681548794942888
2020-10-30,25.88,26.34,25.83,26.31,17652368,0.013482280431432958
2020-11-02,26.77,27.37,26.42,27.25,17485500,0.03572786012922857
2020-11-03,27.54,28.26,27.41,28.07,16795327,0.03009174311926599
2020-11-04,28.49,29.18,28.19,28.28,19347400,0.007481296758104827
2020-11-05,28.5,29.3,28.33,29.01,18312000,0.0258132956152759
2020-11-06,29.06,29.23,28.54,28.73,8671800,-0.009651844191658099
2020-11-09,30.12,31.23,29.34,29.4,17890586,0.02332057083188288
2020-11-10,29.25,30.63,29.06,30.47,21492177,0.03639455782312928
2020-11-11,30.53,30.63,29.77,30.01,13179037,-0.015096816540859814
2020-11-12,29.83,30.18,29.64,29.91,12211857,-0.003332222592469236
2020-11-13,30.04,30.55,29.91,30.2,10227817,0.0096957539284519
2020-11-16,30.74,31.03,30.43,31.0,10768504,0.026490066225165476
2020-11-17,30.61,30.97,30.48,30.83,7368460,-0.005483870967741944
2020-11-18,30.95,31.21,30.43,30.44,7898700,-0.012650016217969462
2020-11-19,30.28,30.62,30.06,30.57,8326898,0.004270696452036704
2020-11-20,30.51,30.76,30.31,30.51,6396300,-0.001962708537782132
2020-11-23,30.65,30.89,30.42,30.69,9232800,0.005899705014749346
2020-11-24,31.15,31.15,30.74,30.97,23318480,0.00912349299446058
2020-11-25,31.0,31.04,30.52,30.75,7125673,-0.00710364869228286
2020-11-27,30.83,30.91,30.38,30.43,4140724,-0.010406504065040623
2020-11-30,30.36,30.61,29.99,30.02,19928476,-0.013473545842918155
2020-12-01,30.31,30.69,30.12,30.21,14906700,0.006329113924050667
2020-12-02,30.01,30.45,30.01,30.23,15218748,0.0006620324395896215
2020-12-03,30.33,30.53,29.99,30.14,15363000,-0.002977174991730114
2020-12-04,30.21,30.66,30.15,30.62,14024555,0.015925680159256883
2020-12-07,30.48,30.77,30.37,30.68,13370086,0.0019595035924231397
2020-12-08,30.38,30.7,30.33,30.5,11121374,-0.005867014341590648
