Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,79.73,80.25,79.13,80.1,1601600,
2020-08-24,80.96,81.47,80.51,81.34,1018800,0.01548064918851444
2020-08-25,81.89,81.94,80.87,81.18,1173228,-0.0019670518809933313
2020-08-26,81.0,81.92,80.54,81.49,954400,0.003818674550381651
2020-08-27,81.97,82.97,81.74,82.2,1080000,0.008712725487790118
2020-08-28,82.18,83.65,82.18,83.47,1382408,0.015450121654501103
2020-08-31,83.31,83.68,82.7,83.31,1437200,-0.0019168563555768126
2020-09-01,83.1,84.22,82.51,83.83,1318788,0.006241747689353039
2020-09-02,84.39,85.84,83.78,85.6,1297332,0.021114159608731864
2020-09-03,86.06,86.24,81.7,82.68,2136400,-0.034112149532710134
2020-09-04,83.07,83.52,81.37,82.78,2417200,0.0012094823415578215
2020-09-08,82.22,82.22,79.47,79.69,2565600,-0.037327856970282736
2020-09-09,80.45,82.02,79.79,81.48,1963600,0.022462040406575623
2020-09-10,81.46,81.48,78.71,79.37,1856400,-0.025895925380461482
2020-09-11,79.55,80.96,79.3,80.24,1231200,0.010961320398135133
2020-09-14,81.08,82.23,80.94,81.95,1334276,0.021311066799601264
2020-09-15,82.28,82.85,81.8,82.04,1473440,0.001098230628431951
2020-09-16,82.8,82.8,81.44,81.55,1555600,-0.005972696245733933
2020-09-17,79.41,81.86,79.25,81.25,2173616,-0.0036787247087676223
2020-09-18,83.01,83.22,79.29,79.57,4855696,-0.020676923076923148
2020-09-21,78.38,79.21,76.91,79.15,1993708,-0.005278371245444058
2020-09-22,79.35,81.68,79.22,81.0,2410000,0.023373341756159016
2020-09-23,84.99,84.99,78.33,79.18,3300344,-0.02246913580246901
2020-09-24,80.48,80.5,78.77,79.66,2348916,0.006062136903258297
2020-09-25,78.97,82.12,78.69,81.79,1703600,0.02673863921667108
2020-09-28,82.5,84.34,82.5,84.0,2186800,0.027020418144027225
2020-09-29,81.94,83.79,81.94,82.57,1318664,-0.017023809523809552
2020-09-30,83.69,84.29,82.6,83.21,2102120,0.007750999152234428
2020-10-01,85.34,86.04,83.25,85.48,2043260,0.027280374954933517
2020-10-02,83.56,84.99,83.44,83.76,1836000,-0.020121665886757123
2020-10-05,84.57,84.94,83.73,84.1,1296800,0.004059216809932931
2020-10-06,84.1,84.84,81.05,82.68,2283284,-0.016884661117716804
2020-10-07,83.95,84.4,83.41,83.93,1237600,0.015118529269472658
2020-10-08,84.73,85.07,84.03,84.5,1414800,0.00679137376385075
2020-10-09,84.9,85.65,84.28,84.88,1417664,0.004497041420118197
2020-10-12,84.74,87.83,84.74,87.25,2352096,0.027921771913289373
2020-10-13,87.09,88.42,86.67,88.17,1702872,0.010544412607449871
2020-10-14,88.78,89.67,87.52,87.8,1727600,-0.004196438697969929
2020-10-15,86.69,87.53,85.9,87.1,1343600,-0.007972665148063829
2020-10-16,87.5,88.37,87.05,87.1,1347084,0.0
2020-10-19,87.02,87.52,85.0,85.33,1318000,-0.020321469575200868
2020-10-20,85.85,87.12,85.76,85.92,1290124,0.006914332591116956
2020-10-21,85.43,86.27,84.62,84.67,1789104,-0.014548417132215996
2020-10-22,85.07,85.41,83.64,84.63,1349600,-0.0004724223455769838
2020-10-23,84.89,84.99,83.49,84.52,1193288,-0.0012997754933238292
2020-10-26,83.52,83.75,81.17,82.23,1323600,-0.02709417889256971
2020-10-27,82.67,83.0,80.75,81.0,2167200,-0.01495804450930327
2020-10-28,78.65,80.34,78.65,78.89,2123668,-0.026049382716049396
2020-10-29,78.61,80.93,77.92,79.98,1556416,0.013816706806946355
2020-10-30,79.58,80.11,77.95,78.64,2308400,-0.01675418854713684
2020-11-02,80.41,80.87,79.02,80.09,1426308,0.018438453713123026
2020-11-03,81.12,83.01,81.12,82.51,1172800,0.03021600699213378
2020-11-04,86.85,87.3,84.18,84.34,2234280,0.022179129802448072
2020-11-05,84.83,86.36,84.1,84.77,1628800,0.005098411192790975
2020-11-06,84.64,85.55,84.17,85.23,1324000,0.005426448035861897
2020-11-09,90.0,92.03,89.59,90.87,4173600,0.06617388243576205
2020-11-10,88.52,91.5,87.85,89.67,2025604,-0.013205678441729929
2020-11-11,90.22,90.36,88.52,90.01,1493636,0.0037916806066689013
2020-11-12,89.05,89.78,87.02,87.42,1206400,-0.02877458060215532
2020-11-13,87.85,89.15,87.52,89.0,1051216,0.018073667353008416
2020-11-16,89.0,92.3,89.0,92.17,1548412,0.03561797752808982
2020-11-17,90.69,91.42,89.34,90.35,1456100,-0.019746121297602337
2020-11-18,90.51,91.56,89.82,90.12,1001300,-0.002545655783065759
2020-11-19,89.68,92.12,89.44,91.97,1032944,0.020528184642698566
2020-11-20,91.29,91.9,90.11,90.46,1033200,-0.016418397303468613
2020-11-23,90.98,91.13,89.01,89.57,1316528,-0.009838602697324839
2020-11-24,90.56,91.19,89.62,90.49,1570220,0.010271296192921664
2020-11-25,90.52,91.07,89.59,90.12,769632,-0.004088849596640354
2020-11-27,89.81,91.28,89.73,90.27,448800,0.0016644474034619439
2020-11-30,90.44,90.6,88.53,88.83,2084628,-0.015952143569292088
2020-12-01,89.76,90.88,89.17,89.77,1546400,0.01058201058201047
2020-12-02,90.05,90.7,89.06,90.23,2159252,0.005124206305001655
2020-12-03,89.76,91.37,88.58,89.92,1759200,-0.0034356644131663394
2020-12-04,90.17,91.7,90.0,90.87,1868400,0.01056494661921703
2020-12-07,90.14,91.0,88.08,88.29,1463204,-0.028392208649719364
2020-12-08,88.29,90.15,87.76,89.94,1438032,0.018688413183825858
2020-12-09,90.28,90.72,88.04,88.51,2113600,-0.01589948854792078
2020-12-10,88.61,88.73,86.63,86.84,1461200,-0.018867924528301883
2020-12-11,86.57,87.84,86.11,87.28,1487600,0.005066789497927271
2020-12-14,87.55,87.93,86.58,86.82,1357748,-0.005270394133822243
2020-12-15,87.1,88.64,86.38,88.23,1834380,0.016240497581202717
2020-12-16,88.68,88.83,87.96,88.53,1096480,0.003400204012240726
2020-12-17,88.69,88.88,87.25,88.0,1631116,-0.0059866711849090315
2020-12-18,88.47,88.88,87.41,88.59,3817600,0.006704545454545574
2020-12-21,87.68,87.87,85.06,86.53,2322400,-0.023253188847499717
2020-12-22,84.5,87.16,83.53,87.0,3051308,0.005431642205015574
2020-12-23,88.74,88.74,84.84,84.86,2019808,-0.024597701149425277
2020-12-24,85.28,85.56,84.1,84.6,742308,-0.0030638699033702643
2020-12-28,85.54,89.55,85.54,88.55,3551372,0.04669030732860513
2020-12-29,89.41,89.49,85.91,86.84,1654200,-0.019311123658949714
2020-12-30,87.54,88.33,86.69,87.56,1214800,0.00829111008751715
2020-12-31,87.63,88.5,87.23,88.37,1118084,0.009250799451804514
2021-01-04,88.49,88.69,85.58,85.9,3400400,-0.027950661989362913
2021-01-05,85.55,87.26,84.61,87.22,2030000,0.015366705471478337
2021-01-06,87.5,89.15,87.31,87.75,1658872,0.006076587938546263
2021-01-07,87.97,89.31,87.26,88.77,2804660,0.011623931623931494
2021-01-08,88.48,89.61,87.23,87.54,1593652,-0.013856032443392952
2021-01-11,87.16,87.83,84.65,84.88,1972964,-0.030386109207219625
2021-01-12,84.57,85.35,83.8,84.87,1556800,-0.00011781338360028482
2021-01-13,84.79,84.92,83.56,83.95,1978000,-0.01084010840108407
2021-01-14,84.13,84.13,81.63,81.79,2753288,-0.025729600952948184
2021-01-15,80.94,82.22,80.4,81.52,2507600,-0.003301137058320247
2021-01-19,81.42,81.65,79.92,80.51,2281348,-0.012389597644749673
2021-01-20,79.86,83.34,79.86,83.05,2397256,0.03154887591603517
2021-01-21,82.8,84.15,82.25,82.86,1746800,-0.002287778446718791
2021-01-22,82.72,82.72,81.02,81.12,1290920,-0.020999275887038316
2021-01-25,80.58,82.84,80.26,82.03,2286128,0.011217948717948678
2021-01-26,82.56,82.62,80.66,80.79,1435140,-0.015116420821650545
2021-01-27,80.0,80.63,78.66,79.55,2636000,-0.015348434212155038
2021-01-28,79.92,82.21,79.92,81.11,1570428,0.019610307982401043
2021-01-29,79.95,80.84,79.36,79.53,3231244,-0.019479718900258902
2021-02-01,80.16,81.57,80.0,81.37,2028164,0.023135923550861248
2021-02-02,82.14,83.51,81.55,82.81,2240936,0.017696939904141562
2021-02-03,82.75,83.21,82.09,82.9,1674968,0.0010868252626494712
2021-02-04,83.04,85.05,82.93,84.57,1644820,0.0201447527141132
2021-02-05,85.06,86.42,83.99,86.25,1677788,0.01986520042568296
2021-02-08,86.39,87.33,85.92,87.29,1356400,0.012057971014492797
2021-02-09,86.96,87.85,86.78,87.34,1390408,0.0005728032993470578
2021-02-10,87.99,88.44,86.68,87.25,1716412,-0.0010304556904053852
2021-02-11,87.44,87.57,84.83,85.27,1626800,-0.02269340974212042
2021-02-12,84.94,85.77,84.94,85.61,800000,0.003987334349712768
2021-02-16,86.48,87.49,85.86,86.28,1445672,0.007826188529377331
2021-02-17,85.9,86.42,84.61,84.78,1461600,-0.017385257301808066
2021-02-18,84.56,85.36,83.42,85.11,1401448,0.0038924274593064023
2021-02-19,85.42,86.15,84.9,85.87,1649208,0.008929620491129109
2021-02-22,85.75,85.91,84.61,85.13,1365200,-0.008617677885175423
2021-02-23,85.13,85.56,82.71,84.18,1818892,-0.011159403265593615
2021-02-24,84.02,84.83,82.82,84.58,2176028,0.00475172249940603
2021-02-25,84.24,84.83,81.51,82.01,1697600,-0.03038543390872539
2021-02-26,82.43,83.1,80.94,81.08,2248964,-0.011340080477990622
2021-03-01,82.33,86.97,81.25,86.22,2141600,0.06339417858904794
2021-03-02,85.83,86.73,85.51,85.6,1605256,-0.007190906982138756
2021-03-03,85.53,86.4,84.01,84.08,2630200,-0.017757009345794383
2021-03-04,84.29,84.47,80.35,81.68,2538140,-0.028544243577545148
2021-03-05,82.6,85.36,80.88,84.84,2279644,0.03868756121449546
2021-03-08,85.33,86.11,84.5,85.15,1703948,0.0036539368222536783
2021-03-09,86.15,87.43,85.11,86.46,2133600,0.01538461538461533
2021-03-10,86.89,89.23,86.49,88.26,1819600,0.020818875780707957
2021-03-11,88.88,90.86,88.0,90.01,2277200,0.019827781554498047
2021-03-12,90.0,90.69,89.37,89.57,1658876,-0.004888345739362476
2021-03-15,89.5,89.97,87.58,87.9,2106400,-0.018644635480629557
2021-03-16,87.66,87.82,86.02,86.99,1706040,-0.01035267349260538
2021-03-17,87.05,87.37,84.12,85.81,2318000,-0.013564777560639119
2021-03-18,85.56,86.17,83.61,84.31,2008052,-0.017480480130520948
2021-03-19,84.11,84.5,83.24,83.26,2973692,-0.012454038666824818
2021-03-22,83.58,84.46,82.89,84.08,1487200,0.009848666826807406
2021-03-23,84.13,84.79,82.84,83.25,1301396,-0.009871550903901016
2021-03-24,82.71,85.16,82.71,83.99,1662000,0.008888888888888724
2021-03-25,83.86,84.69,82.14,84.27,1246524,0.003333730205976826
2021-03-26,83.98,86.78,83.86,86.65,1442000,0.0282425536964519
2021-03-29,86.06,86.51,85.08,85.3,1397980,-0.015579919215233828
2021-03-30,84.95,85.26,83.65,84.33,1033652,-0.01137162954279014
2021-03-31,84.68,86.13,84.48,85.33,1787200,0.011858176212498517
2021-04-01,86.1,87.76,85.69,87.08,1608516,0.020508613617719496
2021-04-05,87.5,88.88,87.45,88.51,1456800,0.016421681212678063
2021-04-06,87.9,88.58,87.0,87.22,1356800,-0.014574624336233244
2021-04-07,86.7,87.67,86.33,87.58,1132800,0.004127493694106921
2021-04-08,87.72,88.19,86.23,86.43,1750808,-0.013130851792646614
2021-04-09,86.6,88.34,86.37,88.12,1670944,0.019553395811639396
2021-04-12,88.27,89.28,87.7,88.79,1098400,0.007603268270540253
2021-04-13,88.35,88.98,87.8,88.87,993204,0.0009010023651312427
2021-04-14,88.89,89.17,87.17,87.52,1305600,-0.015190728029706446
2021-04-15,88.36,88.54,87.56,87.97,1120836,0.005141681901279727
2021-04-16,88.3,88.63,87.35,87.63,1554400,-0.0038649539615778217
2021-04-19,87.23,87.28,85.46,85.94,1411748,-0.019285632774164063
