Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,65.71,67.63,65.54,67.62,2429918,
2020-08-25,67.62,67.65,66.47,66.94,1864206,-0.01005619639160027
2020-08-26,67.08,67.85,66.58,67.75,2071041,0.01210038840752925
2020-08-27,68.0,68.3,67.16,67.41,1589980,-0.005018450184501866
2020-08-28,67.38,67.74,67.01,67.69,1536900,0.004153686396677125
2020-08-31,67.39,67.54,66.72,66.86,2653700,-0.012261781651647152
2020-09-01,66.26,67.03,65.88,66.97,1705206,0.0016452288363744128
2020-09-02,67.45,68.99,67.09,68.82,2711194,0.027624309392265012
2020-09-03,68.67,68.89,66.33,67.12,3366700,-0.024702121476314898
2020-09-04,67.4,68.12,65.84,66.81,2544900,-0.004618593563766371
2020-09-08,65.45,66.67,65.04,65.6,3102694,-0.018111061218380575
2020-09-09,66.04,66.94,65.29,66.41,2275403,0.01234756097560985
2020-09-10,66.31,67.67,65.36,65.56,2679201,-0.012799277217286464
2020-09-11,67.77,69.17,67.06,68.18,4935531,0.03996339231238566
2020-09-14,68.36,69.58,68.35,69.29,3411916,0.01628043414491054
2020-09-15,69.24,70.99,69.24,70.13,3436586,0.012122961466300985
2020-09-16,70.9,71.81,70.05,70.72,3161210,0.008412947383430902
2020-09-17,68.11,70.86,67.91,70.12,3819546,-0.008484162895927572
2020-09-18,70.08,70.4,67.97,68.86,5525500,-0.01796919566457511
2020-09-21,67.86,68.17,67.07,67.39,3190042,-0.021347661922741734
2020-09-22,67.63,68.5,66.71,68.25,2838703,0.012761537320077121
2020-09-23,68.46,69.19,66.81,67.09,3086110,-0.016996336996336958
2020-09-24,65.95,67.6,65.58,66.9,2855009,-0.0028320166939931335
2020-09-25,66.87,68.32,66.5,68.08,2758100,0.01763826606875929
2020-09-28,68.97,69.65,68.73,69.32,3971430,0.018213866039952897
2020-09-29,69.44,70.08,68.63,69.0,2585597,-0.004616272360069118
2020-09-30,69.28,70.11,68.86,69.42,3912200,0.006086956521739184
2020-10-01,70.22,70.6,68.97,69.33,3426441,-0.0012964563526361994
2020-10-02,67.92,69.35,67.79,68.86,2460550,-0.006779172075580542
2020-10-05,69.62,71.26,69.5,70.93,4117464,0.030060993319779294
2020-10-06,70.9,71.6,69.69,69.83,3111058,-0.015508247568024935
2020-10-07,70.73,72.48,70.6,72.24,3180300,0.0345123872261206
2020-10-08,72.5,73.45,72.23,72.91,2312751,0.009274640088593689
2020-10-09,73.65,74.06,72.75,73.08,3584320,0.0023316417501029196
2020-10-12,74.09,74.92,73.27,74.63,4748863,0.021209633278598705
2020-10-13,74.99,75.32,73.04,73.22,3322191,-0.01889320648532755
2020-10-14,73.22,74.4,73.1,73.96,3273400,0.010106528270964255
2020-10-15,73.25,73.89,72.76,73.72,2637225,-0.0032449972958354945
2020-10-16,74.34,74.63,73.31,73.36,2533200,-0.004883342376559963
2020-10-19,73.19,73.75,71.96,72.2,2791442,-0.0158124318429661
2020-10-20,73.05,74.01,72.3,73.35,2252400,0.015927977839335083
2020-10-21,73.03,74.04,72.88,72.89,2916296,-0.006271301976823351
2020-10-22,72.73,73.58,72.23,73.38,2705400,0.00672245849910813
2020-10-23,73.46,74.32,73.09,74.12,2135638,0.010084491687108343
2020-10-26,73.2,73.45,71.87,72.71,6195700,-0.019023205612520355
2020-10-27,72.83,73.5,72.52,73.39,5498403,0.009352221152523876
2020-10-28,72.36,72.93,70.98,71.1,8444543,-0.031203161193623208
2020-10-29,74.83,76.45,70.81,71.02,7110849,-0.0011251758087200692
2020-10-30,70.47,71.78,69.97,71.42,4298214,0.005632216277105195
2020-11-02,71.47,71.91,70.29,70.8,3276126,-0.008681041725007055
2020-11-03,71.92,72.94,71.41,71.94,2089612,0.01610169491525415
2020-11-04,73.77,74.09,71.86,73.02,2427350,0.015012510425354453
2020-11-05,73.77,74.91,73.42,74.24,2079270,0.01670775130101343
2020-11-06,74.48,74.62,73.6,74.22,1394700,-0.00026939655172408816
2020-11-09,75.19,78.21,73.82,73.88,3344135,-0.004580975478307825
2020-11-10,73.76,75.49,73.53,75.1,3789900,0.016513264753654555
2020-11-11,75.51,77.09,75.44,76.76,3254337,0.022103861517976275
2020-11-12,76.82,77.18,75.59,76.22,3087200,-0.007034914017717608
2020-11-13,77.0,77.67,76.8,77.19,2681200,0.012726318551561144
2020-11-16,77.87,78.47,77.23,77.8,2162525,0.007902578054152176
2020-11-17,76.75,77.38,76.17,77.0,2026800,-0.010282776349614386
2020-11-18,76.47,76.77,74.68,74.7,4192621,-0.029870129870129825
2020-11-19,74.99,76.3,74.56,76.2,2915700,0.02008032128514059
2020-11-20,75.92,76.28,75.67,75.9,2277130,-0.003937007874015741
2020-11-23,76.0,77.3,75.92,77.2,1958073,0.017127799736495364
2020-11-24,77.95,78.77,77.27,78.75,2594878,0.020077720207253957
2020-11-25,78.94,79.0,78.17,78.55,2189506,-0.0025396825396826195
2020-11-27,77.94,78.89,77.66,78.41,1104925,-0.001782304264799528
2020-11-30,77.94,78.33,77.07,78.13,3797954,-0.0035709730901670733
2020-12-01,78.11,79.04,77.95,78.66,3653650,0.006783565851785411
2020-12-02,78.66,78.66,77.98,78.12,2250988,-0.00686498855835227
2020-12-03,78.07,79.13,77.75,78.76,2108235,0.008192524321556593
2020-12-04,79.15,81.11,78.49,81.06,3079000,0.029202640934484547
2020-12-07,79.95,80.74,79.7,80.53,2419700,-0.006538366641993587
2020-12-08,79.26,80.59,78.74,79.87,2979505,-0.008195703464547344
2020-12-09,80.32,80.76,78.81,79.01,3585612,-0.010767497182922248
2020-12-10,79.01,79.01,77.94,78.38,2069903,-0.00797367421845352
2020-12-11,78.56,79.95,78.19,78.51,3528717,0.0016585863740752327
2020-12-14,79.0,79.49,78.61,79.19,2640603,0.008661317029677651
2020-12-15,80.1,80.53,79.07,80.53,2741900,0.016921328450562045
2020-12-16,80.64,80.64,78.84,79.32,2543149,-0.015025456351670297
2020-12-17,81.27,82.73,81.0,81.73,5462100,0.030383257690368204
2020-12-18,82.1,82.1,80.52,81.02,7656768,-0.008687140584852648
2020-12-21,79.85,80.54,78.56,80.47,2369111,-0.006788447296963707
2020-12-22,80.18,81.65,80.14,81.02,2405730,0.006834845283956614
2020-12-23,81.35,81.89,80.98,80.99,1674200,-0.00037027894347074763
2020-12-24,81.35,81.35,80.6,81.07,1037000,0.000987776268675189
2020-12-28,81.54,82.25,81.35,81.37,1192200,0.0037005057357839544
2020-12-29,82.02,82.09,80.21,80.5,1035507,-0.010691901192085629
2020-12-30,80.88,81.41,80.63,81.07,1090604,0.007080745341614847
2020-12-31,81.37,82.23,80.77,81.95,1500749,0.010854816824966251
2021-01-04,82.0,82.27,78.7,79.42,2305716,-0.03087248322147651
2021-01-05,79.51,80.13,79.19,79.65,1856793,0.0028959959707881566
2021-01-06,79.32,81.14,79.22,80.15,2981200,0.006277463904582614
2021-01-07,80.74,81.84,80.51,80.95,2853530,0.00998128509045526
2021-01-08,81.12,82.06,80.96,81.95,2704700,0.012353304508956109
2021-01-11,81.25,82.1,79.92,80.14,2156600,-0.02208663819402079
2021-01-12,80.19,80.5,78.61,79.64,2238304,-0.006239081607187447
2021-01-13,80.7,80.7,79.32,79.61,2030334,-0.0003766951280763653
2021-01-14,79.34,80.22,79.07,80.05,2360500,0.005526943851274835
2021-01-15,79.63,80.59,79.19,80.24,2174664,0.0023735165521547863
2021-01-19,80.39,80.99,79.19,79.76,2667933,-0.00598205383848438
2021-01-20,80.9,82.11,80.16,81.91,2479400,0.026955867602808326
2021-01-21,82.0,82.07,80.69,80.88,2209215,-0.012574777194481745
2021-01-22,80.07,80.94,79.5,80.56,1449600,-0.003956478733926683
2021-01-25,80.0,80.43,78.25,80.03,1757221,-0.006578947368421018
2021-01-26,80.58,80.58,79.46,79.55,2053725,-0.005997750843433791
2021-01-27,78.35,78.73,75.9,76.15,3936734,-0.042740414833437934
2021-01-28,76.96,79.37,76.66,78.9,2992803,0.03611293499671708
2021-01-29,78.98,79.61,77.6,77.95,3273008,-0.012040557667934104
2021-02-01,78.56,79.59,78.03,78.84,3442335,0.01141757536882615
2021-02-02,78.86,80.83,78.86,80.05,2738907,0.015347539320141879
2021-02-03,79.79,80.13,78.75,79.34,3483826,-0.008869456589631453
2021-02-04,74.34,75.63,72.76,74.69,8771100,-0.05860852029241248
2021-02-05,74.55,75.55,74.09,74.5,4711830,-0.002543847904672658
2021-02-08,74.63,75.89,74.12,75.85,2498603,0.018120805369127524
2021-02-09,75.82,76.95,75.22,76.16,2663000,0.004087013843111498
2021-02-10,76.24,76.43,75.28,76.04,2069800,-0.0015756302521007237
2021-02-11,76.31,77.52,75.75,76.97,3609333,0.012230405049973525
2021-02-12,76.76,77.15,76.22,76.96,1880900,-0.0001299207483436149
2021-02-16,77.0,77.35,76.11,76.11,2446085,-0.011044698544698472
2021-02-17,75.73,76.79,75.37,76.43,3398636,0.004204440940743792
2021-02-18,76.14,76.14,74.42,74.82,4440800,-0.02106502682192879
2021-02-19,75.03,75.19,73.39,73.64,4082500,-0.015771184175354058
2021-02-22,73.26,73.97,72.77,73.25,3063800,-0.005296034763715429
2021-02-23,72.85,73.43,72.07,72.88,3310557,-0.005051194539249182
2021-02-24,72.4,75.06,71.56,74.93,2922741,0.028128430296377793
2021-02-25,74.12,74.98,73.19,73.38,2786544,-0.02068597357533708
2021-02-26,73.85,74.34,72.58,73.48,3279800,0.001362769146906695
2021-03-01,74.11,75.16,73.81,74.83,3227021,0.01837234621665762
2021-03-02,75.03,75.72,74.04,74.95,3068976,0.0016036349057864108
2021-03-03,74.76,74.76,72.78,73.16,3406738,-0.02388258839226154
2021-03-04,72.92,73.95,71.76,72.4,3284200,-0.010388190267905828
2021-03-05,74.51,74.51,71.93,73.71,2779000,0.018093922651933436
2021-03-08,72.88,74.39,72.57,72.69,3250925,-0.013838013838013752
2021-03-09,73.69,75.22,73.51,74.39,2767635,0.023386985830238016
2021-03-10,74.67,76.24,74.64,76.02,2636814,0.02191154725097455
2021-03-11,76.4,78.31,76.22,77.54,3183400,0.01999473822678266
2021-03-12,76.85,77.84,76.84,77.77,2447800,0.0029662109878771936
2021-03-15,77.28,79.33,77.28,79.27,3003748,0.019287643050019287
2021-03-16,79.01,79.1,77.84,78.06,2497500,-0.015264286615365164
2021-03-17,77.48,78.32,77.16,78.03,2415031,-0.0003843197540354115
2021-03-18,77.25,77.77,76.03,76.4,2890023,-0.020889401512238837
2021-03-19,75.76,77.33,75.4,76.55,5658300,0.0019633507853402676
2021-03-22,76.93,77.06,76.22,76.73,4237329,0.0023514043109080784
2021-03-23,77.16,77.62,76.17,76.23,3154500,-0.006516356053694827
2021-03-24,76.71,77.85,76.53,76.94,3008612,0.009313918404827426
2021-03-25,77.03,77.45,76.06,77.1,2935500,0.0020795425006499
2021-03-26,77.23,79.33,76.94,79.24,2403600,0.027756160830090693
2021-03-29,78.9,79.11,77.19,78.06,3099620,-0.014891468955073095
2021-03-30,77.73,78.67,77.5,78.57,2506609,0.006533435818600886
2021-03-31,78.82,79.18,77.9,78.12,3573893,-0.005727376861397349
2021-04-01,78.93,79.33,78.14,78.88,2430400,0.00972862263184826
2021-04-05,79.19,80.49,79.0,80.33,2543639,0.018382352941176405
2021-04-06,79.24,80.16,79.17,79.66,2346424,-0.008340595045437604
2021-04-07,79.9,80.12,79.1,79.21,1750500,-0.005649008285212198
2021-04-08,79.54,80.77,79.31,80.06,3345349,0.010730968312081979
2021-04-09,80.06,80.65,79.77,80.55,1985700,0.006120409692730311
2021-04-12,80.03,80.48,79.6,80.23,2358500,-0.003972687771570338
2021-04-13,80.27,80.74,79.88,80.44,2371000,0.0026174747600646864
2021-04-14,80.07,80.35,79.28,79.46,2276500,-0.01218299353555452
2021-04-15,80.05,80.5,79.24,79.77,4530400,0.003901334004530632
2021-04-16,80.0,80.85,79.55,80.62,3132429,0.010655634950482717
2021-04-19,80.53,80.88,80.06,80.4,2664600,-0.0027288514016372556
2021-04-20,80.3,80.49,79.39,79.61,3087500,-0.00982587064676621
2021-04-21,79.99,80.38,79.19,79.25,6537900,-0.004522044969224925
2021-04-22,78.27,79.21,77.48,79.04,4507100,-0.002649842271293279
2021-04-23,79.16,79.42,78.41,78.69,2392700,-0.004428137651821928
2021-04-26,78.7,79.66,78.07,79.56,2194500,0.011056042699199464
2021-04-27,79.47,80.09,79.15,79.94,2855000,0.004776269482151818
2021-04-28,80.1,80.58,79.3,80.18,3170500,0.003002251688766666
2021-04-29,80.74,81.78,80.11,81.36,2249900,0.014716887004240453
2021-04-30,81.1,81.11,79.96,80.4,2849100,-0.01179941002949847
2021-05-03,80.72,82.57,80.41,82.2,4333301,0.02238805970149249
2021-05-04,81.52,82.2,80.77,81.25,3875800,-0.011557177615571845
2021-05-05,81.76,81.89,80.4,81.46,4093079,0.0025846153846154074
2021-05-06,75.22,77.03,72.16,75.12,10853343,-0.07782960962435537
2021-05-07,75.58,75.58,73.95,74.82,5373908,-0.003993610223642308
2021-05-10,74.87,75.21,73.84,74.01,4507249,-0.010825982357658193
2021-05-11,73.47,73.74,72.03,72.64,6519800,-0.018511012025402063
2021-05-12,71.95,72.37,70.62,70.73,4572320,-0.026294052863436113
2021-05-13,71.3,71.7,70.96,71.29,5354136,0.007917432489749743
2021-05-14,71.71,71.93,70.85,71.01,8012676,-0.003927619581989061
2021-05-17,71.01,71.1,69.4,70.64,6510263,-0.005210533727644018
2021-05-18,70.9,71.86,70.34,70.97,4772019,0.004671574178935378
2021-05-19,69.65,70.8,69.64,70.74,3873300,-0.0032408059743553874
2021-05-20,70.69,71.83,70.33,71.3,4514600,0.007916313259824781
2021-05-21,71.73,72.15,71.09,71.24,2473600,-0.0008415147265077305
2021-05-24,71.75,71.89,71.0,71.1,3217996,-0.001965188096574977
2021-05-25,71.31,71.4,70.92,71.0,5412000,-0.0014064697609000865
2021-05-26,71.02,71.41,70.75,71.0,3862500,0.0
2021-05-27,71.13,71.61,71.0,71.12,6254200,0.0016901408450704647
2021-05-28,71.55,71.86,70.9,71.56,4520005,0.00618672665916753
2021-06-01,71.99,72.47,71.1,71.19,4704248,-0.005170486305198452
2021-06-02,71.18,71.51,71.02,71.29,3920400,0.0014046916701784262
2021-06-03,71.0,71.16,70.54,70.8,9907426,-0.006873334268481024
2021-06-04,71.12,71.61,70.97,71.5,3429605,0.009887005649717562
2021-06-07,71.67,71.77,71.01,71.3,3892326,-0.002797202797202858
2021-06-08,71.23,71.83,71.14,71.44,2713835,0.001963534361851371
2021-06-09,71.98,71.98,71.16,71.25,2507200,-0.0026595744680850686
2021-06-10,71.32,71.66,70.88,71.17,3182613,-0.0011228070175438587
2021-06-11,71.56,71.56,70.91,71.25,4056700,0.001124069130251426
2021-06-14,71.15,71.29,70.06,70.79,6417200,-0.00645614035087716
2021-06-15,70.81,71.52,70.28,70.35,2975400,-0.006215567170504421
2021-06-16,70.48,70.83,69.68,70.01,3610800,-0.004832977967306196
2021-06-17,69.69,69.87,68.89,69.17,2890931,-0.011998285959148758
2021-06-18,68.65,68.81,68.21,68.32,5596725,-0.012288564406534697
2021-06-21,68.69,69.84,68.68,69.62,3633300,0.019028103044496758
2021-06-22,69.37,69.69,69.11,69.53,3481349,-0.0012927319735708265
2021-06-23,69.4,69.77,69.07,69.11,3005636,-0.006040558032504029
2021-06-24,69.62,69.96,69.27,69.82,2612641,0.010273477065547487
2021-06-25,69.83,70.6,69.61,70.49,3585527,0.009596104268118077
2021-06-28,70.46,70.67,69.91,70.15,2744400,-0.004823379202723688
2021-06-29,70.74,71.13,70.36,70.42,2740800,0.0038488952245188113
2021-06-30,69.77,70.08,68.61,69.26,3719654,-0.01647259301334847
2021-07-01,69.61,69.99,68.94,69.84,2689100,0.008374241986716768
2021-07-02,70.2,70.29,69.54,69.61,2083942,-0.0032932416953036503
2021-07-06,69.51,69.57,68.38,68.73,2396018,-0.012641861801465204
2021-07-07,68.81,69.35,68.69,68.93,2402200,0.002909937436345267
2021-07-08,68.33,68.61,67.37,68.37,2534046,-0.008124183954736686
2021-07-09,68.61,69.25,68.5,69.14,3290022,0.011262249524645274
2021-07-12,68.98,69.28,68.31,69.25,3433900,0.0015909748336708773
2021-07-13,69.11,69.16,68.34,68.7,2566700,-0.007942238267148016
2021-07-14,69.6,69.97,68.88,69.23,2750803,0.0077147016011644975
2021-07-15,69.0,69.24,68.65,68.83,2878600,-0.005777841976022047
2021-07-16,69.04,69.23,68.17,68.24,2018041,-0.008571843672817159
2021-07-19,67.72,67.87,66.19,66.46,3218175,-0.026084407971864065
2021-07-20,66.68,68.02,66.68,67.61,3008500,0.017303641287992777
2021-07-21,67.67,68.0,67.27,67.75,2724800,0.0020706996006507605
2021-07-22,68.2,68.22,67.44,68.11,5149000,0.005313653136531427
2021-07-23,68.47,69.52,68.46,69.29,2597600,0.01732491557774196
2021-07-26,69.17,69.76,68.93,69.43,2935300,0.002020493577716831
2021-07-27,69.32,70.06,68.54,69.13,3596587,-0.004320898746939528
2021-07-28,69.28,70.14,68.94,69.79,3806337,0.009547229856791795
2021-07-29,74.97,75.98,73.77,73.92,7392346,0.059177532597793236
2021-07-30,73.4,74.48,73.35,73.53,3393662,-0.005275974025974017
2021-08-02,73.56,74.34,73.11,73.67,3783900,0.0019039847681219246
2021-08-03,73.34,74.98,73.23,74.9,3061636,0.01669607710058374
2021-08-04,74.54,75.05,73.55,73.56,3366311,-0.017890520694259004
2021-08-05,73.78,73.88,73.28,73.4,1949900,-0.002175095160413254
2021-08-06,73.25,73.79,72.86,73.0,1753800,-0.005449591280654031
2021-08-09,73.12,73.12,72.3,72.53,2938700,-0.006438356164383596
2021-08-10,72.6,73.27,72.31,73.07,2645429,0.007445195091686063
2021-08-11,73.59,75.15,73.19,75.05,4288200,0.027097303955111673
2021-08-12,75.02,76.77,74.94,76.52,5776916,0.019586942038640975
2021-08-13,76.39,77.84,76.36,77.63,4406100,0.014506011500261318
2021-08-16,77.5,77.82,76.79,77.18,2582400,-0.005796728069045298
2021-08-17,77.49,77.5,76.25,77.01,2564955,-0.0022026431718061845
2021-08-18,76.53,77.62,76.42,76.67,3160148,-0.004415011037527616
2021-08-19,76.1,76.45,75.37,75.79,2870877,-0.01147776183644178
2021-08-20,75.56,76.79,75.34,76.7,2328100,0.012006861063464713
2021-08-23,77.05,77.86,76.94,77.36,3818003,0.008604954367666284
2021-08-24,77.17,78.11,76.87,78.01,3363339,0.00840227507755964
2021-08-25,78.04,78.36,77.16,77.49,3449627,-0.006665812075375088
2021-08-26,77.45,77.45,76.5,76.98,2357800,-0.006581494386372344
2021-08-27,77.3,77.87,77.01,77.24,2266100,0.0033775006495191384
2021-08-30,77.38,77.82,76.82,76.85,1724400,-0.005049197307094744
