Date,Open,High,Low,Close,Volume,Daily_Return
2020-12-09,182.0,195.5,163.8,189.51,30117940,
2020-12-10,179.71,187.6951,172.6361,186.0,9452894,-0.018521450055405952
2020-12-11,176.52,182.0,168.25,175.0,4805547,-0.05913978494623651
2020-12-14,169.1,170.0,151.2,160.0,7908653,-0.08571428571428574
2020-12-15,157.1,161.42,153.76,158.89,5037907,-0.006937500000000041
2020-12-16,161.18,167.47,157.2,158.05,3079054,-0.00528667631694868
2020-12-17,159.1,161.66,149.95,154.21,6380647,-0.024296108826320828
2020-12-18,154.21,169.95,147.32,166.35,8192168,0.07872381817002783
2020-12-21,169.07,173.46,155.0,160.23,3907242,-0.03678990081154199
2020-12-22,161.05,163.21,153.4215,156.79,2399309,-0.021469138113961117
2020-12-23,155.0,161.56,150.25,158.22,1775415,0.009120479622424904
2020-12-24,157.38,158.6,153.07,158.46,678995,0.0015168752370118277
2020-12-28,158.25,158.45,141.505,147.89,3819358,-0.06670453111195263
2020-12-29,146.12,147.4,139.64,141.27,3862477,-0.04476299952667506
2020-12-30,144.4,147.98,139.8,140.2,3138842,-0.007574148793091373
2020-12-31,140.2,146.5,135.38,142.75,2644608,0.01818830242510705
2021-01-04,142.5,143.62,137.17,139.19,2044452,-0.024938704028021008
2021-01-05,138.0,146.12,137.835,144.43,1037545,0.037646382642431364
2021-01-06,141.27,142.0,138.21,140.01,1950586,-0.03060306030603066
2021-01-07,140.0,154.64,139.435,152.77,3225070,0.09113634740375698
2021-01-08,152.0,158.31,147.3,156.09,2569988,0.02173201544805914
2021-01-11,153.19,169.0,153.19,167.0,2560818,0.06989557306682048
2021-01-12,165.5,201.93,162.615,191.99,7099638,0.1496407185628743
2021-01-13,192.41,215.5,188.07,198.0,6082458,0.03130371373509022
2021-01-14,196.62,221.4,195.33,207.24,4531367,0.046666666666666634
2021-01-15,207.0,212.09,186.95,187.15,3365962,-0.09694074502991701
2021-01-19,191.19,202.3,185.5404,198.75,3505444,0.061982367085225754
2021-01-20,200.0,203.82,189.04,189.46,2078768,-0.046742138364779806
2021-01-21,191.61,195.4738,183.1929,190.89,2345995,0.007547767338752065
2021-01-22,190.2,197.07,187.11,192.0,1687415,0.00581486720100588
2021-01-25,194.33,215.39,191.31,191.81,3439554,-0.0009895833333333215
2021-01-26,198.0,204.38,196.41,198.22,2376594,0.033418487044471146
2021-01-27,200.0,256.09,190.4,193.07,5940719,-0.025981232973463886
2021-01-28,198.99,201.5,183.48,183.8,1704890,-0.048013673797068335
2021-01-29,189.4,194.99,183.48,193.27,1871361,0.05152339499455927
2021-02-01,194.59,203.67,187.5631,191.17,1181218,-0.010865628395508975
2021-02-02,191.95,197.6,181.63,182.53,1344829,-0.04519537584348998
2021-02-03,184.66,186.66,178.326,180.58,1331419,-0.010683175368432551
2021-02-04,181.38,191.8765,180.6501,189.33,1149990,0.04845497840292401
2021-02-05,189.57,190.9163,180.2449,181.23,1527822,-0.042782443352876065
2021-02-08,183.45,185.49,174.21,177.43,2013261,-0.02096783093306842
2021-02-09,177.71,192.28,177.6,187.75,2144148,0.05816378290029878
2021-02-10,190.66,215.68,190.01,215.16,4009859,0.14599201065246326
2021-02-11,208.5,222.0,208.5,213.26,1968729,-0.00883063766499348
2021-02-12,213.03,213.54,202.51,202.97,1383318,-0.04825096126793582
2021-02-16,205.6,226.47,205.0,212.17,2673044,0.04532689560033498
2021-02-17,213.82,213.82,194.09,197.87,2024885,-0.06739878399396704
2021-02-18,194.3,201.41,188.91,200.06,1741020,0.011067872845807791
2021-02-19,200.07,209.16,199.23,205.97,1890379,0.029541137658702477
2021-02-22,198.0,201.99,176.36,178.07,3173500,-0.13545661989610136
2021-02-23,175.96,185.46,165.55,173.5,3022071,-0.025664064693659783
2021-02-24,174.36,180.55,173.52,176.32,1999135,0.016253602305475567
2021-02-25,174.41,182.555,163.73,166.87,4022722,-0.053595735027223146
2021-02-26,155.5,172.97,155.0201,169.49,7641968,0.015700844969137595
2021-03-01,171.44,173.79,164.2,168.89,4174730,-0.003540031860286841
2021-03-02,168.0,170.8,155.22,160.59,5319291,-0.04914441352359511
2021-03-03,156.69,161.34,144.56,148.25,4084038,-0.07684164642879387
2021-03-04,147.32,152.47,138.82,150.0,4379446,0.01180438448566612
2021-03-05,150.5,160.0,138.45,151.48,6186153,0.00986666666666669
2021-03-08,146.41,150.4,130.03,133.41,6912176,-0.1192896752046474
2021-03-09,132.91,147.2129,130.0,141.48,21525379,0.06049021812457833
2021-03-10,143.14,147.735,134.04,135.77,5454294,-0.04035906135142764
2021-03-11,140.0,147.73,139.56,144.97,3640681,0.0677616557413272
2021-03-12,139.48,145.4599,136.55,142.03,3287092,-0.020280057943022678
2021-03-15,143.78,144.04,138.03,140.69,2120975,-0.009434626487361819
2021-03-16,140.79,141.99,133.09,133.66,2490877,-0.04996801478427748
2021-03-17,133.0,136.245,127.7,133.8,3301994,0.0010474337872214967
2021-03-18,131.456,134.67,129.3142,130.62,3004407,-0.02376681614349785
2021-03-19,132.08,136.62,127.13,135.03,2268220,0.0337620578778135
2021-03-22,136.0,139.48,133.44,135.91,1975057,0.006517070280678272
2021-03-23,136.2,139.9,131.35,131.76,1894299,-0.0305349128099478
2021-03-24,131.77,132.54,124.9,125.53,2171526,-0.047282938676381225
2021-03-25,124.88,132.77,121.0,131.75,3030082,0.049549908388432984
2021-03-26,131.63,136.99,129.57,134.01,2053514,0.017153700189753263
2021-03-29,133.53,138.52,129.66,129.98,2309796,-0.0300723826580106
2021-03-30,128.21,132.0,126.16,130.6,1455968,0.004769964609939947
2021-03-31,130.96,132.83,127.64,131.13,2952371,0.0040581929555896235
2021-04-01,136.88,140.9,130.94,133.14,2204781,0.015328300160146302
2021-04-05,133.89,134.73,130.54,133.55,1469737,0.003079465224575806
2021-04-06,131.75,135.5,130.51,131.09,1763220,-0.018420067390490513
2021-04-07,131.19,134.71,127.25,127.5,1872281,-0.027385765504615134
2021-04-08,129.02,130.45,126.14,128.14,1889676,0.005019607843137042
2021-04-09,126.3,141.0,122.06,140.5,6678029,0.09645700015607939
2021-04-12,138.0,149.01,136.28,147.83,5752051,0.05217081850533822
2021-04-13,146.84,150.36,143.5501,149.46,2837708,0.01102617871879863
2021-04-14,150.01,153.275,143.11,143.65,2246895,-0.03887327713100497
2021-04-15,145.0,154.88,144.87,151.5,3343281,0.054646710755307915
2021-04-16,151.29,151.29,148.25,149.49,929208,-0.013267326732673168
2021-04-19,142.46,150.34,142.31,146.67,2304670,-0.01886413806943621
2021-04-20,146.72,148.81,142.25,144.35,1652717,-0.015817822322219954
2021-04-21,143.74,143.74,139.06,143.32,1175307,-0.007135434707308597
2021-04-22,144.9,149.4999,142.21,143.96,997246,0.004465531677365409
2021-04-23,145.06,153.17,144.01,152.75,2091902,0.06105862739649903
2021-04-26,153.2,157.34,150.44,153.8,1571575,0.006873977086743199
2021-04-27,156.55,164.665,154.9,162.13,3113130,0.054161248374512194
2021-04-28,160.01,167.23,158.3967,162.45,1633897,0.0019737247887496867
2021-04-29,164.04,164.04,144.1301,150.11,4123124,-0.07596183441058768
2021-04-30,148.31,150.63,142.13,143.17,1820902,-0.046232762640730285
2021-05-03,142.85,146.43,139.5301,140.47,1420520,-0.018858699448208394
2021-05-04,137.31,138.03,129.59,135.22,2104150,-0.037374528369046756
2021-05-05,134.0,134.625,124.93,128.39,2796134,-0.0505102795444462
2021-05-06,127.88,131.11,120.05,122.77,3124817,-0.04377287950774977
2021-05-07,126.49,129.49,122.55,124.89,1905716,0.01726806223018662
2021-05-10,124.9,125.09,118.56,120.45,2292095,-0.03555128513091521
2021-05-11,115.46,125.5,114.69,124.54,2755435,0.03395599833956009
2021-05-12,119.52,120.1703,112.0501,112.99,4460209,-0.09274128793961789
2021-05-13,114.05,118.72,110.13,115.49,6882502,0.02212585184529603
2021-05-14,125.0,146.63,123.57,141.07,15341499,0.22149103818512428
2021-05-17,138.91,140.69,130.71,133.79,5258560,-0.05160558587935071
2021-05-18,135.5,143.85,133.09,138.56,11097356,0.03565288885566931
2021-05-19,130.36,140.73,130.01,140.2,5617186,0.011836027713625796
2021-05-20,134.81,138.02,133.35,137.0,6838762,-0.022824536376604754
2021-05-21,136.77,138.85,135.44,137.57,3271058,0.0041605839416059
2021-05-24,139.0,143.42,137.36,140.46,3995527,0.021007487097477684
2021-05-25,140.11,141.48,135.68,136.27,2848408,-0.029830556742132974
2021-05-26,138.73,145.23,136.38,141.86,3167590,0.04102150143098271
2021-05-27,142.3,155.5,140.17,152.82,6014929,0.07725926970252339
2021-05-28,152.0,154.22,149.56,150.28,2269973,-0.016620861143829324
2021-06-01,152.2,154.95,147.34,149.27,2229006,-0.006720787862656286
2021-06-02,148.13,153.2,146.53,149.83,3120831,0.0037515910765726357
2021-06-03,149.89,150.46,138.31,139.11,3010748,-0.07154775412133751
2021-06-04,140.64,147.13,139.83,143.8,2402303,0.03371432679174746
2021-06-07,146.47,154.15,134.12,142.5,9595678,-0.009040333796940248
2021-06-08,139.82,142.91,135.685,136.76,3027346,-0.04028070175438603
2021-06-09,137.59,141.26,135.66,136.98,3091577,0.0016086575021936333
2021-06-10,136.51,145.26,136.12,144.85,3394823,0.05745364286757204
2021-06-11,145.65,154.35,145.04,154.16,4399626,0.06427338626165002
2021-06-14,155.46,160.1,154.38,158.83,4757614,0.030293201868188957
2021-06-15,158.0,160.1,155.3,158.65,2604499,-0.0011332871623749297
2021-06-16,158.0,164.0,157.158,161.46,4823953,0.017711944531988655
2021-06-17,159.21,165.01,158.58,164.52,4172468,0.018952062430323213
2021-06-18,165.99,174.59,164.0,167.33,9479797,0.01707999027473872
2021-06-21,167.5,177.5,163.53,173.21,6485095,0.035140142233909044
2021-06-22,174.33,178.99,172.45,178.98,3700662,0.03331216442468676
2021-06-23,176.64,177.52,169.41,174.03,2764493,-0.027656721421387753
2021-06-24,176.11,180.95,175.07,175.3,2693448,0.007297592369131856
2021-06-25,176.03,180.94,174.09,176.72,7051939,0.00810039931545914
2021-06-28,181.08,181.25,175.105,175.6,1899662,-0.006337709370756062
2021-06-29,177.25,184.28,175.07,183.91,3584451,0.04732346241457863
2021-06-30,180.5,183.79,174.56,178.33,4895953,-0.030340927627643843
2021-07-01,179.36,182.66,177.15,180.59,2591822,0.01267313407727233
2021-07-02,181.05,184.7,180.35,182.91,2095150,0.012846779998892499
2021-07-06,183.16,183.9858,178.22,182.77,1969600,-0.0007654037504782885
2021-07-07,184.63,185.85,180.165,185.15,1358380,0.013021830716200666
2021-07-08,174.98,181.0,174.37,178.56,1806818,-0.035592762624898744
2021-07-09,180.66,181.65,176.54,180.23,1100121,0.009352598566308101
2021-07-12,182.21,183.42,175.995,177.18,1169219,-0.0169228208400376
2021-07-13,177.0,179.06,175.1566,176.49,1002850,-0.003894344734168609
2021-07-14,177.39,178.3113,169.1,169.33,1600911,-0.04056887075755
2021-07-15,167.83,174.63,164.16,167.33,1713368,-0.01181125612708911
2021-07-16,168.51,169.83,164.65,167.36,1166110,0.0001792864399690064
2021-07-19,163.32,176.99,163.15,175.5,2522644,0.0486376673040152
2021-07-20,176.24,180.0,173.65,177.56,1683106,0.011737891737891859
2021-07-21,177.69,179.49,175.68,179.02,1779169,0.008222572651498172
2021-07-22,179.18,184.29,177.88,182.78,1450530,0.021003239861467904
2021-07-23,181.95,188.62,180.39,188.6,2915265,0.03184155815734768
2021-07-26,186.21,188.32,182.64,184.09,933487,-0.023913043478260843
2021-07-27,182.8,184.0,174.12,179.99,2301136,-0.022271714922048935
2021-07-28,182.12,187.5,181.2937,186.85,2130378,0.03811322851269505
2021-07-29,184.0,185.3262,177.78,178.06,2091594,-0.04704308268664703
2021-07-30,175.81,176.74,173.13,174.29,1624027,-0.021172638436482094
2021-08-02,175.35,179.53,169.8,177.63,1512718,0.01916346319352802
2021-08-03,177.01,180.56,175.54,177.13,1219004,-0.0028148398356133697
2021-08-04,175.44,180.42,175.0456,178.52,1243291,0.007847343758821346
2021-08-05,178.37,186.08,177.84,181.33,2130538,0.015740533273582713
2021-08-06,182.42,183.39,178.62,181.56,1897002,0.001268405669221817
2021-08-09,182.8,186.11,180.11,183.15,1264075,0.008757435558493176
2021-08-10,186.9,194.25,186.195,190.16,3758152,0.03827463827463817
2021-08-11,190.51,191.63,187.02,190.56,2609070,0.0021034917963820288
2021-08-12,192.19,192.49,187.0,188.21,3860831,-0.01233207388748947
2021-08-13,181.0,195.45,177.15,194.79,6915102,0.03496094787737092
2021-08-16,189.54,192.775,186.19,187.67,3310554,-0.03655218440371688
2021-08-17,184.55,194.21,183.61,185.88,3447157,-0.009538018862897624
2021-08-18,185.0,194.25,184.74,191.63,2894507,0.030933935872605955
2021-08-19,182.615,185.43,178.24,182.06,6448920,-0.049939988519542844
2021-08-20,182.8,187.23,176.15,184.08,6305173,0.011095243326376014
2021-08-23,177.36,185.0,173.57,183.08,2939006,-0.005432420686657946
2021-08-24,184.89,189.53,183.34,187.45,2101547,0.02386934673366814
2021-08-25,185.45,190.12,184.55,188.25,1914384,0.0042678047479327574
2021-08-26,188.46,194.65,187.17,191.0,2223729,0.014608233731739695
2021-08-27,186.89,190.25,186.05,187.94,1696602,-0.016020942408376926
2021-08-30,187.91,193.83,187.61,192.7,1773533,0.025327232095349483
2021-08-31,192.49,196.65,189.87,191.4,5344687,-0.006746237675142597
2021-09-01,192.0,194.8,190.6,191.8,2321740,0.002089864158829613
2021-09-02,192.0,193.5,189.26,191.72,1915289,-0.0004171011470281982
2021-09-03,191.0,194.12,190.002,193.46,1255448,0.00907573544752771
2021-09-07,195.0,199.5,192.16,197.12,3151293,0.018918639512043756
2021-09-08,195.26,203.64,194.7511,200.92,3583104,0.01927759740259738
2021-09-09,201.77,210.14,200.8,207.74,4114423,0.033943858252040826
2021-09-10,209.0,214.2479,206.805,210.37,3307231,0.012660055839029516
2021-09-13,208.62,212.14,203.66,208.64,2867719,-0.008223606027475516
2021-09-14,205.9,211.7,203.1,203.33,4030940,-0.025450536809815794
2021-09-15,204.89,211.48,203.59,209.85,3386788,0.03206609944425298
2021-09-16,217.04,225.45,216.6,221.5,5786765,0.05551584465094117
2021-09-17,223.03,227.4,220.0,222.91,14850873,0.006365688487584675
2021-09-20,219.24,226.5657,217.32,220.32,3654270,-0.011619039074065807
2021-09-21,222.33,224.48,217.5,221.36,3250494,0.004720406681191003
2021-09-22,221.35,223.57,215.825,217.66,2170754,-0.016714853632092574
2021-09-23,220.04,220.5,211.7101,217.0,2711007,-0.0030322521363594923
2021-09-24,219.98,225.42,217.83,220.52,4377856,0.016221198156681993
2021-09-27,218.22,219.4499,212.7826,216.73,1671690,-0.01718664973698536
2021-09-28,213.51,214.49,204.55,206.32,2199323,-0.0480321136898445
2021-09-29,207.49,210.0,205.38,205.83,1397203,-0.002374951531601277
2021-09-30,205.99,208.49,203.24,205.98,1576475,0.0007287567409997031
2021-10-01,208.46,209.77,200.68,203.99,1666532,-0.009661132148752194
2021-10-04,201.14,203.62,196.86,197.68,1556981,-0.030932888867101327
2021-10-05,199.83,202.93,198.92,199.5,1137310,0.009206798866855381
2021-10-06,198.73,205.4,198.185,205.26,2258561,0.028872180451127827
2021-10-07,209.31,210.2499,204.5801,204.92,1084782,-0.0016564357400370433
2021-10-08,204.9,207.99,204.15,204.42,902877,-0.002439976576224856
2021-10-11,203.43,204.41,194.54,195.3,1512199,-0.044614029938362054
2021-10-12,202.93,204.35,198.66,199.0,2372327,0.018945212493599595
2021-10-13,200.0,206.38,198.73,205.42,1281343,0.03226130653266335
2021-10-14,207.0,213.94,205.88,212.43,1342350,0.03412520689319454
2021-10-15,213.51,217.55,212.48,214.07,1169474,0.007720190180294573
2021-10-18,214.62,215.99,213.265,215.37,956392,0.006072779931798111
2021-10-19,218.28,218.28,211.08,213.33,974031,-0.009472071319125197
2021-10-20,214.75,217.85,213.56,215.68,1086683,0.011015797121830095
2021-10-21,214.83,220.27,212.81,218.82,903963,0.014558605341246311
2021-10-22,218.0,218.44,212.39,213.83,806234,-0.022804131249428705
2021-10-25,215.0,220.6108,214.07,216.33,1123878,0.01169153065519346
2021-10-26,217.63,219.08,211.92,212.93,847168,-0.015716729071326263
2021-10-27,199.72,203.0,195.93,198.95,5167728,-0.06565537970224966
2021-10-28,197.93,199.65,194.54,196.0,3115176,-0.014827846192510652
2021-10-29,196.01,198.8,194.13,194.8,1930763,-0.006122448979591799
2021-11-01,195.01,198.8513,192.65,197.94,2590355,0.01611909650924015
2021-11-02,198.26,201.3799,196.26,199.19,2135615,0.006315044963120187
2021-11-03,200.05,206.6922,197.9,206.02,2177593,0.034288869923188914
2021-11-04,207.25,209.58,204.27,207.44,1387133,0.006892534705368325
2021-11-05,204.35,208.27,198.36,198.68,2900928,-0.04222907828769762
2021-11-08,199.4,202.87,191.86,193.15,2679156,-0.027833702436078078
2021-11-09,196.4,198.75,187.355,192.01,5529661,-0.005902148589179479
2021-11-10,223.58,232.0,209.0,214.24,13687857,0.11577522004062302
2021-11-11,219.26,233.08,218.24,227.42,6121705,0.061519790888722836
2021-11-12,227.87,249.5,227.51,245.97,7368625,0.08156714449037028
2021-11-15,247.52,257.2499,241.21,242.72,5232468,-0.013212993454486344
2021-11-16,237.06,242.51,234.26,234.65,2646075,-0.03324818721160183
2021-11-17,235.0,235.75,225.57,229.46,3292494,-0.022118048156829273
2021-11-18,226.44,229.62,223.835,228.81,2328009,-0.0028327377320666036
2021-11-19,234.79,235.0,214.79,215.25,2820553,-0.05926314409335254
2021-11-22,217.95,217.95,189.21,201.46,7042210,-0.06406504065040641
2021-11-23,193.81,199.36,182.81,184.31,4975011,-0.08512856150104242
2021-11-24,181.1,189.97,177.65,184.93,4357746,0.003363897780912728
2021-11-26,187.9,189.0,181.36,187.92,3231439,0.01616827988968783
2021-11-29,186.55,188.97,178.13,183.01,4794125,-0.026128139633886716
2021-11-30,182.48,186.0,174.415,178.77,6317726,-0.023168132888913062
2021-12-01,183.0,185.28,160.88,161.62,4874753,-0.09593332214577388
2021-12-02,163.51,168.3641,160.29,166.12,3866847,0.027843088726642762
2021-12-03,162.21,162.9999,149.5732,157.71,5274359,-0.05062605345533344
2021-12-06,156.16,163.15,155.39,161.54,4703157,0.02428508021051279
2021-12-07,165.77,167.3,158.8,163.46,4731512,0.011885601089513642
2021-12-08,163.0,170.89,159.43,168.93,2610286,0.03346384436559413
2021-12-09,167.61,168.54,162.83,164.86,3361282,-0.02409281951104003
2021-12-10,165.0,171.08,157.6,158.0,2937792,-0.041611063933034154
2021-12-13,156.7,158.42,149.0,155.25,4108852,-0.017405063291139222
2021-12-14,152.8,159.64,150.02,156.43,3514365,0.00760064412238326
