Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,106.93,107.25,103.63,105.7,2129600,
2020-08-25,102.85,107.68,102.77,107.52,2025600,0.017218543046357615
2020-08-26,106.41,108.38,105.76,106.42,2260800,-0.010230654761904656
2020-08-27,106.32,107.81,103.25,106.94,2634400,0.00488629956775033
2020-08-28,107.08,107.75,104.45,104.74,2008000,-0.02057228352347118
2020-08-31,104.51,106.96,103.15,106.35,2669200,0.015371395837311397
2020-09-01,105.75,107.82,104.98,105.55,2497200,-0.007522331922896086
2020-09-02,105.98,112.5,103.25,111.93,6223200,0.060445286594031256
2020-09-03,109.0,111.61,102.25,103.24,6118800,-0.07763780934512654
2020-09-04,103.16,103.71,94.34,99.56,5034000,-0.03564509879891509
2020-09-08,97.72,99.04,95.79,97.3,2912800,-0.022699879469666562
2020-09-09,99.61,100.96,97.56,100.42,3025600,0.032065775950668174
2020-09-10,101.33,101.42,97.14,97.5,3157200,-0.029077872933678584
2020-09-11,99.01,99.85,94.45,95.86,2412000,-0.01682051282051278
2020-09-14,96.55,99.93,96.53,98.4,2464400,0.02649697475485091
2020-09-15,99.64,100.12,98.0,99.49,1778400,0.011077235772357641
2020-09-16,99.96,100.99,97.88,98.48,2566400,-0.010151774047642892
2020-09-17,95.65,97.4,93.9,96.55,4665200,-0.019597887896019572
2020-09-18,97.71,100.26,95.25,97.33,6378400,0.008078715691351546
2020-09-21,96.25,98.3,95.42,97.92,2671200,0.006061851433268206
2020-09-22,98.04,99.66,95.43,99.53,2636000,0.016441993464052285
2020-09-23,98.78,99.63,95.65,96.52,2172800,-0.03024213804882958
2020-09-24,95.25,96.95,94.2,95.51,1695200,-0.0104641525072523
2020-09-25,94.95,100.63,94.19,100.59,2830800,0.053188147837922806
2020-09-28,99.75,100.38,96.75,100.05,4323600,-0.005368326871458495
2020-09-29,99.95,102.39,99.49,100.54,2238400,0.004897551224387842
2020-09-30,100.6,103.91,99.38,103.06,2511200,0.025064650885219697
2020-10-01,104.27,105.0,102.46,103.46,1986400,0.003881234232485875
2020-10-02,99.25,100.4,94.78,96.13,5284800,-0.07084863715445577
2020-10-05,97.0,97.44,94.68,95.63,3310800,-0.005201289919900098
2020-10-06,94.92,97.34,93.35,93.72,3646800,-0.01997281187911737
2020-10-07,94.19,98.61,94.19,98.46,4076400,0.05057618437900113
2020-10-08,99.17,99.95,96.79,96.88,2159600,-0.016047125736339596
2020-10-09,98.38,99.25,96.3,96.5,2633600,-0.003922378199834764
2020-10-12,98.13,100.46,97.0,98.54,3730400,0.021139896373057132
2020-10-13,99.63,100.72,98.63,100.24,2456800,0.017251877410188632
2020-10-14,100.08,100.82,97.58,98.5,2228000,-0.01735833998403824
2020-10-15,97.77,100.11,97.13,99.89,4233200,0.014111675126903478
2020-10-16,100.8,104.5,99.74,101.25,3354000,0.013614976474121576
2020-10-19,100.9,102.5,98.75,99.38,3773600,-0.018469135802469228
2020-10-20,99.36,101.05,97.41,98.11,3252800,-0.012779231233648547
2020-10-21,98.47,99.2,96.27,96.96,3056000,-0.011721537050249808
2020-10-22,96.63,99.56,96.46,98.95,1857600,0.02052392739273934
2020-10-23,99.5,102.8,99.24,102.75,2192800,0.03840323395654366
2020-10-26,101.42,104.75,100.88,104.5,3588800,0.017031630170316392
2020-10-27,98.81,99.5,95.03,95.16,11525600,-0.089377990430622
2020-10-28,91.58,92.0,82.65,87.28,22844400,-0.08280790248003356
2020-10-29,88.19,88.6,83.09,83.82,9402000,-0.039642529789184366
2020-10-30,84.18,84.5,79.38,79.89,8893200,-0.04688618468146022
2020-11-02,82.14,82.14,76.41,78.0,7263200,-0.02365752910251595
2020-11-03,78.75,83.38,78.75,82.94,4889200,0.06333333333333324
2020-11-04,86.5,87.59,83.82,86.13,5573600,0.038461538461538325
2020-11-05,88.46,91.56,87.45,88.78,5623200,0.03076744456054814
2020-11-06,89.1,91.26,87.28,90.33,3708800,0.017458887136742485
2020-11-09,90.33,91.51,85.78,85.96,4772400,-0.04837816893612312
2020-11-10,84.05,85.32,81.71,84.88,4222800,-0.012563983248022326
2020-11-11,85.71,88.12,85.13,86.88,3633600,0.023562676720075393
2020-11-12,87.12,89.82,83.5,84.18,5049200,-0.03107734806629825
2020-11-13,85.71,86.65,83.67,84.1,2561200,-0.0009503444998814059
2020-11-16,84.1,86.11,83.24,85.01,3214000,0.010820451843044143
2020-11-17,84.21,84.66,83.31,83.59,3373600,-0.016703917186213446
2020-11-18,83.81,83.96,81.89,82.3,3337600,-0.015432467998564459
2020-11-19,81.72,83.6,81.07,82.66,3406800,0.004374240583232103
2020-11-20,82.79,83.07,78.89,78.97,6632400,-0.044640696830389515
2020-11-23,79.75,81.25,78.66,80.27,5193200,0.0164619475750285
2020-11-24,80.75,80.75,78.13,78.33,3901200,-0.024168431543540536
2020-11-25,78.77,80.04,77.75,78.14,3271200,-0.002425635133409876
2020-11-27,79.41,79.92,78.0,79.55,2344400,0.01804453544919382
2020-11-30,79.39,80.48,78.35,79.92,8848400,0.0046511627906977715
2020-12-01,80.34,82.28,79.79,81.93,6226800,0.02515015015015032
2020-12-02,81.67,83.46,80.65,83.3,4467600,0.01672159160258735
2020-12-03,83.35,87.27,82.82,86.16,6974800,0.0343337334933973
2020-12-04,85.88,87.49,84.54,87.01,4669200,0.009865366759517213
2020-12-07,87.68,88.46,83.99,84.35,3525600,-0.03057119871279179
2020-12-08,84.61,87.07,83.33,87.04,3514400,0.03189093064611748
2020-12-09,86.95,87.38,82.4,83.35,6438000,-0.042394301470588425
2020-12-10,83.0,87.36,82.52,86.8,5680800,0.041391721655668956
2020-12-11,85.61,87.88,85.43,86.93,4312800,0.001497695852534564
2020-12-14,87.29,89.74,87.01,88.4,6190000,0.016910157598067466
2020-12-15,89.16,89.35,86.25,88.55,5074800,0.0016968325791855143
2020-12-16,88.05,89.21,87.22,88.09,3284000,-0.0051948051948050855
2020-12-17,88.84,89.89,88.14,89.48,2645600,0.01577931660801446
2020-12-18,90.36,91.38,88.37,89.64,4991200,0.0017881090746534323
2020-12-21,88.17,88.73,86.66,87.21,3479600,-0.027108433734939874
2020-12-22,87.24,88.56,86.36,88.56,2806000,0.01547987616099089
2020-12-23,89.29,91.25,89.0,89.0,2450000,0.0049683830171634025
2020-12-24,89.14,89.57,87.93,88.75,1130000,-0.002808988764044895
2020-12-28,88.85,91.35,88.09,90.58,4017600,0.020619718309859092
2020-12-29,91.92,92.17,88.14,89.22,1973600,-0.015014351954073746
2020-12-30,89.94,90.79,88.51,90.69,2493600,0.01647612642905183
2020-12-31,91.24,92.66,90.39,92.43,3232800,0.019186238835593894
2021-01-04,91.52,92.37,87.96,89.43,4079600,-0.032456994482310986
2021-01-05,89.51,92.65,88.81,92.19,2850000,0.0308621268030862
2021-01-06,92.74,96.13,91.67,93.98,7632400,0.019416422605488703
2021-01-07,94.18,97.4,94.18,96.79,4798800,0.029899978718876286
2021-01-08,97.32,99.25,95.32,97.02,5110800,0.002376278541171395
2021-01-11,93.5,93.88,90.79,92.66,5760000,-0.04493918779633066
2021-01-12,92.84,92.88,89.07,90.04,4542000,-0.028275415497517664
2021-01-13,89.98,91.11,86.97,90.64,3947200,0.00666370501999114
2021-01-14,90.54,91.07,87.51,88.02,3562400,-0.028905560458958535
2021-01-15,88.06,89.19,86.9,88.55,3011600,0.0060213587820949765
2021-01-19,89.62,90.01,87.01,89.41,3178000,0.009712027103331522
2021-01-20,89.86,91.82,89.49,91.03,4673600,0.01811877866010514
2021-01-21,91.68,92.7,90.43,91.88,2757200,0.00933758101724691
2021-01-22,91.91,93.5,91.32,92.53,1697200,0.007074444928167223
2021-01-25,93.39,94.5,91.11,94.1,2271600,0.016967470009726426
2021-01-26,94.42,94.46,90.07,90.36,3572800,-0.039744952178533466
2021-01-27,89.93,90.3,87.25,87.41,4142800,-0.03264718902169106
2021-01-28,88.32,92.24,87.63,91.72,3905200,0.049307859512641494
2021-01-29,90.64,94.76,89.95,93.71,4383200,0.021696467509812356
2021-02-01,94.09,96.65,93.25,95.65,2892800,0.02070216625760346
2021-02-02,96.81,100.41,96.3,98.66,3460000,0.03146889702038669
2021-02-03,98.12,98.75,95.76,97.92,2952000,-0.0075005067909993395
2021-02-04,98.87,102.03,98.21,100.81,3154400,0.02951388888888884
2021-02-05,102.0,103.06,101.0,102.76,2237600,0.019343319115167068
2021-02-08,103.7,103.75,100.65,100.82,3482000,-0.018878941222265633
2021-02-09,101.44,102.0,99.45,100.26,3064400,-0.005554453481452004
2021-02-10,101.61,101.61,99.04,99.86,2784400,-0.003989626969878368
2021-02-11,101.15,102.76,99.79,102.55,2747200,0.026937712797917124
2021-02-12,97.0,103.58,95.26,103.14,7701200,0.005753291077523093
2021-02-16,102.75,103.15,100.08,101.1,3509200,-0.019778941244909864
2021-02-17,101.57,104.32,100.05,103.53,2606400,0.024035608308605516
