Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,142.76,142.99,140.84,141.21,1940008,
2020-08-24,142.27,142.84,141.21,142.33,1842651,0.007931449614050123
2020-08-25,142.01,142.4,141.0,142.21,857689,-0.000843111079884773
2020-08-26,142.06,144.5,142.06,143.63,1580507,0.009985233105969993
2020-08-27,143.38,143.74,139.85,141.77,1923000,-0.012949940820162764
2020-08-28,142.34,142.34,140.01,140.87,1553879,-0.006348310644000876
2020-08-31,141.08,141.11,138.09,139.47,2727367,-0.009938240931355202
2020-09-01,140.74,140.74,137.08,138.29,2720882,-0.008460600846060151
2020-09-02,138.0,140.3,136.64,139.56,2337422,0.009183599681828136
2020-09-03,138.24,138.24,131.22,132.82,3430500,-0.04829464029807973
2020-09-04,131.63,132.65,126.91,130.13,2430011,-0.020252973949706377
2020-09-08,127.46,127.5,123.33,124.3,4622778,-0.04480135249366013
2020-09-09,126.54,129.52,124.89,128.7,2776509,0.03539823008849541
2020-09-10,129.88,131.13,126.34,127.26,2460000,-0.011188811188811099
2020-09-11,127.99,128.39,124.4,126.02,1746640,-0.009743831526009772
2020-09-14,127.93,128.01,125.93,126.18,1377254,0.0012696397397240489
2020-09-15,127.99,129.86,127.5,128.33,2129600,0.0170391504200349
2020-09-16,128.99,129.52,126.47,126.74,1832214,-0.012389932206031462
2020-09-17,124.22,126.54,123.54,125.26,2151800,-0.011677449897427694
2020-09-18,125.49,126.7,123.37,125.9,3402812,0.005109372505189169
2020-09-21,124.33,128.47,124.15,128.29,2017441,0.01898332009531356
2020-09-22,129.84,131.22,128.46,131.02,2082109,0.02127991269779428
2020-09-23,131.57,132.32,127.94,128.42,2444503,-0.019844298580369624
2020-09-24,128.21,130.31,128.09,129.32,2001512,0.007008254166017691
2020-09-25,129.51,132.01,128.69,131.19,1915724,0.014460253634395404
2020-09-28,133.36,133.85,130.87,132.28,1796846,0.00830856010366654
2020-09-29,132.06,132.43,129.5,130.02,1793543,-0.01708497127305708
2020-09-30,129.73,131.99,129.45,130.41,2164435,0.00299953853253343
2020-10-01,132.07,134.06,131.46,132.78,1868992,0.018173452956061764
2020-10-02,131.37,132.24,127.71,129.07,1751296,-0.027940954963096898
2020-10-05,130.09,132.95,129.07,130.72,1270110,0.012783760749980777
2020-10-06,130.36,130.4,124.52,124.84,3753713,-0.044981640146878776
2020-10-07,126.41,126.5,123.97,125.01,3257500,0.0013617430310797207
2020-10-08,126.1,126.38,124.42,125.99,1959600,0.007839372850172
2020-10-09,126.86,128.44,125.92,127.45,1991745,0.011588221287403888
2020-10-12,128.98,132.07,127.83,130.88,2106617,0.02691251471165157
2020-10-13,131.87,133.54,130.16,132.94,2117365,0.015739608801955907
2020-10-14,133.79,133.86,131.74,132.75,2520501,-0.0014292161877538234
2020-10-15,131.07,132.41,129.88,131.34,1903434,-0.01062146892655369
2020-10-16,132.5,133.26,131.05,131.92,1925033,0.00441601949139625
2020-10-19,133.14,133.89,129.51,129.87,1454331,-0.015539721043056232
2020-10-20,130.42,130.6,127.09,127.36,2249230,-0.019327019327019412
2020-10-21,127.98,129.45,127.3,127.65,2200937,0.0022770100502513824
2020-10-22,127.78,128.01,125.4,126.92,1792367,-0.005718762240501385
