Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,26.25,26.91,26.06,26.88,8038606,
2020-08-25,26.94,26.95,26.28,26.48,5351482,-0.014880952380952328
2020-08-26,26.39,26.6,26.06,26.58,9259367,0.003776435045317106
2020-08-27,26.49,26.79,26.16,26.31,7671336,-0.010158013544018019
2020-08-28,26.31,26.43,26.13,26.41,5512759,0.003800836183960543
2020-08-31,26.21,26.6,26.21,26.32,5587331,-0.0034078000757289395
2020-09-01,26.17,26.21,25.76,25.91,6133849,-0.01557750759878418
2020-09-02,26.22,27.26,25.85,27.12,13436121,0.046700115785411
2020-09-03,27.13,27.35,26.27,26.59,11794109,-0.019542772861356972
2020-09-04,26.76,26.88,26.13,26.45,8399937,-0.005265137269650277
2020-09-08,26.22,26.45,25.72,25.97,8513341,-0.018147448015122913
2020-09-09,26.24,26.46,26.06,26.15,6265784,0.006931074316518959
2020-09-10,26.15,26.15,25.47,25.56,8557324,-0.022562141491395793
2020-09-11,25.67,25.71,25.4,25.55,6453866,-0.0003912363067292146
2020-09-14,25.46,26.02,25.41,25.86,5138804,0.012133072407044976
2020-09-15,25.97,26.28,25.66,25.79,4642967,-0.002706883217324041
2020-09-16,25.73,26.23,25.61,25.86,7897384,0.0027142303218301578
2020-09-17,25.65,25.67,25.26,25.62,9936219,-0.009280742459396696
2020-09-18,25.64,25.68,24.84,25.01,11888156,-0.023809523809523836
2020-09-21,24.7,24.8,24.25,24.78,7316078,-0.009196321471411473
2020-09-22,24.89,25.23,24.82,25.11,6239025,0.013317191283293006
2020-09-23,25.08,25.24,24.53,24.59,7073426,-0.020708880923934636
2020-09-24,24.47,25.06,24.22,24.82,6443864,0.0093533956893046
2020-09-25,24.73,25.41,24.56,25.33,7287589,0.020547945205479312
2020-09-28,25.54,25.83,25.41,25.49,6537436,0.006316620607974777
2020-09-29,25.56,25.63,25.06,25.19,4598327,-0.011769321302471436
2020-09-30,25.42,25.75,25.32,25.5,9899754,0.012306470821754623
2020-10-01,25.61,25.78,25.34,25.55,6629364,0.0019607843137254832
2020-10-02,25.35,25.81,25.11,25.63,7262653,0.0031311154598825386
2020-10-05,25.71,26.31,25.48,26.23,7009386,0.023410066328521273
2020-10-06,26.17,26.98,26.16,26.5,8008892,0.010293556995806252
2020-10-07,26.65,27.06,26.57,26.99,8733881,0.01849056603773569
2020-10-08,26.69,28.07,26.69,28.04,9717853,0.038903297517599134
2020-10-09,28.87,28.96,27.75,27.95,8434645,-0.003209700427960094
2020-10-12,27.96,28.73,27.87,28.51,8331387,0.0200357781753131
2020-10-13,29.16,29.32,28.47,29.22,17003124,0.02490354261662575
2020-10-14,29.47,29.77,29.22,29.26,12746751,0.001368925393566034
2020-10-15,28.84,29.58,28.75,29.52,8300449,0.008885850991114053
2020-10-16,29.52,30.07,29.36,30.01,9138727,0.016598915989159968
2020-10-19,29.86,30.15,29.81,29.85,11565436,-0.005331556147950667
2020-10-20,30.1,30.42,29.98,30.23,8573251,0.012730318257956341
2020-10-21,30.16,30.5,30.03,30.05,6998499,-0.005954349983460117
2020-10-22,30.01,30.16,29.65,30.11,6794562,0.001996672212978279
2020-10-23,30.36,30.41,29.91,30.09,5809967,-0.0006642311524410749
2020-10-26,29.53,29.78,29.26,29.73,8956692,-0.011964107676969093
2020-10-27,29.68,29.95,29.34,29.34,7285213,-0.013118062563067578
2020-10-28,28.79,29.11,28.11,28.22,8865522,-0.038173142467621046
2020-10-29,27.94,28.93,27.67,28.64,7672127,0.014883061658398367
2020-10-30,28.32,28.7,28.14,28.44,9917215,-0.006983240223463638
2020-11-02,28.89,29.22,28.48,29.21,7101288,0.02707454289732758
2020-11-03,30.46,30.65,29.68,30.28,9033902,0.036631290653885706
2020-11-04,30.44,30.62,29.7,30.11,11250306,-0.0056142668428005305
2020-11-05,30.28,30.92,30.17,30.71,10348574,0.01992693457323158
2020-11-06,30.62,30.78,30.38,30.55,12408591,-0.005210029306414898
2020-11-09,31.67,32.82,30.74,30.89,11398617,0.011129296235679265
2020-11-10,30.85,31.14,30.6,30.65,14051933,-0.0077695046940757795
2020-11-11,30.8,31.27,30.58,31.26,8249810,0.019902120717781413
2020-11-12,30.98,31.11,30.22,30.45,7598219,-0.025911708253358978
2020-11-13,30.45,30.63,30.31,30.58,5144991,0.0042692939244664
2020-11-16,30.81,31.03,30.4,30.9,5765076,0.01046435578809679
2020-11-17,30.58,31.05,30.53,30.71,6557671,-0.006148867313915729
2020-11-18,30.8,30.93,30.43,30.45,8076963,-0.008466297622924168
2020-11-19,30.28,30.36,29.79,30.2,7540205,-0.008210180623973717
2020-11-20,30.12,30.35,29.79,29.86,5707634,-0.011258278145695355
2020-11-23,30.16,30.16,29.52,29.64,6133737,-0.007367716008037428
2020-11-24,29.99,30.53,29.86,30.48,6748450,0.028340080971659853
2020-11-25,30.28,30.35,29.79,30.11,4724576,-0.012139107611548572
2020-11-27,30.12,30.17,29.65,29.76,2416930,-0.011624045167718311
2020-11-30,29.58,29.61,29.18,29.29,13246614,-0.01579301075268824
2020-12-01,29.46,29.86,29.31,29.41,8000284,0.004096961420279932
2020-12-02,29.32,29.67,29.04,29.64,7226109,0.007820469228153604
2020-12-03,29.45,29.7,29.09,29.27,6116336,-0.012483130904183515
2020-12-04,29.45,29.48,28.9,29.19,4973292,-0.0027331738981891673
2020-12-07,29.02,29.55,28.99,29.37,4537929,0.006166495375128367
2020-12-08,29.36,29.51,28.96,29.46,5792836,0.003064351378958108
2020-12-09,29.44,29.57,29.21,29.3,6159879,-0.005431093007467802
2020-12-10,29.42,29.51,28.92,29.38,6165075,0.0027303754266210234
2020-12-11,29.11,29.44,29.03,29.37,4953855,-0.0003403675970047315
2020-12-14,29.58,30.01,29.26,29.28,5645484,-0.003064351378958108
2020-12-15,29.55,30.54,29.43,30.46,11641442,0.04030054644808745
2020-12-16,30.52,30.74,30.08,30.26,10635406,-0.006565988181221227
2020-12-17,30.38,30.74,30.38,30.41,7333929,0.004957038995373475
2020-12-18,30.44,30.68,30.19,30.36,12859810,-0.0016441959881617896
2020-12-21,30.1,30.1,29.31,29.6,6174426,-0.025032938076416267
2020-12-22,29.66,29.92,29.58,29.78,4377910,0.0060810810810809635
2020-12-23,29.9,30.26,29.7,29.74,4660027,-0.001343183344526655
2020-12-24,29.91,29.91,29.53,29.83,2070866,0.0030262273032952702
2020-12-28,30.06,30.4,29.94,30.1,3569209,0.009051290646999721
