Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,39.64,40.89,39.15,40.05,1722218,
2020-08-25,40.53,41.26,40.06,41.06,1653371,0.025218476903870357
2020-08-26,40.98,41.36,39.33,39.39,1318800,-0.04067218704335118
2020-08-27,39.74,40.12,39.16,39.77,1690423,0.009647118558009815
2020-08-28,39.96,40.58,39.62,40.14,1239614,0.009303495096806502
2020-08-31,40.16,40.2,38.95,38.96,1819308,-0.02939711011459889
2020-09-01,38.8,39.17,38.18,38.48,2170724,-0.012320328542094527
2020-09-02,38.13,38.24,36.25,36.32,4058600,-0.05613305613305608
2020-09-03,36.36,36.93,35.48,35.77,3410700,-0.01514317180616731
2020-09-04,36.23,36.44,34.98,35.53,2884222,-0.0067095331283199
2020-09-08,34.7,34.84,31.92,31.99,3869115,-0.09963411201801298
2020-09-09,32.61,32.61,31.55,32.19,4372925,0.006251953735542326
2020-09-10,32.23,32.23,30.08,30.08,2852331,-0.06554830692761726
2020-09-11,30.15,30.49,29.12,29.62,3425800,-0.015292553191489255
2020-09-14,30.25,31.48,29.75,31.06,3083936,0.04861580013504385
2020-09-15,31.19,31.72,30.36,30.5,2518127,-0.01802962009014808
2020-09-16,30.88,33.88,30.6,32.91,3571841,0.0790163934426229
2020-09-17,32.06,33.82,31.81,33.79,3290215,0.02673959282892735
2020-09-18,33.49,34.0,32.99,33.77,4801253,-0.0005918910920389431
2020-09-21,32.55,32.79,31.03,32.08,2850924,-0.05004441812259419
2020-09-22,32.37,33.1,30.94,31.61,2702997,-0.014650872817955074
2020-09-23,31.61,32.02,29.86,29.9,2398032,-0.054096804808604904
2020-09-24,29.87,30.93,28.85,29.99,2031200,0.003010033444815985
2020-09-25,29.6,30.14,28.84,29.9,3254776,-0.0030010003334445257
2020-09-28,30.81,32.03,30.66,31.49,2581238,0.05317725752508351
2020-09-29,31.07,31.31,30.26,31.2,2003756,-0.009209272785011047
2020-09-30,31.32,31.77,29.99,30.12,2935100,-0.0346153846153846
2020-10-01,30.01,30.01,28.59,29.09,4321700,-0.0341965471447544
