Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,24.36,24.45,23.59,23.94,5603858,
2020-08-25,24.06,24.11,23.8,23.95,5270796,0.0004177109440266502
2020-08-26,23.94,24.16,23.79,24.05,5219212,0.0041753653444676075
2020-08-27,24.18,24.36,24.02,24.18,5063600,0.00540540540540535
2020-08-28,24.27,24.44,24.17,24.42,4706600,0.00992555831265518
2020-08-31,24.34,24.54,24.31,24.43,6223388,0.00040950040950038513
2020-09-01,24.43,24.77,24.23,24.75,5903518,0.013098649201801038
2020-09-02,24.79,24.93,24.64,24.84,9622454,0.0036363636363636598
2020-09-03,24.47,24.56,23.26,23.51,10752400,-0.053542673107890404
2020-09-04,23.78,23.78,22.76,23.14,10897800,-0.015737983836665248
2020-09-08,22.41,22.63,21.82,21.86,14424026,-0.05531547104580814
2020-09-09,22.16,22.83,22.15,22.62,8857860,0.034766697163769456
2020-09-10,22.6,22.68,21.86,21.98,7259410,-0.028293545534924913
2020-09-11,22.07,22.23,21.74,22.02,7701800,0.0018198362147405778
2020-09-14,22.22,22.26,22.03,22.17,4985060,0.006811989100817595
2020-09-15,22.23,22.49,22.21,22.34,5286658,0.007668019846639451
2020-09-16,22.49,22.59,22.1,22.13,6678054,-0.009400179051029633
2020-09-17,21.82,22.22,21.63,22.13,11115670,0.0
2020-09-18,22.18,22.46,21.71,22.02,10786508,-0.004970628106642505
2020-09-21,21.79,21.87,21.53,21.86,6481702,-0.0072661217075385975
2020-09-22,21.92,22.45,21.85,22.4,7117200,0.024702653247941297
2020-09-23,22.29,22.48,22.05,22.1,5879738,-0.013392857142856984
2020-09-24,22.13,22.56,22.02,22.14,5279214,0.0018099547511312153
2020-09-25,21.99,22.59,21.93,22.44,5214044,0.013550135501354976
2020-09-28,22.72,23.0,22.62,22.89,5647528,0.020053475935828846
2020-09-29,22.86,23.07,22.59,22.67,6023990,-0.009611183923110445
2020-09-30,22.93,22.93,22.42,22.55,7470800,-0.005293339214821446
2020-10-01,22.69,22.69,22.33,22.38,6340600,-0.007538802660753907
2020-10-02,22.13,22.42,22.05,22.27,7534684,-0.004915102770330582
2020-10-05,22.35,23.0,22.35,22.92,6086400,0.029187247418051232
2020-10-06,22.85,23.07,22.52,22.57,7294258,-0.015270506108202464
2020-10-07,22.72,23.17,22.68,23.11,5481400,0.023925564909171415
2020-10-08,23.21,23.3,22.96,23.0,5878404,-0.004759844223279908
2020-10-09,23.11,23.55,23.09,23.32,6264694,0.013913043478260834
2020-10-12,23.56,24.39,23.51,23.82,11841200,0.021440823327615766
2020-10-13,22.62,23.05,22.28,22.68,12835800,-0.04785894206549124
2020-10-14,22.84,22.99,22.41,22.48,7032168,-0.008818342151675429
2020-10-15,22.32,22.59,22.15,22.31,6590270,-0.007562277580071219
2020-10-16,22.46,22.82,22.39,22.63,6768830,0.014343343792021512
2020-10-19,22.62,22.69,22.1,22.22,8233224,-0.018117543084401277
2020-10-20,22.46,22.71,22.4,22.52,4748202,0.013501350135013634
2020-10-21,22.54,22.69,21.96,21.97,6865800,-0.02442273534635886
2020-10-22,22.03,22.11,21.75,22.05,5174702,0.003641329085116052
2020-10-23,22.17,22.55,22.02,22.5,5066214,0.020408163265306145
2020-10-26,21.96,22.17,21.87,22.15,6025200,-0.015555555555555656
2020-10-27,22.21,22.29,21.77,21.79,4665694,-0.016252821670428852
2020-10-28,21.4,21.69,21.33,21.47,6437642,-0.014685635612666337
2020-10-29,21.48,21.83,21.29,21.56,4582342,0.004191895668374412
2020-10-30,21.44,21.75,21.32,21.62,6036666,0.002782931354360141
2020-11-02,21.84,22.28,21.84,22.26,5391200,0.029602220166512483
2020-11-03,22.53,23.22,22.53,23.11,6248428,0.03818508535489662
2020-11-04,23.36,23.88,23.2,23.3,8081400,0.008221549112938265
2020-11-05,23.71,23.83,23.15,23.17,6535018,-0.005579399141630859
2020-11-06,23.21,23.57,23.02,23.49,4273206,0.013810962451445752
2020-11-09,24.33,24.68,22.96,23.0,7809864,-0.02085994040017025
2020-11-10,22.78,23.59,22.74,23.38,7501964,0.016521739130434643
2020-11-11,23.56,23.68,23.21,23.62,4179000,0.010265183917878673
2020-11-12,23.51,23.56,23.01,23.17,5178190,-0.019051651143099035
2020-11-13,23.4,23.84,23.34,23.77,4312288,0.025895554596460757
2020-11-16,23.88,24.31,23.68,24.31,4509202,0.0227177114009256
2020-11-17,24.03,24.15,23.73,23.83,4713416,-0.01974496092143152
2020-11-18,23.86,24.08,23.72,23.81,5311500,-0.0008392782207301552
