Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,26.77,26.86,26.18,26.34,4003500,
2020-08-24,26.66,26.91,25.83,26.61,5534000,0.010250569476081939
2020-08-25,26.39,26.68,26.23,26.66,4493000,0.0018789928598270667
2020-08-26,26.8,27.73,26.76,27.44,6662000,0.02925731432858214
2020-08-27,27.34,27.34,26.08,26.41,8440000,-0.03753644314868809
2020-08-28,26.64,26.85,26.01,26.15,6361000,-0.009844755774327973
2020-08-31,26.2,26.46,25.83,26.4,9813500,0.009560229445506607
2020-09-01,26.55,26.88,25.97,26.1,6118000,-0.011363636363636243
2020-09-02,26.35,26.66,26.0,26.52,6367500,0.016091954022988464
2020-09-03,26.04,26.1,23.81,24.14,12295000,-0.08974358974358976
2020-09-04,24.0,24.34,22.54,23.53,11186000,-0.02526926263463125
2020-09-08,22.8,23.63,22.78,23.08,7902500,-0.019124521886952905
2020-09-09,23.64,23.64,22.95,23.42,4936000,0.014731369150779994
2020-09-10,23.55,24.12,23.26,23.35,6827000,-0.002988898377455196
2020-09-11,23.61,23.81,22.7,23.03,4985000,-0.013704496788008558
2020-09-14,23.24,23.72,23.23,23.6,4081000,0.024750325662179717
2020-09-15,24.06,24.06,23.38,23.64,3726500,0.0016949152542371504
2020-09-16,23.88,24.16,23.35,23.39,5442500,-0.010575296108290999
2020-09-17,22.76,23.17,22.52,23.07,7408500,-0.013681060282171864
2020-09-18,23.23,23.54,22.86,23.46,7591000,0.016905071521456483
2020-09-21,23.25,23.66,23.02,23.57,6095000,0.004688832054560832
2020-09-22,23.7,23.77,23.0,23.74,5910000,0.007212558336868735
2020-09-23,23.89,23.96,22.94,23.05,5407500,-0.029064869418702566
2020-09-24,22.96,23.36,22.7,23.1,5732000,0.002169197396963085
2020-09-25,23.19,23.49,22.93,23.36,4492500,0.011255411255411074
2020-09-28,23.65,23.7,23.28,23.46,4631000,0.0042808219178083196
2020-09-29,23.52,23.76,23.33,23.42,5166500,-0.0017050298380221207
2020-09-30,23.41,23.73,23.23,23.56,6924000,0.00597779675491017
2020-10-01,23.73,24.19,23.66,24.05,6308000,0.020797962648557045
2020-10-02,23.63,24.35,23.26,23.28,5881000,-0.03201663201663196
2020-10-05,23.77,23.93,23.28,23.82,8842000,0.02319587628865971
2020-10-06,23.95,24.26,23.58,23.66,5069500,-0.0067170445004197665
2020-10-07,23.79,24.2,23.67,24.14,5077500,0.020287404902789463
2020-10-08,24.34,24.59,24.17,24.33,3860500,0.00787075393537684
2020-10-09,24.72,25.4,24.67,25.24,6475000,0.03740238388820383
2020-10-12,25.54,26.11,25.41,25.78,6928000,0.021394611727416857
2020-10-13,25.79,26.32,25.64,26.12,6506500,0.013188518231187052
2020-10-14,26.26,26.56,25.82,26.03,6424000,-0.0034456355283307705
