Date,Open,High,Low,Close,Volume,Daily_Return
2022-12-15,63.0,63.0,60.0,60.0,1318232,
2022-12-16,60.0,60.0,55.0,56.74,2307500,-0.054333333333333345
2022-12-19,53.0,58.99,53.0,56.5,117213,-0.00422982023264018
2022-12-20,58.0,58.0,56.76,57.21,22207,0.012566371681415944
2022-12-21,59.0,66.28,55.5,56.96,290700,-0.004369865408145435
2022-12-22,58.43,61.02,57.0,57.6,3253239,0.011235955056179803
2022-12-23,58.09,60.65,57.0,57.5,125800,-0.0017361111111111605
2022-12-27,57.98,58.99,57.38,57.45,26524,-0.0008695652173912327
2022-12-28,57.93,58.0,57.0,57.5,515235,0.0008703220191470518
2022-12-29,58.5,58.78,57.75,58.0,374807,0.008695652173912993
2022-12-30,58.74,59.0,57.73,58.38,351145,0.0065517241379311475
2023-01-03,60.68,60.68,55.87,56.0,1794102,-0.04076738609112718
2023-01-04,54.13,60.71,53.5,60.49,33338528,0.08017857142857143
2023-01-05,60.64,62.98,58.14,59.0,8850600,-0.024632170606711856
2023-01-06,59.68,59.94,57.87,58.95,5902804,-0.0008474576271185752
2023-01-09,58.79,59.98,57.73,58.1,5288931,-0.014418999151823653
2023-01-10,59.15,60.06,58.06,60.0,6663000,0.03270223752151469
2023-01-11,60.44,66.38,60.08,64.99,9219400,0.08316666666666661
2023-01-12,66.09,66.52,63.66,65.65,5819815,0.010155408524388454
2023-01-13,65.0,65.5,63.74,65.44,3772100,-0.003198781416603347
2023-01-17,63.94,65.73,63.26,63.33,3774703,-0.03224327628361856
2023-01-18,63.2,63.5,61.99,62.08,2610300,-0.01973788094110218
2023-01-19,61.33,64.5,61.3,63.94,2585604,0.02996134020618557
2023-01-20,63.96,67.82,63.54,66.77,4001600,0.044260243978730074
2023-01-23,67.35,69.91,66.78,69.52,3724100,0.041186161449752845
2023-01-24,69.03,70.63,68.71,69.6,2591000,0.0011507479861909697
2023-01-25,68.46,69.7,66.95,68.71,2802100,-0.012787356321839138
2023-01-26,68.51,69.45,67.8,69.22,2075900,0.007422500363848172
2023-01-27,68.86,70.51,68.36,70.08,2810636,0.012424154868535098
2023-01-30,68.41,73.95,67.92,71.5,4259947,0.020262557077625587
2023-01-31,71.01,71.11,68.5,69.52,3084300,-0.027692307692307794
2023-02-01,69.0,70.74,67.53,70.01,2698934,0.0070483314154201615
2023-02-02,69.59,71.89,69.0,70.65,2776000,0.009141551206970355
2023-02-03,69.63,70.63,69.1,70.55,3075109,-0.0014154281670206714
2023-02-06,69.91,72.35,69.54,71.86,2227400,0.018568391211906565
2023-02-07,71.58,72.2,71.1,71.63,1932300,-0.0032006679654884573
2023-02-08,71.21,71.42,70.02,70.17,1111919,-0.020382521289962208
2023-02-09,70.25,70.98,68.21,68.41,1186247,-0.025081943850648547
2023-02-10,68.2,69.54,68.19,69.24,1968100,0.012132729133167652
2023-02-13,68.52,69.87,67.91,69.43,2223241,0.0027440785673022994
2023-02-14,68.95,73.17,68.71,72.61,3036143,0.045801526717557106
2023-02-15,72.7,73.54,71.72,72.32,1773152,-0.003993940228618764
2023-02-16,71.6,71.82,70.34,70.91,1829424,-0.019496681415929196
2023-02-17,70.97,73.48,70.89,73.17,2408606,0.03187138626427877
2023-02-21,72.62,73.1,72.25,72.47,1835500,-0.009566762334290102
2023-02-22,72.27,73.0,70.84,71.94,2010200,-0.007313371050089668
2023-02-23,72.44,76.21,72.28,75.9,3763223,0.05504587155963314
2023-02-24,74.84,75.77,74.22,75.01,2102900,-0.011725955204216043
2023-02-27,75.0,76.98,74.57,76.04,2139676,0.013731502466337808
2023-02-28,76.04,76.34,75.3,76.0,3511846,-0.0005260389268806342
2023-03-01,75.37,75.74,75.01,75.3,2534320,-0.009210526315789558
2023-03-02,74.79,75.47,74.5,75.04,1392001,-0.003452855245683839
2023-03-03,75.53,76.9,75.12,76.37,2082709,0.017723880597014796
2023-03-06,75.91,77.16,75.7,76.68,1874143,0.004059185544061927
2023-03-07,76.36,76.83,75.93,76.25,1709400,-0.005607720396452853
2023-03-08,76.25,77.4,76.1,76.63,1641300,0.004983606557376952
2023-03-09,77.0,77.4,75.9,76.38,1684120,-0.0032624298577580424
2023-03-10,75.88,76.53,74.5,74.97,3388615,-0.0184603299293008
2023-03-13,74.95,77.48,74.04,76.24,2272243,0.01694010937708401
2023-03-14,76.69,78.76,76.35,77.14,1992300,0.011804826862539475
2023-03-15,75.93,76.81,75.59,76.76,2326244,-0.0049261083743842304
2023-03-16,75.96,77.45,75.75,76.62,1629815,-0.0018238665971860302
2023-03-17,76.86,77.54,75.43,75.84,5803300,-0.01018010963194993
2023-03-20,75.49,75.81,74.51,75.2,1714192,-0.008438818565400852
2023-03-21,75.65,76.68,75.5,76.52,1401647,0.01755319148936163
2023-03-22,76.86,77.05,74.71,74.77,1549809,-0.022869837950862504
2023-03-23,75.41,76.71,74.87,75.71,1393902,0.012571887120502945
2023-03-24,75.26,76.49,74.89,76.46,1154874,0.009906221106855018
2023-03-27,76.82,77.46,76.27,76.38,1196641,-0.0010462987182841
2023-03-28,76.38,76.94,76.15,76.9,760966,0.006808064938465641
2023-03-29,77.36,79.47,77.06,79.24,1786006,0.030429128738621358
2023-03-30,79.78,82.29,79.5,82.14,2188987,0.036597677940434226
2023-03-31,82.25,82.59,81.58,82.03,1916325,-0.0013391770148526438
2023-04-03,82.0,82.62,81.47,81.81,1913226,-0.0026819456296476307
2023-04-04,82.0,82.16,81.47,81.59,1552706,-0.0026891578046693843
2023-04-05,81.5,81.8,80.65,81.12,1410626,-0.005760509866405195
2023-04-06,80.97,81.06,80.09,80.16,1356746,-0.01183431952662728
2023-04-10,79.93,80.63,79.7,80.59,1579274,0.005364271457085845
2023-04-11,80.59,80.69,79.96,80.59,1167092,0.0
2023-04-12,81.01,81.9,80.61,81.75,1232087,0.014393845390246796
2023-04-13,81.65,83.17,81.38,82.94,1252800,0.01455657492354745
2023-04-14,82.45,83.28,81.98,82.37,1163806,-0.006872437906920603
2023-04-17,82.17,83.24,82.0,82.72,861019,0.00424911982517906
2023-04-18,82.79,84.16,82.79,83.66,1522137,0.011363636363636243
2023-04-19,83.79,86.88,83.75,85.75,2422919,0.02498207028448496
2023-04-20,85.37,86.32,84.68,85.0,1634914,-0.008746355685131157
2023-04-21,85.2,86.52,85.09,86.48,1850600,0.01741176470588246
2023-04-24,86.6,87.83,86.18,87.79,2693549,0.015148011100832637
2023-04-25,83.5,83.5,78.78,80.39,7291417,-0.08429206059915717
2023-04-26,79.73,80.27,77.56,80.12,3489500,-0.003358626694862532
2023-04-27,80.82,81.54,80.62,81.52,1557122,0.017473789316025945
2023-04-28,81.2,81.73,81.01,81.34,1617659,-0.0022080471050047734
2023-05-01,81.08,81.73,80.72,80.78,1355960,-0.0068846815834767705
2023-05-02,80.34,80.65,77.89,78.46,1879100,-0.028719980193117167
2023-05-03,78.47,80.42,78.02,79.71,1748900,0.015931684934998636
2023-05-04,79.62,80.26,77.69,78.26,1751465,-0.018190942165349222
2023-05-05,78.5,79.53,78.5,78.99,1077640,0.009327881420904571
2023-05-08,78.88,79.49,78.61,79.42,842342,0.00544372705405749
2023-05-09,78.55,78.79,76.12,76.37,2499728,-0.038403424830017574
2023-05-10,76.5,76.76,74.97,75.9,1792937,-0.006154249050674299
2023-05-11,75.71,75.71,74.71,74.99,1505003,-0.011989459815546888
2023-05-12,74.89,75.01,74.27,74.92,2577800,-0.0009334577943724831
2023-05-15,75.1,75.56,74.7,74.93,1188031,0.00013347570742139325
2023-05-16,75.27,78.27,75.22,77.78,2669114,0.03803549979981313
2023-05-17,77.93,80.61,76.21,80.3,3716300,0.03239907431216249
2023-05-18,80.42,81.13,79.22,79.69,1483500,-0.0075965130759650945
2023-05-19,80.09,81.09,79.12,79.34,1312933,-0.004392019073911291
2023-05-22,79.35,79.42,78.71,79.08,1357700,-0.0032770355432317766
2023-05-23,78.96,79.77,77.06,77.19,1382400,-0.023899848254931744
2023-05-24,76.97,77.14,76.08,76.53,1431903,-0.008550330353672697
2023-05-25,76.53,80.06,75.61,79.86,3127809,0.04351234809878468
2023-05-26,79.77,80.2,78.37,78.43,2250436,-0.017906336088154173
