Date,Open,High,Low,Close,Volume,Daily_Return
2021-10-28,47.0,48.0,44.48,46.4,18618907,
2021-10-29,46.0,49.48,45.61,48.74,4639435,0.05043103448275876
2021-11-01,54.27,59.99,53.06,53.87,9946542,0.10525235945835032
2021-11-02,57.5079,58.615,55.0,56.42,4122477,0.04733617969185078
2021-11-03,57.0,59.38,56.17,59.0,2642320,0.04572846508330386
2021-11-04,60.35,65.74,60.35,62.68,3985437,0.06237288135593211
2021-11-05,65.0,66.0,56.16,63.63,4222107,0.015156349712827089
2021-11-08,62.81,62.97,58.8165,59.36,3012087,-0.0671067106710671
2021-11-09,58.9765,61.1159,56.87,59.83,1947167,0.007917789757412308
2021-11-10,59.0,59.81,56.93,57.72,1543674,-0.03526658866789234
2021-11-11,58.73,59.66,55.05,56.19,1762728,-0.026507276507276578
2021-11-12,55.63,56.35,53.25,55.96,1703360,-0.004093255027584952
2021-11-15,55.69,60.12,53.85,59.6,1430528,0.06504646175839879
2021-11-16,59.13,62.77,57.7,61.67,1136903,0.03473154362416109
2021-11-17,61.98,64.165,61.5,62.7,1432834,0.016701799902707926
2021-11-18,67.39,67.39,63.5,64.27,2831823,0.025039872408293418
2021-11-19,66.01,67.9,61.7,62.11,2391354,-0.033608215341527914
2021-11-22,66.14,68.19,62.6,63.99,4249611,0.03026887779745624
2021-11-23,64.06,64.78,61.6105,63.78,1563905,-0.003281762775433683
2021-11-24,63.87,69.5738,62.3304,68.97,1998439,0.08137347130761996
2021-11-26,65.57,69.39,64.7505,67.29,1454303,-0.024358416702914165
2021-11-29,68.9629,73.2525,68.7966,70.54,3822426,0.04829840986773659
2021-11-30,71.0,71.4599,64.22,69.24,3490805,-0.01842925999432965
2021-12-01,72.0,72.4772,66.06,66.26,3155906,-0.04303870595031756
2021-12-02,65.45,67.18,62.44,65.81,1914771,-0.006791427709025077
2021-12-03,65.32,69.39,63.6,69.03,1916471,0.048928734234918725
2021-12-06,67.81,67.96,63.795,64.92,2775696,-0.059539330725771444
2021-12-07,66.02,70.64,66.02,67.86,2769401,0.04528650646950094
2021-12-08,68.03,68.1,64.8,65.77,1785244,-0.030798703212496337
2021-12-09,66.16,67.45,63.14,63.7,1505403,-0.03147331610156601
2021-12-10,65.1,65.859,61.19,63.83,1881474,0.0020408163265306367
2021-12-13,63.9947,65.28,60.841,61.21,1324833,-0.041046529844900426
2021-12-14,60.546,61.37,58.61,60.14,1377441,-0.017480803790230315
2021-12-15,60.63,61.18,57.44,60.97,1854141,0.01380113069504496
2021-12-16,61.64,62.55,59.78,60.66,2031323,-0.005084467771034995
2021-12-17,59.1,60.4,56.2,60.0,5666892,-0.010880316518298683
2021-12-20,58.5087,60.13,56.6,59.9,2706581,-0.0016666666666667052
2021-12-21,60.58,62.45,59.75,62.24,2132321,0.03906510851419043
2021-12-22,62.1515,62.45,60.53,62.43,840526,0.003052699228791811
2021-12-23,62.28,63.87,61.0,61.71,751208,-0.011532916866890952
2021-12-27,62.0,64.39,61.63,64.0,757515,0.03710905849943291
2021-12-28,64.77,67.475,64.0504,65.38,1040238,0.02156249999999993
2021-12-29,65.27,66.33,63.05,63.8,734370,-0.024166411746711525
2021-12-30,64.0,65.36,63.43,64.49,1051099,0.010815047021943469
2021-12-31,64.49,65.55,63.77,64.97,866089,0.00744301442084061
2022-01-03,65.09,67.39,64.35,66.73,1768578,0.027089425888871865
2022-01-04,67.32,69.34,63.91,65.71,1988493,-0.015285478795144747
2022-01-05,64.63,66.12,62.26,62.55,1907366,-0.04809009283214116
2022-01-06,62.14,63.47,60.25,61.51,1155465,-0.016626698641087123
2022-01-07,61.11,61.7,58.31,60.01,1175833,-0.024386278653877436
2022-01-10,58.78,59.88,56.19,59.76,1610445,-0.004165972337943691
2022-01-11,59.76,62.48,58.8,62.14,1118099,0.039825970548862166
2022-01-12,62.9639,64.0972,61.2101,62.05,790725,-0.0014483424525265631
2022-01-13,63.1,63.37,59.15,59.35,1739748,-0.043513295729250556
2022-01-14,59.0,60.2,57.26,59.6,910302,0.004212299915753892
2022-01-18,58.77,59.97,57.53,57.94,1428239,-0.0278523489932887
2022-01-19,58.03,58.43,55.73,56.67,3384659,-0.021919226786330626
2022-01-20,57.12,57.67,53.51,53.53,2321537,-0.055408505382036344
2022-01-21,52.09,52.5,49.46,51.25,4229141,-0.042592938539136926
2022-01-24,48.0,50.53,45.67,50.44,3713345,-0.015804878048780502
2022-01-25,48.56,49.11,46.71,46.87,2295815,-0.07077716098334652
2022-01-26,49.49,51.17,47.23,47.6,2929200,0.015574994666097908
2022-01-27,49.0,49.77,43.92,44.71,5040695,-0.06071428571428572
2022-01-28,44.71,46.58,43.59,46.09,2978166,0.030865578170431673
2022-01-31,46.34,49.49,45.96,49.34,1914224,0.07051421132566715
2022-02-01,49.83,50.72,49.4578,50.09,1587023,0.015200648561005226
2022-02-02,51.88,51.88,49.6,50.35,1592345,0.005190656817728012
2022-02-03,49.0,50.94,48.65,49.34,1940918,-0.020059582919563
2022-02-04,49.41,52.3,48.7,52.07,2250847,0.055330360762059216
2022-02-07,52.7,55.6,52.21,54.49,3347041,0.046475897829844515
2022-02-08,53.8,56.4693,53.4182,56.05,3659066,0.028629106258028836
2022-02-09,58.53,58.53,52.62,57.0,6095565,0.016949152542372836
2022-02-10,56.03,60.99,54.51,57.79,3414038,0.013859649122806905
2022-02-11,57.68,58.69,53.36,53.48,3109918,-0.07458037722789412
2022-02-14,53.148,55.44,53.03,54.47,1567739,0.01851159311892303
2022-02-15,55.37,55.9499,52.31,55.17,2983506,0.01285111070313949
2022-02-16,54.96,54.96,51.715,52.93,2309603,-0.040601776327714334
2022-02-17,52.03,52.48,48.47,48.95,2529703,-0.0751936519931985
2022-02-18,49.01,51.23,48.5,49.71,2917123,0.01552604698672111
2022-02-22,49.71,50.82,47.74,49.33,1577650,-0.007644337155501946
2022-02-23,49.88,50.79,47.66,47.95,1239936,-0.027974863166430053
2022-02-24,45.94,54.81,45.94,54.8,5208326,0.1428571428571428
2022-02-25,54.04,57.04,52.48,57.03,4204131,0.040693430656934426
2022-02-28,55.78,60.88,55.41,60.78,3105854,0.06575486586007373
2022-03-01,60.5,60.64,57.6,58.22,1800210,-0.04211911813096414
2022-03-02,58.31,59.83,57.65,59.6,916598,0.02370319477842675
2022-03-03,62.08,64.99,61.51,62.48,3400665,0.04832214765100673
2022-03-04,61.39,62.57,59.75,60.69,1550789,-0.028649167733674763
2022-03-07,60.39,61.36,55.03,55.79,2191116,-0.08073817762399071
2022-03-08,55.3,58.19,52.77,56.44,1749950,0.011650833482703016
2022-03-09,58.17,59.43,57.32,58.15,1425404,0.030297661233168016
2022-03-10,56.94,59.58,54.96,58.88,1321332,0.01255374032674128
2022-03-11,59.48,59.72,57.46,58.46,1138974,-0.007133152173913082
2022-03-14,58.35,59.23,56.57,58.41,1517266,-0.0008552856654123753
2022-03-15,58.67,66.39,58.01,65.79,4094139,0.12634822804314338
2022-03-16,65.3,70.54,65.26,70.26,3145953,0.06794345645234845
2022-03-17,68.78,76.38,68.5105,71.91,4791126,0.023484201537147698
2022-03-18,72.06,77.0,71.76,76.78,3745017,0.06772354331803654
2022-03-21,76.0,76.2017,70.81,72.47,3083024,-0.056134410002604884
2022-03-22,73.0,75.41,72.78,73.88,2206711,0.019456326755898923
2022-03-23,72.54,75.43,69.96,70.09,3641010,-0.05129940443963177
2022-03-24,71.62,77.47,70.62,76.22,3591512,0.08745898130974461
2022-03-25,76.4,79.49,74.1,78.94,4251978,0.03568617160850174
2022-03-28,78.7,78.7,71.3,73.9,3416618,-0.06384595895616918
2022-03-29,74.77,74.77,69.32,74.63,3797933,0.009878213802435587
2022-03-30,74.44,75.48,66.5401,67.02,4527400,-0.10196971727187454
2022-03-31,67.32,67.669,62.41,62.42,3846355,-0.06863622799164415
2022-04-01,62.8,63.53,59.48,60.74,2951075,-0.026914450496635656
2022-04-04,61.02,64.0,60.12,62.29,1872804,0.02551860388541316
2022-04-05,61.37,61.98,57.22,58.4,3234852,-0.06244983143361693
2022-04-06,56.58,58.51,55.39,56.9,2510718,-0.025684931506849362
2022-04-07,56.5,57.95,55.705,56.19,2020954,-0.012478031634446385
2022-04-08,55.81,56.45,54.26,54.75,1563435,-0.02562733582487986
2022-04-11,53.6,55.44,51.86,54.04,1716032,-0.012968036529680371
2022-04-12,55.22,56.16,52.75,53.29,3008662,-0.013878608438193885
2022-04-13,53.56,54.84,52.9355,54.83,1472725,0.028898480015012273
2022-04-14,55.0,55.25,50.8158,52.1,2125567,-0.04979026080612803
2022-04-18,52.0,53.09,51.15,52.65,1289000,0.01055662188099804
2022-04-19,52.77,53.46,51.5,52.89,1180615,0.004558404558404616
2022-04-20,54.26,54.288,52.06,53.19,2143233,0.005672149744753163
2022-04-21,53.84,55.0,51.35,52.04,2491127,-0.02162060537695054
2022-04-22,51.41,53.225,50.22,50.74,1445816,-0.024980784012298196
2022-04-25,50.24,52.77,49.28,52.72,1538836,0.039022467481277134
2022-04-26,52.74,52.95,49.44,49.5,2164697,-0.06107738998482548
2022-04-27,49.49,52.4399,48.77,51.64,1845749,0.04323232323232329
2022-04-28,52.57,54.55,51.92,54.06,1404424,0.04686289697908608
2022-04-29,53.43,55.97,52.27,52.29,1353581,-0.032741398446170966
2022-05-02,52.06,53.86,50.0,53.77,1913660,0.028303690954293526
2022-05-03,53.77,54.7,52.3,54.18,1177550,0.007625069741491464
2022-05-04,54.54,56.53,52.54,56.51,1454353,0.0430047988187523
2022-05-05,55.7,56.33,53.61,54.93,1386566,-0.027959653158732944
2022-05-06,53.89,57.11,53.14,56.37,1715357,0.026215182960131145
2022-05-09,54.75,56.55,50.66,52.28,2574120,-0.0725563242859677
2022-05-10,53.33,55.34,49.03,52.73,3187860,0.00860749808722261
2022-05-11,51.6,54.2,48.17,49.03,5131640,-0.07016878437322205
2022-05-12,48.01,50.74,46.19,49.7,3299401,0.01366510299816448
2022-05-13,50.52,53.24,50.5,52.77,2418843,0.06177062374245468
2022-05-16,51.53,54.35,50.33,53.1,2063579,0.006253553155201708
2022-05-17,53.74,56.0,53.06,56.0,2879322,0.05461393596986808
2022-05-18,54.2,57.0899,53.04,53.69,1478124,-0.04125000000000001
2022-05-19,53.0,55.71,52.871,54.23,1732629,0.010057738871298127
2022-05-20,55.0,55.12,52.3,55.0,1673859,0.014198782961460488
2022-05-23,53.77,54.78,52.03,54.54,1429892,-0.008363636363636351
2022-05-24,52.69,55.72,51.4,55.48,3480890,0.01723505683901716
2022-05-25,54.4,59.34,53.69,58.62,2768037,0.05659697188175916
2022-05-26,57.53,60.0,56.6,59.49,2248574,0.014841351074718512
2022-05-27,59.71,61.17,59.3,60.1,2701513,0.010253824172129722
2022-05-31,58.95,60.41,58.01,59.69,2464448,-0.006821963394342823
2022-06-01,59.49,61.88,56.07,58.12,2554066,-0.026302563243424393
2022-06-02,57.11,60.3299,57.08,59.61,1572443,0.025636613902271232
2022-06-03,57.47,59.8242,57.39,58.76,1285662,-0.014259352457641317
2022-06-06,59.47,60.69,57.01,57.23,1554401,-0.02603812117086457
2022-06-07,56.08,56.56,54.85,56.51,1641501,-0.01258081425825619
2022-06-08,55.44,56.9,54.26,54.74,1015468,-0.031321889930985614
2022-06-09,54.18,55.765,53.03,53.145,1196950,-0.029137742053343074
2022-06-10,51.66,52.06,50.25,51.75,2220374,-0.026248941574936513
2022-06-13,50.0,50.915,48.08,48.51,2348224,-0.06260869565217397
2022-06-14,48.63,49.34,47.17,47.39,1914752,-0.023088023088023046
2022-06-15,48.0,50.23,47.85,49.46,1609460,0.043680101287191464
2022-06-16,47.63,48.08,44.945,45.43,1916219,-0.0814799838253134
2022-06-17,45.53,46.878,44.66,44.86,2846096,-0.012546775258639675
2022-06-21,45.71,47.45,45.35,45.44,1395572,0.01292911279536324
2022-06-22,44.43,45.4,43.8,44.81,2779417,-0.013864436619718257
2022-06-23,45.62,45.68,43.13,43.66,3027342,-0.025663914304842828
2022-06-24,43.79,46.26,43.79,45.89,3116640,0.051076500229042754
2022-06-27,45.76,46.2671,44.89,45.42,1363416,-0.010241882763129206
2022-06-28,45.61,46.41,43.965,44.37,2291406,-0.023117569352708145
2022-06-29,43.9,43.91,42.52,43.06,1591180,-0.029524453459544575
2022-06-30,42.46,42.75,39.76,40.34,3134918,-0.06316767301439852
2022-07-01,39.48,39.5,37.6,38.81,3541497,-0.037927615270203274
2022-07-05,37.91,40.58,36.81,40.57,2376344,0.04534913682040709
2022-07-06,40.18,42.48,40.18,41.08,2703470,0.012570865171308787
2022-07-07,41.87,43.83,41.76,43.34,2169168,0.055014605647517145
2022-07-08,42.37,45.44,41.68,45.27,2591555,0.044531610521458154
2022-07-11,44.71,44.71,41.86,42.89,1854689,-0.05257344819969079
2022-07-12,42.35,43.01,40.99,41.48,3121129,-0.0328747959897413
2022-07-13,40.97,42.4,40.62,41.83,1999324,0.008437801350048346
2022-07-14,41.98,44.46,41.31,44.42,1917018,0.06191728424575671
2022-07-15,44.84,46.12,44.42,45.97,3298416,0.034894191805493024
2022-07-18,46.94,47.091,44.59,45.09,2827880,-0.019142919295192407
2022-07-19,45.39,47.675,44.42,46.85,2672835,0.03903304502106897
2022-07-20,46.59,48.68,46.17,48.52,1607306,0.03564567769477067
2022-07-21,48.28,49.2,47.3305,48.66,1767563,0.002885408079142504
2022-07-22,48.39,48.9,47.61,48.16,1502197,-0.01027538018906704
2022-07-25,47.68,47.76,44.6861,46.35,2869476,-0.03758305647840521
2022-07-26,46.09,46.2175,45.18,46.13,1365299,-0.004746494066882434
2022-07-27,47.17,47.84,46.52,47.43,1911243,0.028181226967266326
2022-07-28,47.44,48.67,46.01,47.4,1587041,-0.0006325110689436864
2022-07-29,47.34,52.0,46.9597,51.48,4238390,0.08607594936708862
2022-08-01,51.18,58.28,51.115,54.54,6242931,0.05944055944055959
2022-08-02,53.56,54.63,52.08,52.75,2538901,-0.032819948661532816
2022-08-03,52.62,54.54,52.195,54.09,1638340,0.02540284360189582
2022-08-04,53.4,53.75,51.58,53.63,2531570,-0.008504344610833825
2022-08-05,52.93,53.6,51.8425,53.09,1601243,-0.010068991236248381
