Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,65.78,66.87,65.41,66.5,9898022,
2020-08-24,66.36,66.96,65.55,66.08,8566231,-0.006315789473684275
2020-08-25,65.91,66.24,65.71,66.05,7456605,-0.00045399515738497875
2020-08-26,65.88,65.88,65.16,65.6,7522600,-0.006813020439061401
2020-08-27,65.59,65.85,65.32,65.55,7919605,-0.0007621951219511924
2020-08-28,65.22,65.75,64.98,65.26,6821000,-0.004424103737604712
2020-08-31,65.46,66.89,65.42,66.75,9083900,0.022831749923383216
2020-09-01,66.33,66.47,64.91,65.83,8355483,-0.013782771535580496
2020-09-02,65.32,66.96,65.32,66.79,8334710,0.014583016861613451
2020-09-03,66.81,67.43,65.48,65.91,10457400,-0.013175625093577059
2020-09-04,65.72,66.94,65.58,66.01,8762248,0.0015172204521318733
2020-09-08,65.12,65.37,63.95,64.14,10729400,-0.028329041054385717
2020-09-09,64.28,65.08,63.61,64.51,9309734,0.005768631119426271
2020-09-10,64.69,65.04,63.55,63.77,8420645,-0.01147108975352662
2020-09-11,64.37,65.91,64.22,65.58,10213000,0.028383252312999874
2020-09-14,64.44,67.92,64.31,66.34,18854221,0.011588899054589819
2020-09-15,67.04,67.13,65.92,66.2,8327700,-0.002110340669279509
2020-09-16,66.32,66.55,65.61,65.65,7571432,-0.008308157099697788
2020-09-17,64.82,65.54,64.4,65.04,8498300,-0.009291698400609283
2020-09-18,64.95,65.17,64.05,65.05,14256900,0.00015375153751517878
2020-09-21,64.81,64.97,63.46,64.21,8575200,-0.01291314373558805
2020-09-22,64.08,64.58,63.29,63.4,7228235,-0.012614857498831844
2020-09-23,63.51,64.08,63.0,63.09,8520245,-0.004889589905362701
2020-09-24,62.7,62.84,61.65,62.25,9004618,-0.013314312886352875
2020-09-25,62.1,62.51,61.77,62.25,7142839,0.0
2020-09-28,62.94,63.41,62.52,62.85,7474725,0.009638554216867545
2020-09-29,62.96,63.03,61.95,62.1,8666617,-0.011933174224343701
2020-09-30,62.35,63.43,62.11,63.19,10072604,0.01755233494363928
2020-10-01,63.33,63.71,62.71,63.32,8356514,0.0020572875454978323
2020-10-02,63.3,63.84,62.15,62.17,7796644,-0.018161718256475057
2020-10-05,63.71,64.09,63.1,63.6,10193930,0.02300144764355805
2020-10-06,63.79,63.79,62.35,62.52,8398100,-0.016981132075471694
2020-10-07,62.73,63.17,62.29,62.84,6351400,0.0051183621241202015
2020-10-08,63.33,64.05,63.02,63.32,6434900,0.007638446849140612
2020-10-09,64.61,64.69,63.72,63.84,9364500,0.008212255211623498
2020-10-12,64.07,64.99,63.55,64.55,7750218,0.011121553884711588
2020-10-13,64.55,64.99,64.0,64.49,6450236,-0.000929512006196731
2020-10-14,64.41,64.59,63.44,64.05,7143744,-0.006822763219103689
2020-10-15,63.48,63.55,62.65,62.96,9630700,-0.017017954722872708
2020-10-16,62.4,62.86,61.83,62.0,12307200,-0.015247776365946653
2020-10-19,62.0,62.1,60.21,60.57,9643600,-0.023064516129032264
2020-10-20,60.59,60.9,59.86,60.55,9208006,-0.000330196466897803
2020-10-21,60.24,60.5,59.9,60.21,7493735,-0.005615194054500394
2020-10-22,59.92,60.9,59.65,60.67,17061800,0.0076399269224380895
2020-10-23,63.38,63.64,60.76,60.79,30965444,0.001977913301467016
2020-10-26,60.36,60.69,59.4,59.96,10256300,-0.013653561441026474
2020-10-27,59.81,60.21,59.44,60.01,7699900,0.0008338892595063374
2020-10-28,59.31,59.57,58.06,58.72,12150837,-0.02149641726378937
2020-10-29,57.8,58.89,57.04,58.53,12529400,-0.003235694822888213
2020-10-30,57.79,58.58,57.18,58.15,11871686,-0.006492397061336086
2020-11-02,58.78,59.15,57.83,58.53,9352635,0.006534823731728423
2020-11-03,58.82,59.39,58.4,58.83,6599731,0.005125576627370565
2020-11-04,59.39,61.19,59.37,59.87,12935200,0.017678055413904437
2020-11-05,60.34,60.47,59.2,59.63,7519800,-0.004008685485217933
2020-11-06,59.42,59.5,58.72,59.07,7209800,-0.009391246017105503
2020-11-09,59.4,60.37,58.99,59.05,10807128,-0.00033858134416797636
2020-11-10,58.44,61.45,58.18,60.62,10524416,0.026587637595258284
2020-11-11,60.93,61.12,59.56,60.1,7336413,-0.008578027053777526
2020-11-12,59.9,59.99,58.92,59.98,9229797,-0.00199667221297839
2020-11-13,59.96,60.98,59.77,60.59,6745384,0.010170056685562034
2020-11-16,60.26,61.3,60.25,61.09,6969344,0.008252186829509789
2020-11-17,60.8,61.05,60.37,60.97,5488402,-0.001964314945162915
2020-11-18,61.04,61.64,60.56,60.9,8884204,-0.0011481056257175437
2020-11-19,60.5,60.96,59.9,60.63,7525117,-0.004433497536945774
2020-11-20,59.6,60.26,59.48,60.11,9445040,-0.00857661223816597
2020-11-23,60.07,60.29,59.37,59.89,8693719,-0.0036599567459657534
2020-11-24,59.63,60.98,59.59,60.25,7835432,0.006011020203706696
2020-11-25,60.18,60.44,59.47,59.5,8336142,-0.012448132780082943
2020-11-27,59.64,60.06,59.28,60.03,5040700,0.008907563025210008
2020-11-30,59.76,60.79,59.64,60.67,16315700,0.010661335998667365
2020-12-01,60.82,61.98,60.8,61.12,9623207,0.007417174880500976
2020-12-02,61.07,61.87,60.96,61.13,6470348,0.00016361256544517033
2020-12-03,61.05,61.53,60.55,60.86,7368942,-0.004416816620317454
2020-12-04,60.82,61.67,60.7,61.56,7232322,0.011501807426881339
2020-12-07,61.67,61.7,60.41,60.83,7405100,-0.011858349577647864
2020-12-08,60.56,61.25,60.53,61.17,6185000,0.005589347361499408
2020-12-09,61.17,61.4,60.47,60.82,7231631,-0.005721759032205398
2020-12-10,60.66,60.9,60.13,60.45,7239500,-0.006083525156198588
2020-12-11,60.22,60.81,60.09,60.76,7845100,0.00512820512820511
2020-12-14,60.39,60.42,59.75,59.84,12233000,-0.015141540487162541
2020-12-15,59.82,60.07,59.27,59.43,8077712,-0.006851604278074963
2020-12-16,59.31,59.47,58.69,58.94,8786440,-0.008244994110718551
2020-12-17,58.93,59.28,58.61,59.07,9469049,0.002205632846963068
2020-12-18,59.18,59.18,58.53,59.08,22195837,0.0001692906720840437
2020-12-21,58.45,58.61,57.7,58.54,12141929,-0.009140148950575466
2020-12-22,58.22,58.32,56.81,57.0,14976753,-0.026306798770071693
2020-12-23,56.9,57.62,56.9,57.38,8495900,0.006666666666666821
2020-12-24,57.33,57.41,56.96,57.07,3441345,-0.0054025792959219165
2020-12-28,57.04,57.64,56.7,56.89,8215036,-0.0031540213772559555
2020-12-29,56.96,57.67,56.71,56.83,7626032,-0.0010546669010371712
2020-12-30,57.0,57.24,56.56,56.65,8848847,-0.0031673411930318585
2020-12-31,56.6,58.36,56.56,58.26,10870506,0.02842012356575463
2021-01-04,58.67,60.16,57.93,60.11,15520000,0.03175420528664619
2021-01-05,60.23,60.45,59.62,60.0,13251119,-0.0018299783729828212
2021-01-06,59.7,62.08,59.7,61.95,12222500,0.03249999999999997
2021-01-07,61.9,63.24,61.52,62.52,10614700,0.00920096852300234
2021-01-08,62.61,63.41,62.51,63.04,8389800,0.008317338451695466
2021-01-11,63.75,64.18,62.27,62.51,11320798,-0.008407360406091358
2021-01-12,62.66,62.79,61.47,62.08,9115119,-0.006878899376099867
2021-01-13,61.82,62.15,61.44,61.54,6822616,-0.008698453608247392
2021-01-14,61.64,63.13,61.46,62.4,8694806,0.013974650633734154
2021-01-15,62.3,63.6,62.13,63.33,9361943,0.014903846153846212
2021-01-19,64.73,68.16,64.6,67.07,18395947,0.059055739775777605
2021-01-20,67.0,68.09,66.7,67.99,10131300,0.013717012076934543
2021-01-21,67.74,67.74,66.58,66.98,8145642,-0.014855125753787224
2021-01-22,66.53,67.47,66.24,66.94,4914433,-0.0005971931919976914
2021-01-25,66.71,68.26,66.4,68.16,8443926,0.01822527636689575
2021-01-26,67.72,68.38,66.56,66.7,7125214,-0.021420187793427137
2021-01-27,65.75,66.92,65.08,65.48,9908200,-0.018290854572713622
2021-01-28,65.25,66.24,64.0,64.68,8086400,-0.01221747098350634
2021-01-29,64.2,66.23,64.04,65.6,11724100,0.014223871366728424
2021-02-01,66.03,66.27,65.06,65.1,6270200,-0.007621951219512146
2021-02-02,65.09,65.97,64.21,65.13,7749300,0.00046082949308767773
2021-02-03,65.21,65.69,64.51,64.52,6421700,-0.009365883617380666
2021-02-04,64.89,65.99,64.44,65.83,7400443,0.020303781773093554
2021-02-05,67.25,69.36,66.71,68.46,15068200,0.03995138994379466
2021-02-08,68.5,68.76,67.31,67.97,9599200,-0.007157464212678821
2021-02-09,67.77,67.84,66.85,67.3,6620400,-0.009857289980873984
2021-02-10,67.26,68.32,67.1,67.29,7667916,-0.00014858841010390034
2021-02-11,67.2,67.2,66.05,66.92,6029100,-0.005498588200327004
2021-02-12,66.78,67.27,66.36,66.89,3977700,-0.0004482964734010553
2021-02-16,66.41,66.6,64.52,64.8,9757000,-0.03124532815069525
2021-02-17,64.33,65.14,63.84,65.1,7727937,0.004629629629629539
2021-02-18,64.86,65.46,64.33,65.23,6144617,0.0019969278033795668
2021-02-19,65.08,65.22,64.27,64.37,6054624,-0.013184117737237488
2021-02-22,63.93,64.47,63.53,64.11,6597733,-0.004039148671741599
2021-02-23,63.85,64.16,62.78,63.68,8714604,-0.006707221962252374
2021-02-24,63.56,64.23,62.81,63.71,6533104,0.0004711055276382936
2021-02-25,63.77,63.97,62.51,62.79,7685300,-0.014440433212996373
2021-02-26,62.78,62.79,61.39,61.4,10396338,-0.022137283006848252
2021-03-01,61.76,62.63,61.65,62.46,7333937,0.017263843648208432
2021-03-02,62.5,63.59,62.35,63.01,6844248,0.008805635606788265
2021-03-03,62.79,63.32,62.17,62.75,7081333,-0.004126329154102493
2021-03-04,62.8,64.54,62.53,63.23,15847200,0.007649402390438098
2021-03-05,63.42,64.75,63.3,64.62,9761404,0.021983235805788537
2021-03-08,64.51,66.66,63.96,64.75,10646900,0.002011761064685702
2021-03-09,65.51,66.66,64.27,64.33,8973303,-0.006486486486486531
2021-03-10,64.68,64.8,63.6,63.91,7595500,-0.006528835690968515
2021-03-11,63.51,64.04,63.01,63.09,9940602,-0.012830542951024815
2021-03-12,62.49,62.59,61.49,61.56,11561100,-0.024251069900142697
2021-03-15,62.35,63.17,61.87,63.07,8780987,0.02452891487979203
2021-03-16,63.24,64.2,63.15,64.01,7375816,0.01490407483748224
2021-03-17,63.97,64.64,63.45,64.42,7853700,0.006405249179815664
2021-03-18,63.62,64.98,63.62,64.08,7443113,-0.005277864017385947
2021-03-19,64.26,64.65,63.59,64.46,15230304,0.005930087390761507
2021-03-22,64.05,65.66,63.86,65.53,6769200,0.016599441514117297
2021-03-23,65.34,65.46,64.28,64.5,6572127,-0.015717991759499506
2021-03-24,64.36,65.06,64.0,64.35,7472822,-0.0023255813953488857
2021-03-25,64.78,64.88,63.54,63.99,7391000,-0.005594405594405494
2021-03-26,64.03,65.29,63.9,65.24,6017132,0.019534302234724077
2021-03-29,65.0,66.44,64.88,66.19,7902600,0.014561618638871954
2021-03-30,66.49,66.49,65.13,65.5,5608100,-0.010424535428312454
2021-03-31,65.34,65.34,64.46,64.63,8817200,-0.01328244274809165
2021-04-01,65.75,66.84,65.43,66.44,10514200,0.02800557016865235
2021-04-05,66.2,66.52,65.53,66.34,6071200,-0.001505117399157041
2021-04-06,66.0,66.51,65.77,66.23,5708316,-0.0016581248115766778
2021-04-07,66.08,66.33,65.22,65.6,5188703,-0.009512305601691251
2021-04-08,66.1,66.25,64.83,65.02,6778517,-0.008841463414634099
2021-04-09,64.82,65.25,64.24,65.11,5848300,0.0013841894801600585
2021-04-12,65.06,65.11,64.35,64.66,4909103,-0.006911380740285744
2021-04-13,64.45,65.22,64.15,64.89,6143405,0.0035570677389422656
2021-04-14,64.97,66.17,64.83,65.3,5654100,0.006318384959161705
2021-04-15,64.7,66.38,64.7,65.77,5635021,0.007197549770290967
2021-04-16,66.02,67.09,65.86,66.87,7715858,0.016724950585373488
2021-04-19,66.7,67.0,65.59,65.95,7204100,-0.01375803798414832
2021-04-20,65.8,66.61,65.31,66.38,4989422,0.006520090978013426
2021-04-21,66.54,66.91,66.38,66.79,5581003,0.0061765592045799345
2021-04-22,66.48,66.51,65.53,65.64,6488708,-0.01721814642910624
2021-04-23,65.5,65.7,64.88,65.48,5463490,-0.0024375380865325758
2021-04-26,65.45,65.88,65.04,65.76,6868441,0.004276114844227186
2021-04-27,65.94,66.0,64.62,64.67,7278340,-0.016575425790754328
2021-04-28,64.69,64.7,63.86,64.44,7861300,-0.003556517705272988
2021-04-29,64.63,64.63,63.33,63.84,9238834,-0.009310986964618184
2021-04-30,62.46,64.1,61.95,63.47,12994227,-0.005795739348370965
2021-05-03,63.92,65.9,63.77,65.8,9500200,0.036710256814243
2021-05-04,65.79,66.63,65.37,65.64,9933323,-0.002431610942249196
2021-05-05,65.74,67.0,65.52,66.51,6911242,0.013254113345521068
2021-05-06,66.04,66.68,65.14,66.54,7478830,0.00045105999097883043
2021-05-07,66.47,67.54,66.3,66.54,5849329,0.0
2021-05-10,66.96,68.4,66.77,67.48,8646700,0.014126840997896073
2021-05-11,67.07,68.08,66.78,67.22,6412022,-0.0038529934795495935
2021-05-12,66.75,67.95,66.71,67.45,8286300,0.0034216007140732696
2021-05-13,67.75,68.98,67.44,68.91,7189959,0.021645663454410657
2021-05-14,68.91,69.18,68.39,68.53,7079213,-0.0055144391234943635
2021-05-17,68.48,69.65,68.45,69.07,6214126,0.007879760688749293
2021-05-18,69.41,69.87,68.8,68.85,5885321,-0.0031851744606919974
2021-05-19,68.21,68.57,67.55,68.5,6174100,-0.005083514887436413
2021-05-20,68.66,69.98,68.37,69.35,6540935,0.012408759124087565
2021-05-21,69.77,70.11,68.71,68.75,6478700,-0.008651766402307026
2021-05-24,69.1,69.24,67.38,67.43,7005125,-0.019199999999999884
2021-05-25,67.3,67.4,66.0,66.23,9357400,-0.017796233130654038
2021-05-26,66.19,66.4,65.55,66.35,5932638,0.0018118677336553812
2021-05-27,66.57,67.13,65.81,65.9,8047700,-0.006782215523737589
