Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,78.85,79.89,78.4,79.02,28930000,
2020-08-24,79.7,80.71,79.03,79.41,28204580,0.0049354593773727196
2020-08-25,79.1,80.58,79.1,80.41,44942000,0.012592872434202151
2020-08-26,80.4,82.96,80.18,82.62,79868000,0.02748414376321362
2020-08-27,82.68,82.75,81.29,81.72,37232040,-0.01089324618736387
2020-08-28,81.67,82.36,81.54,82.22,29995640,0.006118453255017142
2020-08-31,82.39,82.4,81.52,81.71,36468120,-0.006202870347847278
2020-09-01,81.83,83.29,81.61,83.04,36533100,0.016277077469098122
2020-09-02,83.69,86.66,83.32,86.41,50224000,0.04058285163776487
2020-09-03,85.49,85.49,80.75,82.09,62156000,-0.049994213632681306
2020-09-04,81.21,82.26,77.38,79.55,52172000,-0.03094164940918509
2020-09-08,76.68,78.19,76.4,76.62,52218000,-0.03683218101822738
2020-09-09,77.88,78.45,76.8,77.85,35494080,0.01605324980422851
2020-09-10,78.03,79.2,76.29,76.6,32372000,-0.016056518946692355
2020-09-11,76.8,78.76,74.87,76.04,31942000,-0.007310704960835301
2020-09-14,76.95,78.2,75.79,75.96,33932000,-0.0010520778537613795
2020-09-15,76.8,77.98,76.59,77.07,26622000,0.014612954186413951
2020-09-16,77.78,78.1,75.99,76.05,26245980,-0.013234721681588124
2020-09-17,74.8,75.41,73.5,74.78,37596000,-0.01669953977646277
2020-09-18,74.9,75.15,71.86,73.0,62078000,-0.023803155924043917
2020-09-21,72.0,72.42,70.33,71.56,57776539,-0.01972602739726026
2020-09-22,72.5,73.48,71.73,73.27,31664020,0.023896031302403475
2020-09-23,72.94,73.05,70.39,70.76,33148000,-0.034256858195714335
2020-09-24,70.55,72.19,70.49,71.41,29004320,0.009185980780101577
2020-09-25,71.63,72.5,70.67,72.25,26467500,0.01176305839518288
2020-09-28,73.71,73.84,72.47,73.23,40158820,0.013564013840830613
2020-09-29,73.52,73.83,72.94,73.47,19582040,0.0032773453502661365
2020-09-30,73.34,74.49,72.99,73.48,34032160,0.00013610997686130943
2020-10-01,74.21,74.95,73.96,74.5,35590000,0.01388132825258559
2020-10-02,73.1,74.16,72.55,72.92,25682000,-0.021208053691275097
2020-10-05,73.31,74.41,73.21,74.3,22266000,0.01892484914975312
2020-10-06,73.78,74.34,72.43,72.67,24908460,-0.021938088829071223
2020-10-07,73.21,73.45,71.8,73.01,34924000,0.004678684464015426
2020-10-08,73.25,74.5,73.25,74.3,23756620,0.01766881249143948
2020-10-09,74.74,75.83,74.47,75.76,28710840,0.01965006729475105
2020-10-12,77.15,79.69,76.63,78.46,49652000,0.03563885955649404
2020-10-13,79.19,79.5,78.16,78.58,32020860,0.001529441753759908
2020-10-14,78.93,79.38,77.53,78.4,38619800,-0.0022906592008143933
2020-10-15,77.36,78.76,77.25,77.96,30816340,-0.0056122448979593065
2020-10-16,78.29,79.06,78.15,78.65,28702740,0.00885069266290417
2020-10-19,79.02,79.41,76.4,76.73,32142000,-0.024411951684679023
2020-10-20,76.35,78.88,76.28,77.8,44851440,0.013945001954906777
2020-10-21,78.67,80.94,78.58,79.67,51366900,0.02403598971722376
2020-10-22,79.65,81.1,79.25,80.77,28680840,0.013806953683946244
2020-10-23,81.3,82.12,81.03,82.05,27516880,0.015847468119351227
2020-10-26,81.25,81.91,78.83,79.52,37066000,-0.030834856794637377
2020-10-27,79.78,80.34,79.14,80.21,24580040,0.00867706237424537
2020-10-28,77.99,78.07,75.73,75.83,36680000,-0.0546066575239994
2020-10-29,76.12,79.69,76.11,78.36,40062000,0.033364103916655674
2020-10-30,83.61,84.35,80.22,81.05,86617240,0.034328739152628795
2020-11-02,81.41,83.04,80.8,81.3,50708920,0.0030845157310301907
2020-11-03,81.59,83.09,80.83,82.51,33234000,0.014883148831488446
2020-11-04,85.51,88.57,85.3,87.46,71418540,0.05999272815416301
2020-11-05,89.05,89.68,87.53,88.17,41316240,0.008117996798536531
2020-11-06,87.7,88.62,87.02,88.09,33224500,-0.0009073380968582789
2020-11-09,89.55,90.9,88.0,88.15,45366000,0.0006811215802020598
2020-11-10,86.55,88.15,85.87,87.02,52722840,-0.01281905842314246
2020-11-11,87.5,88.21,87.37,87.64,25280000,0.0071247988968052844
2020-11-12,87.38,88.41,87.28,87.49,24975080,-0.0017115472387038144
2020-11-13,87.88,89.05,87.23,88.85,30011480,0.01554463367241965
2020-11-16,88.59,89.95,88.38,89.07,24936000,0.0024760832864378912
2020-11-17,88.85,89.25,88.35,88.51,22942280,-0.006287189850679109
2020-11-18,88.26,88.67,87.31,87.34,23470000,-0.013218845328211493
2020-11-19,86.92,88.48,86.85,88.2,24998200,0.009846576597206225
2020-11-20,88.26,88.7,87.09,87.11,46273100,-0.012358276643990918
2020-11-23,87.48,87.7,85.89,86.74,43239500,-0.004247503156928123
2020-11-24,86.53,88.58,86.38,88.44,31594060,0.019598801014526268
2020-11-25,88.64,88.93,87.83,88.57,20922440,0.001469923111714122
2020-11-27,88.65,90.2,88.62,89.66,17698320,0.012306650107259731
2020-11-30,89.06,89.4,87.75,88.04,36476720,-0.018068257863038006
2020-12-01,88.72,91.24,88.47,89.91,34780900,0.021240345297592
2020-12-02,89.91,91.78,89.47,91.4,24440640,0.016572127683238902
2020-12-03,91.2,92.36,91.13,91.34,24546000,-0.0006564551422320042
2020-12-04,91.23,91.66,90.85,91.4,27564000,0.0006568863586600138
2020-12-07,90.95,91.62,90.29,90.97,26418920,-0.0047045951859957524
2020-12-08,90.51,91.1,89.81,90.93,21926380,-0.00043970539738369396
2020-12-09,90.6,91.71,88.39,89.21,30152000,-0.018915649400637946
2020-12-10,88.49,89.07,87.02,88.77,27256960,-0.004932182490752113
2020-12-11,88.15,89.22,88.0,89.09,24414000,0.0036048214486876784
2020-12-14,88.75,89.87,87.86,88.0,32004000,-0.012234818722640095
2020-12-15,88.22,88.57,87.5,88.39,29646000,0.004431818181818148
2020-12-16,88.64,88.65,87.8,88.15,30270860,-0.002715239280461579
2020-12-17,88.43,88.59,86.93,87.4,32494880,-0.008508224617129856
2020-12-18,87.71,87.76,86.01,86.55,80328000,-0.009725400457666011
2020-12-21,85.68,87.04,84.95,86.97,36568000,0.004852686308492116
2020-12-22,86.72,86.87,85.63,86.18,18766920,-0.009083592043233168
2020-12-23,86.41,87.4,86.25,86.62,20678340,0.005105592944998794
2020-12-24,86.75,87.3,86.46,86.94,6936000,0.0036942969291156036
2020-12-28,87.58,89.54,87.32,88.8,27860660,0.021394064872325647
2020-12-29,89.39,89.62,87.8,87.94,25988000,-0.009684684684684641
2020-12-30,88.1,88.25,86.28,86.98,26122600,-0.01091653400045478
2020-12-31,86.77,87.95,86.77,87.59,20244800,0.007013106461255525
