Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,79.62,80.44,78.75,79.26,25638000,
2020-08-25,79.01,80.44,78.89,80.29,25150000,0.012995205652283737
2020-08-26,80.32,82.64,80.05,82.21,52188000,0.02391331423589471
2020-08-27,82.33,82.4,80.94,81.43,31350060,-0.009487896849531552
2020-08-28,81.47,82.07,81.28,81.97,22423900,0.006631462605919181
2020-08-31,82.18,82.23,81.27,81.48,26422000,-0.005977796754910281
2020-09-01,81.61,82.96,81.48,82.75,22675320,0.015586647029945944
2020-09-02,83.4,86.31,83.01,85.87,49522000,0.03770392749244711
2020-09-03,84.98,85.0,80.39,81.48,63726000,-0.051123791778269534
2020-09-04,80.45,81.75,76.9,79.06,55850660,-0.029700540009818366
2020-09-08,76.25,77.78,75.83,76.18,54032000,-0.03642802934480138
2020-09-09,77.44,77.94,76.26,77.36,39242000,0.015489629824100737
2020-09-10,77.51,78.68,76.0,76.3,33024000,-0.013702171664943141
2020-09-11,76.41,76.93,74.65,75.79,30706740,-0.006684141546526745
2020-09-14,76.58,77.85,75.26,75.44,42660140,-0.004618023485948086
2020-09-15,76.39,77.55,76.11,76.76,23042000,0.017497348886532427
2020-09-16,77.12,77.72,75.58,75.6,22143380,-0.015112037519541599
2020-09-17,74.29,74.93,73.12,74.35,40008000,-0.016534391534391513
2020-09-18,74.42,74.76,71.58,72.55,63056000,-0.024209818426361718
2020-09-21,71.58,72.0,70.13,71.51,56908099,-0.014334941419710479
2020-09-22,72.52,73.2,71.47,72.99,33950840,0.020696406097049147
2020-09-23,72.6,72.65,70.13,70.47,37726000,-0.03452527743526501
2020-09-24,70.13,71.9,70.11,71.14,34552220,0.009507591883070932
2020-09-25,71.25,72.3,70.38,71.95,30333540,0.011385999437728556
2020-09-28,73.6,73.65,72.31,72.93,30784720,0.013620569840166796
2020-09-29,73.2,73.6,72.7,73.3,31822240,0.005073358014534346
2020-09-30,73.05,74.31,72.79,73.28,40924000,-0.0002728512960435969
2020-10-01,74.18,74.75,73.84,74.4,32884420,0.015283842794759916
2020-10-02,72.98,73.95,72.37,72.78,31222640,-0.021774193548387166
2020-10-05,73.13,74.24,73.0,74.14,21602000,0.01868645232206645
2020-10-06,73.78,74.23,72.25,72.55,26096000,-0.021445913137307815
2020-10-07,72.97,73.45,71.66,72.96,36108960,0.0056512749827704045
