Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,49.02,49.31,48.65,49.28,34316470,
2020-08-24,49.26,49.4,48.82,49.14,36295307,-0.0028409090909090606
2020-08-25,49.35,49.88,49.21,49.43,38384329,0.0059015059015059546
2020-08-26,49.39,49.67,49.23,49.55,28616620,0.002427675500707993
2020-08-27,49.79,49.93,49.17,49.4,24420613,-0.003027245206861706
2020-08-28,49.57,50.8,49.46,50.43,35384684,0.020850202429149922
2020-08-31,51.0,51.5,50.32,50.95,46114133,0.010311322625421449
2020-09-01,50.91,51.0,50.22,50.79,30522707,-0.003140333660451522
2020-09-02,51.21,52.68,51.09,52.25,53000730,0.028745816105532507
2020-09-03,52.5,52.62,50.14,50.39,47394340,-0.03559808612440185
2020-09-04,50.53,51.23,49.49,50.08,43318369,-0.00615201428854939
2020-09-08,49.26,49.9,48.85,48.91,39752694,-0.023362619808306784
2020-09-09,49.53,49.97,49.04,49.62,33437273,0.014516458801881127
2020-09-10,50.0,50.09,48.71,48.96,32649149,-0.013301088270858408
2020-09-11,49.26,50.05,48.95,49.28,29333570,0.006535947712418277
2020-09-14,48.85,49.72,48.85,49.41,27212491,0.0026379870129868976
2020-09-15,49.79,50.6,49.73,50.0,27598263,0.011940902651285334
2020-09-16,50.51,51.03,50.17,50.37,26555283,0.007399999999999851
2020-09-17,49.37,50.49,49.3,50.32,26959934,-0.0009926543577525315
2020-09-18,50.33,50.5,49.04,49.89,50123495,-0.0085453100158982
2020-09-21,49.39,49.75,48.83,49.72,27377117,-0.003407496492283002
2020-09-22,49.89,50.21,49.47,49.95,22290855,0.004625905068383007
2020-09-23,49.83,50.15,48.66,48.82,30078801,-0.022622622622622712
2020-09-24,48.53,49.64,48.42,49.16,29343397,0.00696435886931579
2020-09-25,48.96,50.28,48.75,49.94,26633411,0.01586655817738003
2020-09-28,50.51,51.46,50.16,51.43,29652247,0.029835802963556368
2020-09-29,51.31,51.74,50.95,51.19,19687447,-0.004666537040637797
2020-09-30,51.24,52.38,51.15,51.78,27711346,0.01152568861105685
2020-10-01,52.4,52.72,51.99,52.24,22127580,0.008883738895326454
2020-10-02,51.5,51.98,50.99,51.01,25811766,-0.023545176110260413
2020-10-05,51.3,51.81,51.27,51.69,20883245,0.013330719466771113
2020-10-06,51.71,52.7,51.23,51.37,25642790,-0.006190752563358437
2020-10-07,51.85,52.9,51.79,52.67,21978673,0.02530659918240219
2020-10-08,52.91,53.58,52.67,53.37,22369537,0.013290298082399676
2020-10-09,53.55,53.85,52.67,52.82,24343898,-0.010305415027168752
2020-10-12,53.55,54.2,53.21,53.88,27303474,0.02006815600151457
2020-10-13,54.27,54.29,53.62,53.83,20005769,-0.0009279881217520991
2020-10-14,54.01,54.4,53.51,53.55,21885105,-0.005201560468140465
2020-10-15,52.75,53.98,52.62,53.85,18272865,0.0056022408963585235
