Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,325.27,334.15,324.63,333.12,2088371,
2020-08-25,332.5,337.37,329.95,336.42,1718400,0.009906340057636909
2020-08-26,356.86,360.0,338.07,342.34,3108600,0.0175970513049164
2020-08-27,341.84,349.51,339.06,345.0,1880870,0.00777005316352164
2020-08-28,346.73,347.38,343.84,346.11,1189442,0.0032173913043478386
2020-08-31,345.89,346.24,342.1,345.39,1070807,-0.002080263500043422
2020-09-01,344.92,349.33,343.56,347.18,1074621,0.00518254726541012
2020-09-02,348.67,355.67,347.47,354.18,1438039,0.020162451754133226
2020-09-03,353.11,353.11,336.66,339.63,1570100,-0.04108080636964262
2020-09-04,337.76,340.53,324.61,333.11,1219500,-0.01919736183493792
2020-09-08,320.79,329.36,319.65,320.82,1578582,-0.036894719462039594
2020-09-09,324.4,331.31,319.74,328.21,1303238,0.02303472352097735
2020-09-10,329.58,332.66,317.07,320.39,1254155,-0.023826208829712647
2020-09-11,323.82,325.35,311.41,315.0,955200,-0.016823246668123182
2020-09-14,320.17,321.25,315.77,318.31,888851,0.010507936507936577
2020-09-15,321.38,324.15,319.38,322.47,1111618,0.013069020765920092
2020-09-16,324.86,326.23,312.61,313.38,1668809,-0.02818866871336878
2020-09-17,304.91,308.4,301.34,307.23,1818200,-0.019624736741336357
2020-09-18,307.7,312.95,296.77,300.13,2284451,-0.0231097223578427
2020-09-21,296.29,308.02,295.37,307.7,1594620,0.02522240362509587
2020-09-22,309.81,318.12,306.7,317.28,2099947,0.03113422164445878
2020-09-23,315.4,315.98,303.06,304.93,1412131,-0.03892460917801299
2020-09-24,304.67,312.63,301.94,308.59,1216929,0.012002754730593868
2020-09-25,309.9,318.79,307.77,318.5,1239803,0.03211380796526142
2020-09-28,325.43,326.13,322.26,325.55,1134304,0.022135007849293675
2020-09-29,325.54,329.22,323.05,323.64,1122510,-0.005866994317309193
2020-09-30,323.02,329.14,319.67,326.21,1804900,0.007940922012112273
2020-10-01,330.74,333.98,329.85,332.34,1091541,0.0187915759786641
2020-10-02,326.16,329.48,319.91,321.89,902722,-0.03144370223265325
2020-10-05,330.33,332.0,327.12,331.36,1296524,0.029419988194725022
2020-10-06,331.31,333.87,323.91,325.38,1042447,-0.018046837276677996
2020-10-07,327.74,336.91,327.08,334.91,1236112,0.029288831520069003
2020-10-08,336.36,337.76,333.26,334.99,788297,0.000238870144217751
2020-10-09,336.62,342.2,335.77,341.81,846808,0.02035881668109485
2020-10-12,345.18,353.98,342.21,350.93,1571289,0.026681489716509077
2020-10-13,352.67,353.74,347.51,349.59,1118898,-0.003818425326988395
2020-10-14,351.49,351.49,341.23,345.3,896431,-0.012271518064017717
2020-10-15,341.29,343.18,338.0,341.97,790047,-0.009643788010425647
2020-10-16,343.78,346.82,340.95,341.15,790020,-0.0023978711582889334
2020-10-19,343.32,344.23,334.05,335.27,822798,-0.01723582002051882
2020-10-20,338.35,338.97,333.45,334.51,1131226,-0.0022668297193306763
2020-10-21,335.69,336.68,331.31,332.79,816816,-0.00514184927206951
2020-10-22,332.94,333.91,325.31,331.82,803400,-0.002914751044202135
2020-10-23,333.32,334.59,330.0,334.42,721966,0.007835573503707005
2020-10-26,330.91,332.1,323.44,328.09,927838,-0.018928293762334958
2020-10-27,330.59,333.4,329.31,330.27,838744,0.006644518272425293
2020-10-28,323.47,325.1,317.96,318.51,948411,-0.03560723044781544
2020-10-29,319.43,329.39,319.33,325.61,896800,0.022291293836928183
2020-10-30,321.91,325.17,312.05,314.68,1682866,-0.033567765117778925
2020-11-02,317.76,321.87,312.17,316.42,1109900,0.005529426719206754
2020-11-03,319.91,326.94,317.83,324.73,1114900,0.026262562417040725
2020-11-04,339.72,347.91,334.11,343.0,1344677,0.056262125458072854
2020-11-05,350.92,352.01,346.21,350.96,1074337,0.023206997084548098
2020-11-06,351.48,353.85,344.8,352.26,623100,0.0037041258263050825
2020-11-09,365.95,377.15,359.31,360.14,1820136,0.02236984045875201
2020-11-10,358.15,358.15,339.35,342.26,1544160,-0.04964735936024878
2020-11-11,345.65,356.55,342.93,352.4,1127017,0.02962659966107628
2020-11-12,352.97,356.64,347.65,349.51,947726,-0.008200908059023848
2020-11-13,351.84,358.33,350.43,356.95,1179472,0.021286944579554268
2020-11-16,356.54,361.22,353.33,357.06,1158831,0.0003081664098614212
2020-11-17,354.98,360.0,353.43,358.75,953992,0.0047330980787543275
2020-11-18,356.24,360.26,353.76,354.74,912410,-0.011177700348432018
2020-11-19,353.2,363.39,349.05,361.44,1533627,0.018887072221908996
2020-11-20,358.85,359.99,347.51,347.69,2370232,-0.03804227534307214
2020-11-23,348.07,350.32,337.72,343.33,1529577,-0.012539906238315801
2020-11-24,345.0,347.73,342.52,345.2,1045500,0.005446654821891439
2020-11-25,345.72,352.47,345.01,350.47,1199344,0.015266512166859814
