Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,233.0,233.99,229.76,231.91,1582200,
2020-08-25,231.93,233.62,231.39,233.17,1490100,0.0054331421672200175
2020-08-26,233.33,233.83,230.93,233.33,1537800,0.0006861946219498538
2020-08-27,233.61,239.37,230.71,236.46,2590800,0.01341447734967649
2020-08-28,237.78,243.32,236.23,242.34,1940700,0.0248667850799289
2020-08-31,241.06,244.82,240.33,243.61,1806300,0.005240571098456659
2020-09-01,244.15,247.48,242.44,247.19,1563900,0.014695620048438052
2020-09-02,247.34,259.61,246.11,255.04,3234300,0.031756948096605786
2020-09-03,250.95,252.33,241.38,247.2,3249900,-0.03074027603513174
2020-09-04,247.7,249.95,239.25,245.09,2487600,-0.00853559870550158
2020-09-08,236.67,239.29,230.68,231.39,3123300,-0.05589783344893717
2020-09-09,234.45,242.24,234.05,239.83,1850400,0.036475215004970085
2020-09-10,239.5,242.9,233.76,235.2,1563600,-0.019305341283409216
2020-09-11,237.94,238.51,232.66,234.18,1300200,-0.00433673469387752
2020-09-14,237.47,240.71,237.05,238.78,1168800,0.019643009650696097
2020-09-15,241.42,242.05,237.05,238.52,1135500,-0.001088868414440003
2020-09-16,240.11,241.18,229.89,230.46,2312400,-0.0337917155794063
2020-09-17,228.4,230.1,224.5,226.96,2458800,-0.0151870172698082
2020-09-18,226.33,228.38,216.47,218.52,4024500,-0.03718716954529433
2020-09-21,216.03,216.03,211.1,213.98,2352900,-0.020776130331319864
2020-09-22,216.15,222.48,213.88,222.01,3708600,0.037526871670249484
2020-09-23,225.21,225.4,218.39,219.14,1876500,-0.012927345615062369
2020-09-24,217.38,221.23,215.85,219.18,1245000,0.00018253171488558095
2020-09-25,218.22,225.97,217.67,224.58,1566900,0.02463728442376123
2020-09-28,228.33,231.85,226.68,231.05,1951200,0.028809332977112856
2020-09-29,232.67,238.63,230.18,230.98,1625700,-0.0003029647262497992
2020-09-30,232.38,239.3,230.18,236.51,1895100,0.023941466793661714
2020-10-01,237.7,239.48,234.67,236.84,1243800,0.0013952898397531222
2020-10-02,233.36,235.86,230.7,232.09,1602600,-0.020055733828745148
2020-10-05,233.03,236.19,232.27,235.9,1206300,0.016416045499590748
2020-10-06,236.51,238.74,232.1,233.01,1236000,-0.012250953793980557
2020-10-07,236.15,240.66,236.15,240.09,1180500,0.03038496201879748
2020-10-08,241.67,242.87,240.04,241.01,1110900,0.0038318963721937216
2020-10-09,243.29,247.09,242.67,246.06,1239900,0.02095348740716152
2020-10-12,249.58,253.01,247.74,251.89,2265300,0.023693408111842507
2020-10-13,251.97,253.68,249.91,251.78,1633200,-0.0004366985588947214
2020-10-14,253.1,255.39,248.72,250.36,1914300,-0.0056398443085232675
2020-10-15,247.36,251.8,246.67,247.0,2765700,-0.013420674229110086
2020-10-16,241.67,253.63,238.76,250.89,3096600,0.01574898785425094
2020-10-19,251.75,257.21,243.12,245.37,1732500,-0.022001674040416086
2020-10-20,245.37,248.52,243.3,244.33,1199400,-0.0042384969637689895
2020-10-21,243.6,244.89,240.86,242.83,1838400,-0.006139237915933404
2020-10-22,243.21,246.11,241.3,244.31,935100,0.006094798830457382
2020-10-23,246.11,246.67,242.5,245.16,845100,0.0034791862797265427
2020-10-26,242.36,243.26,233.56,237.26,1540800,-0.0322238538097569
2020-10-27,237.84,242.68,237.12,240.3,975000,0.012812947820955989
