Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,29.2,29.2,28.85,28.93,5055700,
2020-08-24,28.99,29.19,28.82,29.16,4020232,0.00795022468026274
2020-08-25,29.17,29.32,29.08,29.3,1875200,0.004801097393690057
2020-08-26,29.91,30.06,29.59,29.8,7864100,0.017064846416382284
2020-08-27,29.92,30.23,29.81,29.93,4615293,0.004362416107382527
2020-08-28,30.0,30.09,29.68,30.07,2795408,0.00467758102238558
2020-08-31,30.1,30.18,29.83,29.83,2524002,-0.007981376787495886
2020-09-01,29.92,30.03,29.79,29.95,4106800,0.004022795843110938
2020-09-02,30.0,30.48,29.97,30.4,4358400,0.015025041736226985
2020-09-03,30.46,30.56,29.59,29.8,3799800,-0.019736842105263053
2020-09-04,29.84,29.99,29.05,29.54,3141500,-0.008724832214765166
2020-09-08,29.36,29.45,28.63,28.86,3700714,-0.023019634394041977
2020-09-09,29.03,29.69,28.93,29.52,4140500,0.022869022869022926
2020-09-10,28.98,29.08,28.51,28.53,9679732,-0.03353658536585358
2020-09-11,28.6,28.99,28.47,28.83,5990700,0.01051524710830698
2020-09-14,28.99,29.08,28.74,28.81,3960300,-0.0006937218175511184
2020-09-15,28.93,29.12,28.75,28.8,3510700,-0.00034710170079821356
2020-09-16,28.9,28.99,28.4,28.43,2987624,-0.012847222222222232
2020-09-17,28.15,28.55,28.12,28.31,3468175,-0.004220893422441141
2020-09-18,28.43,28.43,27.87,28.05,5806166,-0.009184033910279
2020-09-21,27.76,27.94,27.43,27.87,6586535,-0.0064171122994651775
2020-09-22,27.98,28.22,27.77,27.85,5514300,-0.0007176175098672077
2020-09-23,27.93,28.06,27.16,27.19,2376220,-0.02369838420107717
2020-09-24,27.37,27.52,27.0,27.26,3197200,0.0025744759102610537
2020-09-25,27.14,27.95,27.1,27.88,4276600,0.022743947175348334
2020-09-28,28.11,28.26,27.82,27.84,2813500,-0.001434720229555153
2020-09-29,27.98,27.98,27.09,27.11,4577037,-0.026221264367816133
2020-09-30,27.14,27.62,27.14,27.6,6646100,0.018074511250461223
2020-10-01,27.59,28.2,27.38,28.01,4908200,0.01485507246376816
2020-10-02,27.62,28.19,27.62,28.09,3902600,0.002856122813280848
2020-10-05,28.3,28.39,27.61,27.67,6183116,-0.01495194019223911
2020-10-06,27.66,28.22,27.61,28.03,5120800,0.013010480664980006
2020-10-07,28.22,28.68,28.11,28.6,3493716,0.020335354976810605
2020-10-08,28.68,28.9,28.56,28.7,2891805,0.0034965034965033226
2020-10-09,28.82,29.3,28.65,29.25,5359322,0.019163763066202044
2020-10-12,30.1,30.32,29.75,29.8,6856886,0.018803418803418737
2020-10-13,29.61,30.02,29.54,29.83,4424218,0.0010067114093958995
2020-10-14,29.94,30.11,29.54,29.67,5586100,-0.00536372779081451
2020-10-15,29.41,29.71,29.31,29.44,4350400,-0.007751937984496138
2020-10-16,29.37,30.0,29.27,29.76,56689946,0.010869565217391353
2020-10-19,29.7,30.14,29.11,29.2,6506442,-0.018817204301075363
2020-10-20,29.47,29.67,29.23,29.23,3726801,0.001027397260274121
2020-10-21,29.0,29.33,28.8,29.16,3958546,-0.0023947998631542733
2020-10-22,29.18,29.7,29.09,29.55,3770327,0.01337448559670773
2020-10-23,29.8,29.89,29.13,29.21,4425355,-0.011505922165820692
2020-10-26,29.15,29.21,28.12,28.44,7958024,-0.02636083533036626
2020-10-27,28.5,28.76,28.3,28.6,6428542,0.005625879043600568
2020-10-28,28.13,28.39,27.52,27.73,6262100,-0.030419580419580483
2020-10-29,27.39,27.88,27.18,27.19,5173104,-0.019473494410385817
