Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,206.75,206.87,202.11,203.97,1425900,
2020-08-24,207.5,208.67,205.3,208.36,922389,0.02152277295680749
2020-08-25,208.03,211.18,207.19,210.28,869698,0.009214820502975618
2020-08-26,209.77,212.66,209.6,212.23,615200,0.009273349819288512
2020-08-27,213.78,214.14,203.5,204.45,1158966,-0.03665834236441601
2020-08-28,204.79,208.92,203.95,208.61,828900,0.02034727317192475
2020-08-31,207.78,208.11,203.98,205.14,930130,-0.016633910167297983
2020-09-01,205.89,208.49,204.51,207.95,738100,0.013697962367163807
2020-09-02,210.68,216.17,209.0,215.54,1171850,0.03649915845155083
2020-09-03,213.61,214.04,200.25,201.41,1807400,-0.06555627725712165
2020-09-04,199.84,200.43,186.78,193.37,2380604,-0.03991857405292687
2020-09-08,181.19,182.67,173.83,174.47,2919401,-0.09774008377721466
2020-09-09,178.92,179.94,172.85,174.46,2314517,-5.7316444087796015e-05
2020-09-10,176.03,177.35,172.62,173.13,2413087,-0.007623524016966754
2020-09-11,174.87,176.52,171.31,171.94,1318835,-0.00687344769826137
2020-09-14,176.56,178.51,174.99,178.08,1254365,0.0357101314412005
2020-09-15,179.98,180.94,177.33,180.76,1441443,0.015049415992812065
2020-09-16,182.4,185.19,180.61,180.81,1624500,0.00027660986944022525
2020-09-17,175.37,180.72,174.7,180.49,1090140,-0.0017698136165035239
2020-09-18,181.23,184.55,176.64,178.96,1792847,-0.008476923929303548
2020-09-21,178.36,181.22,175.61,181.1,1099329,0.01195797943674548
2020-09-22,182.81,183.62,177.54,183.3,837722,0.012147984538928958
2020-09-23,184.38,186.33,179.96,180.79,1136501,-0.01369339879978193
2020-09-24,178.08,187.56,178.08,184.54,1134149,0.02074229769345659
2020-09-25,183.71,188.62,181.58,187.91,906900,0.018261623496260926
2020-09-28,188.14,193.68,186.8,193.25,1348816,0.028417859613644847
2020-09-29,194.86,195.81,192.6,193.33,766737,0.000413971539456659
2020-09-30,192.67,196.46,191.05,193.74,1019300,0.0021207262194176124
2020-10-01,197.62,200.21,195.66,198.98,915251,0.02704655724166405
2020-10-02,192.09,196.32,190.8,191.96,1092100,-0.035279927630917585
2020-10-05,193.28,200.0,192.72,199.95,1242321,0.04162325484475926
2020-10-06,199.89,205.84,198.68,199.83,1278751,-0.0006001500375092395
2020-10-07,203.0,205.69,201.11,202.9,1164895,0.015363058599809909
2020-10-08,205.49,206.95,204.47,206.69,686008,0.018679152291769308
2020-10-09,209.98,212.11,208.79,211.04,1200145,0.021046010934249404
2020-10-12,213.96,215.9,212.6,214.55,1289000,0.016631918119787814
2020-10-13,215.9,221.66,214.09,219.94,944300,0.025122349102773223
2020-10-14,220.09,223.54,215.11,216.0,1399005,-0.01791397653905613
2020-10-15,209.39,213.86,208.11,213.09,1168527,-0.013472222222222219
2020-10-16,214.43,214.84,207.6,208.4,1225955,-0.02200947956262611
2020-10-19,212.34,212.34,206.0,206.81,994600,-0.00762955854126679
2020-10-20,208.84,209.3,205.06,205.72,607240,-0.005270538175136563
2020-10-21,205.76,208.86,205.63,206.3,607025,0.002819366128718803
2020-10-22,205.3,205.95,201.52,203.31,884900,-0.014493456131846827
2020-10-23,205.15,206.49,202.2,203.17,842900,-0.0006886036102504711
2020-10-26,200.65,202.42,197.04,198.94,942634,-0.020820002953191863
2020-10-27,200.01,200.49,197.13,198.59,739200,-0.0017593244194229474
2020-10-28,194.52,196.24,190.48,190.55,1554800,-0.04048542222669815
2020-10-29,190.4,204.08,190.21,201.95,1351524,0.059826817108370456
2020-10-30,198.5,201.0,195.34,197.18,1047300,-0.023619707848477223
2020-11-02,199.8,203.22,198.82,202.23,817900,0.025611116746120155
2020-11-03,205.06,212.4,204.51,210.88,1188206,0.0427730801562578
2020-11-04,214.31,221.78,210.59,220.53,1356800,0.04576062215477994
2020-11-05,222.86,228.93,222.86,228.1,1276481,0.034326395501745655
2020-11-06,228.88,233.28,225.72,231.68,696000,0.015694870670758476
2020-11-09,237.71,242.6,231.93,232.32,1135000,0.0027624309392264568
2020-11-10,230.0,232.27,223.13,223.73,1071620,-0.03697486225895319
2020-11-11,227.21,234.13,225.7,233.51,994842,0.04371340455012729
2020-11-12,235.13,236.13,231.31,233.26,895330,-0.0010706179606868593
2020-11-13,237.15,240.92,235.51,236.1,892703,0.012175255080168146
2020-11-16,237.64,242.57,236.37,241.78,882846,0.024057602710715775
2020-11-17,242.45,243.82,239.7,241.84,1401204,0.0002481594838283918
2020-11-18,243.61,244.74,239.95,240.34,832311,-0.006202447899437691
2020-11-19,236.12,244.37,236.01,243.75,716422,0.014188233336107192
2020-11-20,244.31,247.39,242.48,242.57,583089,-0.00484102564102562
2020-11-23,243.28,250.44,242.66,250.24,720431,0.03161973863214751
2020-11-24,250.75,251.7,247.8,250.17,750209,-0.0002797314578005805
2020-11-25,250.0,251.1,247.12,248.95,547223,-0.004876683854978636
2020-11-27,251.11,256.22,251.11,254.13,335501,0.020807391042378054
2020-11-30,256.99,256.99,248.42,251.97,1017718,-0.008499586825640448
2020-12-01,254.46,258.72,252.59,256.66,903500,0.018613326983371037
2020-12-02,254.78,258.52,254.27,256.32,849071,-0.0013247097327204749
2020-12-03,258.65,261.85,257.05,257.39,518600,0.004174469413233517
2020-12-04,258.15,264.17,258.08,263.7,749000,0.024515326935778292
2020-12-07,265.23,267.93,262.8,266.7,693721,0.011376564277588264
2020-12-08,267.08,268.74,264.69,266.94,712722,0.000899887514060671
2020-12-09,266.61,268.89,253.84,256.49,1197161,-0.03914737394170975
2020-12-10,255.15,259.12,253.59,255.98,1009700,-0.0019883816133183796
2020-12-11,253.6,257.88,252.26,257.63,1124300,0.006445816079381217
2020-12-14,257.47,263.87,257.47,260.13,1039532,0.009703838838644563
2020-12-15,263.99,264.79,259.59,261.01,774100,0.0033829239226539354
2020-12-16,261.37,261.51,257.76,260.55,699125,-0.00176238458296607
2020-12-17,262.88,263.35,257.71,259.68,1355109,-0.003339090385722554
2020-12-18,258.75,262.88,257.28,262.15,2220200,0.009511706715958024
2020-12-21,258.72,262.05,258.0,260.77,1023200,-0.005264161739462092
2020-12-22,259.94,261.0,256.26,257.59,753400,-0.012194654293055218
2020-12-23,258.45,258.57,252.52,252.79,676409,-0.01863426375247479
2020-12-24,254.86,259.08,253.97,259.08,367241,0.02488231338264968
2020-12-28,260.79,261.5,257.21,257.58,497400,-0.005789717461787913
2020-12-29,258.04,258.76,252.02,254.36,579207,-0.012500970572249304
2020-12-30,256.64,262.37,255.21,260.15,641508,0.02276301305236661
2020-12-31,258.07,259.99,255.56,258.91,728028,-0.0047664808764172895
2021-01-04,262.06,270.28,257.7,260.33,1252064,0.005484531304314144
2021-01-05,260.19,266.32,258.96,265.79,1074900,0.020973379940844472
2021-01-06,262.45,270.94,261.81,265.21,850600,-0.002182173896685513
2021-01-07,268.69,279.35,268.36,278.19,1011896,0.04894234757362104
2021-01-08,282.22,287.34,279.56,283.18,1051805,0.017937380926704716
2021-01-11,281.35,290.85,278.01,289.11,1203959,0.020940744402853317
2021-01-12,289.0,296.3,287.0,290.99,1323577,0.006502715229497413
2021-01-13,288.75,293.52,285.16,290.1,1154581,-0.0030585243479156476
2021-01-14,302.82,315.87,301.91,303.88,2431231,0.04750086177180268
2021-01-15,303.49,304.81,296.0,304.13,1606600,0.0008226931683559258
2021-01-19,307.84,316.8,307.84,314.08,1275000,0.032716272646565514
2021-01-20,316.92,317.6,302.25,304.33,1019699,-0.0310430463576159
2021-01-21,307.96,308.9,300.43,305.2,1063124,0.0028587388689909066
2021-01-22,305.3,309.36,304.47,305.01,725154,-0.0006225425950197039
2021-01-25,309.4,312.33,303.3,308.9,955821,0.012753680207206353
2021-01-26,310.0,310.74,302.82,303.55,832412,-0.01731952088054378
2021-01-27,297.3,298.81,283.05,284.44,1658044,-0.06295503211991438
2021-01-28,290.73,296.74,288.45,291.1,1021246,0.02341442835044316
2021-01-29,287.06,289.2,279.72,280.07,1163800,-0.037890759189282086
2021-02-01,286.02,294.02,282.49,292.62,1052592,0.04481022601492479
2021-02-02,296.0,299.62,293.62,298.78,1106911,0.02105119267309119
2021-02-03,301.6,301.6,285.54,286.3,1279900,-0.04176986411406369
2021-02-04,288.44,298.18,286.32,294.23,1401821,0.027698218651763806
2021-02-05,296.03,298.15,286.59,288.03,890442,-0.021071950514903515
2021-02-08,289.94,302.59,288.66,302.26,1018200,0.04940457591223146
2021-02-09,300.29,305.45,296.52,298.31,735500,-0.013068219413749693
2021-02-10,302.13,304.14,296.0,297.61,547082,-0.0023465522443095743
2021-02-11,299.41,326.49,299.41,324.48,2285700,0.09028594469271867
2021-02-12,321.53,334.77,318.92,331.81,1503138,0.022589990138067062
2021-02-16,332.5,342.21,332.5,337.18,1395924,0.016183960700400846
2021-02-17,333.26,334.7,323.37,330.3,1063010,-0.020404531704134254
2021-02-18,326.1,328.0,321.14,325.16,1005813,-0.015561610656978475
2021-02-19,330.62,338.0,327.99,330.67,1512402,0.01694550375199899
2021-02-22,325.0,326.98,313.85,316.16,1123135,-0.043880606042277726
2021-02-23,307.74,321.47,303.67,318.78,1745850,0.008286943319837814
2021-02-24,313.84,328.73,310.08,328.43,1170304,0.030271660706443493
2021-02-25,322.69,326.35,302.48,304.79,1528269,-0.07197880826964642
2021-02-26,311.32,314.73,303.17,311.23,1316296,0.021129302142458783
2021-03-01,316.02,326.4,315.01,325.99,1294000,0.047424734119461354
2021-03-02,325.88,326.68,309.65,309.82,1176122,-0.04960274855056912
2021-03-03,310.49,315.06,303.53,303.81,1155398,-0.019398360338260923
2021-03-04,302.18,306.26,282.33,287.62,1655325,-0.05328988512557187
2021-03-05,292.69,297.25,278.18,295.87,1631399,0.028683679855364685
2021-03-08,291.01,293.83,273.24,274.04,2182500,-0.07378240443437989
2021-03-09,283.63,296.29,282.29,294.1,1944176,0.07320099255583123
2021-03-10,299.76,300.38,282.73,283.45,1688239,-0.03621217273036392
2021-03-11,294.05,301.97,290.0,296.36,1709699,0.04554595166696074
2021-03-12,288.87,294.78,285.97,294.27,1298410,-0.007052233769739624
2021-03-15,293.47,299.32,291.42,298.96,1321958,0.01593774424847938
2021-03-16,299.72,305.96,298.88,301.95,1544200,0.01000133797163505
2021-03-17,296.18,309.91,291.12,305.39,1906301,0.011392614671303258
2021-03-18,298.3,299.75,287.78,288.74,2041200,-0.054520449261599824
2021-03-19,287.97,297.24,284.49,292.88,3220744,0.014338158897277742
2021-03-22,300.0,308.13,298.31,305.36,1820000,0.04261130838568694
2021-03-23,306.51,307.48,296.11,297.06,1766327,-0.027181032224259938
2021-03-24,310.5,317.0,297.55,297.89,1669223,0.002794048340402533
2021-03-25,293.03,301.0,286.94,299.41,1188000,0.005102554634261125
2021-03-26,298.71,320.25,298.71,319.94,1650773,0.06856818409538756
2021-03-29,317.73,317.85,306.88,314.31,1428493,-0.017597049446771207
2021-03-30,312.81,318.51,311.69,317.07,924100,0.008781139639209679
2021-03-31,321.75,333.3,321.17,330.4,1811848,0.042041189642665566
2021-04-01,337.0,347.79,337.0,347.29,1885789,0.051119854721549673
