Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,35.94,36.07,34.73,35.1,16823410,
2020-08-25,35.31,35.63,35.05,35.25,13103220,0.004273504273504258
2020-08-26,35.26,35.4,34.81,35.18,11949830,-0.001985815602836838
2020-08-27,35.49,35.49,33.86,34.15,19022000,-0.029277998862990318
2020-08-28,34.27,35.2,34.15,35.08,15963680,0.027232796486090782
2020-08-31,34.85,34.91,33.62,33.63,25334070,-0.041334093500570046
2020-09-01,33.96,34.65,33.76,34.06,20877780,0.012786202795123325
2020-09-02,34.6,36.51,34.42,36.27,27631340,0.06488549618320616
2020-09-03,35.73,35.73,33.94,34.15,25566000,-0.0584505100634134
2020-09-04,33.9,33.99,31.97,33.31,24710890,-0.024597364568081925
2020-09-08,31.1,31.65,30.22,30.27,31138340,-0.09126388471930358
2020-09-09,31.1,31.18,30.03,30.09,30867420,-0.00594648166501488
2020-09-10,30.38,30.57,29.58,29.75,20856040,-0.011299435028248594
2020-09-11,30.05,30.33,29.23,29.4,17273810,-0.01176470588235301
2020-09-14,30.18,30.86,29.96,30.54,19547000,0.038775510204081653
2020-09-15,31.06,31.28,30.3,30.89,17143440,0.01146037982973147
2020-09-16,31.17,31.44,30.59,30.66,14159010,-0.007445775331822557
2020-09-17,29.62,30.86,29.62,30.59,19136060,-0.0022831050228310223
2020-09-18,30.83,31.08,30.19,30.72,26604150,0.004249754821837204
2020-09-21,30.51,31.78,30.07,31.5,18803240,0.025390625
2020-09-22,31.83,31.97,31.02,31.87,15076350,0.011746031746031838
2020-09-23,32.24,32.76,31.59,31.7,22289040,-0.005334170065892763
2020-09-24,31.4,33.42,31.4,32.72,22068000,0.032176656151419625
2020-09-25,32.47,33.19,32.2,33.03,15512100,0.009474327628361978
2020-09-28,33.14,33.78,32.87,33.66,17928000,0.019073569482288777
2020-09-29,33.39,34.26,33.38,33.77,18056510,0.0032679738562093608
2020-09-30,33.52,33.82,33.02,33.17,19894760,-0.017767249037607402
2020-10-01,33.91,33.92,33.31,33.91,16935000,0.022309315646668493
2020-10-02,32.94,33.59,32.86,32.87,11960170,-0.030669419050427527
2020-10-05,33.3,34.31,33.26,34.22,15407460,0.04107088530574998
2020-10-06,34.1,35.11,33.94,34.1,14251290,-0.003506721215663311
2020-10-07,34.74,35.15,34.35,34.58,11084220,0.014076246334310705
2020-10-08,34.84,35.57,34.7,35.54,11930150,0.027761711972238423
2020-10-09,36.09,36.47,35.92,36.27,11960620,0.02054023635340463
2020-10-12,36.94,37.34,36.71,37.01,14548580,0.020402536531568538
