Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,52.3,54.19,51.75,53.97,7764800,
2020-08-24,54.2,54.71,52.67,53.71,5906272,-0.004817491198814139
2020-08-25,53.75,54.6,53.61,54.5,3296664,0.014708620368646397
2020-08-26,53.91,54.31,53.56,53.82,3297446,-0.012477064220183465
2020-08-27,54.66,54.66,53.21,53.71,2623000,-0.0020438498699367758
2020-08-28,53.85,55.28,53.73,55.26,3311778,0.02885868553342008
2020-08-31,55.0,55.22,54.58,54.85,4022730,-0.007419471588852589
2020-09-01,54.96,56.2,54.61,56.18,3745674,0.02424794895168647
2020-09-02,56.5,57.55,55.75,57.35,4861714,0.020825916696333158
2020-09-03,56.69,56.72,54.11,54.51,4831600,-0.04952048823016575
2020-09-04,54.33,54.85,52.33,54.08,4422800,-0.007888460832874644
2020-09-08,52.49,53.13,51.4,51.44,4376124,-0.04881656804733725
2020-09-09,51.0,51.65,50.42,50.73,6858808,-0.013802488335925345
2020-09-10,51.27,52.02,49.97,50.3,4729212,-0.008476246796767173
2020-09-11,50.75,51.21,49.79,50.35,2530000,0.0009940357852884496
2020-09-14,51.53,51.67,50.8,51.11,2656400,0.015094339622641506
2020-09-15,51.74,52.11,51.29,51.81,2285296,0.013695949911954663
2020-09-16,52.1,52.71,51.65,51.78,3164784,-0.0005790387955992848
2020-09-17,50.03,51.92,49.92,51.76,2963472,-0.00038624951718813083
2020-09-18,51.9,52.16,49.91,50.7,9391600,-0.020479134466769633
2020-09-21,49.75,49.91,48.08,49.25,4684800,-0.02859960552268248
2020-09-22,49.5,49.74,49.0,49.6,3161576,0.007106598984771617
2020-09-23,49.63,50.16,48.65,48.83,3568978,-0.015524193548387188
2020-09-24,48.41,49.55,48.16,48.88,2916000,0.0010239606799100631
2020-09-25,48.68,49.64,47.77,49.53,2865000,0.013297872340425565
2020-09-28,50.56,51.55,50.26,51.54,3912436,0.04058146577831612
2020-09-29,51.37,52.02,51.01,51.37,2799646,-0.003298409002716385
2020-09-30,51.52,52.34,51.22,51.38,4818638,0.00019466614755714318
2020-10-01,53.04,54.01,52.51,53.53,4888858,0.04184507590502129
2020-10-02,52.13,53.67,51.88,51.88,3328678,-0.030823837100691143
2020-10-05,52.37,53.71,52.37,53.66,2674450,0.034309946029298155
2020-10-06,53.67,54.95,53.13,53.25,2573140,-0.007640700708162473
2020-10-07,54.19,54.59,53.87,54.4,2700600,0.021596244131455444
2020-10-08,54.9,55.91,54.65,55.79,3568400,0.02555147058823537
2020-10-09,57.12,58.28,56.61,56.99,3205616,0.02150923104499025
2020-10-12,57.68,57.75,56.81,57.07,4049496,0.00140375504474477
2020-10-13,56.38,56.5,55.54,55.79,3774772,-0.022428596460487116
2020-10-14,55.79,56.15,55.23,55.38,2385892,-0.007348987273704921
2020-10-15,54.69,55.73,54.43,55.67,1973400,0.005236547490068633
2020-10-16,55.88,56.17,55.37,55.41,2875000,-0.004670379019220516
2020-10-19,57.5,57.52,55.5,55.83,3095438,0.007579859231185759
2020-10-20,56.11,56.89,55.61,55.62,2463804,-0.0037614185921547305
2020-10-21,55.68,56.16,54.92,55.24,2227456,-0.006832074793239773
2020-10-22,55.26,56.44,54.78,56.26,3584800,0.018464880521361193
2020-10-23,56.68,56.68,55.86,56.26,1908090,0.0
2020-10-26,55.65,55.78,54.03,54.87,2010000,-0.024706718805545647
2020-10-27,54.82,55.29,53.83,53.98,2127800,-0.016220156734098823
2020-10-28,53.03,53.26,51.2,51.27,4240000,-0.050203779177472985
2020-10-29,51.24,53.78,51.17,53.18,3544800,0.0372537546323386
2020-10-30,52.5,53.2,51.86,52.54,3322408,-0.012034599473486285
2020-11-02,53.44,53.49,52.0,52.56,2668904,0.0003806623524933439
