Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,57.03,57.73,57.03,57.47,6411239,
2020-08-24,57.44,58.0,57.39,57.98,4441100,0.008874195232295046
2020-08-25,58.01,58.24,57.63,57.89,4781616,-0.0015522593997929768
2020-08-26,57.85,58.4,57.54,58.36,4798116,0.008118846087407094
2020-08-27,58.64,58.87,58.06,58.13,4473198,-0.0039410555174776984
2020-08-28,58.0,58.36,57.51,58.31,3865000,0.0030965078272837676
2020-08-31,58.2,58.8,58.03,58.42,6261900,0.0018864688732636026
2020-09-01,58.4,58.43,57.59,58.2,5356180,-0.003765833618623704
2020-09-02,58.17,59.25,58.01,59.01,5296129,0.013917525773195827
2020-09-03,59.03,59.72,57.42,57.83,9118600,-0.019996610743941656
2020-09-04,58.35,58.35,57.08,57.88,8867400,0.0008646031471555293
2020-09-08,57.36,57.88,56.12,56.39,8459539,-0.02574291637871462
2020-09-09,56.7,58.0,56.53,57.5,7100000,0.019684341195247423
2020-09-10,57.25,57.97,56.87,57.1,6721200,-0.006956521739130417
2020-09-11,57.3,57.74,56.91,57.55,6351300,0.007880910683012221
2020-09-14,57.69,58.32,57.43,58.01,4612017,0.007993049522154738
2020-09-15,58.25,58.32,57.92,58.09,5236483,0.0013790725736941845
2020-09-16,58.25,58.67,57.9,57.97,5677016,-0.0020657600275435506
2020-09-17,57.44,57.66,56.66,57.21,8430800,-0.013110229429014963
2020-09-18,57.23,57.47,56.13,56.52,10463140,-0.012060828526481382
2020-09-21,56.04,56.15,55.24,55.85,6385021,-0.011854210898796902
2020-09-22,55.78,56.3,55.54,55.81,8876943,-0.0007162041181736356
2020-09-23,55.59,56.19,54.73,54.82,7038558,-0.017738756495251806
2020-09-24,54.83,55.93,54.48,55.61,6233800,0.01441079897847497
2020-09-25,55.06,56.24,54.97,56.16,4743000,0.009890307498651163
2020-09-28,56.96,57.37,56.5,57.01,5477489,0.015135327635327656
2020-09-29,57.07,57.09,56.3,56.48,6352548,-0.009296614629012434
2020-09-30,56.59,57.73,56.42,57.45,6130700,0.017174220963172893
2020-10-01,57.63,57.96,57.16,57.91,5875300,0.008006962576152965
2020-10-02,57.44,57.78,56.57,56.86,6198506,-0.018131583491624914
2020-10-05,56.95,57.14,56.7,57.08,5144939,0.0038691523039042774
2020-10-06,57.07,57.2,55.92,56.09,5015300,-0.017344078486334902
2020-10-07,56.15,56.42,55.67,56.19,4770100,0.0017828489926903224
2020-10-08,56.48,56.75,56.23,56.5,4483100,0.005516995906744926
2020-10-09,56.92,57.48,56.68,57.3,4513637,0.014159292035398119
2020-10-12,57.63,59.07,57.62,58.65,8333959,0.023560209424083878
2020-10-13,58.92,59.02,58.53,58.9,5345791,0.004262574595055524
2020-10-14,58.66,59.11,58.11,58.59,5130853,-0.0052631578947367474
2020-10-15,57.8,58.49,57.63,58.34,5815158,-0.0042669397508107165
2020-10-16,58.58,58.7,57.83,57.97,5872563,-0.0063421323277340624
2020-10-19,57.98,58.31,57.03,57.17,3940700,-0.013800241504226318
2020-10-20,57.53,57.61,56.8,56.98,4131759,-0.00332342137484698
2020-10-21,56.66,57.25,56.64,56.82,4117163,-0.002808002808002752
2020-10-22,56.83,56.91,56.24,56.82,3528800,0.0
2020-10-23,57.26,57.3,56.47,56.61,3942500,-0.0036958817317845893
2020-10-26,56.16,56.17,54.79,55.23,6983485,-0.024377318494965605
2020-10-27,55.13,55.76,54.93,55.01,4402932,-0.003983342386384203
2020-10-28,54.28,54.59,53.08,53.15,6289000,-0.03381203417560441
2020-10-29,53.14,53.78,52.51,53.19,5951900,0.0007525870178739513
2020-10-30,53.03,53.51,52.56,53.12,6574122,-0.0013160368490318097
2020-11-02,53.94,54.6,53.6,54.34,6042900,0.022966867469879526
2020-11-03,54.03,55.49,54.0,54.42,7200749,0.0014722119985277615
2020-11-04,55.61,55.81,54.67,54.94,8391869,0.009555310547592732
2020-11-05,55.56,56.11,55.38,55.64,5744703,0.012741172187841432
2020-11-06,55.86,56.38,55.62,55.84,4527800,0.0035945363048166534
2020-11-09,57.75,58.24,55.88,55.92,8273800,0.0014326647564468775
2020-11-10,55.42,57.36,55.06,57.09,7449461,0.020922746781115942
2020-11-11,57.2,58.1,57.04,57.74,5867500,0.011385531616745492
2020-11-12,57.8,57.8,57.0,57.47,3890823,-0.004676134395566356
2020-11-13,57.52,58.13,57.34,58.06,4704060,0.010266225856969013
2020-11-16,58.3,58.7,57.97,58.68,5018600,0.010678608336203821
2020-11-17,58.26,58.95,58.19,58.54,4674475,-0.0023858214042262738
2020-11-18,58.73,59.03,57.75,57.76,4978832,-0.013324222753672732
2020-11-19,57.52,57.65,56.93,57.6,6273843,-0.0027700831024930483
2020-11-20,57.42,57.78,56.97,57.14,4884300,-0.007986111111111138
2020-11-23,57.1,57.51,56.87,57.35,4934732,0.003675183759187961
2020-11-24,57.51,58.03,57.36,57.82,9101235,0.008195292066259796
2020-11-25,58.0,58.09,57.48,57.49,4232600,-0.00570736769283986
2020-11-27,57.63,57.82,57.3,57.46,2644200,-0.0005218298834580581
2020-11-30,57.25,57.51,56.89,57.45,7659848,-0.00017403411068561692
2020-12-01,57.79,58.69,57.49,58.46,7386448,0.01758050478677098
2020-12-02,58.34,58.75,57.82,58.14,5054916,-0.005473828258638402
2020-12-03,58.26,58.78,58.23,58.56,7775400,0.007223942208462342
2020-12-04,58.73,59.12,58.63,59.03,5384947,0.008025956284152924
2020-12-07,58.92,58.99,58.13,58.41,4834847,-0.010503133999661296
2020-12-08,58.26,58.6,58.03,58.29,5313200,-0.0020544427324088455
2020-12-09,58.18,58.25,57.42,57.72,8669652,-0.009778692743180661
2020-12-10,58.01,58.08,57.08,57.18,8654398,-0.009355509355509328
2020-12-11,56.82,57.62,56.68,57.4,4992609,0.0038474991255683655
2020-12-14,57.37,57.94,57.26,57.29,5204472,-0.0019163763066202266
2020-12-15,57.34,57.65,57.18,57.45,5466200,0.002792808518065959
2020-12-16,57.46,57.8,57.09,57.2,5727150,-0.00435161009573537
2020-12-17,57.24,58.1,57.1,57.93,7811318,0.012762237762237616
2020-12-18,58.12,58.41,57.84,58.32,10574848,0.006732263076126399
2020-12-21,57.32,57.82,57.05,57.68,5987441,-0.010973936899862813
2020-12-22,57.46,57.65,56.97,57.16,4887087,-0.009015256588072229
