Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,268.69,270.49,266.42,267.01,15538615,
2020-08-24,271.07,277.25,268.77,271.39,23685603,0.01640388000449411
2020-08-25,272.41,283.09,270.26,280.82,42127240,0.03474704300084741
2020-08-26,284.0,304.67,284.0,303.91,69015200,0.0822234883555304
2020-08-27,300.16,301.23,292.02,293.22,30301309,-0.035174887302161784
2020-08-28,295.0,297.23,290.98,293.66,17172415,0.0015005797694562784
2020-08-31,293.95,296.88,291.55,293.2,17345134,-0.0015664373765580386
2020-09-01,294.71,301.49,292.71,295.44,17320872,0.00763983628922249
2020-09-02,298.88,303.6,293.05,302.5,24341400,0.023896561061467647
2020-09-03,295.99,297.6,283.63,291.12,32294100,-0.037619834710743816
2020-09-04,287.5,289.0,271.14,282.73,30333700,-0.028819730695245904
2020-09-08,271.28,279.3,269.42,271.16,24864000,-0.040922434831818344
2020-09-09,275.77,278.48,271.35,273.72,22918800,0.00944092048974765
2020-09-10,275.51,279.16,267.03,268.09,24814700,-0.020568464123922436
2020-09-11,270.06,271.39,262.64,266.61,18913900,-0.005520534148979683
2020-09-14,270.95,276.64,265.7,266.15,24093830,-0.00172536664041123
2020-09-15,270.67,274.52,269.3,272.42,18478530,0.023558143903813722
2020-09-16,267.29,272.44,261.79,263.52,29207594,-0.03267014169297422
2020-09-17,258.28,261.5,250.19,254.82,31281441,-0.03301457194899815
2020-09-18,258.4,259.2,250.05,252.53,28130800,-0.008986735735028617
2020-09-21,247.54,249.95,244.13,248.15,24709400,-0.017344473923890158
2020-09-22,253.31,255.32,248.22,254.75,30293103,0.026596816441668336
2020-09-23,255.26,257.99,248.15,249.02,19641300,-0.02249263984298333
2020-09-24,246.5,252.24,245.62,249.53,20006800,0.0020480282708215114
2020-09-25,249.4,255.75,246.61,254.82,18351311,0.021199855728770034
2020-09-28,259.4,259.6,254.82,256.82,18826300,0.007848677497841683
2020-09-29,257.81,263.33,256.9,261.79,20215504,0.019352075383537226
2020-09-30,261.98,266.08,260.1,261.9,20142546,0.00042018411704014547
2020-10-01,265.35,268.33,264.8,266.63,20009801,0.018060328369606804
2020-10-02,261.21,265.15,259.18,259.94,16367600,-0.02509095000562578
2020-10-05,262.2,264.87,260.84,264.65,12822300,0.018119566053704572
2020-10-06,261.78,265.69,258.24,258.66,18696917,-0.022633667107500255
2020-10-07,259.21,260.18,254.82,258.12,23133417,-0.002087682672233915
2020-10-08,259.75,264.62,259.15,263.76,16312800,0.021850302185030257
2020-10-09,264.52,264.75,262.17,264.45,14107803,0.002616014558689761
2020-10-12,270.2,280.18,267.87,275.75,31019300,0.0427301947438079
2020-10-13,277.58,279.1,273.39,276.14,18063343,0.0014143245693563067
2020-10-14,277.62,278.75,271.5,271.82,15601154,-0.01564423842978202
2020-10-15,267.6,269.04,263.67,266.72,15416100,-0.018762416304907492
2020-10-16,267.38,271.37,265.3,265.93,16622702,-0.002961907618476367
2020-10-19,265.53,268.55,259.88,261.4,13587000,-0.017034557966382202
2020-10-20,263.06,269.7,262.88,267.56,18763246,0.023565416985462884
2020-10-21,279.56,283.05,276.37,278.73,28998638,0.041747645387950394
2020-10-22,279.87,282.45,275.04,278.12,16720026,-0.0021884978294407498
2020-10-23,278.8,285.24,276.82,284.79,17535200,0.023982453617143795
2020-10-26,283.16,285.23,274.26,277.11,21322925,-0.026967239018223954
2020-10-27,278.76,284.51,276.31,283.29,16287249,0.022301613077839066
2020-10-28,278.79,278.79,267.26,267.67,23121808,-0.05513784461152882
2020-10-29,276.55,283.6,273.78,280.83,32368118,0.04916501662494843
2020-10-30,274.5,276.7,259.1,263.11,47299002,-0.06309867179432382
2020-11-02,264.6,270.47,257.34,261.36,27165700,-0.006651210520314699
2020-11-03,263.16,270.05,260.88,265.3,17961900,0.015074992347719585
2020-11-04,281.0,288.94,278.62,287.38,35364424,0.08322653599698437
2020-11-05,291.9,297.38,288.95,294.68,23823633,0.025401906882872805
2020-11-06,293.95,294.6,288.06,293.41,13891000,-0.004309759739378194
2020-11-09,289.87,292.58,278.53,278.77,25117700,-0.04989604989605001
2020-11-10,273.1,274.0,264.0,272.43,29067700,-0.022742762851095777
2020-11-11,273.47,278.4,272.48,276.48,14957000,0.014866204162537144
2020-11-12,277.18,279.75,274.43,275.08,12914206,-0.005063657407407551
2020-11-13,277.72,277.76,273.1,276.95,10400101,0.006798022393485592
2020-11-16,275.05,279.41,274.63,278.96,12970400,0.007257627730637317
2020-11-17,277.68,277.68,273.29,275.0,15040300,-0.014195583596214423
2020-11-18,274.52,277.39,271.84,271.97,12152945,-0.011018181818181705
2020-11-19,271.02,273.47,269.19,272.94,12963700,0.003566569842262002
2020-11-20,272.56,273.0,269.41,269.7,18122412,-0.011870740822158776
2020-11-23,270.89,270.95,264.53,268.43,20990800,-0.004708935854653262
2020-11-24,268.49,277.82,267.87,276.92,16930424,0.03162835748612314
2020-11-25,278.14,280.18,272.65,275.59,12467009,-0.004802831142568409
2020-11-27,277.39,279.13,274.82,277.81,7808426,0.008055444682318003
2020-11-30,276.03,277.7,271.01,276.97,16693336,-0.0030236492566861894
2020-12-01,279.16,289.3,278.96,286.55,20777906,0.034588583601111944
2020-12-02,285.36,291.78,280.83,287.52,17361624,0.003385098586633939
2020-12-03,286.25,286.65,281.07,281.85,12921700,-0.01972036727879789
2020-12-04,280.3,283.46,279.3,279.7,10880300,-0.007628171012950324
2020-12-07,279.19,288.49,278.2,285.58,13007700,0.021022524132999543
2020-12-08,286.01,286.43,281.55,283.4,10747700,-0.007633587786259555
2020-12-09,283.66,287.63,271.75,277.92,25189707,-0.019336626676076052
2020-12-10,275.54,278.73,271.86,277.12,20065100,-0.0028785261945883933
2020-12-11,274.53,276.48,270.25,273.55,14391401,-0.012882505773672004
2020-12-14,273.37,277.22,271.56,274.19,16376900,0.0023396088466458576
2020-12-15,274.83,276.08,267.47,275.55,23979500,0.004960064189065916
2020-12-16,274.76,277.86,272.51,275.67,15885000,0.0004354926510614643
2020-12-17,277.07,280.44,273.61,274.48,16377844,-0.004316755541045492
2020-12-18,275.77,278.0,271.14,276.4,26693249,0.006995045176333203
2020-12-21,272.98,274.67,267.79,272.79,16553740,-0.013060781476121441
2020-12-22,271.5,271.5,264.63,267.09,17334999,-0.020895194105355896
