Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,41.38,41.51,40.91,41.37,2961800,
2020-08-24,41.49,41.85,41.27,41.85,2881000,0.011602610587382323
2020-08-25,42.03,42.28,41.6,41.99,2635600,0.003345280764635694
2020-08-26,41.85,42.04,41.51,41.99,2942800,0.0
2020-08-27,42.0,42.1,41.4,41.67,2683400,-0.007620862110026216
2020-08-28,41.88,42.32,41.53,42.27,3333600,0.014398848092152639
2020-08-31,42.21,42.49,41.62,41.93,5575000,-0.008043529690087592
2020-09-01,41.89,42.43,41.74,42.42,3822600,0.011686143572620988
2020-09-02,42.5,43.53,42.47,43.26,5143000,0.01980198019801982
2020-09-03,43.39,43.4,40.99,41.35,5403400,-0.04415164123901982
2020-09-04,41.58,41.88,40.49,41.13,5602000,-0.005320435308343363
2020-09-08,40.9,40.99,39.83,40.05,5340000,-0.026258205689278058
2020-09-09,40.28,41.67,40.28,41.37,7744400,0.032958801498127244
2020-09-10,41.22,41.6,40.53,40.89,4664200,-0.0116026105873821
2020-09-11,41.03,41.16,40.21,40.67,3007400,-0.005380288579114656
2020-09-14,41.06,41.66,41.06,41.45,3683200,0.019178755839685202
2020-09-15,41.62,41.97,41.21,41.57,3090000,0.0028950542822676617
2020-09-16,41.69,42.0,40.94,40.94,2866000,-0.015155159971133036
2020-09-17,40.4,40.72,39.83,40.35,4069000,-0.014411333659013148
2020-09-18,40.4,40.47,39.06,39.49,8863600,-0.02131350681536559
2020-09-21,39.21,39.25,38.53,39.19,4194400,-0.007596859964548064
2020-09-22,39.1,39.77,38.96,39.62,2659200,0.010972186782342463
2020-09-23,39.42,39.62,38.72,38.9,2850400,-0.018172640080767244
2020-09-24,38.72,39.51,38.44,39.0,2472400,0.0025706940874037354
2020-09-25,38.72,39.51,38.54,39.4,3153800,0.01025641025641022
2020-09-28,39.96,40.37,39.72,40.26,4542800,0.021827411167512745
2020-09-29,40.45,40.54,39.79,39.9,2938600,-0.00894187779433675
2020-09-30,40.17,40.53,39.82,40.1,6780600,0.005012531328320913
2020-10-01,40.53,40.88,40.12,40.74,9398200,0.015960099750623513
2020-10-02,40.17,40.42,39.36,39.78,4004000,-0.02356406480117823
2020-10-05,39.85,40.06,39.01,39.33,4563000,-0.011312217194570207
2020-10-06,39.31,39.69,38.67,38.81,3674600,-0.013221459445715622
2020-10-07,38.94,39.49,38.81,39.38,3296000,0.014686936356609115
2020-10-08,39.6,39.67,39.3,39.58,2904200,0.005078720162518868
2020-10-09,39.74,40.6,39.69,40.47,5007600,0.022486104092976245
2020-10-12,41.01,41.7,40.78,41.39,6679600,0.02273288855942668
2020-10-13,41.83,42.23,41.42,41.74,5850000,0.008456148828219323
2020-10-14,41.9,42.17,41.08,41.4,3779800,-0.008145663632007749
2020-10-15,40.92,41.25,40.54,40.7,4388400,-0.016908212560386326
2020-10-16,40.87,41.32,40.35,40.38,9510000,-0.007862407862407883
2020-10-19,40.23,40.78,39.81,40.01,4373600,-0.009162951956414145
2020-10-20,40.25,40.53,39.96,40.1,3429400,0.0022494376405899352
2020-10-21,39.94,40.34,39.71,40.04,2382000,-0.0014962593516210099
2020-10-22,40.21,40.39,39.67,40.28,2338800,0.005994005994006013
2020-10-23,40.43,40.65,40.03,40.2,3008400,-0.0019860973187685316
2020-10-26,39.67,40.13,39.03,39.42,3101600,-0.0194029850746269
2020-10-27,39.9,40.54,39.67,40.2,3812200,0.019786910197869156
2020-10-28,39.35,39.57,38.63,38.69,4345200,-0.037562189054726525
2020-10-29,38.53,39.26,38.27,38.77,3060600,0.002067717756526477
2020-10-30,38.42,38.61,37.72,38.28,6512000,-0.012638638122259516
2020-11-02,38.92,39.17,38.46,38.96,3053200,0.017763845350052154
2020-11-03,40.17,40.26,39.03,39.76,11307600,0.02053388090349073
