Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,32.92,33.46,32.68,33.46,7007800,
2020-08-24,34.36,34.73,33.89,34.72,10632100,0.03765690376569042
2020-08-25,34.72,35.28,34.56,35.21,9390200,0.014112903225806495
2020-08-26,35.47,35.83,35.13,35.61,6609600,0.011360408974723013
2020-08-27,35.95,36.6,35.34,35.91,13501600,0.008424599831508006
2020-08-28,36.75,38.38,36.0,38.25,17859805,0.06516290726817053
2020-08-31,37.99,39.25,37.79,38.78,9145442,0.013856209150326926
2020-09-01,38.94,40.21,38.87,39.19,10637365,0.010572460030943587
2020-09-02,39.98,41.34,39.11,41.19,9767615,0.051033426894615985
2020-09-03,39.8,39.99,37.86,38.32,11711000,-0.06967710609371203
2020-09-04,37.66,38.47,35.94,37.36,10050600,-0.025052192066805867
2020-09-08,36.76,38.56,36.5,37.55,9850016,0.005085653104925036
2020-09-09,38.23,39.62,37.81,39.45,8619002,0.05059920106524651
2020-09-10,39.97,40.5,38.34,38.51,5710900,-0.02382762991128018
2020-09-11,39.05,39.36,38.14,38.76,5417910,0.006491820306413931
2020-09-14,39.49,39.83,39.11,39.22,6870719,0.011867905056759609
2020-09-15,39.74,39.74,38.81,39.01,5907500,-0.005354411014788396
2020-09-16,39.01,39.29,38.02,38.08,8229964,-0.02384004101512427
2020-09-17,37.26,38.9,36.78,38.71,7074406,0.016544117647058876
2020-09-18,39.03,39.12,37.95,38.49,8079400,-0.005683285972616914
2020-09-21,37.91,38.44,37.31,38.38,6343300,-0.002857885164977869
2020-09-22,38.69,38.87,37.69,38.86,6949101,0.012506513809275477
2020-09-23,38.82,38.94,37.52,37.57,5164213,-0.03319608852290268
2020-09-24,37.06,38.58,37.0,37.9,5654928,0.008783603939313211
2020-09-25,37.93,38.17,37.16,38.05,5833100,0.003957783641160839
2020-09-28,38.51,40.04,38.5,39.89,7190642,0.048357424441524355
2020-09-29,39.96,40.56,39.37,39.4,6717980,-0.01228378039608935
2020-09-30,39.15,39.98,38.78,39.7,6217600,0.0076142131979697325
2020-10-01,40.41,40.73,39.84,40.31,5971106,0.015365239294710342
2020-10-02,39.49,40.44,39.3,39.77,6073237,-0.01339617960803774
2020-10-05,40.49,41.83,40.03,41.52,9814804,0.0440030173497612
2020-10-06,42.0,43.12,41.69,42.08,9376500,0.01348747591522148
2020-10-07,43.08,43.67,42.35,42.62,11121700,0.012832699619771848
2020-10-08,43.18,43.72,42.5,42.75,10606500,0.0030502111684655997
2020-10-09,43.83,44.94,43.39,44.7,10662145,0.04561403508771944
2020-10-12,44.9,45.04,42.98,43.59,10054000,-0.02483221476510067
2020-10-13,43.88,44.24,43.3,43.78,5534100,0.004358797889424171
2020-10-14,43.98,44.09,43.04,43.34,4880629,-0.01005025125628134
2020-10-15,42.67,43.15,42.54,42.95,5283807,-0.008998615597600401
2020-10-16,43.6,43.71,42.92,42.96,4422595,0.0002328288707800219
2020-10-19,43.41,43.62,41.78,41.85,7106221,-0.02583798882681565
2020-10-20,42.23,42.33,41.37,41.62,5167593,-0.005495818399044339
2020-10-21,41.56,41.77,40.34,40.4,7429920,-0.02931283037001442
2020-10-22,40.51,41.25,39.84,41.04,5874927,0.015841584158415856
2020-10-23,41.21,41.47,40.48,41.43,5584415,0.009502923976608235
2020-10-26,41.0,41.89,40.41,40.89,4549219,-0.013034033309196169
2020-10-27,41.19,41.8,40.84,41.47,5167500,0.014184397163120588
2020-10-28,40.56,40.76,39.52,39.53,6818117,-0.046780805401494985
2020-10-29,36.08,39.7,35.3,38.21,41594500,-0.03339236023273462
2020-10-30,38.3,38.68,37.01,37.51,16169566,-0.0183198115676525
2020-11-02,37.9,37.91,36.51,36.89,11677536,-0.016528925619834656
2020-11-03,37.21,37.66,37.02,37.19,8469500,0.008132285172133269
2020-11-04,37.8,39.49,37.37,39.16,12970238,0.052971228824952865
2020-11-05,40.14,41.54,39.87,41.48,14071621,0.0592441266598569
2020-11-06,41.42,45.82,40.99,45.13,23484620,0.08799421407907437
2020-11-09,45.61,45.61,42.13,42.21,15189300,-0.06470197208065587
2020-11-10,41.88,42.07,39.41,40.32,13783500,-0.04477611940298509
2020-11-11,41.05,42.92,41.05,42.27,10999600,0.048363095238095344
2020-11-12,42.17,42.45,41.29,41.6,7175263,-0.015850484977525503
2020-11-13,42.89,43.95,42.69,43.26,8813371,0.03990384615384612
2020-11-16,43.5,43.82,42.68,43.31,7093123,0.0011558021266759866
