Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,214.79,215.52,212.43,213.69,25460147,
2020-08-25,213.1,216.61,213.1,216.47,23043700,0.01300949974261778
2020-08-26,217.88,222.09,217.36,221.15,39600828,0.021619623966369517
2020-08-27,222.89,231.15,219.4,226.58,57602200,0.024553470495139118
2020-08-28,228.18,230.64,226.58,228.91,26292900,0.010283343631388497
2020-08-31,227.0,228.7,224.31,225.53,28774200,-0.0147656284129134
2020-09-01,225.51,227.45,224.43,227.27,25791235,0.007715159845696817
2020-09-02,227.97,232.86,227.35,231.65,34080839,0.01927223126677524
2020-09-03,229.27,229.31,214.96,217.3,58400300,-0.06194690265486724
2020-09-04,215.1,218.36,205.19,214.25,59664100,-0.014035895075931948
2020-09-08,206.5,210.03,202.2,202.66,52924330,-0.05409568261376896
2020-09-09,207.6,214.84,206.7,211.29,45679000,0.04258363761965844
2020-09-10,213.4,214.74,204.11,205.37,35461514,-0.028018363386814293
2020-09-11,207.2,208.63,201.24,204.03,33620100,-0.006524808881530952
2020-09-14,204.24,209.2,204.03,205.41,30375800,0.006763711218938262
2020-09-15,208.42,209.78,206.93,208.78,21823942,0.016406211966311313
2020-09-16,210.62,210.65,204.64,205.05,26372464,-0.017865695947887672
2020-09-17,200.05,204.33,199.96,202.91,34011300,-0.01043647890758359
2020-09-18,202.8,203.65,196.25,200.39,55225326,-0.012419299196688272
2020-09-21,197.19,202.71,196.38,202.54,39839700,0.010729078297320171
2020-09-22,205.06,208.1,202.08,207.42,33517100,0.024094006122247436
2020-09-23,207.9,208.1,200.03,200.59,30803800,-0.03292835792112614
2020-09-24,199.85,205.57,199.2,203.19,31202500,0.012961762799740706
2020-09-25,203.55,209.04,202.54,207.82,29437312,0.022786554456420083
2020-09-28,210.88,212.57,208.06,209.44,32004936,0.007795207391011472
2020-09-29,209.35,210.07,206.81,207.26,24464472,-0.010408708938120736
2020-09-30,207.73,211.98,206.54,210.33,33829100,0.014812313036765445
2020-10-01,213.49,213.99,211.32,212.46,27158418,0.010126943374696884
2020-10-02,208.0,210.99,205.54,206.19,33154800,-0.02951143744704887
2020-10-05,207.22,210.41,206.98,210.38,21331600,0.02032106309714332
2020-10-06,208.82,210.18,204.82,205.91,28554300,-0.021247266850461077
2020-10-07,207.06,210.11,206.72,209.83,25681100,0.019037443543295618
2020-10-08,210.51,211.19,208.32,210.58,19925837,0.0035743220702473266
2020-10-09,211.23,215.86,211.23,215.81,26458047,0.02483616677747169
2020-10-12,218.79,223.86,216.81,221.4,40461400,0.025902414160604348
2020-10-13,222.72,225.21,220.43,222.86,28950843,0.0065943992773260796
2020-10-14,223.0,224.22,219.13,220.86,23451713,-0.00897424391994972
2020-10-15,217.1,220.36,216.01,219.66,22733100,-0.005433306166802598
2020-10-16,220.15,222.29,219.32,219.66,26057900,0.0
2020-10-19,220.42,222.3,213.72,214.22,27625841,-0.024765546754074497
2020-10-20,215.8,217.37,213.09,214.65,22753511,0.0020072822332182216
2020-10-21,213.12,216.92,213.12,214.8,22724906,0.0006988120195667857
2020-10-22,213.93,216.06,211.7,214.89,22351500,0.0004189944134076473
2020-10-23,215.03,216.28,213.16,216.23,18879608,0.006235748522499973
2020-10-26,213.85,216.34,208.1,210.08,37111600,-0.02844193682652718
2020-10-27,211.59,214.67,210.33,213.25,36700325,0.015089489718202564
2020-10-28,207.67,208.84,202.1,202.68,51195600,-0.04956623681125438
2020-10-29,204.07,207.36,203.37,204.72,31432600,0.010065127294256904
2020-10-30,203.5,204.29,199.62,202.47,36980111,-0.01099062133645956
2020-11-02,204.29,205.28,200.12,202.33,30842200,-0.0006914604632783927
2020-11-03,203.89,208.12,203.12,206.43,27512030,0.020263925270597616
2020-11-04,214.02,218.32,212.42,216.39,42311800,0.048248801046359535
2020-11-05,222.04,224.12,221.15,223.29,36080137,0.031886870927491984
2020-11-06,222.26,224.36,218.03,223.72,25231900,0.0019257467866899969
2020-11-09,224.44,228.12,217.88,218.39,44395000,-0.023824423386375915
2020-11-10,214.5,216.5,209.72,211.01,44045120,-0.033792756078575015
2020-11-11,212.39,218.04,212.2,216.55,29440800,0.026254679872991904
2020-11-12,217.21,219.11,214.46,215.44,21616115,-0.005125836989148036
2020-11-13,216.36,217.42,214.16,216.51,18630307,0.004966580022280009
2020-11-16,214.87,217.74,214.52,217.23,24953344,0.0033254815020091755
2020-11-17,216.1,217.68,214.08,214.46,24154112,-0.012751461584495583
2020-11-18,213.65,215.17,210.93,211.08,28372800,-0.01576051478131113
2020-11-19,211.38,213.03,209.93,212.42,24792746,0.006348303960583612
2020-11-20,212.2,213.29,210.0,210.39,22843119,-0.009556538932303904
2020-11-23,210.95,212.29,208.16,210.11,25683507,-0.001330861732971922
2020-11-24,209.59,214.25,208.86,213.86,33979731,0.017847794012660012
2020-11-25,215.11,215.29,212.46,213.87,21012900,4.6759562330356275e-05
2020-11-27,214.85,216.27,214.04,215.23,14512213,0.006359003132744068
2020-11-30,214.1,214.76,210.84,214.07,33064800,-0.005389583236537598
2020-12-01,214.51,217.32,213.35,216.21,30931318,0.009996730041575308
2020-12-02,214.88,215.47,212.8,215.37,23724509,-0.003885111696961263
2020-12-03,214.61,216.38,213.65,214.24,25120922,-0.005246784603240906
2020-12-04,214.22,215.38,213.18,214.36,24666039,0.0005601194921582842
2020-12-07,214.37,215.54,212.99,214.29,24620000,-0.0003265534614668164
2020-12-08,213.97,216.95,212.89,216.01,23284100,0.008026506136543876
2020-12-09,215.16,215.23,211.21,211.8,32440603,-0.019489838433405793
2020-12-10,211.77,213.08,210.36,210.52,26733300,-0.006043437204910296
2020-12-11,210.05,213.32,209.11,213.26,30979440,0.01301539046171385
2020-12-14,213.1,216.21,212.88,214.2,28798400,0.004407765169276878
2020-12-15,215.17,215.42,212.24,214.13,27018106,-0.00032679738562091387
2020-12-16,214.75,220.11,214.72,219.28,35023300,0.024050810255452415
2020-12-17,219.87,220.89,217.92,219.42,32515800,0.0006384531192995535
2020-12-18,218.59,219.69,216.02,218.59,63354922,-0.003782699845045978
2020-12-21,217.55,224.0,217.28,222.59,37181900,0.018299098769385624
2020-12-22,222.69,225.63,221.85,223.94,22643397,0.00606496248708388
2020-12-23,223.11,223.56,220.8,221.02,18699638,-0.013039206930427705
2020-12-24,221.42,223.61,221.2,222.75,10550600,0.007827345941543662
2020-12-28,224.45,226.03,223.02,224.96,17933500,0.009921436588103294
2020-12-29,226.31,227.18,223.58,224.15,17403213,-0.003600640113798015
2020-12-30,225.23,225.63,221.47,221.68,20272337,-0.011019406647334362
2020-12-31,221.7,223.0,219.68,222.42,20942132,0.0033381450739804475
2021-01-04,222.53,223.0,214.81,217.69,37130139,-0.021266073194856516
2021-01-05,217.26,218.52,215.7,217.9,23823000,0.0009646745371858501
2021-01-06,212.17,216.49,211.94,212.25,35930700,-0.025929325378614032
2021-01-07,214.04,219.34,213.71,218.29,27694500,0.028457008244993975
2021-01-08,218.68,220.58,217.03,219.62,22956206,0.006092812313894358
2021-01-11,218.47,218.91,216.73,217.49,23047029,-0.009698570257717809
2021-01-12,216.5,217.1,213.32,214.93,23249336,-0.011770656122120582
2021-01-13,214.02,216.76,213.93,216.34,20087100,0.006560275438514784
2021-01-14,215.91,217.46,212.74,213.02,29480800,-0.01534621429231764
2021-01-15,213.52,214.51,212.03,212.65,31746512,-0.0017369261102244682
2021-01-19,213.75,216.98,212.63,216.44,30480900,0.017822713378791377
2021-01-20,217.7,225.79,217.29,224.34,37777300,0.03649972278691549
2021-01-21,224.7,226.3,222.42,224.97,30749553,0.002808237496656929
2021-01-22,227.08,230.07,225.8,225.95,30172700,0.004356136373738773
2021-01-25,229.12,229.78,224.22,229.53,33152100,0.015844213321531297
2021-01-26,231.86,234.18,230.08,232.33,49169601,0.012198841110094616
2021-01-27,238.0,240.44,230.14,232.9,69870638,0.002453406792062962
2021-01-28,235.61,242.64,235.09,238.93,49111200,0.02589094031773298
2021-01-29,235.99,238.02,231.35,231.96,42503138,-0.029171723935880745
2021-02-01,235.06,242.5,232.43,239.65,33314200,0.03315226763235035
2021-02-02,241.3,242.31,238.69,239.51,25916337,-0.0005841852701857775
2021-02-03,239.57,245.09,239.26,243.0,27158104,0.01457141664231143
2021-02-04,242.66,243.24,240.37,242.01,25296100,-0.004074074074074119
2021-02-05,242.23,243.28,240.42,242.2,18054800,0.0007850915251434998
2021-02-08,243.15,243.68,240.81,242.47,22211929,0.001114781172584678
2021-02-09,241.87,244.76,241.38,243.77,23565000,0.0053614880191363845
2021-02-10,245.0,245.92,240.89,242.82,22186706,-0.0038971161340608518
2021-02-11,244.78,245.15,242.15,244.49,15751100,0.006877522444609152
2021-02-12,243.93,245.3,242.73,244.99,16561100,0.0020450734181356456
2021-02-16,245.03,246.13,242.92,243.7,26728500,-0.005265521041675214
2021-02-17,241.32,244.31,240.94,244.2,21673109,0.002051702913418163
2021-02-18,241.8,243.93,240.86,243.79,16925600,-0.0016789516789517123
2021-02-19,243.75,243.86,240.18,240.97,25262600,-0.011567332540301067
2021-02-22,237.42,237.93,232.4,234.51,36446936,-0.02680831638793213
2021-02-23,230.33,234.83,228.73,233.27,30228704,-0.005287620996972331
2021-02-24,230.01,235.2,229.0,234.55,26339746,0.005487203669567453
2021-02-25,232.08,234.59,227.88,228.99,39542235,-0.023704966958004725
2021-02-26,231.53,235.37,229.54,232.38,37819227,0.014804139918773718
2021-03-01,235.9,237.47,233.15,236.94,25332837,0.019623031241931432
2021-03-02,237.01,237.3,233.45,233.87,22812500,-0.012956866717312332
2021-03-03,232.16,233.58,227.26,227.56,34029526,-0.026980801299867463
2021-03-04,226.74,232.49,224.26,226.73,44727800,-0.0036473896994200228
2021-03-05,229.52,233.27,226.46,231.6,41872800,0.021479292550610873
2021-03-08,231.37,233.37,227.13,227.39,35267440,-0.018177892918825544
2021-03-09,232.88,235.38,231.67,233.78,33080531,0.028101499626193016
2021-03-10,237.0,237.0,232.04,232.42,29746812,-0.005817435195482945
2021-03-11,234.96,239.17,234.31,237.13,29907600,0.020265037432234845
2021-03-12,234.01,235.82,233.23,235.75,22653700,-0.005819592628515946
2021-03-15,234.96,235.19,231.81,234.81,26042669,-0.0039872746553552
2021-03-16,236.28,240.06,235.94,237.71,28092200,0.012350410970571879
2021-03-17,236.15,238.55,233.23,237.04,29562100,-0.002818560430777106
2021-03-18,232.56,234.19,230.33,230.72,34852251,-0.02666216672291588
2021-03-19,231.02,232.47,229.35,230.35,46430730,-0.001603675450762898
2021-03-22,230.27,236.9,230.14,235.99,30127005,0.024484480138919018
2021-03-23,237.49,241.05,237.07,237.58,31638400,0.0067375736260011365
2021-03-24,237.85,238.0,235.32,235.46,25620127,-0.008923310042932897
2021-03-25,235.3,236.94,231.57,232.34,34061900,-0.013250658285908434
2021-03-26,231.55,236.71,231.55,236.48,25479900,0.017818713953688503
2021-03-29,236.59,236.8,231.88,235.24,25227500,-0.005243572395128515
2021-03-30,233.53,233.85,231.1,231.85,24792012,-0.014410814487332169
2021-03-31,232.91,239.1,232.39,235.77,43623500,0.01690748328660785
2021-04-01,238.47,242.84,238.05,242.35,30338000,0.027908554947618347
2021-04-05,242.76,249.96,242.7,249.07,36910609,0.02772849185062931
2021-04-06,247.61,249.4,246.88,247.86,22931923,-0.0048580720279438605
2021-04-07,247.81,250.93,247.19,249.9,22719835,0.008230452674897082
2021-04-08,252.77,254.14,252.0,253.25,23625200,0.01340536214485799
2021-04-09,252.87,255.99,252.44,255.85,24326833,0.010266535044422431
2021-04-12,254.71,257.67,254.62,255.91,27148700,0.00023451240961502862
2021-04-13,257.26,259.19,256.83,258.49,23837500,0.010081669336876375
2021-04-14,257.48,258.83,255.16,255.59,23070938,-0.011219002669348943
2021-04-15,257.93,259.93,257.73,259.5,25627500,0.015297938103994602
2021-04-16,259.47,261.0,257.6,260.74,24878600,0.00477842003853568
2021-04-19,260.19,261.48,257.82,258.74,23209300,-0.007670476336580467
2021-04-20,257.82,260.2,256.84,258.26,19722900,-0.0018551441601608598
2021-04-21,258.94,260.68,257.25,260.58,24030400,0.00898319522961355
2021-04-22,260.21,261.78,255.64,257.17,25606200,-0.013086192340164171
2021-04-23,257.88,261.51,257.27,261.15,21499286,0.015476144184780383
2021-04-26,261.66,262.44,260.17,261.55,19763346,0.0015316867700556624
2021-04-27,261.58,263.19,260.12,261.97,31014213,0.0016058115083159574
2021-04-28,256.08,256.54,252.95,254.56,46903119,-0.028285681566591725
2021-04-29,255.46,256.1,249.0,252.51,40589023,-0.008053111250785672
2021-04-30,249.74,253.08,249.6,252.18,30945100,-0.0013068789354876431
2021-05-03,253.4,254.35,251.12,251.86,19626600,-0.0012689348877785722
2021-05-04,250.97,251.21,245.76,247.79,32756100,-0.0161597713015168
2021-05-05,249.06,249.5,245.82,246.47,21901325,-0.005327091488760649
2021-05-06,246.45,249.86,244.69,249.73,26491100,0.013226761877713322
2021-05-07,252.15,254.3,251.17,252.46,27032912,0.010931806350858997
2021-05-10,250.87,251.73,247.12,247.18,29299900,-0.020914204230373157
2021-05-11,244.55,246.6,242.57,246.23,33641600,-0.0038433530220892687
2021-05-12,242.17,244.38,238.07,239.0,36684400,-0.029362790886569456
2021-05-13,241.8,245.6,241.42,243.03,29624300,0.01686192468619252
2021-05-14,245.58,249.18,245.49,248.15,23901100,0.021067357939348996
2021-05-17,246.55,246.59,243.52,245.18,24970200,-0.01196856739875074
