Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,14.65,14.93,14.54,14.86,880000,
2020-08-25,14.87,15.03,14.66,14.7,1165050,-0.010767160161507361
2020-08-26,14.87,14.9,14.58,14.61,820040,-0.006122448979591799
2020-08-27,14.73,14.76,14.41,14.65,761000,0.002737850787132068
2020-08-28,14.75,15.05,14.67,14.69,839000,0.0027303754266210234
2020-08-31,14.73,14.8,14.4,14.44,803000,-0.01701837985023824
2020-09-01,14.5,14.91,14.5,14.88,863490,0.030470914127423976
2020-09-02,14.85,15.12,14.77,15.0,1005000,0.008064516129032251
2020-09-03,14.88,14.88,14.39,14.43,790000,-0.038000000000000034
2020-09-04,14.44,14.44,13.69,14.22,1248270,-0.014553014553014498
2020-09-08,14.06,14.32,13.88,13.88,884000,-0.023909985935302358
2020-09-09,13.98,14.24,13.9,14.12,1407420,0.01729106628242061
2020-09-10,14.17,14.31,13.94,13.97,1487000,-0.010623229461756312
2020-09-11,14.09,14.14,13.88,14.11,1164030,0.010021474588403745
2020-09-14,14.16,14.3,14.02,14.26,695050,0.010630758327427436
2020-09-15,14.5,15.6,14.38,15.58,2621230,0.09256661991584858
2020-09-16,15.89,17.66,15.78,17.49,4596690,0.1225930680359435
2020-09-17,17.34,17.34,16.26,16.36,1798000,-0.06460834762721546
2020-09-18,16.55,16.62,15.74,15.96,3470000,-0.024449877750611138
2020-09-21,15.77,15.77,14.92,15.22,1597000,-0.04636591478696739
2020-09-22,15.34,15.47,14.94,15.43,897000,0.01379763469119566
2020-09-23,15.38,15.48,14.81,14.83,1117000,-0.03888528839922223
2020-09-24,14.74,14.81,14.46,14.61,1221850,-0.014834794335805812
2020-09-25,14.62,14.7,14.5,14.61,1693000,0.0
2020-09-28,14.85,15.34,14.85,15.15,1444000,0.03696098562628336
2020-09-29,15.07,15.11,14.81,14.97,624000,-0.011881188118811892
2020-09-30,15.02,15.31,14.99,15.06,824000,0.006012024048096087
2020-10-01,15.07,15.27,14.86,14.9,694170,-0.010624169986719778
