Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,495.4383,501.0,483.16,488.81,4762183,
2020-08-25,488.19,492.47,485.09,490.58,4347721,0.003621038849450642
2020-08-26,492.5,549.04,492.075,547.53,20373681,0.11608708059847528
2020-08-27,537.775,541.0,521.2471,526.27,9062912,-0.03882892261611237
2020-08-28,532.0,539.0,522.0,523.89,4417517,-0.004522393448230022
2020-08-31,521.16,531.99,517.58,529.56,4941409,0.010822882666208455
2020-09-01,532.6,557.3895,532.45,556.55,9581907,0.05096684039580035
2020-09-02,553.78,556.5,537.369,552.84,5886930,-0.00666606773874745
2020-09-03,545.0,554.0,521.32,525.75,9071089,-0.04900151942695907
2020-09-04,520.18,527.36,485.98,516.05,8270118,-0.01844983357108898
2020-09-08,498.4,522.0,495.0,507.02,5572684,-0.017498304427865485
2020-09-09,519.21,520.0,492.5743,500.19,6848127,-0.01347086899925054
2020-09-10,503.35,506.29,478.84,480.67,6240181,-0.03902517043523457
2020-09-11,486.485,493.73,476.81,482.03,5035200,0.002829383984854328
2020-09-14,480.62,488.99,471.3001,476.26,7359126,-0.011970209323071135
2020-09-15,484.0,497.47,481.63,495.99,5336992,0.041426951665056944
2020-09-16,499.99,504.66,483.31,483.86,4401412,-0.02445613822859327
2020-09-17,475.16,478.4,463.27,470.2,5379301,-0.028231306576282478
2020-09-18,472.51,479.4,458.6,469.96,6717711,-0.0005104210974054002
2020-09-21,467.6923,487.775,466.32,487.35,5457539,0.03700314920418779
2020-09-22,489.01,491.82,479.26,491.17,3482324,0.007838309223350715
2020-09-23,491.04,491.04,469.0,470.61,3686423,-0.04185923407374226
2020-09-24,470.53,477.0,467.82,473.08,3727201,0.005248507256539359
2020-09-25,474.39,484.87,468.0258,482.88,3769436,0.020715312420732213
2020-09-28,489.1094,492.0,477.88,490.65,4773497,0.01609095427435392
2020-09-29,489.5,496.2868,486.53,493.48,3543193,0.00576785896260068
2020-09-30,492.57,504.63,489.2704,500.03,4634111,0.013273080975926055
2020-10-01,506.03,529.55,503.6,527.51,8148905,0.05495670259784413
2020-10-02,516.43,526.3714,502.7,503.06,6071165,-0.046349832230668575
2020-10-05,506.8,520.99,501.6997,520.65,4088069,0.03496600803085115
2020-10-06,518.72,521.82,504.16,505.87,4199034,-0.02838759243253619
2020-10-07,518.0,536.49,515.815,534.66,7988683,0.056911854824361896
2020-10-08,533.48,535.0,524.15,531.79,5386238,-0.00536789735532861
2020-10-09,537.8339,544.28,535.0,539.44,4761259,0.014385377686680911
2020-10-12,548.81,551.81,538.24,539.81,5391074,0.0006858964852438643
2020-10-13,540.56,557.65,537.2,554.09,5602498,0.026453752246160755
2020-10-14,562.61,572.49,541.0,541.45,9510081,-0.022812178526954052
2020-10-15,545.52,551.22,535.1,541.94,5110576,0.0009049773755656076
2020-10-16,549.5,554.33,530.03,530.79,6347363,-0.020574233309960666
2020-10-19,537.07,541.8,525.38,530.72,7567506,-0.0001318788974923324
2020-10-20,528.14,533.78,522.26,525.42,10047175,-0.00998643352426909
2020-10-21,501.03,506.85,488.25,489.05,17339708,-0.06922081382513023
2020-10-22,494.69,495.14,482.0,485.23,6979682,-0.007811062263572199
2020-10-23,488.11,490.06,481.35,488.28,4927862,0.006285678956371221
2020-10-26,487.025,496.82,478.9,488.24,6086087,-8.192020971564684e-05
