Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,12.88,12.91,12.51,12.72,490564200,
2020-08-25,12.63,12.76,12.57,12.75,289076800,0.002358490566037652
2020-08-26,12.8,12.87,12.68,12.77,321244000,0.0015686274509802978
2020-08-27,12.78,12.85,12.57,12.63,317604000,-0.0109631949882536
2020-08-28,12.67,13.15,12.64,13.15,537160000,0.041171813143309643
2020-08-31,13.18,13.58,13.04,13.37,500841200,0.016730038022813698
2020-09-01,13.48,13.99,13.44,13.82,512473960,0.03365744203440557
2020-09-02,14.7,14.73,13.9,14.35,874012880,0.03835021707670028
2020-09-03,13.83,13.88,12.88,13.02,945128000,-0.09268292682926826
2020-09-04,12.78,13.18,11.7,12.62,1463684000,-0.030721966205837226
2020-09-08,11.73,12.55,11.7,11.91,795729480,-0.05625990491283672
2020-09-09,12.4,12.81,12.23,12.72,736200000,0.06801007556675076
2020-09-10,12.99,13.07,12.17,12.31,698684440,-0.03223270440251569
2020-09-11,12.49,12.65,11.9,12.16,636928000,-0.012185215272136452
2020-09-14,13.08,13.32,12.63,12.87,1201744960,0.058388157894736725
2020-09-15,13.28,13.3,12.83,12.99,727556560,0.009324009324009452
2020-09-16,12.96,13.09,12.51,12.51,557599400,-0.036951501154734445
2020-09-17,12.13,12.59,12.03,12.46,792512000,-0.003996802557953538
2020-09-18,12.59,12.63,11.99,12.19,698461920,-0.02166934189406111
2020-09-21,11.93,12.52,11.9,12.52,721044000,0.027071369975389725
2020-09-22,12.58,12.65,12.16,12.64,646452080,0.009584664536741228
2020-09-23,12.58,12.73,12.08,12.12,647012320,-0.04113924050632922
2020-09-24,12.07,12.57,12.01,12.35,731240320,0.018976897689769068
2020-09-25,12.45,12.88,12.25,12.87,588016280,0.042105263157894646
2020-09-28,13.04,13.05,12.75,13.04,573809120,0.013209013209013243
2020-09-29,12.94,13.44,12.93,13.23,623004960,0.014570552147239457
2020-09-30,13.16,13.62,13.15,13.53,689184120,0.0226757369614512
2020-10-01,13.76,13.76,13.46,13.61,525004000,0.00591278640059123
2020-10-02,13.23,13.52,13.05,13.06,552496000,-0.040411462160176215
2020-10-05,13.24,13.64,13.22,13.64,479820000,0.04441041347626351
2020-10-06,13.83,14.14,13.67,13.74,784420000,0.007331378299120228
2020-10-07,14.0,14.12,13.86,13.96,418085160,0.01601164483260553
2020-10-08,14.08,14.08,13.76,13.84,378900880,-0.008595988538682042
2020-10-09,13.77,13.82,13.66,13.76,346892000,-0.005780346820809301
2020-10-12,13.99,14.35,13.91,14.23,434744000,0.03415697674418605
2020-10-13,14.3,14.35,14.02,14.25,344604000,0.0014054813773716202
2020-10-14,14.29,14.34,13.96,14.1,276647120,-0.010526315789473717
2020-10-15,13.81,14.01,13.77,13.97,267225120,-0.009219858156028327
2020-10-16,14.04,14.12,13.79,13.81,242639600,-0.01145311381531855
2020-10-19,13.9,13.98,13.41,13.5,298068560,-0.022447501810282433
2020-10-20,13.58,13.8,13.51,13.65,229212040,0.011111111111111072
2020-10-21,13.63,13.79,13.48,13.52,219597320,-0.009523809523809601
2020-10-22,13.52,13.61,13.23,13.36,290480000,-0.01183431952662728
2020-10-23,13.45,13.59,13.29,13.59,233484280,0.017215568862275488
2020-10-26,13.43,13.69,13.04,13.14,336896000,-0.0331125827814569
2020-10-27,13.31,13.44,13.19,13.4,250520000,0.019786910197869156
2020-10-28,13.2,13.26,12.61,12.63,376520000,-0.057462686567164134
2020-10-29,12.84,13.19,12.75,13.02,320081840,0.030878859857482066
2020-10-30,12.85,12.94,12.3,12.53,417396000,-0.037634408602150504
2020-11-02,12.66,12.84,12.4,12.58,299652640,0.003990422984836428
2020-11-03,12.71,13.11,12.6,13.02,272901080,0.0349761526232113
2020-11-04,13.39,13.83,13.34,13.79,410229280,0.05913978494623651
2020-11-05,14.16,14.34,13.99,14.16,319028320,0.026831036983321344
2020-11-06,14.11,14.59,13.9,14.56,383349280,0.02824858757062154
2020-11-09,14.55,14.69,13.61,13.63,582977880,-0.06387362637362637
2020-11-10,13.61,13.61,12.63,12.77,644068000,-0.06309611151870886
2020-11-11,13.05,13.43,12.95,13.42,404744000,0.05090054815974954
2020-11-12,13.48,13.77,13.32,13.46,366635000,0.0029806259314457684
2020-11-13,13.63,13.67,13.06,13.3,346762320,-0.011887072808320909
2020-11-16,13.17,13.65,13.16,13.52,413776000,0.016541353383458635
2020-11-17,13.55,13.6,13.3,13.42,312028000,-0.007396449704141994
2020-11-18,13.47,13.61,13.19,13.43,510925320,0.0007451564828613311
2020-11-19,13.21,13.49,13.1,13.44,565936000,0.0007446016381236209
2020-11-20,13.45,13.49,13.07,13.09,341089800,-0.02604166666666663
2020-11-23,13.17,13.38,13.02,13.14,361356000,0.0038197097020626902
2020-11-24,13.14,13.16,12.89,12.96,346500000,-0.013698630136986245
2020-11-25,13.03,13.27,13.02,13.23,259916400,0.02083333333333326
2020-11-27,13.38,13.41,13.17,13.26,167276000,0.0022675736961450532
2020-11-30,13.27,13.41,12.97,13.4,286952000,0.010558069381598756
