Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,122.7,123.85,122.16,123.78,1042481,
2020-08-25,125.92,127.8,124.92,127.31,2054998,0.028518338988527958
2020-08-26,127.2,128.42,126.11,127.53,1422900,0.0017280653522897538
2020-08-27,128.14,128.35,125.44,126.05,1376400,-0.011605112522543704
2020-08-28,125.93,127.45,125.26,127.23,1736638,0.009361364537881833
2020-08-31,126.96,127.71,124.85,125.76,2257594,-0.011553878802169293
2020-09-01,126.0,129.02,125.95,128.2,2090576,0.019402035623409475
2020-09-02,129.68,132.95,128.7,132.1,1541448,0.030421216848673938
2020-09-03,130.99,130.99,125.05,126.1,2010100,-0.04542013626040875
2020-09-04,126.37,127.08,122.32,126.33,1607662,0.0018239492466296525
2020-09-08,121.02,122.65,119.21,119.72,2541781,-0.05232328029763322
2020-09-09,122.17,125.63,121.4,124.24,2269290,0.0377547611092548
2020-09-10,125.2,127.77,122.55,123.1,1487822,-0.009175788795878992
2020-09-11,124.47,126.65,123.16,124.75,1397478,0.013403736799350252
2020-09-14,126.17,127.62,124.48,125.7,1538829,0.007615230460921829
2020-09-15,127.39,128.8,126.82,127.41,1601386,0.013603818615751662
2020-09-16,129.0,131.31,128.36,128.59,2053261,0.009261439447453057
2020-09-17,123.62,128.14,122.86,127.76,2066306,-0.00645462322109025
2020-09-18,128.68,128.99,123.39,126.09,4200604,-0.01307138384470885
2020-09-21,122.95,123.51,119.28,121.35,2024521,-0.037592196050440285
2020-09-22,122.79,123.48,120.69,122.63,1606958,0.010548001648125194
2020-09-23,123.17,124.0,119.43,119.94,1595706,-0.021935904754138424
2020-09-24,118.64,121.22,118.15,119.16,1810500,-0.006503251625812889
2020-09-25,118.56,120.17,117.25,119.83,2039641,0.005622692178583355
2020-09-28,122.46,124.17,121.91,124.0,2143414,0.034799299006926576
2020-09-29,126.1,126.14,123.16,123.29,1626650,-0.005725806451612803
2020-09-30,123.87,126.77,123.22,124.81,2005227,0.012328656014275241
2020-10-01,129.63,132.18,128.0,130.99,3429335,0.049515263200064163
2020-10-02,127.17,130.48,126.64,127.39,2130600,-0.02748301397053221
2020-10-05,129.48,132.07,129.0,132.0,2269271,0.03618808383703587
2020-10-06,131.7,135.01,130.39,130.9,2187538,-0.008333333333333304
2020-10-07,133.33,134.91,133.01,133.6,1838974,0.02062643239113826
2020-10-08,135.07,135.92,134.13,134.83,2208206,0.00920658682634734
2020-10-09,142.48,145.15,138.8,141.53,5037614,0.04969220499888749
2020-10-12,143.0,143.25,140.41,142.08,2861315,0.003886101886525939
2020-10-13,141.0,141.99,136.58,136.84,2605447,-0.03688063063063074
2020-10-14,136.8,138.1,135.84,137.11,2318114,0.0019731072785735826
2020-10-15,134.59,137.59,133.69,136.87,1556938,-0.0017504193713078209
2020-10-16,139.33,139.67,136.96,137.23,1300903,0.0026302330678744656
2020-10-19,137.63,138.85,135.53,136.33,1606896,-0.006558332726080085
2020-10-20,137.67,137.8,134.89,135.21,1353900,-0.008215359788747878
2020-10-21,137.93,138.12,135.27,135.86,1681900,0.004807336735448642
2020-10-22,136.06,136.43,133.32,134.89,1514326,-0.007139702635065692
2020-10-23,135.51,137.75,134.36,137.18,1439700,0.016976795907776898
2020-10-26,135.19,136.1,132.71,134.89,2856133,-0.01669339553870841
2020-10-27,136.38,136.57,131.65,133.23,2530500,-0.012306323671139374
2020-10-28,130.07,130.91,126.8,129.77,3015700,-0.02597012684830724
2020-10-29,128.79,137.51,128.79,136.17,2721746,0.04931802419665554
2020-10-30,133.52,135.79,132.98,135.12,2286300,-0.007710949548358492
2020-11-02,137.09,138.34,136.01,137.31,1903499,0.0162078152753109
2020-11-03,137.65,141.49,137.0,138.88,1747443,0.011433981501711488
2020-11-04,141.05,141.49,136.7,139.38,2354748,0.0036002304147464415
2020-11-05,142.0,145.24,141.08,144.38,2242444,0.03587315253264456
2020-11-06,144.28,147.47,143.62,146.72,2748200,0.01620723091840981
2020-11-09,149.74,152.48,144.55,144.86,3523968,-0.012677208287895203
2020-11-10,142.78,144.49,139.94,140.24,2172300,-0.031892862073726436
2020-11-11,143.31,145.94,142.7,145.07,1659800,0.034440958357101925
2020-11-12,146.0,146.59,143.63,144.3,1431866,-0.005307782449851639
2020-11-13,146.01,147.58,145.66,146.49,1085000,0.01517671517671526
2020-11-16,149.39,151.22,148.3,149.99,1888311,0.023892415864564143
2020-11-17,150.75,151.55,147.92,149.39,1798108,-0.004000266684445752
2020-11-18,149.49,150.61,147.82,148.15,1218400,-0.008300421714974138
