Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,99.9,100.48,98.79,99.42,851000,
2020-08-25,96.52,98.93,96.45,98.84,1205200,-0.005833836250251467
2020-08-26,98.96,99.82,98.14,99.5,811400,0.006677458518818291
2020-08-27,99.77,100.31,98.31,99.54,1635200,0.0004020100502513113
2020-08-28,100.67,100.75,99.3,100.16,1115400,0.0062286517982719225
2020-08-31,101.84,102.22,100.77,101.09,1779600,0.00928514376996814
2020-09-01,101.09,102.49,100.19,102.07,1253106,0.009694331783559162
2020-09-02,103.27,103.72,101.35,101.81,1579218,-0.0025472714803564944
2020-09-03,100.82,101.18,97.59,99.36,1702046,-0.02406443374914058
2020-09-04,100.38,100.45,95.3,98.13,1742200,-0.012379227053140096
2020-09-08,97.81,98.73,96.15,97.14,2294674,-0.010088657902782017
2020-09-09,98.01,100.86,98.01,99.52,2331600,0.02450072060942965
2020-09-10,99.58,99.76,96.52,97.29,1376040,-0.022407556270096385
2020-09-11,97.6,98.92,96.63,97.82,1361650,0.005447630794531699
2020-09-14,98.55,98.85,96.03,96.58,1598600,-0.012676344305867837
2020-09-15,96.87,99.0,96.23,98.73,2433350,0.022261337751087185
2020-09-16,99.35,99.38,94.9,95.04,1911938,-0.037374658158614404
2020-09-17,93.55,96.12,92.58,95.25,1625810,0.0022095959595958004
2020-09-18,95.21,95.21,91.05,92.04,3200486,-0.03370078740157478
2020-09-21,91.0,91.25,88.18,89.31,3587202,-0.029661016949152574
2020-09-22,89.51,91.08,88.17,90.36,2562400,0.011756802149815115
2020-09-23,90.41,92.73,90.03,91.09,2150156,0.008078795927401572
2020-09-24,90.55,92.87,90.16,91.97,2306606,0.009660775057635185
2020-09-25,91.11,92.58,90.54,91.21,1558040,-0.008263564205719276
2020-09-28,92.3,93.9,92.23,93.68,1587856,0.027080363995176215
2020-09-29,93.11,94.15,92.45,92.56,2627788,-0.011955593509820672
2020-09-30,93.0,93.5,89.91,90.46,2013446,-0.022687986171132324
2020-10-01,91.23,92.46,90.25,91.39,1854998,0.010280787088215781
2020-10-02,90.35,93.58,90.35,92.28,1190400,0.0097384834226939
2020-10-05,92.57,94.79,92.57,94.23,1414800,0.02113133940182066
2020-10-06,94.44,96.09,92.98,94.56,1529200,0.003502069404648145
2020-10-07,95.46,97.07,95.01,96.47,1516014,0.02019881556683578
2020-10-08,97.02,98.64,96.5,98.56,1281074,0.02166476624857472
2020-10-09,99.02,100.26,98.45,99.88,1733800,0.013392857142856984
2020-10-12,100.53,101.75,100.24,100.38,1153036,0.005006007208650409
2020-10-13,100.27,101.26,99.94,100.31,1003298,-0.0006973500697349255
2020-10-14,100.67,102.5,100.67,101.26,885080,0.009470641012860215
2020-10-15,100.38,102.56,100.0,102.01,761400,0.007406675883863345
2020-10-16,101.96,102.14,100.21,100.29,1121052,-0.01686109204979902
2020-10-19,100.54,100.98,97.93,98.45,1184200,-0.01834679429654007
2020-10-20,99.24,100.86,98.99,99.56,794896,0.011274758760792203
2020-10-21,99.6,100.81,98.08,98.14,1175200,-0.014262756126958598
2020-10-22,98.57,99.53,96.85,98.08,1172470,-0.0006113715100876105
2020-10-23,98.53,100.49,98.46,100.31,1285400,0.022736541598695093
2020-10-26,99.13,99.69,98.04,99.21,1641798,-0.010966005383311828
2020-10-27,97.61,101.0,94.5,94.8,1822066,-0.044451164197157556
2020-10-28,93.45,94.76,92.61,93.33,1652600,-0.015506329113924022
2020-10-29,93.29,95.51,92.6,95.18,1571800,0.019822136504875187
2020-10-30,94.22,96.7,94.22,95.19,1606400,0.00010506408909427556
2020-11-02,96.94,97.46,95.62,96.88,1372000,0.017753965752705048
2020-11-03,97.86,99.95,97.44,99.07,1006964,0.02260528488852187
2020-11-04,100.33,102.12,99.94,100.2,1219044,0.011406076511557561
2020-11-05,101.75,103.69,100.53,103.09,1122094,0.028842315369261406
2020-11-06,102.77,104.43,102.68,103.51,848600,0.0040741100009700215
2020-11-09,106.23,106.83,99.47,99.65,2020868,-0.037291082987151
2020-11-10,99.54,100.75,97.11,98.74,1734400,-0.009131961866532978
2020-11-11,100.64,100.64,98.05,99.0,1704248,0.0026331780433461738
2020-11-12,99.49,99.77,97.48,98.64,1552026,-0.0036363636363636598
2020-11-13,99.48,101.88,99.36,101.38,1258286,0.02777777777777768
2020-11-16,101.35,103.71,100.71,103.06,1552200,0.016571315841388934
2020-11-17,101.82,103.39,100.95,102.97,1068400,-0.000873277702309383
2020-11-18,102.95,103.84,102.19,102.25,1034800,-0.00699232786248416
2020-11-19,102.16,103.03,101.15,102.77,1077456,0.005085574572126994
2020-11-20,102.4,103.63,102.15,102.81,856400,0.0003892186435729972
2020-11-23,103.26,104.65,100.85,101.12,1453800,-0.016438089679992163
2020-11-24,101.33,102.8,100.62,101.74,1451000,0.006131329113924
2020-11-25,102.29,102.5,100.12,101.46,1029000,-0.0027521132298015116
2020-11-27,100.66,101.44,100.11,101.0,484246,-0.004533806426177733
2020-11-30,100.75,102.16,99.65,101.68,1931140,0.006732673267326739
2020-12-01,101.87,105.73,101.34,105.52,2686694,0.037765538945711885
2020-12-02,105.27,105.32,101.79,102.42,1607790,-0.029378316906747526
2020-12-03,101.6,104.21,101.6,103.51,1190234,0.010642452645967637
2020-12-04,104.76,106.29,104.16,104.63,1345200,0.010820210607670688
2020-12-07,104.49,104.73,103.2,104.04,1027800,-0.005638918092325196
2020-12-08,103.93,105.12,103.43,105.07,1024400,0.009900038446751136
2020-12-09,105.08,105.48,101.03,101.39,1352510,-0.03502426953459592
2020-12-10,100.75,100.75,98.22,99.35,1508468,-0.02012032744846637
2020-12-11,98.88,101.44,98.75,100.4,1179400,0.010568696527428312
2020-12-14,101.11,101.16,97.48,97.68,1614352,-0.027091633466135412
2020-12-15,98.35,100.16,97.91,99.14,1031442,0.014946764946764945
2020-12-16,99.06,99.38,97.43,97.5,1141800,-0.016542263465805895
2020-12-17,97.75,98.38,97.05,98.03,1884600,0.005435897435897452
2020-12-18,97.54,100.07,96.68,99.77,3163070,0.017749668468836077
2020-12-21,98.55,99.79,98.01,98.91,1078600,-0.008619825598877418
2020-12-22,99.0,99.91,98.89,99.33,928210,0.00424628450106157
2020-12-23,99.61,100.21,98.36,98.42,695200,-0.009161381254404466
2020-12-24,98.44,99.5,98.28,99.13,293800,0.007213980898191252
2020-12-28,99.61,99.95,97.4,97.46,791400,-0.016846565116513723
2020-12-29,97.85,98.51,96.1,97.07,857418,-0.00400164169915862
2020-12-30,97.45,97.64,95.98,96.81,992200,-0.0026784794478210694
2020-12-31,97.3,97.81,96.46,97.59,995424,0.008057018903005808
2021-01-04,97.57,98.26,95.14,95.35,2079600,-0.02295317143149922
2021-01-05,95.14,96.74,94.73,95.88,2725000,0.005558468799160998
2021-01-06,95.35,97.87,95.35,96.65,2098200,0.008030871923237592
2021-01-07,97.99,101.57,97.48,100.98,2042082,0.04480082772891869
2021-01-08,101.09,103.5,101.09,102.78,1281800,0.017825311942959
2021-01-11,102.09,103.01,100.99,101.17,1205026,-0.0156645261724071
2021-01-12,101.58,102.91,100.41,101.68,752042,0.005041020065236879
2021-01-13,101.6,101.65,100.07,100.48,1079480,-0.011801730920535047
2021-01-14,102.54,104.89,101.45,103.76,1350200,0.03264331210191074
2021-01-15,102.74,104.29,101.23,103.7,1554600,-0.0005782575173477467
2021-01-19,104.12,106.7,103.71,103.76,1075000,0.0005785920925747146
2021-01-20,103.76,104.9,102.06,104.48,1578638,0.006939090208172738
2021-01-21,105.0,106.0,103.82,103.86,1196684,-0.005934150076569722
2021-01-22,103.73,103.73,101.61,102.31,996576,-0.014923936067783528
2021-01-25,101.97,105.77,101.95,105.56,1216854,0.031766200762388896
2021-01-26,106.03,106.28,103.29,103.77,1244200,-0.016957180750284295
2021-01-27,102.31,102.31,96.38,97.17,1511822,-0.06360219716681115
