Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,21.08,21.39,20.965,21.385,3066590,
2020-08-25,21.48,21.72,21.24,21.59,2977688,0.009586158522328692
2020-08-26,21.59,21.75,21.33,21.68,3838586,0.00416859657248736
2020-08-27,21.77,21.8299,21.18,21.33,3263886,-0.016143911439114422
2020-08-28,21.44,22.14,21.03,22.025,4013000,0.03258321612751991
2020-08-31,21.88,21.99,21.35,21.37,4128354,-0.029738933030646897
2020-09-01,21.5,21.77,21.21,21.75,7054254,0.017781937295273664
2020-09-02,21.8,22.46,21.66,22.38,7101468,0.02896551724137919
2020-09-03,22.07,22.165,21.335,21.45,6600215,-0.041554959785522816
2020-09-04,21.44,23.12,21.37,22.68,14139438,0.05734265734265742
2020-09-08,21.77,21.99,20.91,20.93,11540979,-0.0771604938271605
2020-09-09,21.52,21.99,21.185,21.82,7289960,0.042522694696607743
2020-09-10,21.5,22.26,21.5,21.52,5954667,-0.013748854262144894
2020-09-11,21.91,22.03,21.315,21.575,4347448,0.0025557620817844295
2020-09-14,21.9642,22.15,21.65,22.01,3426619,0.020162224797219075
2020-09-15,22.21,22.255,21.91,22.02,4589766,0.0004543389368467654
2020-09-16,22.33,22.685,22.0,22.05,4733805,0.0013623978201635634
2020-09-17,21.5,22.17,21.4,21.9,4542913,-0.006802721088435493
2020-09-18,22.09,22.09,21.24,21.42,5513565,-0.021917808219177992
2020-09-21,21.01,21.03,20.41,20.61,6529453,-0.037815126050420256
2020-09-22,20.97,21.0,20.505,20.82,7966151,0.010189228529839944
2020-09-23,20.9,21.055,20.06,20.08,4578005,-0.03554274735830942
2020-09-24,19.92,20.71,19.79,20.31,5377312,0.011454183266932372
2020-09-25,20.16,20.54,19.75,20.49,5166359,0.008862629246676468
2020-09-28,20.97,21.75,20.81,21.725,5079528,0.06027330405075659
2020-09-29,21.6,21.96,21.55,21.78,4780902,0.0025316455696202667
2020-09-30,21.7,22.065,21.61,21.69,3635804,-0.004132231404958664
2020-10-01,22.4,23.37,22.35,22.91,10092834,0.05624711848778241
2020-10-02,21.95,22.93,21.91,22.44,6980671,-0.020515058926233065
2020-10-05,22.78,23.19,22.71,23.15,4960422,0.031639928698752096
2020-10-06,23.18,23.49,22.67,22.89,5289035,-0.011231101511879005
2020-10-07,23.37,23.53,23.22,23.35,5890686,0.0200961118392311
2020-10-08,25.0381,26.06,24.9,26.04,22188141,0.11520342612419698
2020-10-09,26.1,26.84,25.51,26.35,14617746,0.011904761904762085
2020-10-12,26.52,26.58,26.245,26.51,5826611,0.006072106261859611
2020-10-13,26.36,26.41,25.76,25.905,7619449,-0.022821576763485507
2020-10-14,26.0,26.115,25.67,25.93,3884307,0.0009650646593322154
2020-10-15,25.28,26.12,25.084,26.07,5773593,0.005399151561897408
2020-10-16,26.48,26.53,26.02,26.07,4486450,0.0
2020-10-19,26.11,26.59,25.9602,26.21,5466831,0.005370157268891562
2020-10-20,26.07,26.44,25.905,26.1,5999762,-0.004196871423120974
2020-10-21,26.21,26.25,25.51,25.53,4547679,-0.02183908045977012
2020-10-22,25.69,26.0,25.455,25.92,3095486,0.01527614571092828
2020-10-23,26.04,26.24,25.775,26.16,3608752,0.0092592592592593
2020-10-26,25.77,25.865,25.19,25.55,7651034,-0.02331804281345562
2020-10-27,25.45,25.58,25.04,25.17,4011783,-0.014872798434442225
2020-10-28,24.62,24.75,24.23,24.54,4529668,-0.025029797377830842
2020-10-29,24.57,25.61,24.51,25.19,9795568,0.02648736756316228
2020-10-30,24.99,25.26,24.56,25.09,10703795,-0.003969829297340244
2020-11-02,24.31,24.835,23.86,24.36,12688657,-0.029095257074531755
2020-11-03,25.03,25.37,24.71,25.05,8822905,0.02832512315270952
2020-11-04,25.25,26.3,25.045,25.89,11950679,0.033532934131736525
2020-11-05,26.38,26.66,25.9917,26.45,10102089,0.021629972962533772
2020-11-06,26.49,27.08,26.26,26.58,7976674,0.004914933837429025
2020-11-09,28.0,28.8,27.49,27.53,14243685,0.03574115876598949
2020-11-10,27.5,27.9052,26.935,27.09,8515924,-0.015982564475118144
2020-11-11,27.31,28.4,27.31,27.93,8684965,0.03100775193798455
2020-11-12,27.78,27.945,27.22,27.48,7139646,-0.01611170784103111
