Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,30.85,31.01,30.71,30.93,6603405,
2020-08-25,30.8,31.08,30.79,31.06,5905455,0.0042030391205949424
2020-08-26,30.86,31.21,30.79,30.85,4917735,-0.006761107533805433
2020-08-27,31.13,31.16,30.76,30.84,4973310,-0.00032414910859002166
2020-08-28,30.82,31.06,30.6,30.86,5687430,0.0006485084306095956
2020-08-31,30.8,31.24,30.67,31.04,7630425,0.005832793259883395
2020-09-01,31.16,31.64,30.93,31.55,6920955,0.016430412371134073
2020-09-02,31.56,32.3,31.52,32.17,7334865,0.019651347068145864
2020-09-03,32.17,32.33,31.25,31.46,8778570,-0.022070251787379536
2020-09-04,31.45,31.73,30.91,31.4,7186500,-0.00190718372536558
2020-09-08,31.23,31.83,30.76,31.36,8359785,-0.001273885350318471
2020-09-09,31.43,32.12,31.4,31.75,6151770,0.012436224489795977
2020-09-10,31.79,32.04,31.16,31.28,5512965,-0.014803149606299137
2020-09-11,31.54,31.74,31.31,31.64,5019555,0.011508951406649537
2020-09-14,31.73,32.22,31.66,31.87,5216865,0.007269279393173234
2020-09-15,32.0,32.05,31.76,31.83,3679890,-0.0012550988390336304
2020-09-16,32.0,32.02,31.23,31.33,6311640,-0.01570845114671693
2020-09-17,30.73,31.37,30.73,31.16,6081915,-0.005426109160548975
2020-09-18,31.21,31.33,30.48,30.93,10168410,-0.007381258023106518
2020-09-21,30.72,30.78,29.78,30.26,9685560,-0.02166181700614289
2020-09-22,30.44,30.93,30.08,30.36,7956840,0.0033046926635822427
2020-09-23,30.32,30.6,29.87,29.91,7767090,-0.014822134387351804
2020-09-24,29.67,29.81,29.17,29.6,13111995,-0.010364426613172828
2020-09-25,29.16,29.85,29.16,29.65,6971730,0.0016891891891890332
2020-09-28,30.01,30.53,30.0,30.49,7285140,0.028330522765598554
2020-09-29,30.49,30.6,30.18,30.22,6047775,-0.008855362413906165
2020-09-30,30.38,30.97,30.24,30.74,7737315,0.017207147584381133
2020-10-01,30.86,31.18,30.74,30.9,5782290,0.005204944697462688
2020-10-02,30.55,30.8,30.22,30.55,5342715,-0.01132686084142387
2020-10-05,30.65,30.91,30.6,30.63,5249145,0.002618657937806912
2020-10-06,30.64,30.75,29.55,29.64,7919565,-0.03232125367286964
2020-10-07,29.8,30.11,29.62,29.66,7949175,0.0006747638326585204
2020-10-08,29.8,30.38,29.8,30.22,5799135,0.018880647336479983
2020-10-09,30.31,30.34,29.91,29.96,6311820,-0.008603573792190566
2020-10-12,30.18,30.77,29.96,30.56,7370715,0.020026702269692942
2020-10-13,30.67,31.42,30.67,31.3,5922810,0.024214659685863893
2020-10-14,31.36,31.69,30.91,30.98,6196455,-0.010223642172523917
