Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,45.67,45.73,44.13,44.51,19516290,
2020-08-25,43.33,44.25,43.33,43.5,26867402,-0.02269152999325985
2020-08-26,43.5,44.1,43.44,43.91,14063522,0.009425287356321865
2020-08-27,43.83,43.83,42.02,42.56,13890576,-0.030744705078569634
2020-08-28,42.82,43.1,42.11,42.44,7823748,-0.0028195488721806106
2020-08-31,42.27,43.04,42.16,42.9,8864570,0.01083883129123464
2020-09-01,43.15,43.52,42.87,43.08,8840366,0.00419580419580412
2020-09-02,43.24,43.44,42.27,42.91,6688266,-0.003946146703806885
2020-09-03,42.26,42.26,39.75,40.37,14443010,-0.0591936611512468
2020-09-04,40.11,40.46,37.86,39.27,11728684,-0.027247956403269602
2020-09-08,38.33,39.61,38.08,38.99,11830462,-0.007130124777183666
2020-09-09,39.87,40.01,38.93,39.73,5579272,0.018979225442421033
2020-09-10,39.79,40.54,39.43,39.49,6812976,-0.006040775232821427
2020-09-11,40.33,40.68,39.75,40.49,9513470,0.02532286654849325
2020-09-14,41.0,41.31,40.68,40.95,7004256,0.01136082983452713
2020-09-15,41.33,41.6,40.83,41.35,6357162,0.009768009768009733
2020-09-16,41.47,41.79,41.13,41.14,4714528,-0.005078597339782331
2020-09-17,40.38,40.52,39.72,40.24,9361484,-0.021876519202722378
2020-09-18,40.69,40.72,39.65,40.27,7435644,0.0007455268389662262
2020-09-21,39.65,40.63,39.47,40.43,6230064,0.003973181028060546
2020-09-22,40.67,41.29,39.94,41.08,5449750,0.016077170418006492
2020-09-23,41.08,41.32,39.75,39.85,6265098,-0.029941577409931752
2020-09-24,39.68,40.12,39.2,39.66,4693132,-0.004767879548306264
2020-09-25,39.67,40.46,39.37,40.36,6893982,0.017650025214321907
2020-09-28,40.74,41.26,40.67,40.99,5834968,0.015609514370664046
2020-09-29,41.0,41.44,40.95,41.08,7391400,0.0021956574774333326
2020-09-30,40.79,41.3,40.63,40.79,4067668,-0.007059396299902598
2020-10-01,41.44,42.13,41.27,41.75,6755898,0.02353518019122336
2020-10-02,41.05,41.89,40.61,40.86,4371868,-0.02131736526946104
2020-10-05,40.94,41.59,40.67,41.44,4977808,0.014194811551639708
2020-10-06,41.28,42.07,41.1,41.21,3415814,-0.0055501930501929975
2020-10-07,41.55,42.17,41.27,41.83,2829332,0.015044892016500722
2020-10-08,42.04,42.22,41.42,41.58,4481482,-0.005976571838393507
2020-10-09,42.04,42.34,41.7,42.09,3804884,0.012265512265512424
2020-10-12,42.5,42.66,42.09,42.18,3714464,0.002138275124732525
2020-10-13,42.17,42.58,41.88,42.42,4377490,0.005689900426742556
2020-10-14,42.75,43.36,42.34,42.68,4928596,0.006129184347006156
2020-10-15,42.16,42.54,41.57,41.97,3948818,-0.016635426429240874
2020-10-16,42.23,42.31,40.92,41.06,6486066,-0.02168215391946615
2020-10-19,41.27,41.53,40.11,40.39,5385598,-0.01631758402338046
2020-10-20,40.48,40.92,39.87,39.88,4444624,-0.012626887843525614
2020-10-21,39.83,39.92,39.09,39.31,6799344,-0.01429287863590778
2020-10-22,39.49,39.95,38.89,39.6,4749388,0.007377257695242889
2020-10-23,39.74,39.79,39.24,39.42,3181496,-0.004545454545454519
2020-10-26,39.26,39.36,38.01,38.6,4476568,-0.020801623541349623
2020-10-27,38.87,39.0,38.54,38.59,3012002,-0.0002590673575129099
2020-10-28,38.2,38.2,37.38,37.65,4883344,-0.024358642135268282
